time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
4,0,24,6.0,44.4845075,4258,,,,,,
8,0,50,6.25,46.738862,4220,,,,,,
12,0,75,6.25,46.70713800000001,4160,,,,,,
16,0,104,6.5,49.029439375,4082,,,,,,
20,0,118,5.9,43.453726200000006,791,-6.190165281295776,0.001,70.06411743164062,20,,
24,0,132,5.5,39.72413341666667,577,-6.242948055267334,0.001,38.87814585367838,33,,
28,0,148,5.285714285714286,37.6555145,451,-7.357835531234741,0.001,18.972007989883423,49,,
32,0,160,5.0,35.061732375000005,390,-7.259326934814453,0.001,15.690515518188477,62,,
36,0,175,4.861111111111111,33.74198525,350,-7.423675537109375,0.001,15.040165424346924,77,,
40,0,189,4.725,32.481030499999996,321,-7.3388097286224365,0.001,12.315113544464111,91,,
44,0,203,4.613636363636363,31.441068090909088,300,-8.01953935623169,0.001,13.108210325241089,105,,
48,0,218,4.541666666666667,30.750305979166665,278,-7.04872465133667,0.001,12.589818477630615,120,,
52,0,232,4.461538461538462,30.005325384615386,269,-6.764808416366577,0.001,14.381281614303589,133,,
56,0,247,4.410714285714286,29.5152895,257,-7.581531524658203,0.001,11.418283700942993,148,,
60,1,261,4.35,28.9506917,249,-8.232552528381348,0.001,14.535221417744955,162,,
64,1,275,4.296875,28.459190265625,241,-8.274360656738281,0.001,9.97946810722351,177,,
68,1,289,4.25,28.024115970588237,236,-8.0440833568573,0.001,9.397467732429504,191,,
72,1,303,4.208333333333333,27.63900501388889,231,-7.581083536148071,0.001,12.108214378356934,205,,
76,1,317,4.171052631578948,27.29255109210526,226,-7.4093475341796875,0.001,12.215726216634115,218,,
80,1,330,4.125,26.8775139125,222,-8.485360622406006,0.001,11.172322273254395,232,,
84,1,343,4.083333333333333,26.499864642857148,218,-7.446670055389404,0.001,9.303017934163412,245,,
88,1,358,4.068181818181818,26.350116829545456,215,-8.628186702728271,0.001,10.550967693328857,259,,
92,1,370,4.021739130434782,25.939118315217392,210,-7.373008728027344,0.001,10.018621444702148,272,,
96,1,384,4.0,25.737036906249998,208,-8.742300510406494,0.001,11.272239685058594,286,,
100,1,398,3.98,25.549277149999998,205,-7.886589765548706,0.001,12.292695045471191,300,,
104,2,414,3.9,24.77971951,204,-8.405043601989746,0.001,7.857722163200378,315,,
108,2,430,3.8,23.83152558,202,-8.621478080749512,0.001,7.594768643379211,331,,
112,2,444,3.69,22.80773756,199,-9.059254169464111,0.001,9.566666007041931,346,,
116,2,459,3.55,21.49029118,198,-7.44651198387146,0.001,8.333455681800842,360,,
120,2,471,3.53,21.320839680000002,197,-9.164839744567871,0.001,9.418140729268393,373,,
124,2,485,3.53,21.32067493,196,-7.76711106300354,0.001,9.538919687271118,387,,
128,2,498,3.5,21.072257880000002,195,-8.098732471466064,0.001,8.361350774765015,400,,
132,2,513,3.53,21.32188504,193,-8.320699691772461,0.001,9.956692934036255,415,,
136,2,525,3.5,21.071515079999998,192,-9.292635917663574,0.001,8.99383513132731,427,,
140,2,539,3.5,21.0686339,190,-8.558899879455566,0.001,6.328865051269531,441,,
144,2,552,3.49,20.987118749999993,189,-8.386816501617432,0.001,7.339988708496094,454,,
148,3,567,3.49,20.986001979999998,188,-8.217185497283936,0.001,8.715305805206299,469,,
152,3,582,3.5,21.068967989999997,188,-9.026909828186035,0.001,7.166237711906433,483,,
156,3,596,3.49,20.98647296,186,-8.365090370178223,0.001,6.281546910603841,497,,
160,3,608,3.47,20.81985267,184,-8.511600017547607,0.001,7.581812222798665,510,,
164,3,623,3.48,20.90027987,183,-9.849566459655762,0.001,5.277506649494171,524,,
168,3,638,3.49,20.984054659999998,182,-8.063803672790527,0.001,7.5383220911026,539,,
172,3,653,3.5,21.067319240000003,180,-8.93535327911377,0.001,6.555394093195598,554,,
176,3,668,3.51,21.15293414,178,-9.515629291534424,0.001,6.796603441238403,570,,
180,3,682,3.52,21.23363734,178,-6.922235012054443,0.001,8.103843371073404,583,,
184,3,694,3.51,21.150916210000005,177,-8.976897239685059,0.001,6.44291893641154,596,,
188,3,708,3.5,21.0666328,177,-8.847421646118164,0.001,6.840980847676595,610,,
192,4,722,3.52,21.23555792,177,-9.747032165527344,0.001,5.331973393758138,623,,
196,4,735,3.51,21.151122280000003,176,-8.301980018615723,0.001,4.67254114151001,637,,
200,4,749,3.51,21.151395140000005,176,-9.13087797164917,0.001,7.423256079355876,650,,
204,4,764,3.5,21.06762055,176,-9.40866756439209,0.001,5.909693121910095,665,,
208,4,780,3.5,21.06744706,176,-8.547738552093506,0.001,5.996287822723389,681,,
212,4,794,3.5,21.069821360000002,175,-8.410716533660889,0.001,6.9521745045979815,696,,
216,4,807,3.48,20.906161519999998,175,-9.338626861572266,0.001,5.542740662892659,709,,
220,4,821,3.5,21.07172392,175,-9.558043956756592,0.001,4.774714887142181,722,,
224,4,834,3.49,20.988396379999998,174,-9.581975936889648,0.001,4.846477270126343,735,,
228,4,849,3.51,21.15523226,174,-10.405288219451904,0.001,6.016558408737183,750,,
232,4,864,3.51,21.155636879999996,173,-9.02028512954712,0.001,5.343995690345764,765,,
236,5,877,3.52,21.236644769999998,173,-9.009204864501953,0.001,4.071613788604736,779,,
240,5,892,3.53,21.320350720000008,173,-8.027324676513672,0.001,4.837717533111572,793,,
244,5,906,3.54,21.403157210000003,172,-10.750700950622559,0.001,3.6716344356536865,807,,
248,5,919,3.52,21.237632759999997,172,-9.919219970703125,0.001,3.887587865193685,820,,
252,5,933,3.51,21.153757759999998,171,-10.35476016998291,0.001,4.001753568649292,835,,
256,5,946,3.5,21.070647389999998,170,-9.287357330322266,0.001,5.174023310343425,848,,
260,5,962,3.54,21.404711530000004,170,-8.414445400238037,0.001,5.1203203201293945,863,,
264,5,977,3.54,21.4067224,169,-9.719370365142822,0.001,4.273251056671143,878,,
268,5,990,3.52,21.23913873,168,-9.815011978149414,0.001,6.122927665710449,891,,
,,1000,,,,-9.724379062652588,0.001,4.337137818336487,903,3.5,21.044744038581847
272,6,1006,3.53,21.326634350000003,167,-9.093650817871094,0.001,5.811311960220337,907,,
276,6,1020,3.52,21.24199417,166,-10.517448902130127,0.001,6.064634084701538,922,,
280,6,1035,3.53,21.330903249999995,166,-8.644295692443848,0.001,4.232926070690155,936,,
284,6,1050,3.56,21.58157595,165,-9.783838272094727,0.001,5.083268642425537,951,,
288,6,1064,3.56,21.582055860000004,164,-10.717681884765625,0.001,5.341452717781067,965,,
292,6,1080,3.58,21.744439349999997,163,-9.744988918304443,0.001,5.121073007583618,981,,
296,6,1093,3.58,21.743386149999996,163,-9.413717269897461,0.001,4.174960772196452,995,,
300,6,1108,3.59,21.827989499999994,162,-9.868029594421387,0.001,4.152298033237457,1010,,
304,6,1123,3.59,21.829609289999997,161,-10.680377960205078,0.001,3.604516863822937,1024,,
308,7,1138,3.58,21.742801509999996,161,-9.113640308380127,0.001,5.603102385997772,1039,,
312,7,1153,3.59,21.834558639999997,160,-10.633965492248535,0.001,3.3922234177589417,1054,,
316,7,1174,3.67,22.572062550000002,160,-16.052223205566406,0.001,4.531166195869446,1073,,
320,7,1204,3.83,24.06583466,159,-15.792946815490723,0.001,4.934522730963571,1101,,
324,7,1233,3.99,25.54890527,158,-16.809393882751465,0.001,4.794651712690081,1131,,
328,7,1257,4.08,26.40524017,158,-16.255003611246746,0.001,4.182183345158895,1156,,
332,8,1284,4.2,27.525269289999997,158,-16.999266306559246,0.001,3.661064624786377,1182,,
336,8,1310,4.33,28.725226759999995,157,-16.77962303161621,0.001,4.3627238273620605,1209,,
340,8,1335,4.43,29.666859929999998,157,-17.155433654785156,0.001,4.547176241874695,1234,,
344,8,1367,4.61,31.354355299999998,157,-18.283957290649415,0.001,3.5885617203182645,1264,,
348,8,1398,4.79,33.022560739999996,156,-19.629873752593994,0.001,3.9814331382513046,1295,,
352,9,1430,4.97,34.70661043999999,156,-19.58819325764974,0.001,3.7289881025041853,1327,,
356,9,1466,5.2,36.84516526,156,-20.03801383972168,0.001,3.9159640789031984,1361,,
360,9,1499,5.37,38.448675290000004,155,-22.012182235717773,0.001,4.028491348028183,1397,,
364,9,1528,5.51,39.774683870000004,155,-21.594205220540363,0.001,4.268892254148211,1425,,
368,10,1560,5.7,41.53924105000001,155,-21.13918571472168,0.001,3.8535106447007923,1458,,
372,10,1590,5.84,42.861119869999996,155,-22.33259916305542,0.001,3.736565589904785,1486,,
376,10,1620,6.0,44.36860554999999,155,-22.003647486368816,0.001,2.7024321385792325,1517,,
380,10,1656,6.21,46.34035901999999,155,-22.821740341186523,0.001,3.5172218799591066,1550,,
384,10,1687,6.37,47.85884413000001,155,-23.026906967163086,0.001,3.518369095666068,1585,,
388,11,1728,6.64,50.37910527,155,-21.986125564575197,0.001,3.354339337348938,1622,,
392,11,1768,6.88,52.64986484,155,-23.123680114746094,0.001,2.8614113330841064,1662,,
