time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/value_loss,train/approx_kl,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/std,train/learning_rate,train/loss
1000,-13.121666663140058,50.0,,,,,,,,,,,,,,,,
2000,-13.121666663140058,50.0,,,,,,,,,,,,,,,,
2048,,,1,50.0,857,-59.84899930000002,2,,,,,,,,,,,
3000,-12.144820857979358,50.0,,,,,,185.25473709106444,0.0042735683,-0.011929154396057129,10,-0.004132697437307797,-2.8103513918817042,0.022802734375,0.2,0.9765331745147705,0.0003,68.48869323730469
4000,-12.144820857979358,50.0,,,,,,,,,,,,,,,,
4096,,,2,50.0,691,-60.010165049382714,5,,,,,,,,,,,
5000,-11.419905201531947,50.0,,,,,,117.24122375249863,0.00217246,0.18257969617843628,20,-0.002503544624778442,-2.777877341210842,0.0044921875,0.2,0.9643021821975708,0.0003,23.92044448852539
6000,-11.419905201531947,50.0,,,,,,,,,,,,,,,,
6144,,,3,50.0,646,-59.564101109999996,9,,,,,,,,,,,
7000,-11.50931142065674,50.0,,,,,,65.89038645029068,0.0041709463,0.29559141397476196,30,-0.0030808332085143775,-2.7447934567928316,0.01728515625,0.2,0.9388741254806519,0.0003,12.780327796936035
8000,-11.50931142065674,50.0,,,,,,,,,,,,,,,,
8192,,,4,50.0,623,-59.1686135,13,,,,,,,,,,,
9000,-9.438345351442695,50.0,,,,,,58.911352929472926,0.0062583303,0.22261744737625122,40,-0.006045153687591664,-2.680006679147482,0.043310546875,0.2,0.9040274620056152,0.0003,10.925145149230957
10000,-9.438345351442695,50.0,,,,,,,,,,,,,,,,
10240,,,5,50.0,611,-58.357539499999994,16,,,,,,,,,,,
11000,-9.556149054691195,50.0,,,,,,48.45708196759224,0.009405514,0.10157161951065063,50,-0.00772909123916179,-2.5872744865715505,0.036083984375,0.2,0.8517909646034241,0.0003,8.863720893859863
12000,-9.556149054691195,50.0,,,,,,,,,,,,,,,,
12288,,,6,50.0,603,-56.77992087000001,20,,,,,,,,,,,
13000,-11.441563847474754,50.0,,,,,,33.51176627576351,0.011469686,0.06742304563522339,60,-0.007360719560529106,-2.4718151696026327,0.045556640625,0.2,0.8104628324508667,0.0003,5.445723056793213
14000,-11.441563847474754,50.0,,,,,,,,,,,,,,,,
14336,,,7,50.0,602,-54.803843850000014,23,,,,,,,,,,,
15000,-11.148833851516248,50.0,,,,,,21.80080117583275,0.0120743755,0.22465330362319946,70,-0.011338140306179412,-2.3583268776535986,0.062548828125,0.2,0.7629594802856445,0.0003,4.462998390197754
16000,-11.148833851516248,50.0,,,,,,,,,,,,,,,,
16384,,,8,50.0,601,-52.086663849999994,27,,,,,,,,,,,
17000,-12.016560501605273,50.0,,,,,,15.41523427516222,0.014115646,0.31105124950408936,80,-0.013158992250100709,-2.2453922510147093,0.0787109375,0.2,0.7229782938957214,0.0003,2.954469919204712
18000,-12.016560501605273,50.0,,,,,,,,,,,,,,,,
18432,,,9,50.0,590,-49.57105043999999,31,,,,,,,,,,,
19000,-15.223450173437595,50.0,,,,,,13.050429399311543,0.008179377,0.5699996054172516,90,-0.013177309979801067,-2.160156188160181,0.073095703125,0.2,0.7031786441802979,0.0003,3.0813088417053223
20000,-15.223450173437595,50.0,,,,,,,,,,,,,,,,
20480,,,10,50.0,585,-48.44995311,34,,,,,,,,,,,
21000,-19.230352891981603,50.0,,,,,,18.409995049238205,0.0067918566,0.7659345418214798,100,-0.016530253214295954,-2.1221709348261357,0.08486328125,0.2,0.6948559284210205,0.0003,7.613159656524658
22000,-19.230352891981603,50.0,,,,,,,,,,,,,,,,
22528,,,11,50.0,580,-48.345318,38,,,,,,,,,,,
23000,-24.25304233133793,50.0,,,,,,23.659158158302308,0.008763354,0.845045268535614,110,-0.020114929293049498,-2.1031257711350917,0.12841796875,0.2,0.6903046369552612,0.0003,13.762749671936035
24000,-24.25304233133793,50.0,,,,,,,,,,,,,,,,
