rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/std,train/n_updates,train/explained_variance,train/learning_rate,train/clip_fraction,train/approx_kl,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/loss,eval/mean_reward,eval/mean_ep_length
26.46,9,44,18432,124.08439999999999,411,0.9991945624351501,80,0.07237917184829712,0.0003,0.2486328125,0.02422164,0.2,-24.11396262049675,-0.07470990373694804,866.3303537368774,405.33721923828125,,
,,,20000,,,0.9974656105041504,90,0.08305734395980835,0.0003,0.2478515625,0.02413572,0.2,-24.090556025505066,-0.07508947682799771,909.804700088501,442.58770751953125,258.99003422111275,52.55
26.51,10,50,20480,123.65788847,405,,,,,,,,,,,,,
28.97,11,54,22528,136.03726570999999,411,0.9963329434394836,100,0.126847505569458,0.0003,0.21689453125,0.020799484,0.2,-24.06637589931488,-0.07082547071913722,838.6961615562439,336.8989562988281,,
31.5,12,59,24576,148.38262802,415,0.9965102076530457,110,0.17601394653320312,0.0003,0.22158203125,0.022152688,0.2,-24.057667833566665,-0.06957813130575233,1067.6463199615478,490.9336853027344,,
,,,25000,,,0.9944329857826233,120,0.22648096084594727,0.0003,0.2158203125,0.021848409,0.2,-24.04159722328186,-0.06900059011531993,1044.0990364074707,423.193115234375,205.69436204731466,42.95
30.1,13,65,26624,141.3660769,408,,,,,,,,,,,,,
29.39,14,69,28672,137.84303623,411,0.9926233887672424,130,0.2851880192756653,0.0003,0.169482421875,0.018275788,0.2,-24.014671397209167,-0.061839181382674725,787.595847415924,451.13348388671875,,
,,,30000,,,0.9909977912902832,140,0.26670169830322266,0.0003,0.182421875,0.018813431,0.2,-23.98395150899887,-0.06526059194584377,1005.7587677001953,458.9249267578125,297.67311096936464,59.65
32.8,15,75,30720,154.43616486000002,408,,,,,,,,,,,,,
32.18,16,79,32768,150.86584636999999,411,0.9899506568908691,150,0.3527650833129883,0.0003,0.202490234375,0.021918288,0.2,-23.957317638397218,-0.06652492868306581,990.6636999130249,396.55755615234375,,
33.48,17,83,34816,155.51808628999999,414,0.9884335994720459,160,0.29559993743896484,0.0003,0.18173828125,0.019375555,0.2,-23.935776007175445,-0.0637618053209735,935.3808469772339,379.9671325683594,,
,,,35000,,,0.9871467351913452,170,0.33339929580688477,0.0003,0.1501953125,0.017515961,0.2,-23.91004162430763,-0.057621800538618116,952.3450389862061,484.3556823730469,358.7598115444183,69.9
36.98,18,90,36864,172.79925161000003,407,,,,,,,,,,,,,
37.8,19,95,38912,177.28156253,409,0.9850177764892578,180,0.3242266774177551,0.0003,0.19443359375,0.020587845,0.2,-23.880534410476685,-0.0657718625589041,1144.7846073150636,524.2345581054688,,
,,,40000,,,0.984703540802002,190,0.29007649421691895,0.0003,0.169189453125,0.018603317,0.2,-23.860619419813155,-0.05992829084862024,1053.9716590881349,418.8189392089844,256.2217097133398,56.0
35.21,20,100,40960,164.04005363,405,,,,,,,,,,,,,
