time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/entropy_loss,train/loss,train/clip_range,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/learning_rate,train/n_updates,train/explained_variance,train/std,eval/mean_reward,eval/mean_ep_length
498,104448,209,34.53681955,29.33,51,0.360400390625,-15.352962842583656,16.098020553588867,0.2,-0.07289940848713741,17.138852125406267,0.03641402,0.0003,500,0.7916588187217712,0.8690781593322754,,
,105000,,,,,0.318505859375,-15.320723408460617,5.398246765136719,0.2,-0.0670393326494377,24.205489429831506,0.028694123,0.0003,510,0.7425138652324677,0.8674848079681396,41.81098567228764,30.6
510,106496,208,35.88626452999999,30.4,52,,,,,,,,,,,,,
521,108544,208,34.49209044,29.43,53,0.33818359375,-15.293885844945908,9.839340209960938,0.2,-0.07092596671136561,21.09555250108242,0.031281903,0.0003,520,0.7789481282234192,0.8651916980743408,,
,110000,,,,,0.33779296875,-15.25220063328743,8.315583229064941,0.2,-0.071887414844241,29.182728999853133,0.03177303,0.0003,530,0.6685078144073486,0.8619453310966492,41.3627203758806,30.6
533,110592,207,32.87939733,27.53,54,,,,,,,,,,,,,
542,112640,207,33.857548480000005,28.66,55,0.3029296875,-15.227770152688027,10.031840324401855,0.2,-0.06887535473215393,33.49739999175072,0.028028201,0.0003,540,0.6313470900058746,0.8608021140098572,,
552,114688,207,35.551853609999995,29.61,56,0.361767578125,-15.186003264784812,7.747237205505371,0.2,-0.07352813188481377,20.96023661792278,0.036250442,0.0003,550,0.7472428381443024,0.8574244976043701,,
,115000,,,,,0.3421875,-15.147922238707542,13.01684856414795,0.2,-0.07156642476911657,31.633529183268546,0.03350718,0.0003,560,0.6813621520996094,0.8537064790725708,41.40338583663106,30.0
562,116736,207,34.70459004000001,29.87,57,,,,,,,,,,,,,
572,118784,207,32.89832656000001,28.49,58,0.3521484375,-15.108109021186829,12.160616874694824,0.2,-0.07248774626932572,29.157507330179214,0.03346432,0.0003,570,0.6374964416027069,0.8521183729171753,,
,120000,,,,,0.344873046875,-15.081654226779937,11.032670974731445,0.2,-0.06911881378910038,28.479207053780556,0.034579918,0.0003,580,0.6644693315029144,0.8497858047485352,41.48004814907908,30.1
583,120832,207,33.06205617,28.69,59,,,,,,,,,,,,,
592,122880,207,32.488601460000005,27.55,60,0.3490234375,-15.023722741007806,8.217214584350586,0.2,-0.07165783167874906,27.311833468079566,0.036407366,0.0003,590,0.6548002064228058,0.8450593948364258,,
602,124928,207,34.16706858,28.97,61,0.394482421875,-14.964910116791724,9.00257396697998,0.2,-0.07062069081002846,20.829167062044142,0.039424695,0.0003,600,0.7023188471794128,0.8415876626968384,,
,125000,,,,,0.36884765625,-14.90684144794941,14.073443412780762,0.2,-0.07372960216307547,26.304827517271043,0.038671292,0.0003,610,0.7021780908107758,0.8372524976730347,43.90754362270236,32.2
615,126976,206,33.937169860000004,28.8,62,,,,,,,,,,,,,
626,129024,205,36.29518292,30.68,63,0.329345703125,-14.872955760359764,11.803533554077148,0.2,-0.07006222010531929,33.845088279247285,0.031274505,0.0003,620,0.621256560087204,0.8361942172050476,,
,130000,,,,,0.374560546875,-14.842414847016334,7.792387008666992,0.2,-0.07795905406819656,21.779509112238884,0.03934813,0.0003,630,0.7556423246860504,0.8331600427627563,41.84865782260895,31.5
638,131072,205,33.966664540000004,29.63,64,,,,,,,,,,,,,
648,133120,205,33.2111102,28.62,65,0.3796875,-14.802679204940796,6.729883193969727,0.2,-0.07387487909873017,18.924341559410095,0.04032491,0.0003,640,0.7783923149108887,0.8312374949455261,,
,135000,,,,,0.353759765625,-14.816685259342194,10.354573249816895,0.2,-0.07148531696002465,27.327672919631006,0.034414146,0.0003,650,0.6811751127243042,0.8332459330558777,41.63577087204904,31.3
657,135168,205,32.3473743,27.95,66,,,,,,,,,,,,,
666,137216,205,34.783251410000005,29.48,67,0.378857421875,-14.794854032993317,14.155217170715332,0.2,-0.07393492269911803,23.493332609534264,0.037820052,0.0003,660,0.7203501462936401,0.8298810720443726,,
677,139264,205,36.729578829999994,30.88,68,0.37119140625,-14.748449385166168,11.168960571289062,0.2,-0.07222596671199426,26.535749849677085,0.037774354,0.0003,670,0.7080182731151581,0.8271150588989258,,
,140000,,,,,0.37041015625,-14.706451052427292,19.323022842407227,0.2,-0.07598156465101055,28.394505387544633,0.036046173,0.0003,680,0.7009380459785461,0.8240823745727539,42.0879298299551,31.3
689,141312,204,35.9559251,30.15,69,,,,,,,,,,,,,
700,143360,204,35.791709850000004,29.95,70,0.378857421875,-14.688491606712342,8.980485916137695,0.2,-0.0703189864725573,25.60541428923607,0.03855536,0.0003,690,0.7423098385334015,0.8237879276275635,,
,145000,,,,,0.3529296875,-14.676500332355499,13.644057273864746,0.2,-0.0698733594676014,32.561950254440305,0.03328444,0.0003,700,0.6635077595710754,0.8231052160263062,44.71075751632452,33.1
711,145408,204,36.96629937,30.65,71,,,,,,,,,,,,,
722,147456,204,36.354206669999996,30.35,72,0.354736328125,-14.643944612145424,10.3014497756958,0.2,-0.07041456981969532,32.361325067281726,0.03492853,0.0003,710,0.6472387611865997,0.8193437457084656,,
731,149504,204,33.45526506,28.82,73,0.379443359375,-14.5912405282259,12.22248649597168,0.2,-0.07528420400922187,26.005837187170982,0.03986872,0.0003,720,0.701622873544693,0.8168274760246277,,
,150000,,,,,0.368603515625,-14.568998903036118,13.685551643371582,0.2,-0.07438887876924127,25.59467794895172,0.038030688,0.0003,730,0.6679060459136963,0.8152813911437988,43.11988452374935,32.4
742,151552,204,35.07883432,30.09,74,,,,,,,,,,,,,
752,153600,203,36.031706979999996,30.36,75,0.404931640625,-14.548933932185173,7.6223225593566895,0.2,-0.07422196199477185,22.653904500603677,0.044631794,0.0003,740,0.7385544180870056,0.8139755725860596,,
,155000,,,,,0.395458984375,-14.533529603481293,8.77197551727295,0.2,-0.07414423153386451,24.08301877975464,0.037759483,0.0003,750,0.73625448346138,0.8131259679794312,42.3736532330513,32.2
763,155648,203,35.78938166999999,29.96,76,,,,,,,,,,,,,
772,157696,204,37.88665144000001,31.72,77,0.3880859375,-14.531429553031922,14.102907180786133,0.2,-0.07436809418431949,24.628008618950844,0.038721044,0.0003,760,0.7192448079586029,0.8132561445236206,,
782,159744,204,37.0493743,32.01,78,0.366455078125,-14.520170092582703,8.97730827331543,0.2,-0.07608697770629078,30.550973126292227,0.03775882,0.0003,770,0.6752418577671051,0.812116801738739,,
,160000,,,,,0.389306640625,-14.48953312933445,6.9156084060668945,0.2,-0.0775204268982634,22.60841293334961,0.040227197,0.0003,780,0.7409118115901947,0.8098998069763184,46.3301316075027,34.4
791,161792,204,36.5270197,31.58,79,,,,,,,,,,,,,
802,163840,204,36.566710660000005,30.81,80,0.38447265625,-14.450495728850365,13.703933715820312,0.2,-0.07444286811805796,30.915860134363175,0.03964229,0.0003,790,0.6433519721031189,0.8065212965011597,,
,165000,,,,,0.41083984375,-14.411133939027787,8.094439506530762,0.2,-0.0771192067564698,27.10415956377983,0.04371232,0.0003,800,0.7057947516441345,0.8045796751976013,47.1535989202559,35.4
814,165888,203,37.76285606,31.77,81,,,,,,,,,,,,,
824,167936,203,37.02978344,31.71,82,0.331201171875,-14.377248001098632,21.753366470336914,0.2,-0.0685296188952634,34.18536540865898,0.03230091,0.0003,810,0.6478819847106934,0.8023473620414734,,
835,169984,203,37.01565391,31.33,83,0.38232421875,-14.339854234457016,9.694865226745605,0.2,-0.07599122853134758,28.008647674322127,0.039386697,0.0003,820,0.7027436792850494,0.7996072769165039,,
,170000,,,,,0.393798828125,-14.315674114227296,9.860346794128418,0.2,-0.07371633904986083,24.653930279612542,0.042525895,0.0003,830,0.7150946259498596,0.7982150912284851,47.68289986997843,35.3
846,172032,203,36.51178032999999,31.96,84,,,,,,,,,,,,,
856,174080,203,36.49241908,31.41,85,0.38984375,-14.31086136996746,14.576822280883789,0.2,-0.07788193209562451,27.182534548640252,0.041012358,0.0003,840,0.6979416310787201,0.7978126406669617,,
,175000,,,,,0.383154296875,-14.281822994351387,11.065683364868164,0.2,-0.07163425332983024,24.471304181218148,0.044460863,0.0003,850,0.7277002930641174,0.7961813807487488,56.29733659029007,40.8
867,176128,203,38.470896950000004,32.0,86,,,,,,,,,,,,,
876,178176,203,38.061778430000004,31.8,87,0.397509765625,-14.26386524438858,10.836161613464355,0.2,-0.07564132155675907,28.08422523140907,0.04001786,0.0003,860,0.6922660171985626,0.7946617603302002,,
,180000,,,,,0.359716796875,-14.234903320670128,15.503941535949707,0.2,-0.07320194011554122,32.80973820090294,0.03594912,0.0003,870,0.6562720239162445,0.7927032709121704,51.947340100258586,38.1
887,180224,202,37.309031950000005,31.82,88,,,,,,,,,,,,,
898,182272,202,37.37528646,32.32,89,0.38642578125,-14.1995112657547,7.5811333656311035,0.2,-0.07613972054386978,34.40704219341278,0.04013299,0.0003,880,0.6184500455856323,0.790397047996521,,
907,184320,203,38.61519067,32.93,90,0.385205078125,-14.193075862526893,14.028316497802734,0.2,-0.07378425755887293,32.678505688905716,0.039822027,0.0003,890,0.6421955227851868,0.7908402681350708,,
,185000,,,,,0.396435546875,-14.201360973715783,14.69587230682373,0.2,-0.07508758846088312,25.238179242610933,0.042493813,0.0003,900,0.7323212921619415,0.7921394109725952,52.42121542394161,38.1
917,186368,203,39.45283981000001,33.47,91,,,,,,,,,,,,,
928,188416,202,39.38498807,33.96,92,0.397119140625,-14.177280375361443,11.741352081298828,0.2,-0.076885215882794,32.1482436478138,0.040624343,0.0003,910,0.6474309265613556,0.7884053587913513,,
,190000,,,,,0.372705078125,-14.122294971346856,14.301819801330566,0.2,-0.07708698781207204,37.69703648090363,0.037368633,0.0003,920,0.6623333990573883,0.7853596210479736,52.612036088109015,38.3
940,190464,202,37.415345370000004,32.92,93,,,,,,,,,,,,,
952,192512,202,37.25723719999999,32.3,94,0.36513671875,-14.092450928688049,19.902584075927734,0.2,-0.07487362017855048,42.612558621168134,0.038229942,0.0003,930,0.5041534304618835,0.7843911051750183,,
962,194560,202,39.23059771,33.24,95,0.378759765625,-14.065596693754197,12.673768043518066,0.2,-0.07781905821175314,38.528566205501555,0.0372941,0.0003,940,0.5676142871379852,0.7816033363342285,,
,195000,,,,,0.39873046875,-14.035847005248069,13.017366409301758,0.2,-0.07562904928345233,28.163254594802858,0.043554667,0.0003,950,0.7284952700138092,0.7792772650718689,47.992627382464704,37.2
971,196608,202,38.82905636,33.33,96,,,,,,,,,,,,,
980,198656,202,40.06560762,34.22,97,0.366552734375,-13.998100873827934,11.56008243560791,0.2,-0.07184104940970429,35.94457180202007,0.038880967,0.0003,960,0.6309271156787872,0.7780980467796326,,
,200000,,,,,0.408740234375,-13.974822998046875,17.801908493041992,0.2,-0.07947465390898287,32.19779558777809,0.046463847,0.0003,970,0.6743627786636353,0.7761868238449097,43.795008070627226,34.1
991,200704,202,41.04981221,36.03,98,,,,,,,,,,,,,
1001,202752,202,39.42697544,34.7,99,0.410205078125,-13.9427950412035,20.061601638793945,0.2,-0.07878691953083035,32.811050194501874,0.043905478,0.0003,980,0.671230673789978,0.7734082937240601,,
1012,204800,202,37.818456260000005,32.46,100,0.409130859375,-13.897350770235061,12.320992469787598,0.2,-0.07558773155906237,31.065469485521316,0.04564751,0.0003,990,0.6780074834823608,0.7716376781463623,,
,205000,,,,,0.37548828125,-13.895607575774193,11.242405891418457,0.2,-0.07303746051329654,38.49352680444717,0.0386246,0.0003,1000,0.6029841005802155,0.7717962265014648,61.14862664686516,50.1
1023,206848,202,39.341779300000006,33.69,101,,,,,,,,,,,,,
