time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/entropy_loss,train/learning_rate,train/clip_range,train/std,train/n_updates,train/loss,train/value_loss,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length
421,-290.09340577,28,57344,135,16.13,-15.287706428766251,0.0003,0.2,0.8638448119163513,270,2125.752197265625,4252.321549987793,0.3928142786026001,0.204296875,-0.06822588812210598,0.022841588,,
423,-274.49838955,29,59392,140,15.47,-15.236833214759827,0.0003,0.2,0.8597843050956726,280,1500.4969482421875,4017.401132583618,0.4359303116798401,0.222998046875,-0.06935711757978424,0.02382916,,
,,,60000,,,-15.179652827978135,0.0003,0.2,0.8556934595108032,290,1901.02001953125,3502.388185119629,0.4302796721458435,0.197509765625,-0.06702070816827473,0.021880917,10.682144721411168,12.05
424,-279.56118159,30,61440,144,15.9,,,,,,,,,,,,,
426,-274.83179828,31,63488,148,15.6,-15.12196142077446,0.0003,0.2,0.8511879444122314,300,1822.91796875,3513.9259651184084,0.4606194496154785,0.16884765625,-0.06050553098903037,0.02068623,,
,,,65000,,,-15.054760208725929,0.0003,0.2,0.8465328216552734,310,1459.4188232421875,2986.410890197754,0.539214164018631,0.2275390625,-0.06628543764236383,0.024535643,13.765712232142686,13.1
427,-269.41894432000004,32,65536,153,15.26,,,,,,,,,,,,,
429,-272.0636527699999,33,67584,157,15.52,-14.98507151901722,0.0003,0.2,0.8413621783256531,320,1354.2984619140625,2751.063475418091,0.5420902967453003,0.203125,-0.06598726974334568,0.024050243,,
431,-261.65385047,34,69632,161,15.08,-14.9151951700449,0.0003,0.2,0.8364965319633484,330,1364.8388671875,2521.8235763549806,0.5786801278591156,0.250537109375,-0.07253309848019854,0.026877671,,
,,,70000,,,-14.85427539050579,0.0003,0.2,0.8327908515930176,340,600.6122436523438,2140.124266052246,0.6096088290214539,0.25859375,-0.07150702324870509,0.02689249,4.417064975015819,12.1
431,-263.35652513,35,71680,165,14.9,,,,,,,,,,,,,
433,-261.14152991000003,36,73728,170,14.77,-14.785538592934609,0.0003,0.2,0.8274638652801514,350,939.1412963867188,2124.3512371063234,0.6165943443775177,0.249853515625,-0.06887010164209642,0.027350368,,
,,,75000,,,-14.68663004040718,0.0003,0.2,0.8193281888961792,360,784.5692138671875,1756.812482070923,0.6781366765499115,0.26865234375,-0.07173744363535661,0.030585174,3.667134327534586,12.1
433,-256.39891921000003,37,75776,174,14.83,,,,,,,,,,,,,
434,-241.35802283999993,38,77824,179,14.12,-14.580876931548119,0.0003,0.2,0.8128155469894409,370,754.6586303710938,1735.565852546692,0.6576430201530457,0.258447265625,-0.0722142138518393,0.028613044,,
435,-252.03535503999998,39,79872,183,14.74,-14.482677814364433,0.0003,0.2,0.8065047264099121,380,561.1546020507812,1147.1655249595642,0.7135774493217468,0.267626953125,-0.07032394922571257,0.029254492,,
,,,80000,,,-14.389412823319436,0.0003,0.2,0.799807071685791,390,515.1055297851562,1431.9499109268188,0.6935534775257111,0.211181640625,-0.06365892463654746,0.025725685,-1.0742000482976437,11.1
436,-247.61110528,40,81920,187,14.67,,,,,,,,,,,,,
437,-238.72351076000004,41,83968,191,14.28,-14.278855469822883,0.0003,0.2,0.7927204966545105,400,671.0394897460938,1166.1654989242554,0.720867395401001,0.27353515625,-0.07347249566519168,0.02947618,,
,,,85000,,,-14.170442792773247,0.0003,0.2,0.7855961322784424,410,586.6095581054688,792.8144116401672,0.7805491089820862,0.298193359375,-0.07180272675759625,0.033911973,-2.887501464411616,11.25
438,-234.58323802000004,42,86016,196,14.02,,,,,,,,,,,,,
438,-231.13301871,43,88064,200,14.1,-14.058041542768478,0.0003,0.2,0.778022289276123,420,408.99713134765625,697.6142778873443,0.7966190278530121,0.278271484375,-0.07273419900448061,0.030668985,,
,,,90000,,,-13.920669507980346,0.0003,0.2,0.7683236598968506,430,233.89251708984375,607.5095029830933,0.8069838434457779,0.302392578125,-0.07464556563645601,0.036297195,-9.693635563738644,10.7
438,-234.01755871999998,44,90112,205,14.2,,,,,,,,,,,,,
439,-222.45893497999998,45,92160,209,13.67,-13.790212571620941,0.0003,0.2,0.7612351179122925,440,207.10311889648438,586.8235805988312,0.8129393458366394,0.3078125,-0.07482604560209438,0.032817587,,
438,-215.80992688000003,46,94208,214,13.63,-13.659417802095414,0.0003,0.2,0.7517823576927185,450,182.50270080566406,427.5623128414154,0.8417324274778366,0.32353515625,-0.077269297814928,0.03791944,,
,,,95000,,,-13.51287477016449,0.0003,0.2,0.7428206205368042,460,173.01661682128906,382.9306201457977,0.8344883322715759,0.326513671875,-0.07935876273550094,0.03569622,-18.122790320881176,10.25
437,-212.60370923000002,47,96256,219,13.66,,,,,,,,,,,,,
437,-214.08142770000003,48,98304,224,13.64,-13.362181642651558,0.0003,0.2,0.7336173057556152,470,123.8126449584961,340.7314173221588,0.8543329685926437,0.360986328125,-0.081901525874855,0.040838096,,
,,,100000,,,-13.227525588870048,0.0003,0.2,0.7262862920761108,480,140.5823974609375,358.10518770217897,0.8476455509662628,0.32529296875,-0.08048980770108756,0.034379996,-26.49748707972467,10.25
435,-209.92683502,49,100352,230,13.44,,,,,,,,,,,,,
434,-202.81796314,50,102400,235,13.49,-13.083433073759078,0.0003,0.2,0.7165538668632507,490,119.25450897216797,315.2350841283798,0.8598486930131912,0.3384765625,-0.0805253500584513,0.03946332,,
433,-194.84484479000002,51,104448,240,13.07,-12.918089359998703,0.0003,0.2,0.7071788311004639,500,270.8713073730469,297.7471166133881,0.8537103831768036,0.35126953125,-0.07920236987411045,0.040877037,,
,,,105000,,,-12.749757206439972,0.0003,0.2,0.6964415311813354,510,95.72582244873047,284.79586136341095,0.8579744696617126,0.35859375,-0.07802573582157493,0.04419315,-23.49772745457012,10.1
432,-195.15915837,52,106496,245,12.94,,,,,,,,,,,,,
432,-194.85814363999998,53,108544,251,13.27,-12.55712169110775,0.0003,0.2,0.685560405254364,520,84.4009780883789,197.7215175628662,0.8884174004197121,0.417626953125,-0.09176654599868925,0.04865183,,
,,,110000,,,-12.37791199684143,0.0003,0.2,0.6756693124771118,530,143.09063720703125,194.69323635101318,0.8884878903627396,0.414306640625,-0.08637147913686931,0.04882244,-27.22501017677132,10.0
431,-190.02982640000002,54,110592,256,13.02,,,,,,,,,,,,,
