time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
80000,,,,,,79753,-42.18081004333496,3.144650903046131,0.001,1000.0,565.8657318661456
81040,104,772,147.7,-164.67480542,460,80907,-42.31088940508954,2.906238654991249,0.001,,
81319,105,774,139.14,-155.05210769,464,81156,-42.418674278259275,2.555373400449753,0.001,,
82522,105,782,147.01,-163.54834567,468,82416,-43.02095522199358,2.780362908433123,0.001,,
82796,105,783,137.25,-152.61678621,472,82596,-42.959145107784785,2.750321681435044,0.001,,
83925,106,791,146.56,-162.89362009000004,476,83826,-42.95759098052979,2.7821095064878465,0.001,,
85000,,,,,,84893,-43.49042725563049,2.5632746405899525,0.001,1000.0,595.4813517950009
85110,104,812,157.35,-174.63114739999997,480,,,,,,
86315,105,820,164.91,-183.12209277000002,484,86115,-43.74979811448317,3.1321772921760127,0.001,,
87660,105,830,176.07,-195.33997807000003,488,87531,-43.81565414428711,2.762640091955662,0.001,,
88019,105,832,173.57,-192.50150275000004,492,87748,-43.99608354007496,3.0382987171856324,0.001,,
88282,105,834,165.03,-183.37930729999997,496,88142,-44.08293024698893,3.4183584968249003,0.001,,
89352,106,836,173.83,-193.16890109999994,500,88263,-43.98769402503967,3.0088218306050156,0.001,,
90000,,,,,,89456,-44.223416082637826,2.981586749071902,0.001,1000.0,583.6205495326255
91631,106,863,191.47,-212.24816619000003,504,90542,-44.59449501924737,2.744322265303412,0.001,,
92713,105,876,189.1,-209.66507377000002,508,92607,-44.856812850288726,2.5725621036861255,0.001,,
93823,106,884,197.52,-218.8528176,512,93717,-45.053961769104006,2.9342276673316956,0.001,,
95000,,,,,,93948,-45.15695898083673,2.6820664092572066,0.001,1000.0,594.1101758862612
95083,104,909,204.1,-226.10712233000007,516,94948,-45.35081790161133,2.787401147544384,0.001,,
96228,104,917,214.05,-237.21453424,520,96116,-45.64654572804769,3.5968176378330714,0.001,,
96357,104,918,213.1,-236.30476901999998,524,96208,-45.74973225593567,3.644419639341293,0.001,,
97512,105,926,222.15,-246.01184146,528,97389,-45.74652290344238,2.601622873544693,0.001,,
97650,105,927,211.57,-234.54970305999996,532,97528,-46.0304901599884,2.690732306049716,0.001,,
97814,105,928,200.19,-221.90495869999998,536,97679,-46.011090993881226,3.1869513988494873,0.001,,
98052,105,930,199.71,-221.46607803000003,540,97931,-46.192521271882235,2.9400887814435093,0.001,,
98414,105,932,201.5,-223.47458249,544,98193,-45.951504135131835,3.1427210237159104,0.001,,
98694,105,934,203.06,-225.18223381999994,548,98480,-45.959453984310755,4.060545584088878,0.001,,
99004,105,937,204.0,-226.2983903,552,98865,-46.13539387629582,3.215901286513717,0.001,,
99246,105,938,204.04,-226.55772979999998,556,99113,-46.19884939754711,3.9995957561161206,0.001,,
99642,105,941,186.02,-207.34360496999994,560,99521,-46.20663552535208,2.990773591556047,0.001,,
99800,105,942,184.81,-206.13549132999998,564,99693,-46.431909673354205,3.149643700463431,0.001,,
100000,,,,,,99886,-46.32232956452803,4.111975317001343,0.001,1000.0,307.0243938182568
101002,104,962,184.8,-206.39692221999996,568,100896,-46.80133056640625,3.6982869625091555,0.001,,
101352,105,964,185.56,-207.38020773999995,572,101250,-46.56038990887728,3.7233860274723596,0.001,,
102572,105,971,186.47,-208.56118385,576,102437,-46.78729931513468,3.5109039812671896,0.001,,
102922,105,972,178.12,-199.31968756999999,580,102700,-46.80278887067522,3.5794996661799297,0.001,,
104071,106,976,177.56,-198.30823285,584,102982,-46.66573969523112,4.29622588374398,0.001,,
104827,106,985,171.67,-191.91109139,588,104602,-47.092690547307335,3.982004724442959,0.001,,
105000,,,,,,104890,-47.14492776053292,4.197358252320971,0.001,1000.0,453.87823405359813
105048,104,1004,170.29,-190.49793101,592,,,,,,
106438,105,1009,181.56,-203.05836768999998,596,105349,-47.421969554463374,3.7622441629894445,0.001,,
106901,105,1017,175.49,-196.52942870000004,600,106604,-47.76271789550781,3.349256924220494,0.001,,
108153,105,1027,165.22,-185.52065079000005,604,107953,-47.78739902496338,3.8012475975751876,0.001,,
109228,105,1035,165.15,-185.48123591999996,608,109120,-48.08219545537775,3.7194833647121084,0.001,,
109511,105,1036,156.88,-176.40187133999999,612,109282,-48.304836697048614,3.771848075919681,0.001,,
109874,105,1040,147.91,-166.24884691000003,616,109740,-48.20335625911105,4.148883404075235,0.001,,
110000,,,,,,109856,-48.31130652957492,4.19171675326119,0.001,1000.0,440.2476238394018
110071,104,1055,138.43,-155.70038808000004,620,109955,-48.322412109375,4.023053704238519,0.001,,
111272,104,1063,149.15,-167.66220861000002,624,111078,-48.55124602779265,3.6942636428340787,0.001,,
111493,104,1065,139.81,-157.69977484999998,628,111351,-48.52985594007704,4.390242232216729,0.001,,
