time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
4,0,22,5.5,40.08528925,4125,,,,,,
8,0,52,6.5,49.3412755,4383,,,,,,
12,0,78,6.5,49.32787166666666,4455,,,,,,
16,0,103,6.4375,48.71189,4120,,,,,,
20,0,117,5.85,43.24731045,813,-5.721731662750244,0.001,66.17261505126953,18,,
24,0,132,5.5,39.89684125,550,-6.3669726848602295,0.001,29.51691246032715,32,,
28,0,147,5.25,37.51082310714286,433,-8.469057083129883,0.001,15.7501859664917,47,,
32,0,163,5.09375,36.03136121875,361,-8.13717794418335,0.001,12.386957883834839,63,,
36,0,178,4.944444444444445,34.596984111111105,320,-8.456819534301758,0.001,13.268319368362427,78,,
40,0,192,4.8,33.2408557,294,-8.554925918579102,0.001,11.981689453125,92,,
44,0,206,4.681818181818182,32.13745165909091,272,-8.919809818267822,0.001,11.034324407577515,107,,
48,0,221,4.604166666666667,31.387257312499997,255,-8.396939277648926,0.001,9.917651891708374,122,,
52,0,235,4.519230769230769,30.593639115384615,246,-7.6838250160217285,0.001,11.84342352549235,135,,
56,1,248,4.428571428571429,29.76321630357143,236,-8.435176849365234,0.001,11.921936670939127,149,,
60,1,261,4.35,29.042625733333335,228,-7.292017698287964,0.001,13.098175048828125,162,,
64,1,276,4.3125,28.673493109375,222,-7.330584526062012,0.001,12.459712743759155,177,,
68,1,290,4.264705882352941,28.225455691176467,215,-8.548291206359863,0.001,10.150821208953857,191,,
72,1,303,4.208333333333333,27.713021041666668,210,-9.491863250732422,0.001,9.83483600616455,204,,
76,1,316,4.157894736842105,27.250639973684212,207,-8.720660209655762,0.001,12.540440877278646,217,,
80,1,331,4.1375,27.045940462500006,205,-9.136323928833008,0.001,11.995541095733643,231,,
84,1,346,4.119047619047619,26.863662476190484,200,-8.533327579498291,0.001,13.800804853439331,247,,
88,1,360,4.090909090909091,26.598902011363634,195,-7.969940185546875,0.001,11.323197682698568,261,,
92,1,376,4.086956521739131,26.54103973913043,192,-8.783695220947266,0.001,13.27471661567688,276,,
96,2,391,4.072916666666667,26.39814388541667,189,-7.412386894226074,0.001,12.927907943725586,291,,
100,2,405,4.05,26.183360070000003,185,-9.09641981124878,0.001,9.818527340888977,306,,
104,2,419,3.97,25.422556569999998,182,-7.638868570327759,0.001,12.210577249526978,320,,
108,2,434,3.82,24.0071018,179,-8.717948913574219,0.001,8.307869672775269,334,,
112,2,448,3.7,22.877678100000004,177,-8.99780559539795,0.001,8.717790762583414,348,,
116,2,461,3.58,21.76192381,175,-8.369512557983398,0.001,7.740296522776286,361,,
120,2,476,3.59,21.833563199999993,172,-8.078417778015137,0.001,9.13435971736908,377,,
124,2,491,3.59,21.83454766,170,-9.664979457855225,0.001,8.507251739501953,391,,
128,3,506,3.59,21.83295082,168,-9.342743873596191,0.001,7.402357419331868,406,,
132,3,520,3.57,21.647619280000004,167,-9.628442287445068,0.001,8.874000072479248,421,,
136,3,534,3.56,21.565027649999998,166,-9.338902473449707,0.001,8.964977423350016,434,,
140,3,548,3.56,21.56756364,165,-7.943273544311523,0.001,8.111958503723145,448,,
144,3,562,3.56,21.56748569,164,-9.470390319824219,0.001,7.676306843757629,463,,
148,3,576,3.55,21.487440860000003,164,-10.241899013519287,0.001,6.727322578430176,476,,
152,3,590,3.55,21.48668035,163,-9.294098377227783,0.001,7.936393976211548,491,,
156,3,604,3.56,21.57213497,162,-8.146380424499512,0.001,8.153271675109863,505,,
160,3,617,3.56,21.57423759,162,-9.751599788665771,0.001,8.253567934036255,518,,
164,3,631,3.55,21.49353709,161,-9.460317611694336,0.001,6.019694487253825,531,,
168,4,646,3.56,21.57739737,161,-10.515443801879883,0.001,8.252686381340027,546,,
172,4,661,3.58,21.74425515,161,-10.47971487045288,0.001,6.915072441101074,561,,
176,4,675,3.59,21.829703929999997,161,-11.978418350219727,0.001,6.276595115661621,575,,
180,4,688,3.57,21.663794269999997,161,-12.935790061950684,0.001,5.734237353006999,588,,
