train/ent_coef,train/actor_loss,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/critic_loss,train/ent_coef_loss,time/episodes,time/fps,time/total_timesteps,train/n_updates,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
0.9117211103439331,-13.587322235107422,4,102.5,0.0003,1.4192869663238525,-1.243938684463501,4,98,410,309,-55.852771999999995,,
0.6060796976089478,-27.86544418334961,19,223.5,0.0003,1.3038736581802368,-6.400396347045898,8,90,1788,1687,-108.39547037499999,,
0.4085363745689392,-35.98438262939453,35,261.8333333333333,0.0003,1.8398363590240479,-11.058978080749512,12,89,3142,3041,-135.07144724999998,,
0.3875928521156311,-36.41950607299805,37,207.5625,0.0003,2.3186211585998535,-11.473373413085938,16,89,3321,3220,-108.52797318750001,,
0.364282488822937,-36.746368408203125,39,176.65,0.0003,2.620797634124756,-12.015119552612305,20,89,3533,3432,-92.82535045,,
0.3447926938533783,-37.251155853271484,41,155.125,0.0003,6.136919975280762,-12.661136627197266,24,89,3723,3622,-82.52307479166667,,
0.316807359457016,-37.4766960144043,44,143.5,0.0003,5.548619747161865,-13.569233894348145,28,89,4018,3917,-79.30929028571428,,
0.2401510775089264,-35.83087921142578,,,0.0003,3.4971156120300293,-15.395475387573242,,,5000,4899,,1.7660731230629607,483.8
0.17713546752929688,-34.93357849121094,77,190.53125,0.0003,2.7550463676452637,-17.21826934814453,32,78,6097,5996,-112.15688696875002,,
0.16079390048980713,-34.308135986328125,81,178.97222222222223,0.0003,3.2117197513580322,-17.057579040527344,36,79,6443,6342,-105.11373438888891,,
0.14509247243404388,-33.047821044921875,85,170.3,0.0003,3.955383062362671,-17.438800811767578,40,79,6812,6711,-101.06602947500001,,
0.12336418777704239,-30.203577041625977,92,168.0909090909091,0.0003,3.7415103912353516,-19.040870666503906,44,79,7396,7295,-99.74550147727273,,
0.11855755746364594,-29.934219360351562,94,157.10416666666666,0.0003,3.418919801712036,-19.26871109008789,48,80,7541,7440,-93.59429602083333,,
0.08476679772138596,-25.93745231628418,109,168.8846153846154,0.0003,3.004143476486206,-18.920557022094727,52,80,8782,8681,-103.04313786538461,,
0.06161041557788849,-22.135135650634766,122,178.30357142857142,0.0003,3.554359197616577,-18.884864807128906,56,81,9985,9884,-106.37334169642858,,
0.06136559322476387,-22.902267456054688,,,0.0003,2.8956823348999023,-18.288463592529297,,,10000,9899,,-136.9414513379248,487.4
0.044779613614082336,-19.26840591430664,144,187.25,0.0003,2.3797969818115234,-16.584531784057617,60,77,11235,11134,-110.06159823333336,,
0.0389271080493927,-17.751453399658203,151,184.234375,0.0003,2.8290443420410156,-15.461756706237793,64,78,11791,11690,-105.676437609375,,
0.023078635334968567,-14.26405143737793,175,206.10294117647058,0.0003,2.6061041355133057,-10.170888900756836,68,80,14015,13914,-113.36009291176472,,
0.01882798969745636,-12.437114715576172,,,0.0003,1.940171480178833,-8.329730987548828,,,15000,14899,,-47.90631060543092,409.3
0.016521012410521507,-12.201425552368164,199,218.26388888888889,0.0003,2.046480655670166,-5.823701858520508,72,78,15715,15614,-112.89488643055554,,
0.013514909893274307,-10.0655517578125,215,227.3684210526316,0.0003,1.6236392259597778,-0.6739745736122131,76,80,17280,17179,-109.44686213157894,,
0.012677529826760292,-8.577505111694336,230,232.9125,0.0003,1.7348746061325073,-0.5020378828048706,80,80,18633,18532,-105.4566428875,,
0.012570471502840519,-8.989839553833008,,,0.0003,1.786663293838501,0.21629053354263306,,,20000,19899,,19.611355638320674,714.4
0.012697597034275532,-8.496739387512207,287,269.4404761904762,0.0003,1.56852388381958,0.08196574449539185,84,78,22633,22532,-101.29678554761904,,
0.012727475725114346,-7.700732231140137,313,282.29545454545456,0.0003,1.3815572261810303,0.5461455583572388,88,79,24842,24741,-96.00302073863637,,
0.01262994110584259,-7.40967321395874,,,0.0003,1.5970512628555298,-0.41309717297554016,,,25000,24899,,118.93558668886817,494.4
0.01266850158572197,-7.43900203704834,353,300.6630434782609,0.0003,1.602846384048462,-1.3815078735351562,92,78,27661,27560,-89.41900964130434,,
0.012517637573182583,-7.351407051086426,,,0.0003,1.3774571418762207,-0.36052796244621277,,,30000,29899,,143.04457400146057,622.6
0.012475472874939442,-7.642406463623047,396,318.4375,0.0003,1.6374382972717285,-0.7769518494606018,96,77,30570,30469,-79.36443008333335,,
0.012365262024104595,-8.31924057006836,416,323.87,0.0003,1.48430335521698,-0.22279340028762817,100,77,32387,32286,-73.28999494,,
0.012752802111208439,-8.586286544799805,,,0.0003,1.45539128780365,-1.0747504234313965,,,35000,34899,,254.81299081614998,751.9
0.012538611888885498,-8.649845123291016,466,353.43,0.0003,1.7615315914154053,-0.7478421926498413,104,76,35753,35652,-62.697662449999996,,
0.012442744337022305,-8.723363876342773,483,354.6,0.0003,1.586675763130188,-0.3017702102661133,108,77,37248,37147,-51.19632566,,
0.012677831575274467,-10.366171836853027,,,0.0003,1.4561715126037598,0.9590747356414795,,,40000,39899,,312.30476750608796,811.7
0.012725861743092537,-10.249390602111816,533,374.32,0.0003,1.5151005983352661,-1.2647901773452759,112,75,40574,40473,-29.79202658,,
0.012720432132482529,-10.234817504882812,547,384.61,0.0003,1.4516189098358154,0.8982704281806946,116,76,41782,41681,-23.38701796,,
0.012776728719472885,-12.132913589477539,,,0.0003,1.8167349100112915,-0.6349940299987793,,,45000,44899,,272.505331480848,756.8
0.012809823267161846,-12.62995719909668,594,415.48,0.0003,1.7047725915908813,-0.3080439269542694,120,75,45081,44980,-10.925284190000003,,
