rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/loss,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/std,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/explained_variance,eval/mean_reward,eval/mean_ep_length
1000.0,42074.4449875,1,2048,3,622,,,,,,,,,,,,,
1000.0,39912.504187750004,2,4096,8,499,253461.984375,0.0003,0.2,-0.04378786968591157,0.9979427456855774,492811.12724609376,0.090478515625,10,-24.099597895145415,0.0108732395,-0.00025177001953125,,
,,,5000,,,184264.453125,0.0003,0.2,-0.041587014999822716,0.9981399774551392,383461.09345703124,0.09130859375,20,-24.088861322402956,0.01223963,-0.003341197967529297,29241.255421733855,1000.0
1000.0,40138.99821833334,3,6144,45,134,,,,,,,,,,,,,
1000.0,40116.270337875,4,8192,50,162,249110.640625,0.0003,0.2,-0.044161898011225276,0.9958459138870239,462917.378125,0.08232421875,30,-24.069584286212923,0.011004187,-0.0015959739685058594,,
,,,10000,,,215897.609375,0.0003,0.2,-0.04856966591614764,0.9951896667480469,447726.36279296875,0.110205078125,40,-24.047445476055145,0.012463653,-0.0012753009796142578,30435.35488882065,1000.0
1000.0,40017.4616962,5,10240,88,115,,,,,,,,,,,,,
1000.0,39367.75641266667,6,12288,93,131,187180.8125,0.0003,0.2,-0.051577305057435296,0.9940782189369202,419029.33818359376,0.116455078125,50,-24.0314221739769,0.013758642,-0.0037772655487060547,,
1000.0,39813.938684,7,14336,97,146,177032.234375,0.0003,0.2,-0.05715006833197549,0.9922172427177429,371558.47236328124,0.144970703125,60,-24.003669887781143,0.014510952,0.0014834403991699219,,
,,,15000,,,244580.984375,0.0003,0.2,-0.050128812191542235,0.9905009865760803,484327.5994140625,0.10126953125,70,-23.97597391605377,0.011897025,0.0032074451446533203,93642.1576101303,1000.0
1000.0,40093.3285975625,8,16384,132,123,,,,,,,,,,,,,
1000.0,40358.121319,9,18432,137,134,228560.265625,0.0003,0.2,-0.05458545640576631,0.9899884462356567,468991.75439453125,0.127978515625,80,-23.95651412010193,0.013771327,-0.00029456615447998047,,
,,,20000,,,246237.953125,0.0003,0.2,-0.05463137414189987,0.9889368414878845,511117.0078125,0.12724609375,90,-23.941880244016648,0.013439164,0.0006299614906311035,68985.2076625824,1000.0
1000.0,40733.038749600004,10,20480,170,120,,,,,,,,,,,,,
1000.0,40871.70762709091,11,22528,175,128,256351.546875,0.0003,0.2,-0.058667685036198236,0.9861408472061157,529904.2333007812,0.149560546875,100,-23.905535286664964,0.014606894,-0.00021338462829589844,,
1000.0,41029.22178941667,12,24576,179,136,245979.390625,0.0003,0.2,-0.06023614750592969,0.9840203523635864,465006.2890625,0.142626953125,110,-23.865868335962297,0.014839353,-0.0007090568542480469,,
,,,25000,,,248108.515625,0.0003,0.2,-0.05896041415981017,0.9817923307418823,478559.428515625,0.148583984375,120,-23.826748871803282,0.014751738,-0.00011301040649414062,67391.46762123107,1000.0
1000.0,41232.05235138462,13,26624,212,125,,,,,,,,,,,,,
1000.0,41645.88696225,14,28672,217,131,275100.09375,0.0003,0.2,-0.06292858170054387,0.9809004664421082,533420.415234375,0.1638671875,130,-23.804616993665697,0.015920725,-0.0005946159362792969,,
,,,30000,,,324360.3125,0.0003,0.2,-0.062043869477929545,0.9820538759231567,643835.612890625,0.1421875,140,-23.8063980281353,0.015321238,-0.0010968446731567383,79206.47705554962,1000.0
1000.0,42071.552401266665,15,30720,253,121,,,,,,,,,,,,,
1000.0,42450.13454390625,16,32768,258,126,291669.5625,0.0003,0.2,-0.058075704271323046,0.9807283878326416,601275.9990234375,0.150732421875,150,-23.794579511880876,0.015467182,0.0013083219528198242,,
1000.0,42847.87797911765,17,34816,262,132,265268.875,0.0003,0.2,-0.06679729025345296,0.9798221588134766,565890.9888671875,0.17548828125,160,-23.78291207551956,0.01704746,-0.0004298686981201172,,
,,,35000,,,389571.46875,0.0003,0.2,-0.05932159579533618,0.977255642414093,755864.3115234375,0.1537109375,170,-23.74470318555832,0.015643414,-0.00011932849884033203,66378.73448143006,1000.0
1000.0,43460.07359225,18,36864,296,124,,,,,,,,,,,,,
1000.0,43941.771547789474,19,38912,301,129,391822.53125,0.0003,0.2,-0.05578951359493658,0.9737112522125244,813181.2623046875,0.140283203125,180,-23.69524186849594,0.014985931,9.465217590332031e-05,,
,,,40000,,,287444.6875,0.0003,0.2,-0.06554498744080775,0.9728587865829468,629220.5703125,0.190087890625,190,-23.658591610193252,0.01857968,0.0002372264862060547,77994.88474159241,1000.0
1000.0,44165.187445325006,20,40960,334,122,,,,,,,,,,,,,
1000.0,44782.16193097675,21,43008,339,126,400364.84375,0.0003,0.2,-0.06402980398561339,0.9697057008743286,812042.31015625,0.1646484375,200,-23.616662478446962,0.017055329,-0.0008603334426879883,,
,,,45000,,,341294.75,0.0003,0.2,-0.06506113967043348,0.9671255946159363,731860.4779296875,0.179052734375,210,-23.566683739423752,0.01779775,-0.00013530254364013672,79375.6407503128,1000.0
1000.0,45074.399636400005,22,45056,374,120,,,,,,,,,,,,,
1000.0,45487.873226851065,23,47104,378,124,363455.84375,0.0003,0.2,-0.06153136394568719,0.965856671333313,759765.83828125,0.1609375,220,-23.53523794412613,0.016505502,0.000256955623626709,,
1000.0,45719.791492,24,49152,383,128,442677.15625,0.0003,0.2,-0.05748691594635602,0.9651913642883301,753563.5564453125,0.160986328125,230,-23.51390095949173,0.015863411,-0.002160310745239258,,
,,,50000,,,387470.40625,0.0003,0.2,-0.06868098157574423,0.9647694826126099,702134.38359375,0.19765625,240,-23.515323609113693,0.019274782,0.00012093782424926758,78675.05686168671,1000.0
1000.0,45849.02406894118,25,51200,418,122,,,,,,,,,,,,,
1000.0,46263.75444192453,26,53248,423,125,316864.65625,0.0003,0.2,-0.05495936171209905,0.9616795778274536,749528.44140625,0.160009765625,250,-23.47259584069252,0.016233537,-0.00015056133270263672,,
,,,55000,,,384260.84375,0.0003,0.2,-0.06932831895537675,0.9602572321891785,785082.7791015625,0.191259765625,260,-23.435284078121185,0.019097138,-0.0014373064041137695,78271.307396698,1000.0
1000.0,46602.87879552728,27,55296,457,120,,,,,,,,,,,,,
1000.0,46960.58299535087,28,57344,462,124,439699.21875,0.0003,0.2,-0.06546436749631539,0.9575496315956116,939030.4341796875,0.18857421875,270,-23.396416211128233,0.017883556,-8.106231689453125e-06,,
1000.0,47220.68052537288,29,59392,467,127,397834.15625,0.0003,0.2,-0.06630960403708741,0.9563277959823608,830464.771484375,0.1982421875,280,-23.36645343899727,0.020206392,-0.00042617321014404297,,
