rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/approx_kl,train/loss,train/value_loss,train/clip_fraction,train/std,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/clip_range,train/explained_variance,eval/mean_ep_length,eval/mean_reward
,,65000,,,,0.020493783,538982.1875,1073253.37734375,0.211669921875,0.9473284482955933,310,-0.07215620171627961,-23.214504796266556,0.0003,0.2,6.961822509765625e-05,1000.0,67434.61808815002
49230.62590293846,120,65536,546,1000.0,32,,,,,,,,,,,,,
49485.95127364179,122,67584,550,1000.0,33,0.019692842,553559.0,989543.24140625,0.2041015625,0.9458232522010803,320,-0.06904515579226427,-23.17969540953636,0.0003,0.2,-3.0279159545898438e-05,,
49694.42659355072,125,69632,554,1000.0,34,0.021347452,460409.21875,856377.887890625,0.2328125,0.9428762793540955,330,-0.07353913860861212,-23.136000579595567,0.0003,0.2,-5.960464477539062e-07,,
,,70000,,,,0.020531595,518609.03125,974231.2873046875,0.214794921875,0.9422369599342346,340,-0.07242796856735367,-23.112911319732667,0.0003,0.2,0.00019484758377075195,1000.0,66240.60180130004
49919.50489454929,122,71680,586,1000.0,35,,,,,,,,,,,,,
50469.750487,124,73728,590,1000.0,36,0.020473758,491318.75,1096123.723828125,0.214990234375,0.9403773546218872,350,-0.07138293660245836,-23.087243670225142,0.0003,0.2,0.0010368824005126953,,
,,75000,,,,0.019321196,591893.3125,1232795.24765625,0.200341796875,0.940537691116333,360,-0.06829869455541485,-23.074175083637236,0.0003,0.2,-0.0006558895111083984,1000.0,71572.28525695801
50715.83708496,121,75776,624,1000.0,37,,,,,,,,,,,,,
51127.909177701295,123,77824,628,1000.0,38,0.024055433,558572.4375,1158396.3451171876,0.24169921875,0.9378047585487366,370,-0.08186902303714305,-23.04658289551735,0.0003,0.2,0.00040787458419799805,,
51079.88744763291,126,79872,632,1000.0,39,0.02514892,373954.96875,752755.78515625,0.265234375,0.9354197978973389,380,-0.07981544039794244,-23.00137428045273,0.0003,0.2,1.6868114471435547e-05,,
,,80000,,,,0.026838029,420489.09375,813302.853125,0.26796875,0.9342971444129944,390,-0.0808884507860057,-22.973161000013352,0.0003,0.2,3.147125244140625e-05,1000.0,64835.14483604431
51389.287682296286,123,81920,663,1000.0,40,,,,,,,,,,,,,
51856.82604022891,125,83968,667,1000.0,41,0.022478051,577778.875,1199725.3900390626,0.222216796875,0.9317971467971802,400,-0.07250976521172561,-22.933846253156663,0.0003,0.2,0.00026661157608032227,,
,,85000,,,,0.023027506,504127.78125,1107704.708203125,0.230859375,0.9298649430274963,410,-0.07502247045049444,-22.897484004497528,0.0003,0.2,-5.1140785217285156e-05,1000.0,70432.05942249298
52146.1960429651,122,86016,700,1000.0,42,,,,,,,,,,,,,
52330.32696559092,124,88064,704,1000.0,43,0.02617132,446177.96875,954344.291015625,0.26943359375,0.9291395545005798,420,-0.07958326342632063,-22.871058070659636,0.0003,0.2,-0.00013124942779541016,,
,,90000,,,,0.025828065,480235.84375,998115.90703125,0.255859375,0.9275806546211243,430,-0.0750882390915649,-22.847016668319704,0.0003,0.2,2.3543834686279297e-05,1000.0,73388.20770626068
52426.117624000006,122,90112,737,1000.0,44,,,,,,,,,,,,,
52795.500531173915,124,92160,741,1000.0,45,0.026949774,416015.625,833489.3703125,0.2734375,0.9254466891288757,440,-0.07891182481544093,-22.815818107128145,0.0003,0.2,0.001445770263671875,,
52925.0147241383,126,94208,745,1000.0,46,0.02574628,632991.375,1207773.912890625,0.25068359375,0.92401522397995,450,-0.07725263196625747,-22.783720761537552,0.0003,0.2,2.378225326538086e-05,,
,,95000,,,,0.028008178,522956.8125,1129288.1921875,0.26748046875,0.9232561588287354,460,-0.08004017870407551,-22.76683404445648,0.0003,0.2,-3.528594970703125e-05,1000.0,70749.6088514328
53366.47708261458,123,96256,777,1000.0,47,,,,,,,,,,,,,
53660.912847204076,125,98304,781,1000.0,48,0.024456378,648538.6875,1422585.15625,0.2376953125,0.9213303327560425,470,-0.07525206416321453,-22.73773329257965,0.0003,0.2,9.5367431640625e-07,,
,,100000,,,,0.027461737,488592.3125,1038022.1177734375,0.256103515625,0.9201333522796631,480,-0.07625961971934885,-22.706931817531586,0.0003,0.2,-0.00013065338134765625,1000.0,68639.66518325805
53924.464856709994,123,100352,810,1000.0,49,,,,,,,,,,,,,
54539.83907172,125,102400,815,1000.0,50,0.028917782,603177.75,1128684.20859375,0.284375,0.9194836020469666,490,-0.08605932122445666,-22.698534709215163,0.0003,0.2,2.3305416107177734e-05,,
55075.70301035,127,104448,819,1000.0,51,0.023736304,720693.125,1353646.69140625,0.24091796875,0.9182831048965454,500,-0.0752062269835733,-22.673511564731598,0.0003,0.2,0.0031204819679260254,,
,,105000,,,,0.029003993,510875.25,1153915.2580078125,0.273486328125,0.9160223603248596,510,-0.07988462828507181,-22.643973088264467,0.0003,0.2,-7.987022399902344e-06,1000.0,72121.22525939942
55528.21905264,125,106496,848,1000.0,52,,,,,,,,,,,,,
56130.29484901001,127,108544,852,1000.0,53,0.025543613,630813.375,1211601.017578125,0.2494140625,0.9154086112976074,520,-0.07187870673951693,-22.620898509025572,0.0003,0.2,2.1278858184814453e-05,,
,,110000,,,,0.028286245,681581.0625,1351567.098046875,0.262109375,0.9123975038528442,530,-0.07980447708105202,-22.574146604537965,0.0003,0.2,0.0004926323890686035,1000.0,65831.08838882446
56714.063658,125,110592,882,1000.0,54,,,,,,,,,,,,,
57202.43872304001,126,112640,887,1000.0,55,0.02628602,682540.4375,1253322.33984375,0.26083984375,0.9108322858810425,540,-0.07661683974438346,-22.53743491768837,0.0003,0.2,1.33514404296875e-05,,
57882.47048048,128,114688,891,1000.0,56,0.028878659,614060.625,1262532.532421875,0.280517578125,0.9096381664276123,550,-0.08010378398175817,-22.51278046965599,0.0003,0.2,-0.00176239013671875,,
,,115000,,,,0.030670352,518866.96875,1137875.995703125,0.273974609375,0.9075725674629211,560,-0.07152054146572481,-22.477938055992126,0.0003,0.2,-0.000603795051574707,1000.0,62333.07340984345
58349.92964189999,126,116736,921,1000.0,57,,,,,,,,,,,,,
58848.33302371,128,118784,925,1000.0,58,0.029560301,683860.125,1272366.4619140625,0.293505859375,0.9051259756088257,570,-0.08041330893465784,-22.432493430376052,0.0003,0.2,-3.5762786865234375e-07,,
,,120000,,,,0.032631528,541914.875,1031288.2279296875,0.299951171875,0.9051764011383057,580,-0.08121895829681307,-22.42065727710724,0.0003,0.2,8.958578109741211e-05,1000.0,65205.42873077393
59312.97337544001,126,120832,956,1000.0,59,,,,,,,,,,,,,
59977.381174229995,127,122880,960,1000.0,60,0.02941139,643471.5625,1473572.234375,0.277587890625,0.9045349359512329,590,-0.0803835641592741,-22.410954928398134,0.0003,0.2,-0.005880594253540039,,
60306.2750691,129,124928,965,1000.0,61,0.03500863,466993.96875,956715.2435546875,0.314501953125,0.9041851162910461,600,-0.08653916649054735,-22.40152602791786,0.0003,0.2,-2.4437904357910156e-05,,
,,125000,,,,0.031022929,525387.5625,1180407.8876953125,0.27451171875,0.9033923745155334,610,-0.07486391295387876,-22.383872205018996,0.0003,0.2,1.3768672943115234e-05,1000.0,71889.30821323395
60704.22099863,127,126976,994,1000.0,62,,,,,,,,,,,,,
61473.254142579994,129,129024,998,1000.0,63,0.03312266,565331.875,1102569.4923828125,0.299560546875,0.9033845067024231,620,-0.08034702858858508,-22.381314277648926,0.0003,0.2,-0.00037598609924316406,,
,,130000,,,,0.03344084,508164.03125,1223766.5384765626,0.297705078125,0.9026022553443909,630,-0.07730268148588948,-22.37529520392418,0.0003,0.2,8.940696716308594e-05,1000.0,67791.88167266846
61810.59789388,127,131072,1026,1000.0,64,,,,,,,,,,,,,
62233.12187833001,129,133120,1030,1000.0,65,0.0349777,570518.375,1064804.5888671875,0.303662109375,0.901340663433075,640,-0.08017950612411369,-22.351892733573912,0.0003,0.2,2.7418136596679688e-06,,
,,135000,,,,0.03198175,598808.375,1325453.171875,0.287255859375,0.9009804725646973,650,-0.07701701384503394,-22.333601254224778,0.0003,0.2,-1.5616416931152344e-05,1000.0,63263.87211055755
62594.45335847,127,135168,1060,1000.0,66,,,,,,,,,,,,,
62957.40039760999,128,137216,1064,1000.0,67,0.03451342,507414.5625,1031142.65703125,0.295654296875,0.899330735206604,660,-0.07334294145111926,-22.314568048715593,0.0003,0.2,1.0907649993896484e-05,,
63258.39889830001,130,139264,1069,1000.0,68,0.038188674,633763.875,1277632.993359375,0.298583984375,0.8969690799713135,670,-0.08155724403623026,-22.281290572881698,0.0003,0.2,1.6629695892333984e-05,,
,,140000,,,,0.035460185,493713.9375,1009510.2798828125,0.319775390625,0.8956953883171082,680,-0.08271319735067664,-22.24412096142769,0.0003,0.2,9.5367431640625e-07,1000.0,66621.88461303711
63479.939267320005,128,141312,1097,1000.0,69,,,,,,,,,,,,,
63715.583842169995,130,143360,1101,1000.0,70,0.035193827,630074.0625,1252668.6197265624,0.314111328125,0.8959799408912659,690,-0.08067747285822406,-22.23681174516678,0.0003,0.2,-1.5497207641601562e-06,,
,,145000,,,,0.036424913,534579.875,950404.51953125,0.3255859375,0.8955245614051819,700,-0.08402198776020668,-22.240580374002455,0.0003,0.2,-3.075599670410156e-05,1000.0,66651.56290187835
64079.53107449,128,145408,1131,1000.0,71,,,,,,,,,,,,,
64472.43574335999,129,147456,1135,1000.0,72,0.034385603,796918.8125,1407610.661328125,0.30380859375,0.8947139382362366,710,-0.08287142846675125,-22.22376827597618,0.0003,0.2,8.940696716308594e-07,,
64703.40786595999,131,149504,1139,1000.0,73,0.035275333,718748.25,1269012.999609375,0.298046875,0.8920890688896179,720,-0.08153048680687788,-22.186744540929794,0.0003,0.2,8.940696716308594e-07,,
,,150000,,,,0.0380811,476107.46875,866746.9208984375,0.3419921875,0.8925228118896484,730,-0.0850813975383062,-22.171196973323823,0.0003,0.2,4.5299530029296875e-06,1000.0,70723.7647649765
64935.335435559995,129,151552,1168,1000.0,74,,,,,,,,,,,,,
65187.41354327999,130,153600,1173,1000.0,75,0.038187005,623763.0,1219909.321875,0.29169921875,0.8912217020988464,740,-0.07615177467523608,-22.15485154390335,0.0003,0.2,2.491474151611328e-05,,
,,155000,,,,0.03380407,734483.75,1358287.314453125,0.287353515625,0.8908119201660156,750,-0.0728049071971327,-22.144445329904556,0.0003,0.2,-0.00024080276489257812,1000.0,66470.20389232636
65420.62928808,129,155648,1201,1000.0,76,,,,,,,,,,,,,
65679.04877798,130,157696,1206,1000.0,77,0.03234949,531200.9375,1138806.8798828125,0.28447265625,0.8911263346672058,760,-0.07064486886374652,-22.141557508707045,0.0003,0.2,1.2695789337158203e-05,,
65896.18588907001,131,159744,1211,1000.0,78,0.034856107,597784.25,1262081.23828125,0.30703125,0.8904385566711426,770,-0.07821760804799852,-22.137423121929167,0.0003,0.2,6.854534149169922e-05,,
,,160000,,,,0.03965064,491243.875,1013790.9353515625,0.341650390625,0.889324426651001,780,-0.08412537237454672,-22.124123990535736,0.0003,0.2,1.3113021850585938e-06,1000.0,72897.44459095
65969.73083221,130,161792,1240,1000.0,79,,,,,,,,,,,,,
66010.09603095,131,163840,1245,1000.0,80,0.03952513,715536.125,1481999.32265625,0.315283203125,0.8877235651016235,790,-0.08159602136001923,-22.09092984199524,0.0003,0.2,3.886222839355469e-05,,
,,165000,,,,0.043345932,624360.4375,1103799.86875,0.340185546875,0.8867307305335999,800,-0.07935746501025279,-22.07099102139473,0.0003,0.2,-1.9073486328125e-06,1000.0,71103.2949842453
66070.41872348,130,165888,1274,1000.0,81,,,,,,,,,,,,,
66313.01488839001,131,167936,1278,1000.0,82,0.04490994,520680.375,1001276.846484375,0.35830078125,0.8867992162704468,810,-0.08768604408251121,-22.06573764681816,0.0003,0.2,-2.2172927856445312e-05,,
66561.92920474,132,169984,1283,1000.0,83,0.04000458,643530.25,1220558.8265625,0.318798828125,0.8865381479263306,820,-0.07883844841562677,-22.064905714988708,0.0003,0.2,6.794929504394531e-06,,
,,170000,,,,0.037843723,648830.5625,1174473.7498046875,0.32783203125,0.8846726417541504,830,-0.07768023715470918,-22.038388776779176,0.0003,0.2,9.5367431640625e-07,1000.0,69558.3595375061
66706.8131779,130,172032,1313,1000.0,84,,,,,,,,,,,,,
66791.40741577001,132,174080,1317,1000.0,85,0.043513045,537748.625,1076420.9470703125,0.3396484375,0.8821238279342651,840,-0.07809477504051757,-21.99437853693962,0.0003,0.2,4.649162292480469e-06,,
,,175000,,,,0.035856,663624.875,1153318.1501953125,0.294921875,0.8809980750083923,850,-0.0708643235208001,-21.96107868552208,0.0003,0.2,-1.5497207641601562e-05,1000.0,64414.4792421341
66947.29420381,130,176128,1344,1000.0,86,,,,,,,,,,,,,
67266.32595276,132,178176,1349,1000.0,87,0.03553195,611842.1875,1246224.81484375,0.2908203125,0.881445586681366,860,-0.06906251295295078,-21.955737125873565,0.0003,0.2,-4.76837158203125e-07,,
,,180000,,,,0.044177588,616749.9375,1169123.9515625,0.34814453125,0.8793556690216064,870,-0.08547234074503648,-21.933602690696716,0.0003,0.2,6.556510925292969e-06,1000.0,68721.90907096863
67445.61949818999,130,180224,1376,1000.0,88,,,,,,,,,,,,,
67473.6385028,131,182272,1380,1000.0,89,0.04624397,561441.0,1094834.192578125,0.369140625,0.8761853575706482,880,-0.08715111608908047,-21.88073863387108,0.0003,0.2,2.4616718292236328e-05,,
67654.16808161,133,184320,1385,1000.0,90,0.04066889,546813.375,1091466.8109375,0.329443359375,0.8752216100692749,890,-0.08033723199332599,-21.848464280366898,0.0003,0.2,3.9696693420410156e-05,,
,,185000,,,,0.035915352,710386.9375,1361861.821484375,0.31357421875,0.8743442893028259,900,-0.07828356926038396,-21.8287983417511,0.0003,0.2,-3.5762786865234375e-07,1000.0,72567.12765083314
67861.25890993,131,186368,1414,1000.0,91,,,,,,,,,,,,,
67976.49665407,132,188416,1419,1000.0,92,0.032420024,519678.59375,1124591.01015625,0.297998046875,0.8754414916038513,910,-0.06820325444277842,-21.832528871297836,0.0003,0.2,8.940696716308594e-07,,
,,190000,,,,0.041833445,485791.46875,1106039.5080078125,0.32626953125,0.8757012486457825,920,-0.07752727554761804,-21.844329833984375,0.0003,0.2,5.698204040527344e-05,1000.0,70306.50964956284
68297.23817955,131,190464,1447,1000.0,93,,,,,,,,,,,,,
68394.62215081,132,192512,1452,1000.0,94,0.04004086,673490.75,1217847.1787109375,0.316650390625,0.8744715452194214,930,-0.07422899913508445,-21.834568798542023,0.0003,0.2,-2.1338462829589844e-05,,
68607.34329440001,133,194560,1456,1000.0,95,0.040369727,673169.125,1331303.552734375,0.34443359375,0.8732351064682007,940,-0.08720829875092022,-21.80768985748291,0.0003,0.2,1.615285873413086e-05,,
,,195000,,,,0.032742634,673097.8125,1327955.078515625,0.29541015625,0.8730299472808838,950,-0.07235295247810428,-21.794190531969072,0.0003,0.2,5.960464477539063e-08,1000.0,71916.36391830444
68668.93375429002,132,196608,1485,1000.0,96,,,,,,,,,,,,,
