rollout/ep_len_mean,time/episodes,time/time_elapsed,train/critic_loss,train/learning_rate,train/n_updates,rollout/ep_rew_mean,train/actor_loss,time/fps,time/total_timesteps,eval/mean_ep_length,eval/mean_reward
830.1354166666666,96,950,1.0137419337630271,0.001,78693,320.36775301041666,-44.226699760437015,83,79693,,
,,,1.021972602456808,0.001,79693,,-44.678911499023435,,80000,1000.0,1078.4201116324753
836.93,100,1005,1.0761525671482086,0.001,82693,348.63695743999995,-45.781131660461426,83,83693,,
,,,1.1610850138068198,0.001,84693,,-47.01392291259766,,85000,1000.0,1126.4353578347595
845.57,104,1058,1.2112006354928018,0.001,86693,450.79467447999997,-48.240067489624025,82,87693,,
,,,1.2658958078622817,0.001,89693,,-50.02706072998047,,90000,1000.0,1397.866612806372
864.18,108,1108,1.3739994850754738,0.001,90693,536.57259892,-50.721411140441894,82,91693,,
,,,1.4909321289658546,0.001,94693,,-53.48471044158936,,95000,1000.0,1499.0463600239193
883.51,112,1155,,,,633.13768287,,82,95693,,
922.59,116,1190,1.6261693317294121,0.001,98693,699.00292062,-56.10093355560303,83,99693,,
,,,1.7369567192792892,0.001,99693,,-56.940603317260745,,100000,1000.0,1526.1496524699614
961.89,120,1244,1.9332783685922623,0.001,102693,750.1785844600001,-58.72711647033692,83,103693,,
,,,2.034858346939087,0.001,104693,,-60.37881037139893,,105000,1000.0,1703.3860088961198
981.33,124,1297,2.154693361878395,0.001,106693,821.8338315400001,-61.60085668182373,82,107693,,
,,,2.2551790215969088,0.001,109693,,-64.31465168762207,,110000,920.7,1051.608534497689
979.05,128,1351,2.2999855625814725,0.001,110465,881.44196563,-65.22833385368703,82,111465,,
,,,2.3378408094644545,0.001,114465,,-68.63863607025147,,115000,1000.0,1599.48550083132
977.12,132,1407,,,,925.1480686700002,,81,115272,,
986.85,136,1441,2.5828297888040543,0.001,118272,981.2382679699999,-72.5220009765625,82,119272,,
,,,2.4444072875976564,0.001,119272,,-73.4912576751709,,120000,1000.0,1834.399986660853
986.85,140,1495,2.5079554488658906,0.001,122272,1042.58272259,-76.20383283996583,82,123272,,
,,,2.685215961456299,0.001,124272,,-77.89204040527343,,125000,1000.0,1824.9553924754262
986.85,144,1553,2.6949191709756852,0.001,126272,1098.7992352299998,-79.82920715332031,81,127272,,
,,,3.02930619764328,0.001,129272,,-82.48711557006835,,130000,886.8,1536.4465373166604
986.85,148,1600,3.2567205357551576,0.001,130272,1148.69914655,-83.12809295654297,81,131272,,
,,,3.678044279694557,0.001,134272,,-86.52057208251954,,135000,1000.0,1774.2527643800713
986.85,152,1651,,,,1189.37254278,,81,135272,,
995.79,156,1685,3.6148874953985213,0.001,138272,1248.0857793100001,-89.35708055114746,82,139272,,
,,,3.526756978869438,0.001,139272,,-90.15997434997558,,140000,984.1,1855.5415292760822
995.79,160,1737,3.5129683055877687,0.001,142272,1300.6767882799998,-92.45343350219727,82,143272,,
,,,4.063304086699432,0.001,144075,,-94.22698778642383,,145000,1000.0,2121.177010095306
993.82,164,1786,3.4602005569934846,0.001,146075,1353.45192343,-95.51341891479493,82,147075,,
,,,4.211007331490516,0.001,149075,,-98.03550402832032,,150000,951.6,1821.8107710902696
993.82,168,1833,3.9690755696296693,0.001,150075,1404.01640511,-98.8616336517334,82,151075,,
985.88,172,1858,4.289669118642807,0.001,153281,1419.3394322299996,-100.4858137664795,82,154281,,
,,,3.7200191218853,0.001,154281,,-101.2081109008789,,155000,965.1,2063.01020773055
985.88,176,1908,4.383832119822502,0.001,157281,1464.78353492,-103.20569032287598,82,158281,,
,,,4.070008794784546,0.001,159281,,-104.00573345947265,,160000,1000.0,1776.3206833466188
985.88,180,1960,4.4479347883462905,0.001,161281,1517.6844120800001,-105.82056770324706,82,162281,,
,,,4.624614986300468,0.001,164281,,-107.52657806396485,,165000,1000.0,2080.222437936906
985.88,184,2009,4.608938498497009,0.001,165281,1573.5690284999998,-108.4536215209961,82,166281,,
981.17,188,2038,4.7770556440353396,0.001,168810,1622.87824753,-110.79217747497559,83,169810,,
,,,5.619439840555191,0.001,169810,,-111.15630232238769,,170000,1000.0,2026.82092831661
981.17,192,2092,4.686587892532349,0.001,172810,1671.9402953200001,-113.02622401428222,83,173810,,
,,,4.554555357217788,0.001,174810,,-114.29405732727051,,175000,953.6,2116.841860669642
981.17,196,2140,5.212483668327332,0.001,176810,1730.59946059,-115.4966576385498,83,177810,,
,,,4.919343998670578,0.001,179752,,-117.34127349853516,,180000,1000.0,2272.486765607819
980.59,200,2192,4.835518862247467,0.001,180752,1777.9254536300002,-118.09378897094726,82,181752,,
,,,4.883538376808167,0.001,184752,,-120.60056413269044,,185000,1000.0,2234.6099217915908
980.59,204,2245,,,,1815.1640745899997,,82,185752,,
980.59,208,2284,5.232127369403839,0.001,188752,1844.7920678500002,-122.66768310546875,83,189752,,
,,,5.003495995759964,0.001,189752,,-123.01610688781739,,190000,1000.0,2128.3991082463413
980.59,212,2333,4.8234614164829255,0.001,192752,1877.26615666,-124.61272959899902,83,193752,,
,,,5.198709647893906,0.001,194752,,-125.43246456909179,,195000,1000.0,2252.0925608292223
980.59,216,2384,4.7840130474567415,0.001,196752,1904.8555151199998,-126.48827006530762,82,197752,,
,,,5.396732070552769,0.001,199020,,-127.313855071566,,200000,1000.0,2061.1411544977454
973.27,220,2427,5.3223981838226315,0.001,200020,1928.3142781599997,-128.35681530761718,82,201020,,
,,,5.350309664726257,0.001,204020,,-130.28484715270997,,205000,885.0,2019.7728387509007
973.27,224,2479,,,,1959.1156814099998,,82,205020,,
975.55,228,2518,5.035029666662216,0.001,208020,1975.6199010699995,-131.17966192626952,82,209020,,
,,,5.45126137471199,0.001,209020,,-132.06030805969237,,210000,1000.0,2191.365222467808
977.48,232,2565,5.340229243516922,0.001,212020,1996.9977902899998,-133.09458087158202,83,213020,,
,,,5.445499143600464,0.001,214020,,-133.54996536254882,,215000,1000.0,2158.0338793485425
