time/fps,time/time_elapsed,train/actor_loss,time/episodes,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/critic_loss,train/learning_rate,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
135,41,5.249632453918457,112,5600,50.0,5450,0.06447823505848646,0.001,-12.262094159999997,,
136,42,5.385011119842529,116,5800,50.0,5650,0.07124922096729279,0.001,-12.242486759999998,,
,,5.495135726928711,,6000,,5850,0.041414552517235276,0.001,,50.0,-12.03118775
135,44,,120,6000,50.0,,,,-12.31444891,,
136,45,5.670573062896729,124,6200,50.0,6050,0.04620810676366091,0.001,-12.31811595,,
137,46,5.780519847869873,128,6400,50.0,6250,0.04143487807363272,0.001,-12.190434969999998,,
,,5.8455970573425295,,6500,,6350,0.0513472731038928,0.001,,50.0,-11.514175900000001
134,49,5.832374591827392,132,6600,50.0,6450,0.053031532391905785,0.001,-12.223202549999998,,
134,50,6.067721786499024,136,6800,50.0,6650,0.16178339578211307,0.001,-12.263691979999999,,
,,6.2325955009460445,,7000,,6850,0.04752500295639038,0.001,,50.0,-11.6972366
132,52,,140,7000,50.0,,,,-12.230506929999999,,
133,53,6.224401817321778,144,7200,50.0,7050,0.044857693389058116,0.001,-12.236507919999998,,
134,55,6.404541263580322,148,7400,50.0,7250,0.0501272301375866,0.001,-12.17670239,,
,,6.432976493835449,,7500,,7350,0.05023616962134838,0.001,,50.0,-11.3539546
132,57,6.516221389770508,152,7600,50.0,7450,0.05523681223392487,0.001,-12.135280839999998,,
132,58,6.729535732269287,156,7800,50.0,7650,0.25784351423382756,0.001,-12.177821019999996,,
,,6.800394020080566,,8000,,7850,0.16018111139535904,0.001,,50.0,-11.17038095
130,61,,160,8000,50.0,,,,-12.14292957,,
131,62,6.9630206680297855,164,8200,50.0,8050,0.04305321838706732,0.001,-12.063347570000003,,
131,63,7.033575592041015,168,8400,50.0,8250,0.045906901955604554,0.001,-11.89290141,,
,,7.199018764495849,,8500,,8350,0.13005010705441236,0.001,,50.0,-11.551030800000001
130,65,7.230096530914307,172,8600,50.0,8450,0.06873954862356185,0.001,-11.797798699999998,,
131,66,7.341435108184815,176,8800,50.0,8650,0.04326259937137365,0.001,-11.5346481,,
,,7.4473748207092285,,9000,,8850,0.04683689661324024,0.001,,50.0,-10.725091599999997
130,68,,180,9000,50.0,,,,-11.408900700000002,,
131,70,7.70382095336914,184,9200,50.0,9050,0.04661080032587051,0.001,-11.350609639999998,,
131,71,7.711632518768311,188,9400,50.0,9250,0.046558708921074866,0.001,-11.248488929999997,,
,,7.7995759391784665,,9500,,9350,0.08691608898341656,0.001,,50.0,-9.529578750000002
130,73,7.849059791564941,192,9600,50.0,9450,0.18615201234817505,0.001,-11.03134217,,
130,74,7.958955593109131,196,9800,50.0,9650,0.04960350744426251,0.001,-11.046450360000001,,
,,8.112462253570557,,10000,,9850,0.04733131356537342,0.001,,50.0,-11.239407250000001
129,77,,200,10000,50.0,,,,-10.90805834,,
129,78,8.218795185089112,204,10200,50.0,10050,0.05905256822705269,0.001,-10.789173910000004,,
129,80,8.35449655532837,208,10400,50.0,10250,0.04477318104356527,0.001,-10.629927659999998,,
,,8.428029594421387,,10500,,10350,0.052655520290136336,0.001,,50.0,-9.885990549999999
127,82,8.471940650939942,212,10600,50.0,10450,0.05225480005145073,0.001,-10.408757679999999,,
127,84,8.478490142822265,216,10800,50.0,10650,0.26260738871991635,0.001,-10.29305034,,
,,8.665999565124512,,11000,,10850,0.14786692909896373,0.001,,50.0,-9.3149389
126,86,,220,11000,50.0,,,,-10.086405189999999,,
126,88,8.76552677154541,224,11200,50.0,11050,0.04346991803497076,0.001,-10.00907063,,
126,89,8.917814445495605,228,11400,50.0,11250,0.13193009719252585,0.001,-9.866097859999998,,
,,8.92503833770752,,11500,,11350,0.04423970930278301,0.001,,50.0,-9.62330545
125,92,8.984632530212401,232,11600,50.0,11450,0.049493425861001014,0.001,-9.84969948,,
