rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_range,train/n_updates,train/loss,train/explained_variance,train/std,train/policy_gradient_loss,train/clip_fraction,train/value_loss,eval/mean_reward,eval/mean_ep_length
,,80000,,,,0.022276945,-14.129502725601196,0.0003,0.2,390,1316.761474609375,0.23480582237243652,0.9950704574584961,-0.03426394748094026,0.187451171875,2757.943041229248,867.1370528519153,156.55
550.7776599800001,293,81920,104.37,279,40,,,,,,,,,,,,,
547.03144271,299,83968,103.81,280,41,0.026342306,-14.118496492505074,0.0003,0.2,400,1238.4208984375,0.33463937044143677,0.9933929443359375,-0.0331902433448704,0.2009765625,2523.56583404541,,
,,85000,,,,0.020361643,-14.102728173136711,0.0003,0.2,410,1119.5325927734375,0.4309517741203308,0.9918875694274902,-0.03278357413946651,0.17001953125,2303.3264400482176,801.0978325456381,144.95
530.05655271,309,86016,100.91,278,42,,,,,,,,,,,,,
528.1942403999999,315,88064,100.55,279,43,0.0238525,-14.09137199819088,0.0003,0.2,420,1305.837890625,0.3748013377189636,0.9916659593582153,-0.031929289957042785,0.1955078125,2503.826490020752,,
,,90000,,,,0.022024946,-14.084199234843254,0.0003,0.2,430,918.9409790039062,0.38443440198898315,0.9903859496116638,-0.03463555333728437,0.168408203125,2358.2850330352785,765.6028539568185,138.35
549.2232509900001,325,90112,104.05,276,44,,,,,,,,,,,,,
559.7765245300001,330,92160,105.81,278,45,0.030329209,-14.081000834703445,0.0003,0.2,440,1183.1705322265625,0.4556434750556946,0.9910972714424133,-0.03603355464874767,0.18828125,2524.501412200928,,
567.63241041,336,94208,107.08,279,46,0.02403991,-14.104818594455718,0.0003,0.2,450,888.840087890625,0.46897637844085693,0.9949089288711548,-0.035479004168882965,0.189892578125,2225.190436553955,,
,,95000,,,,0.017916009,-14.124055492877961,0.0003,0.2,460,1084.0433349609375,0.43509161472320557,0.9952543377876282,-0.032566777686588465,0.15029296875,2263.464028167725,1101.036907415092,199.75
570.8371047800001,349,96256,107.67,275,47,,,,,,,,,,,,,
592.73451944,355,98304,111.36,276,48,0.021215945,-14.130775812268258,0.0003,0.2,470,1194.929443359375,0.3858451843261719,0.9958916902542114,-0.0323330620827619,0.157763671875,2535.31350440979,,
,,100000,,,,0.021940865,-14.14213535785675,0.0003,0.2,480,1059.764404296875,0.5319267511367798,0.9977068901062012,-0.034353018237743525,0.157470703125,2085.3251293182375,1127.734345242381,203.05
588.05802465,366,100352,110.58,273,49,,,,,,,,,,,,,
589.27541623,372,102400,110.85,275,50,0.016029194,-14.152150383591652,0.0003,0.2,490,1175.8961181640625,0.4603115916252136,0.9979576468467712,-0.030222278187284245,0.136669921875,2332.234546279907,,
613.80990572,377,104448,114.97,276,51,0.017895747,-14.150968676805496,0.0003,0.2,500,705.8185424804688,0.5225059390068054,0.9975771903991699,-0.02874053257983178,0.129541015625,2119.481986236572,,
,,105000,,,,0.024834577,-14.153521198034287,0.0003,0.2,510,861.5846557617188,0.45014292001724243,0.9981129765510559,-0.029645859669835774,0.174658203125,2449.6710735321044,1416.3790624927728,261.75
623.65089523,389,106496,116.53,273,52,,,,,,,,,,,,,
627.00699558,395,108544,117.11,274,53,0.019169144,-14.149089416861534,0.0003,0.2,520,945.72021484375,0.37929409742355347,0.997484028339386,-0.03088097752770409,0.14833984375,2530.0948963165283,,
,,110000,,,,0.01789193,-14.150691604614257,0.0003,0.2,530,1163.7647705078125,0.527853935956955,0.9979756474494934,-0.03053638543060515,0.151171875,2213.5049110412597,1331.142654529959,245.0
618.54910083,406,110592,115.66,272,54,,,,,,,,,,,,,
643.7627809,411,112640,119.8,273,55,0.021666784,-14.152107211947442,0.0003,0.2,540,705.9611206054688,0.5916018187999725,0.9979664087295532,-0.03045750368910376,0.17060546875,1921.4747009277344,,
649.9995792799999,416,114688,120.87,275,56,0.019747462,-14.14248663187027,0.0003,0.2,550,908.3390502929688,0.5520457625389099,0.9958890080451965,-0.029524513898650184,0.158349609375,2250.593251419067,,
,,115000,,,,0.017537158,-14.137568691372872,0.0003,0.2,560,843.1231689453125,0.5699798166751862,0.9969744086265564,-0.027294507939950564,0.133447265625,2014.8579811096192,1365.4253443252296,244.9
640.5726686600001,428,116736,119.27,272,57,,,,,,,,,,,,,
637.8984741399998,434,118784,118.85,273,58,0.020710722,-14.141437157988548,0.0003,0.2,570,1159.0157470703125,0.5507455468177795,0.9964281916618347,-0.026064132210740353,0.14697265625,2168.219948196411,,
,,120000,,,,0.019539606,-14.141389745473862,0.0003,0.2,580,669.7093505859375,0.5867243409156799,0.9971467852592468,-0.028576153490575962,0.139111328125,1960.1319664001464,1471.922663633991,265.4
653.2190055000001,447,120832,121.38,269,59,,,,,,,,,,,,,
676.9552863099999,453,122880,125.41,270,60,0.01826674,-14.1435701161623,0.0003,0.2,590,745.5203247070312,0.5620189905166626,0.9968675971031189,-0.028209170707850718,0.13115234375,2137.7107486724854,,
661.3273056699999,459,124928,122.91,271,61,0.02630464,-14.139318454265595,0.0003,0.2,600,703.8021850585938,0.5653442442417145,0.9965659976005554,-0.03026373510947451,0.191552734375,1958.9729106903076,,
,,125000,,,,0.018833535,-14.133556807041169,0.0003,0.2,610,810.3318481445312,0.6522147357463837,0.9952845573425293,-0.026612770764040762,0.131298828125,1822.0832641601562,1483.462646221742,261.95
684.5485881199999,472,126976,126.75,268,62,,,,,,,,,,,,,
664.9669658299999,478,129024,123.5,269,63,0.017552527,-14.12751669883728,0.0003,0.2,620,761.2041015625,0.6468527019023895,0.9956541061401367,-0.028685243392828852,0.133349609375,1698.0696033477784,,
,,130000,,,,0.015817914,-14.120716032385825,0.0003,0.2,630,570.9788208007812,0.6856068074703217,0.9936481714248657,-0.031418044710881075,0.144775390625,1644.417712211609,1526.1512403562665,272.65
672.3780185699999,491,131072,124.73,266,64,,,,,,,,,,,,,
678.42973499,497,133120,125.67,267,65,0.017160166,-14.110839769244194,0.0003,0.2,640,578.1622314453125,0.7050283849239349,0.9940536618232727,-0.030276552273426204,0.129052734375,1515.360453224182,,
,,135000,,,,0.016619915,-14.108447170257568,0.0003,0.2,650,1040.2955322265625,0.6309782862663269,0.9934057593345642,-0.026338664468494245,0.12041015625,1898.6065391540528,1678.0848606016486,303.2
675.9679106700002,510,135168,125.39,264,66,,,,,,,,,,,,,
675.4647719599999,516,137216,125.28,265,67,0.018551134,-14.10688456594944,0.0003,0.2,660,647.0595092773438,0.5822459161281586,0.9932751059532166,-0.026327606153790838,0.1171875,1904.1393434524537,,
679.9374001799998,521,139264,126.35,266,68,0.016873986,-14.108172363042831,0.0003,0.2,670,576.8438720703125,0.7274433374404907,0.9939512610435486,-0.02759214900434017,0.130078125,1599.3927978515626,,
,,140000,,,,0.01824273,-14.109798699617386,0.0003,0.2,680,607.748779296875,0.6104967594146729,0.9933629035949707,-0.027312237303704023,0.1359375,1879.3592624664307,1528.893289936334,267.45
683.5043239599999,535,141312,126.92,263,69,,,,,,,,,,,,,
720.6538241699999,541,143360,133.06,264,70,0.022282684,-14.104881995916367,0.0003,0.2,690,517.6447143554688,0.7061746120452881,0.9932605624198914,-0.027073044699500316,0.1373046875,1558.0999273300172,,
,,145000,,,,0.016539302,-14.103659963607788,0.0003,0.2,700,837.9026489257812,0.5113352835178375,0.9928985834121704,-0.02613383489951957,0.110791015625,2181.561907577515,1513.9502653463744,262.9
731.76271861,554,145408,134.82,262,71,,,,,,,,,,,,,
744.3521448399999,560,147456,136.91,262,72,0.020330727,-14.104936847090721,0.0003,0.2,710,699.7584838867188,0.6862728297710419,0.9937426447868347,-0.028612410853384063,0.1603515625,1731.6708808898925,,
769.0152650199999,566,149504,140.83,264,73,0.015092206,-14.110313487052917,0.0003,0.2,720,525.3975830078125,0.6751154065132141,0.9939029812812805,-0.025690104307432193,0.11416015625,1711.3220981597901,,
,,150000,,,,0.016661806,-14.10751444399357,0.0003,0.2,730,521.8482055664062,0.7263875603675842,0.9933554530143738,-0.02984269302105531,0.12451171875,1610.5704751968383,1759.2896049106494,309.95
782.71733794,581,151552,143.17,260,74,,,,,,,,,,,,,
781.91918271,586,153600,142.76,261,75,0.01378735,-14.105659893155098,0.0003,0.2,740,688.7628173828125,0.6348469257354736,0.993657112121582,-0.025912037791567855,0.107861328125,1892.3362636566162,,
,,155000,,,,0.019985234,-14.109573608636856,0.0003,0.2,750,641.05615234375,0.6571499109268188,0.9938953518867493,-0.02507168703887146,0.135400390625,1956.4948091506958,1989.225807084143,351.05
803.5451530399998,602,155648,146.48,258,76,,,,,,,,,,,,,
788.19696172,608,157696,143.89,259,77,0.0121035,-14.106049627065659,0.0003,0.2,760,963.289794921875,0.5591106712818146,0.9930839538574219,-0.023863154431455768,0.093212890625,2186.6059619903563,,
793.89780671,614,159744,144.91,260,78,0.014368874,-14.095574563741684,0.0003,0.2,770,666.9757690429688,0.6723052263259888,0.9918302893638611,-0.024837218486936763,0.107080078125,1852.3839109420776,,
,,160000,,,,0.016578514,-14.08880458176136,0.0003,0.2,780,480.0910339355469,0.7206954061985016,0.9918364882469177,-0.024248760612681507,0.12470703125,1521.4275915145874,1787.8978770653716,327.75
801.6462606300001,628,161792,146.2,257,79,,,,,,,,,,,,,
800.64369511,633,163840,146.04,258,80,0.011654198,-14.082607448101044,0.0003,0.2,790,1038.85302734375,0.6235520243644714,0.990682065486908,-0.022550300709553994,0.089208984375,2027.9102949142457,,
