rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/std,train/n_updates,train/explained_variance,train/learning_rate,train/clip_fraction,train/approx_kl,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/loss,eval/mean_reward,eval/mean_ep_length
22.6,1,3,2048,106.04519211111112,549,,,,,,,,,,,,,
22.83,2,8,4096,108.05806620000001,484,1.0019075870513916,10,0.0036554336547851562,0.0003,0.221875,0.019885497,0.2,-24.14184265732765,-0.06039906426449306,1436.1928455352784,470.4640808105469,,
,,,5000,,,1.001849889755249,20,0.030109941959381104,0.0003,0.263525390625,0.024983138,0.2,-24.149321299791335,-0.07371086461935192,1136.8101167678833,465.5509338378906,481.16280595678836,90.7
23.29,3,16,6144,109.31246392999999,373,,,,,,,,,,,,,
23.79,4,21,8192,111.96325665,383,1.0020456314086914,30,0.02330160140991211,0.0003,0.31767578125,0.02840424,0.2,-24.15602338910103,-0.08061150964931585,977.7426336288452,443.30517578125,,
,,,10000,,,0.9997537136077881,40,0.016463518142700195,0.0003,0.320458984375,0.029005442,0.2,-24.13910789489746,-0.0827509462251328,914.3134284973145,410.4465026855469,380.5670895305928,73.25
24.9,5,28,10240,116.32174888,364,,,,,,,,,,,,,
27.09,6,32,12288,127.43861543999999,375,0.9977310299873352,50,0.012058734893798828,0.0003,0.392626953125,0.037384734,0.2,-24.09203659892082,-0.08973111286759376,933.5651742935181,447.58624267578125,,
27.51,7,37,14336,129.55876758999997,377,0.995437502861023,60,0.014317989349365234,0.0003,0.358837890625,0.034090105,0.2,-24.071756464242934,-0.0850804341986077,988.7352422714233,462.12054443359375,,
,,,15000,,,0.9950217008590698,70,0.03544098138809204,0.0003,0.364892578125,0.03763002,0.2,-24.04168725013733,-0.08723016285221093,1028.3110958099364,422.386474609375,386.01155439498837,75.2
28.6,8,44,16384,134.02685889999998,364,,,,,,,,,,,,,
27.8,9,50,18432,130.13110224000002,363,0.991811990737915,80,0.0312616229057312,0.0003,0.305859375,0.03196033,0.2,-24.01096356511116,-0.07929127457027789,998.6583648681641,467.9718017578125,,
,,,20000,,,0.9902420043945312,90,0.051106035709381104,0.0003,0.265478515625,0.0249404,0.2,-23.968056923151018,-0.07520283337798901,1036.6283992767335,383.99359130859375,360.28858852386475,68.15
29.87,10,57,20480,140.50231052,353,,,,,,,,,,,,,
29.45,11,63,22528,137.19747627,355,0.9888609647750854,100,0.06142395734786987,0.0003,0.256103515625,0.026446309,0.2,-23.943966382741927,-0.07505625024496113,1122.6395971298218,523.3027954101562,,
28.66,12,67,24576,133.81410492999998,362,0.9889293313026428,110,0.08018696308135986,0.0003,0.258740234375,0.024814313,0.2,-23.931710398197175,-0.07567057331907563,1018.1732421875,484.7019958496094,,
,,,25000,,,0.9891424775123596,120,0.1439962387084961,0.0003,0.164990234375,0.016866572,0.2,-23.934870505332945,-0.062197527365060526,903.9584936141968,383.7991638183594,345.7614996314049,66.7
31.24,13,74,26624,146.64882824,355,,,,,,,,,,,,,
34.12,14,79,28672,160.26828242000002,358,0.9889070987701416,130,0.22438263893127441,0.0003,0.164599609375,0.017548107,0.2,-23.932127898931505,-0.06188005658623297,1045.746791267395,492.4082336425781,,
