time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/entropy_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/approx_kl,train/loss,train/n_updates,train/policy_gradient_loss,train/value_loss,train/std,train/learning_rate,eval/mean_ep_length,eval/mean_reward
,,,70000,,,-23.34194482564926,0.21943359375,0.49981236457824707,0.2,0.025288902,568.8069458007812,340,-0.0599097762897145,1359.123803138733,0.9549322724342346,0.0003,54.85,298.8677376747131
35,429,166,71680,60.24,302.60404805999997,,,,,,,,,,,,,
36,430,171,73728,58.56,292.21204511,-23.31880001425743,0.193603515625,0.49317020177841187,0.2,0.021634635,627.5444946289062,350,-0.05817066201707348,1418.9899591445924,0.9539806246757507,0.0003,,
,,,75000,,,-23.29735818505287,0.177880859375,0.49421316385269165,0.2,0.021722257,545.2868041992188,360,-0.05347107013949426,1170.8693651199342,0.9527664184570312,0.0003,57.8,315.334951376915
37,429,176,75776,55.06,273.75617726999997,,,,,,,,,,,,,
38,431,180,77824,55.18,273.65726841,-23.27085934281349,0.192578125,0.5264521241188049,0.2,0.021110808,473.7586975097656,370,-0.06012886310054455,1120.4172649383545,0.9507668614387512,0.0003,,
39,433,184,79872,57.22,284.60978262000003,-23.24584766626358,0.209228515625,0.5730246901512146,0.2,0.02659377,390.47052001953125,380,-0.059389552002539855,1041.6358436584474,0.9503517150878906,0.0003,,
,,,80000,,,-23.244205278158187,0.196728515625,0.5771844387054443,0.2,0.0222799,447.7622375488281,390,-0.05795564482978079,1208.3411867141724,0.950369656085968,0.0003,59.0,322.31723001003263
40,433,189,81920,57.09,284.18589629999997,,,,,,,,,,,,,
41,434,193,83968,58.15,288.88609118,-23.240300434827805,0.178271484375,0.5846484005451202,0.2,0.019758329,550.2283325195312,400,-0.05737706887593959,1085.2683462142945,0.9500691890716553,0.0003,,
,,,85000,,,-23.226277542114257,0.163720703125,0.5631152987480164,0.2,0.020468945,467.9675598144531,410,-0.052506685751723126,1093.8075902938842,0.9488276243209839,0.0003,66.0,358.96779131889343
42,432,198,86016,58.58,289.82850987,,,,,,,,,,,,,
43,432,203,88064,60.74,299.99434713,-23.206544750928877,0.160986328125,0.5788442492485046,0.2,0.018849712,537.4683837890625,420,-0.05466721549455542,1104.092068862915,0.9479124546051025,0.0003,,
,,,90000,,,-23.18853814005852,0.168408203125,0.6047106385231018,0.2,0.019957416,426.3311462402344,430,-0.05468410780886188,1071.4918067932128,0.9469345211982727,0.0003,72.0,388.2206836462021
44,430,209,90112,59.63,298.79050913000003,,,,,,,,,,,,,
45,432,213,92160,59.09,298.14246078,-23.151459449529646,0.183251953125,0.6377623081207275,0.2,0.02178167,378.7787170410156,440,-0.055595509707927704,916.835000038147,0.9436810612678528,0.0003,,
46,433,217,94208,59.34,301.72175666,-23.116639280319212,0.202197265625,0.6665241420269012,0.2,0.023910694,454.5323181152344,450,-0.05756942003208678,903.9459421157837,0.9431353211402893,0.0003,,
,,,95000,,,-23.107724130153656,0.2037109375,0.6635866165161133,0.2,0.02308579,401.2378234863281,460,-0.05753605171339586,906.3084125518799,0.9430018067359924,0.0003,61.8,338.1206684589386
47,432,222,96256,62.41,314.83578623,,,,,,,,,,,,,
48,434,226,98304,61.83,311.45229467,-23.106093883514404,0.16162109375,0.6867485046386719,0.2,0.018408244,412.93572998046875,470,-0.05268614561064169,885.2456713676453,0.9428473114967346,0.0003,,
,,,100000,,,-23.10044382214546,0.170654296875,0.6498768031597137,0.2,0.02023611,454.1095275878906,480,-0.04975085862679407,939.2155990600586,0.9423113465309143,0.0003,57.25,314.38020341396333
49,432,231,100352,62.64,315.53396442,,,,,,,,,,,,,
50,434,235,102400,61.03,309.62803561,-23.09866299033165,0.18115234375,0.6971400678157806,0.2,0.022434492,360.94293212890625,490,-0.05392332308401819,839.6105469703674,0.9431247711181641,0.0003,,
51,435,239,104448,62.99,316.7847779,-23.09066124558449,0.18779296875,0.7265212535858154,0.2,0.023217266,291.86383056640625,500,-0.05397684723429848,763.3866736412049,0.9413487911224365,0.0003,,
,,,105000,,,-23.07939268350601,0.179052734375,0.7261918783187866,0.2,0.021872688,334.6109924316406,510,-0.05135395044926554,786.6364946365356,0.9414168000221252,0.0003,58.6,320.96531569957733
52,435,244,106496,63.71,321.22985913,,,,,,,,,,,,,
53,435,249,108544,65.63,330.05002683,-23.055073726177216,0.18486328125,0.686311274766922,0.2,0.020565443,332.26898193359375,520,-0.054182496466091835,854.5962228775024,0.9388996362686157,0.0003,,
,,,110000,,,-23.03667461872101,0.187939453125,0.7466015219688416,0.2,0.022466559,293.8541564941406,530,-0.05260137002915144,747.150528049469,0.9396912455558777,0.0003,58.85,322.537847661972
54,434,254,110592,64.87,324.36572255999994,,,,,,,,,,,,,
55,436,258,112640,67.19,334.7805661,-23.034639251232147,0.17490234375,0.7169282138347626,0.2,0.021402786,313.11907958984375,540,-0.05208164328359999,836.346808052063,0.9384820461273193,0.0003,,
56,435,263,114688,66.61,330.9472233899999,-23.005709725618363,0.171435546875,0.7254654765129089,0.2,0.021875463,274.7206726074219,550,-0.049810439988505095,792.3166161537171,0.9365959167480469,0.0003,,
,,,115000,,,-22.982321512699126,0.165966796875,0.7097868025302887,0.2,0.020577509,402.95819091796875,560,-0.049737355398247016,806.2170345306397,0.9360655546188354,0.0003,66.7,364.35263142585757
57,434,268,116736,66.97,332.79818750000004,,,,,,,,,,,,,
58,434,273,118784,66.02,329.16449657000004,-22.987018603086472,0.146875,0.7236648499965668,0.2,0.018524088,258.50506591796875,570,-0.04842627178586554,795.2621417045593,0.9372110962867737,0.0003,,
,,,120000,,,-22.985392183065414,0.17255859375,0.7044185101985931,0.2,0.021132737,311.9183044433594,580,-0.05270456651924178,782.1812070846557,0.935860276222229,0.0003,61.35,337.9856315612793
59,433,278,120832,65.2,324.03813792,,,,,,,,,,,,,
60,434,282,122880,63.69,318.84951271,-22.960842227935792,0.17158203125,0.7463911473751068,0.2,0.021512233,341.9246826171875,590,-0.05201630780647974,728.051446056366,0.9346120357513428,0.0003,,
61,435,286,124928,64.54,323.45263510999996,-22.94719945192337,0.186279296875,0.7869262993335724,0.2,0.023895033,215.76467895507812,600,-0.05275915359379724,599.5792295455933,0.9342893958091736,0.0003,,
,,,125000,,,-22.926152455806733,0.187158203125,0.7638475894927979,0.2,0.022654563,215.3380889892578,610,-0.05535008540318813,661.439260673523,0.932218074798584,0.0003,65.0,357.7281294584274
62,435,291,126976,66.92,333.60531292,,,,,,,,,,,,,
63,436,295,129024,68.29,342.41434369,-22.913837146759032,0.202978515625,0.7938166707754135,0.2,0.02453484,301.6094970703125,620,-0.055381258028501176,610.8590097904205,0.9328398704528809,0.0003,,
,,,130000,,,-22.90363564491272,0.1896484375,0.7759159207344055,0.2,0.02420574,345.1111145019531,630,-0.05354838968196418,619.5646306037903,0.9309905767440796,0.0003,66.9,366.91588332653043
64,435,300,131072,67.12,334.38137168000003,,,,,,,,,,,,,
65,437,304,133120,65.9,330.03236619999996,-22.873345530033113,0.1791015625,0.7734925150871277,0.2,0.022304818,252.82179260253906,640,-0.05410523024038412,657.0436828613281,0.9297203421592712,0.0003,,
,,,135000,,,-22.853642839193345,0.202880859375,0.7951878160238266,0.2,0.025331011,121.92779541015625,650,-0.05583687977632508,548.4505955219269,0.9290808439254761,0.0003,70.1,379.70798683166504
66,436,309,135168,65.41,327.77709448999997,,,,,,,,,,,,,
67,437,313,137216,65.71,327.48632692,-22.831341952085495,0.176806640625,0.7951142340898514,0.2,0.023596548,144.97979736328125,660,-0.05019934687006753,546.1655589103699,0.9270918369293213,0.0003,,
68,438,317,139264,65.62,328.74461898000004,-22.802224743366242,0.202392578125,0.8282128274440765,0.2,0.026071347,243.57557678222656,670,-0.05633706922526471,489.2120923042297,0.926238477230072,0.0003,,
,,,140000,,,-22.793057560920715,0.171240234375,0.8035735785961151,0.2,0.021008367,170.19178771972656,680,-0.05195521141577046,567.9414549827576,0.9259469509124756,0.0003,58.75,316.3116998434067
69,438,322,141312,64.05,322.99848908,,,,,,,,,,,,,
70,439,325,143360,62.39,316.14247009999997,-22.779583901166916,0.195361328125,0.8057617992162704,0.2,0.025830265,207.30221557617188,690,-0.05589432688429952,531.7576247692108,0.9250925183296204,0.0003,,
,,,145000,,,-22.76586549282074,0.194677734375,0.8114200234413147,0.2,0.025351623,191.54055786132812,700,-0.0536528121388983,522.9025207519531,0.9243640303611755,0.0003,65.7,346.9349161624908
71,438,331,145408,64.24,325.22174379,,,,,,,,,,,,,
72,439,335,147456,64.05,322.42281370000006,-22.740878278017043,0.211767578125,0.7683355659246445,0.2,0.027390547,143.14645385742188,710,-0.05542128255474381,513.9165918827057,0.9224515557289124,0.0003,,
73,439,339,149504,67.09,336.65304976,-22.698550498485567,0.209228515625,0.818861722946167,0.2,0.024745405,180.60308837890625,720,-0.05463333965162746,438.4814052581787,0.9203099012374878,0.0003,,
,,,150000,,,-22.67423803806305,0.189892578125,0.8036412596702576,0.2,0.02448551,187.74996948242188,730,-0.0516301207622746,537.438051891327,0.9196197390556335,0.0003,58.9,318.10102970600127
74,438,345,151552,67.37,338.20301421000005,,,,,,,,,,,,,
75,439,349,153600,68.09,343.58146006999993,-22.655714398622514,0.237158203125,0.8553798645734787,0.2,0.028912008,146.16954040527344,740,-0.05986004870792385,416.013640165329,0.9181929230690002,0.0003,,
,,,155000,,,-22.633596789836883,0.201708984375,0.8320829719305038,0.2,0.02478483,346.54266357421875,750,-0.05534719997085631,537.8212440490722,0.9169707894325256,0.0003,68.1,353.5402508735657
76,438,355,155648,68.13,345.2648310100001,,,,,,,,,,,,,
77,437,360,157696,67.01,339.2156590999999,-22.60534862279892,0.1701171875,0.8310545235872269,0.2,0.021966312,139.7563018798828,760,-0.0496269594237674,540.0479539394379,0.9154391288757324,0.0003,,
78,438,364,159744,67.01,338.98527648000004,-22.586873650550842,0.1853515625,0.8222939670085907,0.2,0.024543114,207.54888916015625,770,-0.051736952728242615,539.7271370887756,0.9151848554611206,0.0003,,
,,,160000,,,-22.572509467601776,0.204931640625,0.8369043171405792,0.2,0.025772396,237.6013946533203,780,-0.05273047149530612,487.5320799827576,0.9137593507766724,0.0003,68.35,359.08772401809694
79,437,369,161792,66.73,337.6967540499999,,,,,,,,,,,,,
80,438,373,163840,66.75,340.07491826999996,-22.57519676685333,0.18623046875,0.8085273206233978,0.2,0.025047796,260.92901611328125,790,-0.05205593666760251,484.80697798728943,0.9152936935424805,0.0003,,
,,,165000,,,-22.56983815431595,0.22451171875,0.8435496240854263,0.2,0.0290895,122.44052124023438,800,-0.0585405627192813,402.98207688331604,0.9137411117553711,0.0003,68.35,363.2932179927826
81,437,379,165888,68.24,346.54108201,,,,,,,,,,,,,
82,437,383,167936,67.76,346.3516832099999,-22.55947266817093,0.214453125,0.8326216340065002,0.2,0.031501763,175.49647521972656,810,-0.054259215539786965,477.81888661384585,0.913979709148407,0.0003,,
83,438,387,169984,69.04,351.2326290800001,-22.55391299724579,0.238232421875,0.863287940621376,0.2,0.03330629,153.6687774658203,820,-0.05953777771792375,371.4944194793701,0.9131422638893127,0.0003,,
,,,170000,,,-22.549900168180464,0.222412109375,0.8585943132638931,0.2,0.027342672,155.96221923828125,830,-0.056270964624127374,435.2069123744965,0.913852334022522,0.0003,64.25,337.8959725141525
84,437,393,172032,69.17,352.9395879300001,,,,,,,,,,,,,
85,438,397,174080,70.64,358.51340426999997,-22.559066653251648,0.21845703125,0.8412063717842102,0.2,0.026355688,139.82884216308594,840,-0.056284322211286056,484.8025483608246,0.9141384363174438,0.0003,,
,,,175000,,,-22.552718645334245,0.215673828125,0.8459690809249878,0.2,0.029058047,161.45358276367188,850,-0.05636360823846189,429.92288665771486,0.9128013849258423,0.0003,59.8,324.4355459213257
86,437,402,176128,70.52,354.59702323,,,,,,,,,,,,,
87,438,406,178176,70.8,358.53604788999996,-22.526060849428177,0.202880859375,0.8321835845708847,0.2,0.025870046,155.8251953125,860,-0.05332600810797885,482.54743084907534,0.9117972254753113,0.0003,,
,,,180000,,,-22.50451449751854,0.227392578125,0.8453779369592667,0.2,0.026686298,209.87643432617188,870,-0.05527165487874299,446.1476303100586,0.9103662967681885,0.0003,69.65,379.2728303194046
88,437,411,180224,70.86,358.78217201000007,,,,,,,,,,,,,
89,438,415,182272,71.3,359.88855236999996,-22.497199481725694,0.167626953125,0.8244026601314545,0.2,0.021941394,121.03971862792969,880,-0.04930986864492297,519.487537097931,0.910808801651001,0.0003,,
