time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/episodes,train/n_updates,train/learning_rate,train/actor_loss,train/critic_loss,eval/mean_reward,eval/mean_ep_length
0,17.0,68,1101,-23.7029335,4,,,,,,
9,173.75,1390,153,-275.659590375,8,1268,0.001,2.4641065859794615,0.1287137052259553,,
17,222.83333333333334,2674,152,-316.5542726666667,12,2520,0.001,2.7190696642949033,0.08471109395703444,,
24,236.0,3776,153,-313.363856,16,3654,0.001,1.8483061641454697,0.07865067751657578,,
27,209.3,4186,154,-273.4277785,20,4049,0.001,1.6616249939669734,0.09032357900693852,,
,,5000,,,,4458,0.001,1.3879850978851318,0.09743204741179944,782.7212261497974,1000.0
43,230.25,5526,127,-289.5037024583333,24,,,,,,
48,201.17857142857142,5633,115,-252.58835810714282,28,5554,0.001,0.42956578906844645,0.06552817650577601,,
50,184.09375,5891,116,-230.237049625,32,5792,0.001,0.29766937096913654,0.06686458841730387,,
51,167.22222222222223,6020,117,-208.55115783333332,36,5893,0.001,0.18961975599328676,0.06399169874687989,,
58,181.75,7270,124,-222.23297402500003,40,7096,0.001,-0.562188283963637,0.05660912436856465,,
61,192.0,8448,136,-231.28376288636366,44,7380,0.001,-0.633643141348068,0.06708919989137814,,
67,178.875,8586,126,-215.22447343750002,48,8507,0.001,-1.3041617274284363,0.06005118740722537,,
69,169.69230769230768,8824,127,-203.42415271153848,52,8734,0.001,-1.3908734580744868,0.07365653890630473,,
70,161.07142857142858,9020,128,-192.98560242857144,56,8871,0.001,-1.4541542254961455,0.08123509100866767,,
71,152.78333333333333,9167,128,-183.0192210666667,60,9064,0.001,-1.6225377412942739,0.07941994234919549,,
72,145.125,9288,128,-173.69030470312498,64,9187,0.001,-1.7274378878729684,0.07449872742096583,,
,,10000,,,,9220,0.001,-1.7282051408992094,0.0778771106040839,855.5931019842625,1000.0
100,167.9558823529412,11421,113,-196.89297158823527,68,11236,0.001,-3.3027044649124147,0.15580589354038238,,
102,160.625,11565,113,-188.1881388888889,72,11415,0.001,-4.038064390420914,0.16480463999323547,,
103,156.64473684210526,11905,114,-183.14414097368422,76,11631,0.001,-4.268438919024034,0.21714920025657525,,
105,151.225,12098,114,-176.608235675,80,11934,0.001,-4.716019178691663,0.22721840127518303,,
107,146.5595238095238,12311,114,-170.98002041666672,84,12224,0.001,-5.0192806974370425,0.2334257316716174,,
115,152.20454545454547,13394,116,-176.87225152272728,88,13284,0.001,-5.739471469879151,0.252214822769165,,
116,147.02173913043478,13526,116,-170.85565827173912,92,13430,0.001,-6.47634896365079,0.2850493577810434,,
125,154.52083333333334,14834,118,-178.98501878125,96,14711,0.001,-7.509510282516479,0.3051299401968718,,
,,15000,,,,14921,0.001,-8.291245293307615,0.3493658915642769,643.270500703901,1000.0
141,151.87,15187,107,-175.78803684000002,100,15013,0.001,-8.521936489985539,0.3228003371220369,,
143,153.36,15404,107,-177.1502322,104,15290,0.001,-8.761706385119208,0.3979376915254091,,
144,142.76,15666,108,-158.9418562,108,15508,0.001,-9.051863312721252,0.44642108771950006,,
146,132.25,15899,108,-145.63809473999999,112,15758,0.001,-9.441473865509034,0.4084832161664963,,
159,141.72,17948,112,-156.44063727,116,17866,0.001,-11.349234466552735,0.4303241382241249,,
167,149.09,19095,114,-164.58472114,120,18974,0.001,-13.08467960357666,0.44735021929483154,,
171,142.21,19747,115,-157.07850621,124,19655,0.001,-13.467976498791552,0.5470595232161651,,
,,20000,,,,19679,0.001,-13.747640371322632,0.4440031982958317,660.9774563692511,1000.0
191,152.7,20903,109,-169.07419946999994,128,20740,0.001,-14.754297603260387,0.45861592617901886,,
200,162.79,22170,110,-180.35115911999995,132,22037,0.001,-15.568689960479736,0.5864888600409031,,
203,172.35,23255,114,-191.01135042,136,22187,0.001,-16.132984042167664,0.6127418335527182,,
216,172.52,24522,113,-190.94747297,140,24396,0.001,-18.19519316066395,0.6419607956301082,,
218,163.12,24760,113,-180.9378673,144,24622,0.001,-18.44064489225062,0.8784090619028351,,
,,25000,,,,24692,0.001,-18.544473430088587,0.8476611980370112,617.7617652066052,1000.0
245,182.41,26827,109,-202.55127498000002,148,26724,0.001,-19.834657890319825,0.7030392953157425,,
246,182.23,27047,109,-202.65943374,152,26870,0.001,-20.307295949835527,0.7857043586279217,,
254,200.68,29088,114,-223.38194417,156,28020,0.001,-20.828655296325685,0.8264681577980518,,
