time/fps,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/n_updates,train/actor_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length
84,76,5,-6.414708789473684,458,6.026315789473684,1.5860896110534668,-2.1352152824401855,0.0003,357,-18.063722610473633,0.8985052704811096,,
83,80,5,-6.3628534375,479,5.9875,1.975110650062561,-2.2617316246032715,0.0003,378,-17.98593521118164,0.8928836584091187,,
82,84,6,-6.384466976190476,506,6.023809523809524,3.055398941040039,-2.3953280448913574,0.0003,405,-17.344223022460938,0.8857276439666748,,
82,88,6,-6.384103829545453,533,6.056818181818182,2.4082069396972656,-2.5631093978881836,0.0003,432,-17.780820846557617,0.8786430954933167,,
81,92,6,-6.2984139891304345,558,6.065217391304348,1.9035284519195557,-2.707674980163574,0.0003,457,-18.53799819946289,0.8721342086791992,,
80,96,7,-6.27602490625,583,6.072916666666667,3.4271399974823,-2.8599853515625,0.0003,482,-18.629629135131836,0.8656840920448303,,
79,100,7,-6.355088249999999,613,6.13,2.5078516006469727,-3.0328023433685303,0.0003,512,-18.790817260742188,0.8579997420310974,,
79,104,8,-6.38760785,639,6.21,2.5166988372802734,-3.1790311336517334,0.0003,538,-18.89712142944336,0.8513960242271423,,
78,108,8,-6.34549928,661,6.2,3.2528679370880127,-3.301072835922241,0.0003,560,-19.155887603759766,0.8458577394485474,,
78,112,8,-6.237720099999998,687,6.23,3.6654930114746094,-3.4314961433410645,0.0003,586,-18.669330596923828,0.8393739461898804,,
78,116,9,-6.07123622,710,6.17,2.482123851776123,-3.5871286392211914,0.0003,609,-19.004350662231445,0.833698570728302,,
77,120,9,-6.021257519999999,737,6.22,2.4227077960968018,-3.7137935161590576,0.0003,636,-18.434097290039062,0.8270742893218994,,
77,124,9,-5.963196479999999,763,6.29,2.8534679412841797,-3.851223945617676,0.0003,662,-18.979522705078125,0.820742130279541,,
77,128,10,-5.932285909999999,783,6.33,3.802410364151001,-4.003406047821045,0.0003,682,-19.198312759399414,0.8159036040306091,,
76,132,10,-5.7650079,813,6.34,3.0916969776153564,-4.148608207702637,0.0003,712,-19.586746215820312,0.8087127208709717,,
76,136,10,-5.65678709,841,6.36,3.4231762886047363,-4.263567924499512,0.0003,740,-18.533615112304688,0.8020709156990051,,
76,140,11,-5.47504099,868,6.39,2.798525094985962,-4.400644302368164,0.0003,767,-18.76049041748047,0.7957304120063782,,
76,144,11,-5.37708618,887,6.35,2.51475191116333,-4.525869846343994,0.0003,786,-19.38747787475586,0.791296660900116,,
75,148,12,-5.41947763,922,6.48,4.457696914672852,-4.687534809112549,0.0003,821,-18.320701599121094,0.7831920981407166,,
75,152,12,-5.16053086,949,6.47,3.7416200637817383,-4.8490681648254395,0.0003,848,-19.600492477416992,0.7770055532455444,,
75,156,12,-5.05958881,976,6.5,2.6391549110412598,-4.9860124588012695,0.0003,875,-18.609153747558594,0.7708703279495239,,
75,160,13,-4.977481869999999,997,6.41,2.590195655822754,-5.103076457977295,0.0003,896,-19.40896224975586,0.7661336064338684,,
75,164,13,-4.790199660000001,1018,6.32,4.062658786773682,-5.255031585693359,0.0003,917,-18.441104888916016,0.7614192962646484,,
74,168,14,-4.796345370000001,1056,6.51,3.9032938480377197,-5.486024856567383,0.0003,955,-18.07509994506836,0.7529361844062805,,
74,172,14,-4.750609360000001,1077,6.52,4.572587013244629,-5.572291374206543,0.0003,976,-17.46331214904785,0.748285710811615,,
74,176,14,-4.57751879,1106,6.48,2.8499197959899902,-5.754851818084717,0.0003,1005,-17.562068939208984,0.741932213306427,,
74,180,15,-4.5168913700000015,1131,6.52,3.505872964859009,-5.909334182739258,0.0003,1030,-18.6031551361084,0.736488401889801,,
74,184,15,-4.3799758,1154,6.48,4.016146659851074,-5.974793434143066,0.0003,1053,-17.06197166442871,0.7315189838409424,,
74,188,15,-4.34611059,1175,6.42,4.812211036682129,-6.160098552703857,0.0003,1074,-18.547422409057617,0.7270170450210571,,
74,192,16,-4.32130314,1201,6.43,4.014320373535156,-6.202029705047607,0.0003,1100,-18.978439331054688,0.7214798927307129,,
73,196,16,-4.32888367,1228,6.45,3.729893684387207,-6.477709770202637,0.0003,1127,-18.237987518310547,0.7157717943191528,,
