train/n_updates,time/total_timesteps,time/episodes,train/learning_rate,time/fps,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/actor_loss,eval/mean_ep_length,eval/mean_reward
1000,2059,4,0.001,338,6,0.011645716459403047,514.75,-768.37611875,-0.11077254999123397,,
4000,5000,,0.001,,,0.22159102438762784,,,2.5847193927764893,1000.0,-557.5972207650309
5000,5116,8,0.001,141,36,0.06556791290082037,639.5,-1182.541255,3.9973808822631836,,
6159,7218,12,0.001,166,43,0.1831201483309269,601.5,-917.08929975,5.176779482841492,,
9434,10000,,0.001,,,0.22316750707951458,,,8.70083619200665,979.2,643.9839833761158
,10493,16,,151,69,,655.8125,-779.1969258125,,,
13434,14493,20,0.001,161,89,0.1995334522873163,724.65,-657.28269115,10.498969753265381,,
14434,15000,,0.001,,,0.19042148496210576,,,10.916598836898803,1000.0,783.2703471757471
17434,18493,24,0.001,152,121,0.16231210916489364,770.5416666666666,-562.2269914166667,12.040951210021973,,
19434,20000,,0.001,,,0.13768348966538907,,,12.614259433746337,901.9,779.1513719249517
21434,22493,28,0.001,148,151,0.1257704148516059,803.3214285714286,-486.0916324285714,13.150062940597534,,
24434,25000,,0.001,,,0.10712541284412146,,,13.715258499145508,1000.0,911.3627259463071
25434,26493,32,0.001,144,182,0.09944563550129533,827.90625,-422.658284875,13.89137760925293,,
29434,30000,,0.001,,,0.0900191968306899,,,14.422270246505738,1000.0,938.952974358201
,30493,36,,142,213,,847.0277777777778,-371.83123530555554,,,
33434,34493,40,0.001,146,235,0.07735863350331783,862.325,-329.24743925,14.70070987892151,,
34434,35000,,0.001,,,0.07961177066341042,,,14.751124897003173,1000.0,963.833521386981
37434,38493,44,0.001,144,266,0.07310884550958872,874.8409090909091,-293.66467670454546,14.811530448913574,,
39434,40000,,0.001,,,0.07001380741037429,,,14.829890998840332,1000.0,960.2942203760147
41434,42493,48,0.001,142,298,0.06454807529971003,885.2708333333334,-263.92677566666663,14.851841718673706,,
44434,45000,,0.001,,,0.06592825641669332,,,14.809664194107055,1000.0,975.6690196096897
45434,46493,52,0.001,141,329,0.06877143831178546,894.0961538461538,-237.9120372884615,14.791212711334229,,
49434,50000,,0.001,,,0.05780631022155285,,,14.666883319854737,1000.0,966.1605649530887
,50493,56,,140,360,,901.6607142857143,-215.83890767857142,,,
53434,54493,60,0.001,142,381,0.05275909143313766,908.2166666666667,-196.63937223333332,14.536950101852417,,
54434,55000,,0.001,,,0.051616851830855015,,,14.489646635055543,1000.0,970.5545943915844
57434,58493,64,0.001,141,412,0.05125022299960256,913.953125,-179.78382621875,14.353653526306152,,
59434,60000,,0.001,,,0.04741916556283832,,,14.272918113708496,1000.0,973.3673601269722
61434,62493,68,0.001,140,444,0.050108504185453054,919.0147058823529,-164.76164897058823,14.183272510528564,,
64434,65000,,0.001,,,0.04576193716563284,,,14.063781288146973,1000.0,981.4198738098145
65434,66493,72,0.001,140,474,0.04648193267174065,923.5138888888889,-151.28171304166665,14.014719617843628,,
69434,70000,,0.001,,,0.041750036923214794,,,13.828875513076783,1000.0,980.0837958693504
,70493,76,,139,506,,927.5394736842105,-139.10132106578945,,,
73434,74493,80,0.001,141,528,0.03922620642837137,931.1625,-128.4708220125,13.614235162734985,,
74434,75000,,0.001,,,0.03969751402921975,,,13.564652973175049,1000.0,977.8117963790894
77434,78493,84,0.001,139,560,0.03715137074328959,934.4404761904761,-118.79233958333332,13.398999500274659,,
79434,80000,,0.001,,,0.03826148161292076,,,13.320705436706543,1000.0,973.8726162970066
81434,82493,88,0.001,139,591,0.03780594052374363,937.4204545454545,-109.82601801136364,13.230848342895507,,
84434,85000,,0.001,,,0.03451035409513861,,,13.070418125152587,1000.0,975.0208937630057
85434,86493,92,0.001,139,621,0.03737748048640788,940.1413043478261,-101.67797626086958,13.019502164840699,,
89434,90000,,0.001,,,0.03604299395810813,,,12.861683336257935,1000.0,973.3669170558453
,90493,96,,138,653,,942.6354166666666,-94.27990348958333,,,
93434,94493,100,0.001,139,675,0.03451985090784729,944.93,-87.44721601000003,12.696409685134888,,
94434,95000,,0.001,,,0.0337778913192451,,,12.656859739303588,1000.0,981.2893641114235
97434,98493,104,0.001,139,707,0.032627302339300515,964.34,-53.49600466000001,12.54562128829956,,
99434,100000,,0.001,,,0.03284393253549933,,,12.488638381958008,1000.0,984.6210195958614
101434,102493,108,0.001,138,739,0.03416923764161765,973.77,13.606521809999995,12.43359077644348,,
104434,105000,,0.001,,,0.031189119804650545,,,12.357403995513916,1000.0,984.8467864394188
105434,106493,112,0.001,138,770,0.03301657030358911,992.75,32.38067985,12.334171915054322,,
109434,110000,,0.001,,,0.03139369367621839,,,12.226170272827149,1000.0,979.6998011112213
,110493,116,,137,801,,1000.0,50.29492466999999,,,
113434,114493,120,0.001,139,823,0.030446551566943526,1000.0,60.329149550000004,12.128559494018555,,
114434,115000,,0.001,,,0.030312156243249774,,,12.106074825286866,1000.0,983.846908479929
117434,118493,124,0.001,138,854,0.03064878321811557,1000.0,67.12924045,12.034126747131348,,
119434,120000,,0.001,,,0.02952730181440711,,,11.971267000198365,1000.0,982.6853389203549
