rollout/ep_len_mean,train/n_updates,time/time_elapsed,time/fps,time/episodes,train/ent_coef,train/learning_rate,rollout/ep_rew_mean,train/critic_loss,time/total_timesteps,train/ent_coef_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length
942.01,183714,3172,57,208,0.017278144136071205,0.0003,788.35184352,0.2500443458557129,183815,-1.1021007299423218,-69.58111572265625,,
,184899,,,,0.018207548186182976,0.0003,,0.19177478551864624,185000,0.8683009743690491,-69.30474853515625,918.9351054253057,1000.0
942.01,187714,3240,57,212,0.01830376498401165,0.0003,782.63504234,0.21025097370147705,187815,0.3845563232898712,-68.92385864257812,,
,189899,,,,0.018234239891171455,0.0003,,0.2490026354789734,190000,0.25110864639282227,-69.08201599121094,937.5300101159606,1000.0
942.01,191714,3307,57,216,0.0185389444231987,0.0003,783.15874488,0.19576671719551086,191815,0.3376091420650482,-69.51677703857422,,
,194899,,,,0.018006455153226852,0.0003,,0.2607620358467102,195000,0.36053237318992615,-69.59312438964844,924.2600468499586,1000.0
951.93,195714,3375,58,220,0.018467208370566368,0.0003,792.5617803700001,0.30009984970092773,195815,-0.04825983941555023,-68.96697998046875,,
951.93,199714,3424,58,224,0.01802755519747734,0.0003,793.4630218,0.26526379585266113,199815,1.3497871160507202,-67.64978790283203,,
,199899,,,,0.018144462257623672,0.0003,,0.32495415210723877,200000,-1.0554461479187012,-68.84605407714844,925.6494987055892,1000.0
972.26,203714,3491,58,228,0.017705604434013367,0.0003,821.08184476,0.28344911336898804,203815,-0.5015708208084106,-67.92118835449219,,
,204899,,,,0.01813563145697117,0.0003,,0.21736791729927063,205000,-0.08331656455993652,-69.24854278564453,925.5878081673291,1000.0
972.26,207714,3559,58,232,0.01763802394270897,0.0003,823.47524691,0.3240309953689575,207815,1.0767687559127808,-69.58818054199219,,
,209899,,,,0.01781219244003296,0.0003,,0.15252405405044556,210000,-0.47026434540748596,-69.61997985839844,936.5726270054234,1000.0
981.45,211714,3625,58,236,0.017672892659902573,0.0003,830.8113113100001,0.18884652853012085,211815,0.17233999073505402,-69.14420318603516,,
,214899,,,,0.017445864155888557,0.0003,,0.23831981420516968,215000,0.13778504729270935,-69.55088806152344,936.6677651873324,1000.0
981.45,215714,3691,58,240,0.017680497840046883,0.0003,831.3054509000001,0.11581645160913467,215815,0.6656262874603271,-71.57283782958984,,
981.45,219714,3742,58,244,0.017073599621653557,0.0003,838.60520713,0.1659172773361206,219815,-0.780917763710022,-70.23527526855469,,
,219899,,,,0.016949927434325218,0.0003,,0.1611170917749405,220000,1.1659009456634521,-69.90127563476562,939.9577975095366,1000.0
981.45,223714,3809,58,248,0.017006395384669304,0.0003,839.61450985,0.14087700843811035,223815,0.23942974209785461,-70.39617156982422,,
,224899,,,,0.01722603105008602,0.0003,,0.14365004003047943,225000,0.17735697329044342,-69.96893310546875,940.8518209751695,1000.0
981.14,226761,3864,58,252,0.01685444451868534,0.0003,847.2803753300001,0.11781737208366394,226862,0.5424419045448303,-71.19233703613281,,
,229899,,,,0.016229549422860146,0.0003,,0.17997504770755768,230000,-0.460374116897583,-70.48690032958984,946.8767788296566,1000.0
981.14,230761,3932,58,256,0.016510143876075745,0.0003,848.30599785,0.1636754870414734,230862,-0.044649749994277954,-71.12677001953125,,
981.14,234761,3981,58,260,0.016105063259601593,0.0003,849.02220796,0.16760969161987305,234862,1.3732713460922241,-71.56561279296875,,
