time/time_elapsed,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/fps,time/total_timesteps,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,eval/mean_reward,eval/mean_ep_length
0,59.12347425,4,6.5,2778,26,,,,,,
0,59.135949749999995,8,6.5,2650,52,,,,,,
0,59.976193249999994,12,6.583333333333333,2495,79,,,,,,
0,65.0418948125,16,7.125,2209,114,,,,,,
0,58.25251595000001,20,6.4,428,128,0.001,25,-7.365506649017334,25.48518435160319,,
0,53.73152891666667,24,5.916666666666667,304,142,0.001,40,-9.472021579742432,10.584013938903809,,
0,50.79708814285715,28,5.607142857142857,253,157,0.001,55,-9.770323753356934,1.8575271368026733,,
0,48.58985415625,32,5.375,226,172,0.001,69,-10.194189548492432,0.6242755353450775,,
0,46.65027058333334,36,5.166666666666667,201,186,0.001,83,-10.21970272064209,0.8002634247144064,,
1,44.676546574999996,40,4.95,184,198,0.001,96,-10.460733890533447,0.5900425314903259,,
1,43.81630738636364,44,4.863636363636363,174,214,0.001,111,-10.806091785430908,0.7864046841859818,,
1,42.75661822916666,48,4.75,166,228,0.001,125,-10.960715770721436,0.8211837857961655,,
1,41.85810484615384,52,4.653846153846154,159,242,0.001,140,-11.035544872283936,1.0529369860887527,,
1,40.94215908928571,56,4.553571428571429,153,255,0.001,153,-11.323275089263916,0.9101856350898743,,
1,40.281741366666665,60,4.483333333333333,149,269,0.001,167,-11.389111518859863,1.2222477495670319,,
1,39.44529874999999,64,4.390625,146,281,0.001,179,-11.623244285583496,1.2782525221506755,,
2,39.0731691617647,68,4.352941176470588,139,296,0.001,194,-12.03574275970459,1.3719912469387054,,
2,38.512957236111106,72,4.291666666666667,137,309,0.001,207,-11.830045700073242,1.3882794976234436,,
2,38.120395355263156,76,4.25,135,323,0.001,221,-12.082615852355957,1.419412910938263,,
2,37.7685375625,80,4.2125,132,337,0.001,235,-12.377429008483887,2.065293073654175,,
2,37.450215880952385,84,4.178571428571429,129,351,0.001,249,-12.406950950622559,1.600461522738139,,
2,37.16040743181818,88,4.1477272727272725,128,365,0.001,262,-12.22557020187378,1.6681029399236043,,
3,36.80514330434782,92,4.108695652173913,124,378,0.001,276,-12.572485446929932,2.1285277207692466,,
3,36.47906972916667,96,4.072916666666667,121,391,0.001,288,-12.301495552062988,1.8314675490061443,,
3,36.26074054,100,4.05,120,405,0.001,303,-12.225815773010254,2.4716123739878335,,
3,35.22275082000001,104,3.94,119,420,0.001,317,-12.693424224853516,2.412338892618815,,
3,34.26534479,108,3.84,118,436,0.001,333,-12.869010925292969,2.365714371204376,,
3,33.04298631,112,3.71,116,450,0.001,348,-12.826839447021484,2.480442007382711,,
4,30.992775290000004,116,3.49,115,463,0.001,361,-12.851921081542969,2.7444193363189697,,
4,30.990782800000005,120,3.49,115,477,0.001,374,-13.93045425415039,2.8538330793380737,,
4,31.156432969999997,124,3.51,115,493,0.001,390,-14.048458576202393,3.4687880277633667,,
4,31.241024539999998,128,3.52,113,509,0.001,406,-13.834564208984375,2.6045747697353363,,
4,31.15644812,132,3.51,112,523,0.001,420,-13.355978012084961,2.8013177712758384,,
4,31.073387719999996,136,3.5,111,536,0.001,434,-14.067064762115479,2.541745185852051,,
4,31.239240699999993,140,3.52,110,550,0.001,448,-14.285714626312256,2.785316050052643,,
5,31.07534056,144,3.5,110,564,0.001,462,-14.02994155883789,2.624178469181061,,
5,31.07508882,148,3.5,109,578,0.001,475,-14.613539695739746,2.9330808321634927,,
5,30.989785780000002,152,3.49,108,591,0.001,489,-14.754308223724365,2.929389774799347,,
5,31.15509323,156,3.51,108,606,0.001,503,-14.722051620483398,2.67516028881073,,
5,31.24161982,160,3.52,107,621,0.001,519,-14.412205219268799,3.548397123813629,,
5,31.494011219999997,164,3.55,107,636,0.001,533,-14.927970886230469,3.452580451965332,,
6,31.412455660000006,168,3.54,107,650,0.001,547,-14.926665306091309,3.2301647663116455,,
6,31.41233360999999,172,3.54,107,663,0.001,560,-14.793885707855225,3.231026808420817,,
6,31.41249511,176,3.54,107,677,0.001,574,-14.919662475585938,3.24428923924764,,
6,31.32831978,180,3.53,106,690,0.001,588,-15.443495273590088,2.9465843439102173,,
6,31.41023294,184,3.54,106,705,0.001,603,-15.3338623046875,3.4117079377174377,,
6,31.327334410000002,188,3.53,106,718,0.001,616,-15.436694145202637,2.9424737294514975,,
6,31.49427656,192,3.55,106,733,0.001,631,-15.708147048950195,3.2056710720062256,,
7,31.492214169999997,196,3.55,106,746,0.001,644,-15.7820725440979,3.5142207940419516,,
7,31.493782349999996,200,3.55,106,760,0.001,658,-15.916386604309082,4.0852571328481035,,
7,31.32761819,204,3.53,106,773,0.001,671,-15.503511905670166,3.8757323026657104,,
7,31.163057249999998,208,3.51,106,787,0.001,684,-15.679864883422852,3.606074869632721,,
7,31.245821369999998,212,3.52,106,802,0.001,699,-16.795442581176758,3.776749928792318,,
