time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
1752,98,0,126.96009075,24.5,4,,,,,,
186,161,0,100.89354262500001,20.125,8,1.2519999401909965,49,-5.289638791765485,0.001,,
183,217,1,89.30204608333334,18.083333333333332,12,0.15917142374174936,105,-7.124795504978725,0.001,,
181,274,1,83.823073625,17.125,16,0.18071576367531503,162,-8.05637012209211,0.001,,
181,330,1,80.3072027,16.5,20,0.25127941370010376,218,-8.752552168709892,0.001,,
182,387,2,78.13313733333334,16.125,24,0.19156000365813572,275,-9.284950937543597,0.001,,
182,443,2,76.42604146428572,15.821428571428571,28,0.4315193997962134,331,-9.923365729195732,0.001,,
181,501,2,75.43514334375,15.65625,32,0.3582380328859602,389,-10.446939740862165,0.001,,
180,558,3,74.54442769444444,15.5,36,0.33444347729285556,446,-10.974852085113525,0.001,,
181,615,3,73.830980075,15.375,40,0.47160692725862774,503,-11.476452146257673,0.001,,
181,673,3,73.34117788636364,15.295454545454545,44,0.5468611766894659,561,-12.22362927028111,0.001,,
182,729,3,72.7491551875,15.1875,48,0.44482407718896866,617,-12.651484625680107,0.001,,
182,786,4,72.33319203846153,15.115384615384615,52,0.5767829077584403,674,-13.286423138209752,0.001,,
183,842,4,71.8947509642857,15.035714285714286,56,0.4874749816954136,730,-13.76027434212821,0.001,,
183,898,4,71.51820513333334,14.966666666666667,60,0.38224918342062403,786,-14.125910758972168,0.001,,
183,954,5,71.18489228125,14.90625,64,0.3853753134608269,842,-14.547722816467285,0.001,,
184,1010,5,70.88763689705881,14.852941176470589,68,0.38828827121428083,898,-15.254728862217494,0.001,,
184,1062,5,70.36314940277778,14.75,72,0.9559745077903454,951,-15.56057866414388,0.001,,
184,1114,6,69.89931413157896,14.657894736842104,76,0.9526929603173182,1003,-15.910213311513266,0.001,,
183,1166,6,69.480816625,14.575,80,0.7692118814358344,1055,-16.34242312113444,0.001,,
183,1218,6,69.09946976190476,14.5,84,0.4198929163125845,1107,-16.726048469543457,0.001,,
183,1271,6,68.80630761363636,14.443181818181818,88,0.5876651566762191,1160,-17.12447193690709,0.001,,
182,1323,7,68.48819711956521,14.380434782608695,92,0.47700577000012767,1212,-17.616697311401367,0.001,,
182,1375,7,68.19929423958334,14.322916666666666,96,0.4978984044148372,1264,-17.923378808157786,0.001,,
182,1427,7,67.92797213,14.27,100,0.6217112770447364,1316,-18.28163937159947,0.001,,
183,1479,8,65.30739999000001,13.81,104,0.39898949746902174,1368,-18.87763922555106,0.001,,
183,1532,8,64.8196716,13.71,108,0.3804821627480643,1421,-19.106125695364817,0.001,,
182,1584,8,64.63394626000002,13.67,112,0.391956416460184,1473,-19.138237635294598,0.001,,
182,1636,8,64.39595644,13.62,116,0.4866885474094978,1525,-19.4348045984904,0.001,,
182,1689,9,64.25261492,13.59,120,0.5528967550822667,1578,-20.106372833251953,0.001,,
182,1741,9,64.02506151,13.54,124,0.691376078587312,1630,-19.94749014718192,0.001,,
182,1793,9,63.83868783,13.5,128,0.4565870486772977,1682,-20.594446454729354,0.001,,
182,1845,10,63.55726095,13.44,132,0.5376755033548062,1734,-20.607495171683176,0.001,,
182,1897,10,63.32178920999999,13.39,136,0.6501260646260701,1786,-20.97336769104004,0.001,,
182,1949,10,63.08194460000001,13.34,140,0.7125777579270877,1838,-21.28361020769392,0.001,,
182,2001,10,62.799165,13.28,144,0.47670005147273725,1890,-21.83192879813058,0.001,,
182,2053,11,62.60711253,13.24,148,0.553714972275954,1942,-21.949710845947266,0.001,,
182,2105,11,62.37109256000001,13.19,152,0.5037013521561255,1994,-22.03674370901925,0.001,,
182,2157,11,62.183336849999996,13.15,156,0.6200673178984568,2046,-22.532044001988,0.001,,
182,2209,12,61.99353068000001,13.11,160,0.38706594934830296,2098,-23.2774042401995,0.001,,
182,2262,12,61.854401530000004,13.08,164,0.39958169712470126,2150,-22.829842703683035,0.001,,
181,2314,12,61.66908936,13.04,168,0.6385243626741263,2203,-23.21025053660075,0.001,,
181,2366,13,61.66756813999999,13.04,172,0.34992159788425153,2255,-23.53240744272868,0.001,,
181,2418,13,61.66358177999999,13.04,176,0.35356932190748364,2307,-23.341723442077637,0.001,,
181,2470,13,61.66210049,13.04,180,0.5249576035600442,2359,-24.1117738087972,0.001,,
180,2522,14,61.66248413,13.04,184,0.4650447013286444,2411,-24.093623479207356,0.001,,
179,2574,14,61.615728880000006,13.03,188,0.620922728226735,2463,-23.95590813954671,0.001,,
179,2628,14,61.70710487,13.05,192,0.5817366861380063,2516,-24.219614846365793,0.001,,
179,2681,14,61.75108995999999,13.06,196,0.5005983011080668,2570,-24.927508217947825,0.001,,
179,2733,15,61.74778066,13.06,200,0.49366343250641453,2622,-25.49084554399763,0.001,,
178,2785,15,61.74894611999999,13.06,204,0.3173888990512261,2674,-25.746227264404297,0.001,,
178,2837,15,61.70362372,13.05,208,0.2979637441726831,2726,-25.931115014212473,0.001,,
178,2889,16,61.705421320000006,13.05,212,0.4650161564350128,2778,-26.101411274501256,0.001,,
178,2942,16,61.75436619,13.06,216,0.7317259599055562,2831,-25.146480560302734,0.001,,
178,2995,16,61.75428006999999,13.06,220,0.7593227149202273,2884,-25.96492794581822,0.001,,
178,3047,17,61.74905804,13.06,224,0.39715382571403796,2936,-26.384213856288365,0.001,,
178,3100,17,61.79729885999999,13.07,228,0.46633786282369066,2989,-26.673540660313197,0.001,,
178,3153,17,61.84723476999999,13.08,232,0.5663352654530451,3041,-26.984970092773438,0.001,,
177,3205,18,61.847433390000006,13.08,236,0.3603395802470354,3094,-26.86210196358817,0.001,,
177,3257,18,61.851069710000004,13.08,240,0.45246346868001497,3146,-27.183861596243723,0.001,,
177,3309,18,61.853360679999994,13.08,244,0.4283900891359036,3198,-27.154116766793386,0.001,,
177,3363,18,61.94892218999999,13.1,248,0.29563443682023455,3252,-27.821080344063894,0.001,,
177,3415,19,61.94656630999999,13.1,252,0.7016553328587458,3304,-27.215267453874862,0.001,,
177,3467,19,61.94318201000001,13.1,256,0.705911214535053,3356,-27.775571005684988,0.001,,
177,3519,19,61.93778716,13.1,260,0.5970008625433996,3408,-27.23870304652623,0.001,,
177,3572,20,61.93739746,13.1,264,0.6214855359150813,3460,-27.297813143048966,0.001,,
177,3625,20,61.98036668,13.11,268,0.40201592731934327,3514,-28.8380857195173,0.001,,
177,3677,20,61.98528834,13.11,272,0.40211926286037153,3566,-28.353644234793528,0.001,,
177,3731,20,62.081375910000006,13.13,276,0.5116215422749519,3620,-28.390993935721262,0.001,,
177,3783,21,62.081368829999995,13.13,280,0.8014387304966266,3672,-27.987171173095703,0.001,,
177,3837,21,62.176168219999994,13.15,284,0.6137050802891071,3725,-28.592439969380695,0.001,,
177,3890,21,62.22348352,13.16,288,0.525479291494076,3779,-28.623621940612793,0.001,,
177,3942,22,62.129021429999995,13.14,292,0.5156333480889981,3831,-29.25547440846761,0.001,,
177,3994,22,62.07974848,13.13,296,0.6354705737187312,3883,-28.347821553548176,0.001,,
177,4049,22,62.22883948,13.16,300,0.6694212513310569,3938,-28.537114552089147,0.001,,
177,4101,23,62.22392248000001,13.16,304,0.5114501898105328,3990,-29.390591757638113,0.001,,
177,4153,23,62.22134209,13.16,308,0.6615258501126215,4042,-29.189790725708008,0.001,,
177,4205,23,62.21931660999999,13.16,312,0.6100280640216974,4094,-29.03426606314523,0.001,,
177,4257,24,62.17077006,13.15,316,0.6690467401192739,4146,-29.466352190290177,0.001,,
177,4310,24,62.17136495,13.15,320,0.8268735362933233,4198,-29.120479583740234,0.001,,
176,4359,24,62.02983206000001,13.12,324,0.9208715769151846,4248,-30.940677960713703,0.001,,
176,4409,24,61.887304320000005,13.09,328,1.3246935789401715,4299,-29.39090855916341,0.001,,
176,4458,25,61.694052250000006,13.05,332,1.1766787125514104,4348,-31.125582013811385,0.001,,
176,4509,25,61.64241559,13.04,336,1.1386865514975328,4398,-30.595034190586635,0.001,,
176,4560,25,61.59327419,13.03,340,1.2228066623210907,4449,-30.607657114664715,0.001,,
176,4609,26,61.457107689999994,13.0,344,1.0412834485371907,4498,-31.10411262512207,0.001,,
177,4660,26,61.31507794,12.97,348,1.179638603558907,4550,-30.45430019923619,0.001,,
177,4711,26,61.270279640000005,12.96,352,1.1147770423155565,4600,-30.728300639561244,0.001,,
177,4760,26,61.13097366,12.93,356,1.0880899553497632,4650,-31.105295181274414,0.001,,
177,4811,27,61.08983881000001,12.92,360,0.9482066860565772,4701,-30.820993423461914,0.001,,
177,4861,27,60.94674846000001,12.89,364,0.9468753784894943,4750,-30.831376393636067,0.001,,
