time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/episodes,train/n_updates,train/learning_rate,train/actor_loss,train/critic_loss,eval/mean_reward,eval/mean_ep_length
93,189.21052631578948,14380,154,-221.40943776315794,76,14252,0.001,-8.175728718439737,0.3239054984372595,,
94,183.55,14684,154,-214.61545270000002,80,14537,0.001,-8.535333199934525,0.38392140036043915,,
95,177.13095238095238,14879,155,-206.95986997619045,84,14746,0.001,-8.852213827768962,0.41120669094182677,,
,,15000,,,,14785,0.001,-9.020955587688245,0.37410244116416347,785.1622203685343,1000.0
105,172.01136363636363,15137,142,-200.8958278977273,88,14952,0.001,-9.324979782104492,0.45408907218983297,,
108,168.5108695652174,15503,143,-196.72108721739127,92,15362,0.001,-9.763130234283151,0.4415544727953469,,
109,163.64583333333334,15710,143,-190.884204375,96,15584,0.001,-10.170789294772678,0.47392021908479576,,
110,160.54,16054,144,-187.17754309000003,100,15904,0.001,-10.710956788832142,0.4990360804142491,,
116,172.3,17399,148,-200.75663136,104,17076,0.001,-12.821961641311646,0.521651065243142,,
124,188.89,19488,156,-217.47104624,108,18394,0.001,-14.391685375213623,0.6639660183787346,,
,,20000,,,,19472,0.001,-17.52440859476725,0.7632618032652756,385.3634943491837,1000.0
139,188.47,20566,147,-212.85297903999998,112,,,,,,
150,206.8,22653,150,-233.85956433999996,116,21559,0.001,-21.470765264410723,0.9470761559511486,,
165,217.51,24810,150,-246.61261492999995,120,24603,0.001,-26.218920829772948,1.3188062245249748,,
,,25000,,,,24850,0.001,-27.529658360267753,1.4326329475908137,429.8072831735568,1000.0
176,208.46,25095,142,-236.57473933,124,24978,0.001,-27.75559165742662,1.5926946233695662,,
178,217.5,26345,147,-247.15134099999995,128,25251,0.001,-28.345763978504,1.654951859088171,,
189,217.46,28396,149,-249.08751243000003,132,27302,0.001,-31.947986475626628,2.578699723879496,,
195,210.79,28889,147,-242.25553391000003,136,28751,0.001,-34.519629287719724,2.3909660547971727,,
,,30000,,,,29795,0.001,-34.77475136566162,2.3035369374752044,484.6101195275984,1000.0
212,215.01,30373,143,-248.24257946999998,140,30097,0.001,-35.99279855798792,3.036405073512684,,
219,225.34,31545,143,-260.77864401000005,144,31434,0.001,-37.38532584054129,2.6523605840546742,,
220,217.12,31842,144,-252.33676162000003,148,31680,0.001,-37.4281575012207,3.2022305630674266,,
222,219.08,32174,144,-254.97377541999995,152,31985,0.001,-38.054929845473346,3.5967941487707744,,
223,210.66,32445,145,-246.03969493,156,32237,0.001,-38.2623101619252,3.4166052807932314,,
225,209.75,32733,145,-245.29699840999993,160,32542,0.001,-38.65959582609289,3.2208836754756187,,
227,204.47,33300,146,-239.97490536,164,33025,0.001,-39.2660642351423,4.211956538851299,,
234,215.1,34462,147,-252.48066272999998,168,34305,0.001,-39.7032073135376,4.140445729017258,,
235,214.89,34791,147,-252.48280406,172,34608,0.001,-40.13697633586946,4.547190388695139,,
,,35000,,,,34839,0.001,-40.33488337198893,6.134602322870371,440.7752144313243,1000.0
246,206.28,35008,141,-243.06071147,176,,,,,,
248,208.15,35499,142,-245.40461331000003,180,35223,0.001,-40.39899362836565,3.6972751453005035,,
251,215.1,36389,144,-253.42746403,184,35565,0.001,-41.02391115824381,5.3551143407821655,,
255,214.9,36627,143,-253.36324214000004,188,36456,0.001,-41.02353006998698,4.474821372826894,,
256,213.21,36824,143,-251.66678554000006,192,36704,0.001,-41.80537083943685,3.9559645406131088,,
259,217.38,37448,144,-257.06996383,196,37265,0.001,-42.00724124908447,5.044108554720879,,
260,215.02,37556,144,-254.60594431,200,37440,0.001,-41.74944623311361,4.6667758623758955,,
266,213.64,38763,145,-253.57253548,204,38635,0.001,-41.627532981872555,5.3148356924057,,
267,195.26,39014,145,-232.83384820000003,208,38863,0.001,-41.78547037564791,4.801903312022869,,
269,188.75,39441,146,-225.42194512000003,212,39324,0.001,-42.007520120355146,5.156409864184223,,
