train/n_updates,rollout/ep_len_mean,train/actor_loss,time/time_elapsed,time/episodes,time/fps,time/total_timesteps,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
200,100.0,1.664239866733551,1,4,294,400,0.001,0.036871538262348624,-115.67075425,,
300,,1.7446674609184265,,,,500,0.001,0.009197296433849261,,-99.2837569,100.0
600,100.0,2.076566252708435,5,8,143,800,0.001,0.00777004204923287,-95.93404699999999,,
800,,2.420113763809204,,,,1000,0.001,0.015262386235408485,,-71.37657535000001,100.0
1000,100.0,2.7045336055755613,9,12,123,1200,0.001,0.011514660781249403,-88.43449716666667,,
1300,,3.1596113777160646,,,,1500,0.001,0.010540276695974172,,-70.65572985,100.0
1400,100.0,3.3587889957427977,13,16,115,1600,0.001,0.016196393305435777,-84.3676450625,,
1800,,4.06537232875824,,,,2000,0.001,0.016618392914533615,,-61.2521019,100.0
,100.0,,18,20,110,2000,,,-81.6089733,,
2200,100.0,4.697750835418701,20,24,116,2400,0.001,0.01801611210219562,-78.0435775,,
2300,,4.854706211090088,,,,2500,0.001,0.017726368140429258,,-62.593333099999995,100.0
2600,100.0,5.35377311706543,24,28,112,2800,0.001,0.020692266700789334,-74.77814103571428,,
2800,,5.636733160018921,,,,3000,0.001,0.02826489955186844,,-55.5882027,100.0
3000,100.0,5.904480142593384,28,32,111,3200,0.001,0.021149294301867485,-72.06025396875,,
3300,,6.3570813465118405,,,,3500,0.001,0.024203135073184966,,-56.76794000000001,100.0
3400,100.0,6.518247270584107,32,36,109,3600,0.001,0.02691947371698916,-69.74707377777777,,
3800,,7.131870365142822,,,,4000,0.001,0.029124781507998704,,-56.09168064999999,100.0
,100.0,,36,40,108,4000,,,-68.52577175,,
4200,100.0,7.652240324020386,39,44,112,4400,0.001,0.027044885819777847,-66.26836565909092,,
4300,,7.7813073348999025,,,,4500,0.001,0.030058785490691662,,-52.635402,100.0
4600,100.0,8.211166048049927,43,48,110,4800,0.001,0.02919183988124132,-64.80095881250001,,
4800,,8.471471557617187,,,,5000,0.001,0.03574194861575961,,-55.47284095,100.0
5000,100.0,8.743390560150146,47,52,109,5200,0.001,0.032005188912153246,-63.97078786538462,,
5300,,9.225450057983398,,,,5500,0.001,0.02913140520453453,,-56.04474435000001,100.0
5400,100.0,9.350465145111084,51,56,108,5600,0.001,0.030947027020156382,-63.49863023214285,,
5800,,9.90623067855835,,,,6000,0.001,0.03125966694205999,,-53.50400404999999,100.0
,100.0,,55,60,107,6000,,,-62.56092316666666,,
6200,100.0,10.480693473815919,58,64,110,6400,0.001,0.035751000847667455,-61.899123828125006,,
6300,,10.638367118835449,,,,6500,0.001,0.03855292722582817,,-50.800701,100.0
6600,100.0,11.03818202972412,62,68,109,6800,0.001,0.033774864319711925,-60.903894044117656,,
6800,,11.283558235168456,,,,7000,0.001,0.03571135388687253,,-52.63148854999999,100.0
7000,100.0,11.53480094909668,66,72,108,7200,0.001,0.03669364295899868,-60.21334927777778,,
7300,,11.938999538421632,,,,7500,0.001,0.04285280702635646,,-53.00656019999999,100.0
7400,100.0,12.041133270263671,70,76,107,7600,0.001,0.03639374956488609,-59.742223763157895,,
7800,,12.573269691467285,,,,8000,0.001,0.03773185394704342,,-52.7514411,100.0
,100.0,,75,80,106,8000,,,-59.067624525,,
8200,100.0,13.105739765167236,77,84,108,8400,0.001,0.04624093858525157,-58.58353569047618,,
8300,,13.177574634552002,,,,8500,0.001,0.03685036676004529,,-53.213767849999996,100.0
8600,100.0,13.631922721862793,81,88,107,8800,0.001,0.03919945895671845,-58.22393570454545,,
8800,,13.899003734588623,,,,9000,0.001,0.04482918443158269,,-55.213711,100.0
