rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/episodes,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss,eval/mean_ep_length,eval/mean_reward
13.0,52,11.245141,3591,0,4,,,,,,
30.0,240,27.3140485,327,0,8,-1.0870753870172016,119,0.001,0.05070814106343392,,
27.416666666666668,329,31.19101383333334,265,1,12,-1.7745447592301802,207,0.001,0.027334507216106762,,
26.125,418,33.136075437500004,232,1,16,-2.1900675730271773,297,0.001,0.05849959083240141,,
25.8,516,32.747120550000005,217,2,20,-2.7157146713950415,387,0.001,0.06095606388281221,,
36.333333333333336,872,44.297751166666664,198,4,24,-3.36405669559132,750,0.001,0.10705471619270569,,
34.285714285714285,960,43.470861285714285,199,4,28,-3.8123538494110107,840,0.001,0.19012179225683212,,
32.8125,1050,42.93671603125,198,5,32,-4.110755616968328,929,0.001,0.21334279571538386,,
32.22222222222222,1160,43.4587013888889,202,5,36,-4.5773857434590655,1018,0.001,0.2979686127408691,,
32.35,1294,44.61657625,198,6,40,-5.2013375338386085,1164,0.001,0.3302174453787944,,
31.954545454545453,1406,44.99564013636364,197,7,44,-5.565082963307699,1285,0.001,0.2944632658073979,,
33.875,1626,49.27086845833333,198,8,48,-6.265837609767914,1474,0.001,0.3147895610395898,,
34.36538461538461,1787,50.816827961538465,193,9,52,-6.9633970856666565,1666,0.001,0.3584843100385463,,
34.94642857142857,1957,52.40129542857143,194,10,56,-7.4444397046015816,1819,0.001,0.43591544619546485,,
34.85,2091,52.769271350000004,192,10,60,-8.048294417063396,1966,0.001,0.8571915596723556,,
34.34375,2198,52.407743890625,192,11,64,-8.469473975045341,2072,0.001,0.667461385684354,,
33.8235294117647,2300,51.953919544117646,192,11,68,-8.895617118248573,2175,0.001,0.7493873330262991,,
33.291666666666664,2397,51.44283991666667,193,12,72,-9.114598592122396,2272,0.001,0.9261659507950147,,
32.81578947368421,2494,50.97729113157895,192,12,76,-9.565436681111654,2373,0.001,0.9935793030261993,,
,2500,,,,,-9.576344923539596,2395,0.001,1.1746663491834293,22.05,38.879705029726026
32.2875,2583,50.383389512499996,188,13,80,-9.971269780939275,2462,0.001,1.1611291908405044,,
31.785714285714285,2670,49.803599916666656,189,14,84,-10.275840187072754,2549,0.001,1.2412681203512919,,
31.352272727272727,2759,49.331733863636366,189,14,88,-10.593343496322632,2638,0.001,1.2023863287075707,,
30.956521739130434,2848,48.88364436956522,189,15,92,-10.728960644115102,2726,0.001,1.0809557383710688,,
30.59375,2937,48.479360041666666,189,15,96,-11.214540221474387,2815,0.001,1.3053408170288259,,
31.79,3179,51.17705045,193,16,100,-11.506675834655761,2982,0.001,0.993999180468646,,
34.35,3487,56.50958463999999,192,18,104,-12.473287070669778,3306,0.001,1.437312596006158,,
35.26,3766,59.73642167999999,190,19,108,-13.59215126615582,3607,0.001,1.575829329815778,,
37.01,4030,62.98657304000001,190,21,112,-14.442863543828329,3857,0.001,1.553574797593885,,
39.39,4357,67.73269733000001,189,23,116,-15.578386306762695,4172,0.001,1.2032338534632037,,
41.32,4648,72.13108525,188,24,120,-16.912602204542893,4469,0.001,2.236513541294978,,
,5000,,,,,-17.954232683368758,4848,0.001,2.2123428270368293,102.8,206.68662328124046
41.81,5053,76.24255115,177,28,124,,,,,,
44.96,5456,82.76486321,178,30,128,-19.365027446372835,5258,0.001,2.0560582055903898,,
48.01,5851,89.09189642000001,178,32,132,-20.7160015472999,5657,0.001,2.4110890865325927,,
51.0,6260,95.19301077999997,177,35,136,-21.957213507758247,6060,0.001,2.4343410490829256,,
53.74,6668,100.94992618,177,37,140,-23.248952126016423,6464,0.001,2.400234272893594,,
56.84,7090,107.37511781,178,39,144,-24.49674914433406,6889,0.001,2.5833299796168623,,
58.65,7491,111.37697388999999,178,42,148,-25.630035832243145,7290,0.001,2.7724245712870643,,
,7500,,,,,-25.93931329016592,7392,0.001,3.1138135837573633,98.95,195.5542540729046
61.29,7916,117.08921151999999,172,45,152,-26.604329875871247,7706,0.001,2.730412703518774,,
63.88,8345,122.81093687999999,173,48,156,-27.818776062556676,8141,0.001,3.239769317741905,,
66.72,8763,128.76624825,173,50,160,-28.729510793146098,8557,0.001,3.380044235935751,,
69.82,9180,134.65496715000003,174,52,164,-29.925981593581866,8949,0.001,3.232840954700363,,
72.96,9596,139.65030814000002,174,55,168,-30.527240287966844,9387,0.001,4.141945983990129,,
75.4,9937,143.32814387,173,57,172,-31.45817470550537,9768,0.001,4.21608880652657,,
,10000,,,,,-31.73081828526088,9838,0.001,4.737908957685743,91.05,147.03675940036774
77.75,10269,147.00014933,170,60,176,-32.0597817103068,10077,0.001,4.020336856444676,,
80.18,10601,151.49961857,170,62,180,-32.928151830037436,10418,0.001,4.043120112684038,,
81.66,10836,153.97061498,171,63,184,-33.158907651901245,10643,0.001,5.101116964311311,,
93.5,12109,167.61888559999997,172,70,188,-35.35183870031479,11924,0.001,4.165292133567154,,
96.37,12485,173.24167928,173,72,192,-36.07564536730448,12286,0.001,5.739767926434676,,
,12500,,,,,-36.471658630371095,12386,0.001,5.955449194908142,93.55,180.13763783574103
99.36,12873,179.1967024,170,75,196,-36.84584765964084,12674,0.001,5.525958409574296,,
100.81,13260,182.08327379000005,170,77,200,-37.49633983537262,13071,0.001,5.549381602157667,,
101.55,13642,183.67650035000003,170,79,204,-38.04184571901957,13444,0.001,5.7286912476023035,,
102.45,14011,185.87663720000003,171,81,208,-38.59888786315918,13826,0.001,5.741225667674132,,
103.62,14392,188.50541646,172,83,212,-38.917007966475055,14199,0.001,7.0203172812301124,,
104.19,14776,189.70829668,172,85,216,-39.80167373657227,14573,0.001,5.89318687081337,,
,15000,,,,,-39.83820762634277,14823,0.001,5.358580589294434,97.45,195.04303010702134
113.68,16016,198.75514254,178,89,220,-40.00113101715737,14917,0.001,8.32272105774981,,
112.63,16316,196.06567607,170,95,224,-41.38384901802495,16174,0.001,6.224420347303714,,
112.32,16688,193.99571788999998,172,96,228,-41.7807806583873,16422,0.001,7.453352953480408,,
,17500,,,,,-42.33623318923147,16976,0.001,8.286099735059237,510.55,559.4259269401431
118.17,17668,199.6760475,163,108,232,,,,,,
118.11,18071,199.96633352,160,112,236,-43.53165196437462,17867,0.001,7.433860007999013,,
117.44,18412,198.44511662000002,160,114,240,-44.53928166344052,18231,0.001,8.999629340452307,,
117.28,18818,198.47001626000002,160,116,244,-45.26086277431912,18627,0.001,7.786415934562683,,
117.2,19211,198.83190920999996,161,119,248,-45.733090689015945,19005,0.001,6.8326409493369615,,
119.73,19889,200.80462551000005,164,121,252,-46.11140060424805,19330,0.001,11.384066077165825,,
,20000,,,,,-46.87661246366279,19877,0.001,8.855082226895737,954.1,972.9250856995583
128.13,21158,207.37647896999997,146,144,256,-48.050675839793925,20974,0.001,9.933381813088642,,
135.39,22302,216.26875777999993,149,149,260,-48.93833257637772,21788,0.001,9.38145546741735,,
,22500,,,,,-49.330194500909336,22203,0.001,8.994035718527185,345.8,501.8994618982077
143.13,23493,226.62694517,145,161,264,-50.418970287547396,23199,0.001,8.160075666623957,,
148.05,24401,235.10726928999998,146,166,268,-50.97585095616872,24103,0.001,9.515860913756365,,
,25000,,,,,-51.82716181192053,24842,0.001,8.332130535539374,243.05,386.2178948521614
152.23,25160,243.49938562000006,144,173,272,,,,,,
169.45,27214,263.62409877000005,150,180,276,-52.532798561683066,26115,0.001,9.574964966288913,,
,27500,,,,,-52.90605504608154,27115,0.001,10.576124713659286,1000.0,1076.7415458649398
176.49,28250,268.59326763,136,206,280,-54.4809315999349,28138,0.001,8.555051763852438,,
181.6,28996,277.28525777,138,209,284,-54.40914995708163,28790,0.001,8.509192111000182,,
173.06,29415,270.82747851000005,138,211,288,-54.83002990146853,29215,0.001,10.045113946789893,,
173.68,29853,272.83300417000004,139,214,292,-54.78127032059889,29643,0.001,9.38059845337501,,
,30000,,,,,-54.71332924182598,29858,0.001,10.321050758545216,96.5,206.5384485155344
174.74,30347,275.23458721000003,138,218,296,-54.915553967158,30148,0.001,11.037179893224026,,
175.29,30789,276.91226906,139,220,300,-54.98438783792349,30576,0.001,9.72119264648511,,
175.84,31226,278.66046609999995,139,223,304,-55.47426259742593,31020,0.001,10.109590344201951,,
176.85,31696,281.07847057,140,225,308,-55.44610358729507,31496,0.001,11.399860705390122,,
177.56,32148,283.06962356,141,227,312,-55.27725015559667,31946,0.001,12.77493670307998,,
,32500,,,,,-55.12692536978886,32396,0.001,11.778773071437046,109.5,228.0136487931013
178.29,32605,284.81231741000005,140,231,316,,,,,,
170.22,33038,279.09788667,141,233,320,-55.40108284583459,32822,0.001,10.380676135276127,,
171.76,33492,282.82591947,141,236,324,-55.855337960379465,33280,0.001,10.388408091691163,,
172.56,33944,286.05705946,142,238,328,-55.80684226989746,33740,0.001,8.953664526939392,,
166.97,34365,281.35758543,142,240,332,-55.141689153817985,34165,0.001,9.859691963745998,,
167.19,34790,281.91983967,143,242,336,-55.40053650184914,34575,0.001,10.8789580044923,,
,35000,,,,,-55.616756439208984,34805,0.001,8.503576837087932,124.0,244.05821002721785
168.71,35283,285.36999066000004,142,247,340,-55.531493716769745,35043,0.001,15.340778953499264,,
171.17,35935,288.83141405000003,143,250,344,-55.431722691184596,35717,0.001,10.587352658881516,,
172.04,36415,290.32957565,143,253,348,-55.71973671347408,36195,0.001,9.530404874256678,,
175.01,37390,295.30601096000004,145,257,352,-55.57506174583958,36878,0.001,10.691845665239308,,
,37500,,,,,-55.804421471160595,37291,0.001,9.696808911408986,116.6,239.5776123970747
167.33,37891,290.2563995,144,262,356,-55.67675052472015,37669,0.001,8.60711986930282,,
160.78,38380,282.8699157,144,265,360,-55.984667460123696,38163,0.001,11.445463558859077,,
153.66,38859,274.33097419,145,267,364,-55.85829004141001,38647,0.001,9.84552041200491,,
149.37,39338,268.84685743999995,145,270,368,-55.84945797529377,39113,0.001,10.228353322036867,,
146.47,39807,264.79485614,145,272,372,-56.14806714551202,39579,0.001,10.116750651954586,,
,40000,,,,,-55.707934492725435,39826,0.001,10.44859648559053,116.55,244.2327033549547
130.82,40296,249.19458356999996,145,277,376,-55.476487559656945,40081,0.001,10.57164304871713,,
125.16,40766,247.76033656000004,145,280,380,-55.47648814467133,40551,0.001,9.419546551820709,,
123.08,41304,245.68118472999998,145,283,384,-55.35159976240517,41072,0.001,10.742828671483027,,
123.94,41809,247.03232173999996,146,286,388,-55.160560870992725,41582,0.001,9.584483960579181,,
124.18,42271,247.27951097999997,146,289,392,-55.051296945345605,42055,0.001,9.723421040227858,,
,42500,,,,,-54.6983364545382,42393,0.001,9.191371306918917,115.4,236.5338573217392
123.74,42721,246.72921571999996,145,293,396,-54.95100033869509,42514,0.001,10.60488836430321,,
124.11,43200,247.25095833,146,295,400,-54.706950341501546,42993,0.001,7.383683298864672,,
124.54,43680,247.83248916000005,146,298,404,-54.38981800694619,43461,0.001,8.533155302847586,,
124.93,44189,248.39659838,146,301,408,-54.729522583976625,43966,0.001,9.707929826918102,,
125.49,44697,249.03209174999995,147,303,412,-53.90113085233248,44461,0.001,9.787300863632789,,
