eval/mean_reward,time/total_timesteps,eval/mean_ep_length,time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/entropy_loss,train/std,train/clip_range,train/clip_fraction,train/n_updates,train/loss,train/learning_rate,train/approx_kl
-12.8337246671319,1000,50.0,,,,,,,,,,,,,,,,
-12.8337246671319,2000,50.0,,,,,,,,,,,,,,,,
,2048,,5,1,-60.495034524999994,368,50.0,,,,,,,,,,,
-12.77134638633579,3000,50.0,,,,,,-0.0054229563771514225,-0.00236356258392334,191.10470991134645,-2.8113995350897314,0.9789677262306213,0.2,0.037109375,10,60.97022247314453,0.0003,0.0053811977
-12.77134638633579,4000,50.0,,,,,,,,,,,,,,,,
,4096,,13,2,-60.28999901234568,310,50.0,,,,,,,,,,,
-12.9179773516953,5000,50.0,,,,,,-0.00614469764259411,0.3734027147293091,102.27989937067032,-2.7747022956609726,0.9583173990249634,0.2,0.02646484375,20,21.634641647338867,0.0003,0.004829372
-12.9179773516953,6000,50.0,,,,,,,,,,,,,,,,
,6144,,20,3,-59.42427346999998,298,50.0,,,,,,,,,,,
-11.744963679090143,7000,50.0,,,,,,-0.007732211152324453,0.3107450008392334,62.12489432692528,-2.724307592958212,0.9255959987640381,0.2,0.0427734375,30,12.349255561828613,0.0003,0.008087107
-11.744963679090143,8000,50.0,,,,,,,,,,,,,,,,
,8192,,28,4,-58.728501320000014,288,50.0,,,,,,,,,,,
-12.889326788112522,9000,50.0,,,,,,-0.005662680402747355,0.29836541414260864,55.67527071833611,-2.644608888030052,0.884332537651062,0.2,0.0189453125,40,11.715045928955078,0.0003,0.007648915
-12.889326788112522,10000,50.0,,,,,,,,,,,,,,,,
,10240,,36,5,-57.275485450000005,283,50.0,,,,,,,,,,,
-16.687773003429175,11000,50.0,,,,,,-0.009223746781935915,0.17946851253509521,38.59560831487179,-2.547047956287861,0.8454799652099609,0.2,0.056201171875,50,7.614243507385254,0.0003,0.010734085
-16.687773003429175,12000,50.0,,,,,,,,,,,,,,,,
,12288,,43,6,-55.09829253000001,281,50.0,,,,,,,,,,,
-16.469562884420156,13000,50.0,,,,,,-0.010161933898052667,0.33361947536468506,31.39679183661938,-2.45986490175128,0.8111778497695923,0.2,0.0494140625,60,6.58029842376709,0.0003,0.0063786968
-16.469562884420156,14000,50.0,,,,,,,,,,,,,,,,
,14336,,51,7,-53.64816913000001,279,50.0,,,,,,,,,,,
-16.95597023740411,15000,50.0,,,,,,-0.010409811142017134,0.38281190395355225,24.791223883628845,-2.3709735624492168,0.7733206152915955,0.2,0.065234375,70,6.340046405792236,0.0003,0.009958211
-16.95597023740411,16000,50.0,,,,,,,,,,,,,,,,
,16384,,59,8,-52.70383380000001,275,50.0,,,,,,,,,,,
-20.073115546256304,17000,50.0,,,,,,-0.0171828201826429,0.7267524302005768,29.482906031608582,-2.3081655971705914,0.7618297338485718,0.2,0.094140625,80,12.62562370300293,0.0003,0.007362442
-20.073115546256304,18000,50.0,,,,,,,,,,,,,,,,
,18432,,67,9,-52.649653589999986,274,50.0,,,,,,,,,,,
-26.63436573445797,19000,50.0,,,,,,-0.020222555141663177,0.802318200469017,39.176251363754275,-2.288577306270599,0.7577953338623047,0.2,0.1109375,90,23.46137237548828,0.0003,0.0087933
-26.63436573445797,20000,50.0,,,,,,,,,,,,,,,,
,20480,,74,10,-53.10921491,274,50.0,,,,,,,,,,,
-33.85742945224047,21000,50.0,,,,,,-0.018078490943298674,0.8798691928386688,30.507296508550645,-2.2725730933248998,0.7504501342773438,0.2,0.10869140625,100,16.59377670288086,0.0003,0.008826032
-33.85742945224047,22000,50.0,,,,,,,,,,,,,,,,
,22528,,82,11,-54.84279281999999,274,50.0,,,,,,,,,,,
-42.794759324193,23000,50.0,,,,,,-0.02172252701711841,0.8887595310807228,21.222453102469444,-2.2545640617609024,0.7439214587211609,0.2,0.153369140625,110,8.783154487609863,0.0003,0.012524269
-42.794759324193,24000,50.0,,,,,,,,,,,,,,,,
,24576,,89,12,-56.56209227,274,50.0,,,,,,,,,,,
-50.98143076300621,25000,50.0,,,,,,-0.016934320350992495,0.926104724407196,19.329475036263467,-2.226047097146511,0.7295436859130859,0.2,0.10546875,120,9.585877418518066,0.0003,0.009590013
-50.98143076300621,26000,50.0,,,,,,,,,,,,,,,,
,26624,,97,13,-57.651102980000005,273,50.0,,,,,,,,,,,
-59.01848702430725,27000,50.0,,,,,,-0.014794226828962564,0.9333116188645363,17.473549909889698,-2.192136112600565,0.7188596725463867,0.2,0.117529296875,130,8.075549125671387,0.0003,0.0077141896
-59.01848702430725,28000,50.0,,,,,,,,,,,,,,,,
,28672,,104,14,-59.81749715,274,50.0,,,,,,,,,,,
-61.5368729531765,29000,50.0,,,,,,-0.009453630444477312,0.9422869347035885,8.730476574599743,-2.1579357855021954,0.7067477703094482,0.2,0.079541015625,140,3.271657705307007,0.0003,0.004254603
-61.5368729531765,30000,50.0,,,,,,,,,,,,,,,,
,30720,,112,15,-62.00396646,273,50.0,,,,,,,,,,,
-61.170750099420545,31000,50.0,,,,,,-0.008861885423539207,0.9677982702851295,4.696621321886778,-2.121708106249571,0.6921969652175903,0.2,0.1125,150,3.258319854736328,0.0003,0.02030126
-61.170750099420545,32000,50.0,,,,,,,,,,,,,,,,
,32768,,119,16,-63.896903499999986,273,50.0,,,,,,,,,,,
-60.293210530281065,33000,50.0,,,,,,-0.012567164619395044,0.9818036239594221,3.4492169309407474,-2.072560553997755,0.6725535988807678,0.2,0.10791015625,160,1.6888898611068726,0.0003,0.00851953
-60.293210530281065,34000,50.0,,,,,,,,,,,,,,,,
,34816,,127,17,-66.26842009,272,50.0,,,,,,,,,,,
-59.56217876076698,35000,50.0,,,,,,-0.012156592641258613,0.9873377466574311,3.1496687322854995,-2.0171670712530614,0.6546798348426819,0.2,0.1091796875,170,1.7172025442123413,0.0003,0.00894688
-59.56217876076698,36000,50.0,,,,,,,,,,,,,,,,
,36864,,136,18,-67.27607746,270,50.0,,,,,,,,,,,
-59.91274797916412,37000,50.0,,,,,,-0.01079338593117427,0.9894540663808584,2.7744220558553936,-1.9539406910538673,0.632428765296936,0.2,0.096630859375,180,1.153814673423767,0.0003,0.009502292
-59.91274797916412,38000,50.0,,,,,,,,,,,,,,,,
,38912,,143,19,-67.58027009999999,270,50.0,,,,,,,,,,,
-59.401545530557634,39000,50.0,,,,,,-0.01423837964539416,0.9915032237768173,2.3582396522164344,-1.8806925661861897,0.6105151772499084,0.2,0.124755859375,190,1.373246431350708,0.0003,0.009837864
-59.401545530557634,40000,50.0,,,,,,,,,,,,,,,,
,40960,,151,20,-66.99293196999999,270,50.0,,,,,,,,,,,
