rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/episodes,time/fps,rollout/ep_rew_mean,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/learning_rate,eval/mean_reward,eval/mean_ep_length
6.75,0,27,4,620,-8.16728025,,,,,,,,
5.625,0,45,8,640,-6.767992625000001,,,,,,,,
5.0,0,60,12,663,-6.218035666666666,,,,,,,,
4.75,0,76,16,644,-5.9046169375,,,,,,,,
5.05,0,101,20,154,-6.027512150000001,,,,,,,,
4.916666666666667,0,118,24,127,-5.818616083333333,17,-11.64320182800293,17.48001480102539,-0.09594260156154633,0.9951862096786499,0.0003,,
5.0,1,140,28,112,-6.351563499999998,39,-11.530926704406738,20.371719360351562,-0.23035569489002228,0.9885748028755188,0.0003,,
5.03125,1,161,32,102,-6.1749701875000005,60,-12.19968032836914,20.781288146972656,-0.3602166771888733,0.9823057055473328,0.0003,,
5.361111111111111,2,193,36,93,-6.453988472222224,92,-12.528326034545898,18.157699584960938,-0.5541191697120667,0.9728482365608215,0.0003,,
5.225,2,209,40,90,-6.308995075,108,-12.68978214263916,17.41106605529785,-0.6519814729690552,0.9681599736213684,0.0003,,
5.136363636363637,2,226,44,88,-6.196493886363637,125,-13.368327140808105,13.667325019836426,-0.7546318769454956,0.9632076621055603,0.0003,,
5.166666666666667,2,248,48,86,-6.2016289375,147,-13.4456787109375,9.630925178527832,-0.8857340812683105,0.9568467140197754,0.0003,,
5.1923076923076925,3,270,52,84,-6.127257519230768,169,-14.101231575012207,6.297497272491455,-1.0072860717773438,0.950549304485321,0.0003,,
5.160714285714286,3,289,56,82,-5.992703571428571,188,-14.271711349487305,4.650639057159424,-1.1222352981567383,0.9451737999916077,0.0003,,
5.25,3,315,60,80,-6.005050716666667,214,-14.578145027160645,3.5100560188293457,-1.2761342525482178,0.9378879070281982,0.0003,,
5.265625,4,337,64,79,-6.005625343749999,236,-15.822882652282715,2.970196485519409,-1.3971933126449585,0.9317739605903625,0.0003,,
5.264705882352941,4,358,68,78,-5.938933852941175,257,-14.830528259277344,2.43087100982666,-1.5190346240997314,0.9259721636772156,0.0003,,
5.236111111111111,4,377,72,78,-5.872876458333334,276,-15.214731216430664,2.9074528217315674,-1.6224489212036133,0.9207596182823181,0.0003,,
5.184210526315789,5,394,76,77,-5.804849263157896,293,-15.988655090332031,2.4067513942718506,-1.72945237159729,0.9161211848258972,0.0003,,
5.2,5,416,80,76,-5.823622424999999,315,-15.846911430358887,2.7453160285949707,-1.855702519416809,0.9101492762565613,0.0003,,
5.142857142857143,5,432,84,76,-5.76522419047619,331,-15.789310455322266,2.7726104259490967,-1.9421074390411377,0.905826210975647,0.0003,,
5.136363636363637,5,452,88,75,-5.712198943181819,351,-16.290260314941406,2.3830370903015137,-2.0601096153259277,0.9004550576210022,0.0003,,
5.239130434782608,6,482,92,75,-5.6777444891304345,381,-16.37041664123535,1.9790012836456299,-2.2271881103515625,0.8924542665481567,0.0003,,
5.21875,6,501,96,74,-5.6317435937499996,400,-16.683635711669922,1.5025129318237305,-2.3518340587615967,0.8874250650405884,0.0003,,
5.17,7,517,100,73,-5.53894763,416,-16.255252838134766,1.780895709991455,-2.4410629272460938,0.8832134008407593,0.0003,,
5.13,7,540,104,71,-5.381464010000001,439,-16.33375358581543,1.4749019145965576,-2.5644588470458984,0.8771878480911255,0.0003,,
5.17,7,562,108,71,-5.414190320000001,461,-16.557884216308594,3.173696994781494,-2.7033438682556152,0.871467649936676,0.0003,,
5.32,8,592,112,71,-5.441808159999999,491,-16.99833869934082,2.394967555999756,-2.8741540908813477,0.8637184500694275,0.0003,,
5.3,8,606,116,71,-5.31934759,505,-17.057186126708984,2.4798619747161865,-2.9464664459228516,0.8601270318031311,0.0003,,
5.27,8,628,120,71,-5.2221279,527,-16.368675231933594,2.3376827239990234,-3.1098663806915283,0.8545010685920715,0.0003,,
5.27,9,645,124,71,-5.151905350000001,544,-16.92911148071289,2.8925905227661133,-3.1725449562072754,0.8501719236373901,0.0003,,
5.25,9,665,128,71,-4.9221355099999995,564,-17.242618560791016,2.547414541244507,-3.3166866302490234,0.8451107144355774,0.0003,,
5.21,9,682,132,71,-4.855939380000001,581,-16.271556854248047,2.1689932346343994,-3.409003257751465,0.8408343195915222,0.0003,,
5.09,9,702,136,71,-4.69778375,601,-16.385356903076172,2.066528797149658,-3.505153179168701,0.8358320593833923,0.0003,,
5.11,10,720,140,71,-4.63750855,619,-16.968103408813477,2.6174168586730957,-3.6155710220336914,0.8313629627227783,0.0003,,
5.13,10,739,144,71,-4.567421230000001,638,-16.42011260986328,2.9084291458129883,-3.724358558654785,0.8266735076904297,0.0003,,
5.1,10,758,148,71,-4.46007982,657,-16.271194458007812,2.728053569793701,-3.8287904262542725,0.8220182061195374,0.0003,,
5.23,11,793,152,70,-4.53966444,692,-16.46577262878418,2.257842540740967,-4.026756286621094,0.8135234117507935,0.0003,,
5.29,11,818,156,70,-4.55794559,717,-17.010875701904297,3.3320367336273193,-4.163633823394775,0.8075045347213745,0.0003,,
5.32,11,847,160,70,-4.54487769,746,-16.582412719726562,2.7158946990966797,-4.379035949707031,0.8005597591400146,0.0003,,
5.31,12,868,164,70,-4.51058025,767,-17.04657745361328,2.3382925987243652,-4.469202041625977,0.7955606579780579,0.0003,,
5.29,12,887,168,70,-4.438617959999999,786,-16.49147605895996,2.900541305541992,-4.558860778808594,0.7910729646682739,0.0003,,
