train/critic_loss,rollout/ep_rew_mean,time/episodes,time/total_timesteps,train/ent_coef,time/time_elapsed,train/ent_coef_loss,train/learning_rate,rollout/ep_len_mean,time/fps,train/actor_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
0.9810258150100708,-53.53914175,4,542,0.8762736916542053,5,-1.7732656002044678,0.0003,135.5,100,-15.529006004333496,441,,
2.0079898834228516,-37.89011075,8,774,0.8174154162406921,7,-2.706888198852539,0.0003,96.75,100,-18.501611709594727,673,,
1.2513396739959717,-42.35191141666667,12,1244,0.7106063961982727,12,-4.536242961883545,0.0003,103.66666666666667,99,-24.061668395996094,1143,,
1.0521094799041748,-65.57915543749999,16,2320,0.5175713300704956,24,-8.419319152832031,0.0003,145.0,93,-30.78756332397461,2219,,
1.3173619508743286,-58.5317184,20,2515,0.4888431429862976,27,-8.918078422546387,0.0003,125.75,92,-32.26448059082031,2414,,
2.247215509414673,-55.69731183333332,24,2824,0.44645506143569946,30,-10.275114059448242,0.0003,117.66666666666667,92,-33.98836135864258,2723,,
3.940423011779785,-55.74155421428571,28,3211,0.39862871170043945,34,-11.435958862304688,0.0003,114.67857142857143,92,-34.87109375,3110,,
1.502291202545166,,,5000,0.23726698756217957,,-16.466758728027344,0.0003,,,-35.447879791259766,4899,-354.59082413664436,1000.0
1.0234135389328003,-104.93712399999998,32,6394,0.15872274339199066,87,-20.1177978515625,0.0003,199.8125,73,-33.473419189453125,6293,,
5.200230598449707,-97.69548133333333,36,6661,0.146884486079216,90,-21.342117309570312,0.0003,185.02777777777777,73,-33.08282470703125,6560,,
1.1770496368408203,-91.14431117499998,40,6876,0.13797204196453094,93,-21.595977783203125,0.0003,171.9,73,-32.43600845336914,6775,,
2.196370840072632,-86.47225368181817,44,7162,0.12694765627384186,96,-22.31272315979004,0.0003,162.77272727272728,74,-32.091339111328125,7061,,
0.9743189811706543,-92.12012833333334,48,8351,0.09036155790090561,110,-23.670578002929688,0.0003,173.97916666666666,75,-27.669660568237305,8250,,
0.8127716183662415,-93.24519430769232,52,9272,0.06957332044839859,121,-25.476205825805664,0.0003,178.30769230769232,76,-25.606075286865234,9171,,
2.224216938018799,-88.05028494642856,56,9486,0.06549587100744247,124,-26.653175354003906,0.0003,169.39285714285714,76,-24.386898040771484,9385,,
1.6736066341400146,-84.03941891666666,60,9800,0.059943076223134995,128,-25.30574607849121,0.0003,163.33333333333334,76,-24.0500431060791,9699,,
0.864086389541626,,,10000,0.056665852665901184,,-25.055973052978516,0.0003,,,-22.694080352783203,9899,75.03740335672046,440.6
0.8406767845153809,-80.937319015625,64,10287,0.052339326590299606,140,-24.849639892578125,0.0003,160.734375,73,-22.57411003112793,10186,,
0.7630925178527832,-78.55490327941175,68,11704,0.03564974665641785,156,-23.553726196289062,0.0003,172.11764705882354,74,-19.197778701782227,11603,,
0.38181525468826294,-68.92413680555555,72,13808,0.020805709064006805,181,-18.849201202392578,0.0003,191.77777777777777,76,-15.39200210571289,13707,,
0.3208228349685669,,,15000,0.015863565728068352,,-13.38968563079834,0.0003,,,-15.058891296386719,14899,618.9560180262663,1000.0
0.347086101770401,-34.24771514473683,76,17808,0.010477331466972828,240,-1.3896232843399048,0.0003,234.31578947368422,74,-17.03571128845215,17707,,
0.18434041738510132,,,20000,0.010867537930607796,,0.3774036765098572,0.0003,,,-20.62821388244629,19899,749.1102968379855,1000.0
0.1595919132232666,3.063983762500004,80,21808,0.011718107387423515,300,0.8609974980354309,0.0003,272.6,72,-23.963287353515625,21707,,
0.1550629734992981,,,25000,0.012605742551386356,,1.0399620532989502,0.0003,,,-28.546239852905273,24899,780.9711961951107,1000.0
0.1373334378004074,38.77780142857143,84,25808,0.01255137100815773,363,-0.19035466015338898,0.0003,307.23809523809524,71,-29.40218734741211,25707,,
0.1828492283821106,72.69173251136364,88,29808,0.013182569295167923,411,-0.04564774036407471,0.0003,338.72727272727275,72,-34.99760055541992,29707,,
0.14746414124965668,,,30000,0.013401241973042488,,-1.8115501403808594,0.0003,,,-35.074676513671875,29899,810.4800436422229,1000.0
0.19925403594970703,102.03823151086958,92,33808,0.01333669014275074,473,-0.37395769357681274,0.0003,367.4782608695652,71,-38.884368896484375,33707,,
0.18349114060401917,,,35000,0.013586963526904583,,-0.39615121483802795,0.0003,,,-40.516082763671875,34899,833.3630560703575,1000.0
0.20439884066581726,131.2035461875,96,37808,0.013249717652797699,534,-0.1992877721786499,0.0003,393.8333333333333,70,-43.68453598022461,37707,,
0.12476436793804169,,,40000,0.013265085406601429,,0.590657114982605,0.0003,,,-45.587425231933594,39899,847.5733502334915,1000.0
0.1322280317544937,158.59758248000003,100,41808,0.013407140970230103,594,0.14560019969940186,0.0003,418.08,70,-47.199485778808594,41707,,
0.14344346523284912,,,45000,0.01319162454456091,,-0.23830507695674896,0.0003,,,-49.59814453125,44899,880.2300569646061,1000.0
0.14951394498348236,194.02672471999998,104,45808,0.01318686455488205,655,-0.5030811429023743,0.0003,452.66,69,-50.69781494140625,45707,,
0.1889442503452301,228.64605776,108,49808,0.013271493837237358,700,0.18357029557228088,0.0003,490.34,71,-53.53716278076172,49707,,
0.4908115267753601,,,50000,0.01284489594399929,,-0.6827845573425293,0.0003,,,-53.473121643066406,49899,867.0542483285302,1000.0
0.13039062917232513,264.6322684499999,112,53808,0.013243312016129494,764,-1.3060938119888306,0.0003,525.64,70,-56.302955627441406,53707,,
0.1004907414317131,,,55000,0.013318317010998726,,0.08987955749034882,0.0003,,,-57.109458923339844,54899,898.1012509223074,1000.0
