train/n_updates,rollout/ep_len_mean,train/actor_loss,time/time_elapsed,time/episodes,time/fps,time/total_timesteps,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
200,100.0,1.4579463291168213,1,4,218,400,0.001,0.03749212094582617,-108.50061749999999,,
300,,1.4878695392608643,,,,500,0.001,0.0043367450800724325,,-68.63011085,100.0
600,100.0,1.7810592031478882,5,8,142,800,0.001,0.003074936462799087,-87.93507225,,
800,,2.03336749792099,,,,1000,0.001,0.005686856068205088,,-76.94330225000002,100.0
1000,100.0,2.331950793266296,9,12,126,1200,0.001,0.008926057708449661,-81.83602133333333,,
1300,,2.805058879852295,,,,1500,0.001,0.011750784963369369,,-87.2751541,100.0
1400,100.0,2.990002374649048,13,16,120,1600,0.001,0.0151746596256271,-80.810039125,,
1800,,3.6296421337127684,,,,2000,0.001,0.011845384323969484,,-76.78166715,100.0
,100.0,,17,20,116,2000,,,-79.20521965,,
2200,100.0,4.30147274017334,19,24,123,2400,0.001,0.01710823265835643,-77.37280766666667,,
2300,,4.429829063415528,,,,2500,0.001,0.01641761265695095,,-72.49363489999999,100.0
2600,100.0,4.965432386398316,23,28,118,2800,0.001,0.021938649453222752,-76.09431592857143,,
2800,,5.247789487838745,,,,3000,0.001,0.016021299287676812,,-62.863563600000006,100.0
3000,100.0,5.572569160461426,27,32,114,3200,0.001,0.019137729564681648,-73.59023659375,,
3300,,5.999902143478393,,,,3500,0.001,0.02316673319786787,,-61.06426394999998,100.0
3400,100.0,6.148696994781494,32,36,111,3600,0.001,0.018045505844056606,-71.62653208333334,,
3800,,6.75692572593689,,,,4000,0.001,0.01938740153796971,,-55.48577535,100.0
,100.0,,36,40,110,4000,,,-70.13101292500001,,
4200,100.0,7.36742431640625,38,44,114,4400,0.001,0.017771969148889184,-68.51559559090909,,
4300,,7.485543279647827,,,,4500,0.001,0.021043137162923813,,-55.804379100000006,100.0
4600,100.0,7.925927457809448,42,48,112,4800,0.001,0.020039827208966018,-67.734437625,,
4800,,8.224074296951294,,,,5000,0.001,0.02343027119524777,,-53.58660784999999,100.0
5000,100.0,8.47699197769165,46,52,111,5200,0.001,0.021484694071114065,-66.40683632692308,,
5300,,8.843174324035644,,,,5500,0.001,0.026254338547587394,,-58.53312905,100.0
5400,100.0,9.046982383728027,50,56,110,5600,0.001,0.027448092699050904,-65.56961664285714,,
5800,,9.586789016723634,,,,6000,0.001,0.022904526693746447,,-57.138117199999996,100.0
,100.0,,54,60,109,6000,,,-65.08932373333333,,
6200,100.0,10.200955543518067,57,64,111,6400,0.001,0.02485685307532549,-64.419975953125,,
6300,,10.34640417098999,,,,6500,0.001,0.026069203708320856,,-56.3729119,100.0
6600,100.0,10.787046070098876,61,68,110,6800,0.001,0.026009875182062388,-63.64236313235295,,
6800,,11.022624015808105,,,,7000,0.001,0.028973713358864187,,-53.1328446,100.0
7000,100.0,11.312439765930176,66,72,108,7200,0.001,0.024538558637723328,-62.906721972222236,,
7300,,11.733640613555908,,,,7500,0.001,0.033763599824160336,,-56.72053339999999,100.0
7400,100.0,11.822132244110108,70,76,107,7600,0.001,0.029015685841441156,-62.4890280131579,,
7800,,12.386750602722168,,,,8000,0.001,0.029929115446284415,,-52.04584225,100.0
,100.0,,74,80,106,8000,,,-62.245337225,,
8200,100.0,12.916099815368652,77,84,108,8400,0.001,0.031222078092396258,-61.65046033333334,,
8300,,12.976820602416993,,,,8500,0.001,0.03149133621715009,,-55.19725939999999,100.0
8600,100.0,13.392800788879395,81,88,107,8800,0.001,0.02876505510881543,-61.35317155681819,,
8800,,13.659872817993165,,,,9000,0.001,0.027102928422391415,,-55.613563750000004,100.0
9000,100.0,13.841244316101074,86,92,106,9200,0.001,0.03063575703650713,-61.09522497826088,,
9300,,14.255533561706542,,,,9500,0.001,0.027777221743017434,,-57.36304370000001,100.0
9400,100.0,14.361747703552247,90,96,105,9600,0.001,0.03212817694991827,-60.56355438541667,,
9800,,14.829288921356202,,,,10000,0.001,0.029972734730690717,,-53.126183000000005,100.0
,100.0,,95,100,104,10000,,,-59.93032241000001,,
10200,100.0,15.298249435424804,98,104,105,10400,0.001,0.029407154582440854,-57.78354936000001,,
10300,,15.436145801544189,,,,10500,0.001,0.03059814726933837,,-55.071827199999994,100.0
