time/time_elapsed,time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/actor_loss,train/ent_coef_loss,train/n_updates,train/ent_coef,train/learning_rate,train/critic_loss,eval/mean_reward,eval/mean_ep_length
0,4,27,-8.16728025,652,6.75,,,,,,,,
0,8,45,-6.767992625000001,721,5.625,,,,,,,,
0,12,60,-6.218035666666666,762,5.0,,,,,,,,
0,16,76,-5.9046169375,755,4.75,,,,,,,,
0,20,101,-6.074979950000001,137,5.05,,,,,,,,
0,24,118,-5.873569875,126,4.916666666666667,-11.02718448638916,-0.09425117075443268,17,0.995145857334137,0.0003,18.00181007385254,,
1,28,140,-6.407027964285715,119,5.0,-11.288945198059082,-0.23179462552070618,39,0.9883962869644165,0.0003,21.334178924560547,,
1,32,160,-6.2333195625,114,5.0,-12.204050064086914,-0.35627585649490356,59,0.9823014736175537,0.0003,17.932613372802734,,
1,36,191,-6.544813055555555,110,5.305555555555555,-12.443460464477539,-0.5486082434654236,90,0.9729881882667542,0.0003,17.37485122680664,,
1,40,207,-6.397315475,108,5.175,-12.820438385009766,-0.6441218852996826,106,0.9682392477989197,0.0003,16.852815628051758,,
2,44,226,-6.302656159090909,106,5.136363636363637,-13.411802291870117,-0.7630623579025269,125,0.9626419544219971,0.0003,12.06257152557373,,
2,48,248,-6.312655562500001,102,5.166666666666667,-13.629133224487305,-0.8965352773666382,147,0.9562251567840576,0.0003,9.125425338745117,,
2,52,270,-6.235432730769229,100,5.1923076923076925,-13.915618896484375,-1.0213513374328613,169,0.9498698711395264,0.0003,7.100653171539307,,
2,56,289,-6.088777982142857,100,5.160714285714286,-14.894083023071289,-1.1375731229782104,188,0.9444424510002136,0.0003,4.583890914916992,,
3,60,316,-6.111900199999999,98,5.266666666666667,-15.490395545959473,-1.3026230335235596,215,0.9368056654930115,0.0003,2.859405755996704,,
3,64,340,-6.1960584687499995,98,5.3125,-14.841817855834961,-1.4342046976089478,239,0.9300780892372131,0.0003,2.9531188011169434,,
3,68,361,-6.137859382352941,97,5.3088235294117645,-15.917552947998047,-1.568580150604248,260,0.9242299795150757,0.0003,2.2348995208740234,,
3,72,380,-6.059485555555555,97,5.277777777777778,-16.126585006713867,-1.67880380153656,279,0.9189686179161072,0.0003,1.9372987747192383,,
