train/n_updates,time/total_timesteps,time/episodes,train/learning_rate,time/fps,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/actor_loss,eval/mean_ep_length,eval/mean_reward
3000,3021,4,0.001,128,23,0.06879341249261052,755.25,-1357.3935454999998,3.5942062048912047,,
3081,3093,8,0.001,127,24,0.33554377080872655,386.625,-710.000416125,4.358329936861992,,
4167,5000,,0.001,,,0.1322254702746868,,,5.021522366523743,1000.0,-1738.2925474457443
,5167,12,,104,49,,430.5833333333333,-811.1769077499999,,,
7745,8745,16,0.001,117,74,0.3475574498229167,546.5625,-922.7279543750001,10.69422552577352,,
9745,10000,,0.001,,,0.3566224581897259,,,12.935480697631835,985.2,551.446421165159
10921,11921,20,0.001,109,109,0.39728738443756645,596.05,-784.4244955500001,14.623565608804876,,
14921,15000,,0.001,,,0.2805670578330755,,,16.577698152542116,1000.0,776.5499926925171
,15921,24,,106,150,,663.375,-682.9180888333334,,,
18921,19921,28,0.001,107,184,0.2186818490922451,711.4642857142857,-600.5188333928571,17.18374055671692,,
19921,20000,,0.001,,,0.23274891101568937,,,17.413493171691893,840.4,699.9945675305091
21621,22621,32,0.001,105,214,0.21633693982254376,706.90625,-532.65183753125,17.905292510986328,,
24621,25000,,0.001,,,0.20715954054147004,,,18.535560863494872,1000.0,811.5814863614738
25621,26621,36,0.001,104,254,0.20603346137702466,739.4722222222222,-479.6582529444443,18.7394486618042,,
28975,29975,40,0.001,108,275,0.24032699839025737,749.375,-438.17913747500006,18.788374298095704,,
29975,30000,,0.001,,,0.27278446763008835,,,18.81839442062378,499.7,423.4767893953249
32975,33975,44,0.001,110,307,0.18539228022098542,772.1590909090909,-400.22561070454543,18.856007736206056,,
34975,35000,,0.001,,,0.18279408591240645,,,18.76559101867676,1000.0,937.0100992798805
36975,37975,48,0.001,108,348,0.17541954063624143,791.1458333333334,-364.26478537500003,18.694494903564454,,
39975,40000,,0.001,,,0.16583478352427483,,,18.609212387084963,1000.0,946.7387858644128
40975,41975,52,0.001,106,393,0.15837234476953746,807.2115384615385,-333.46005794230774,18.48740807723999,,
44975,45000,,0.001,,,0.15035902788862587,,,18.196652183532716,1000.0,950.7130776688457
,45975,56,,106,431,,820.9821428571429,-306.9408380892857,,,
48975,49975,60,0.001,107,463,0.1151442040912807,832.9166666666666,-283.4006882666667,17.886068298339843,,
49975,50000,,0.001,,,0.10581218282133341,,,17.79518157196045,1000.0,958.7862726688385
52975,53975,64,0.001,106,507,0.10417224195972084,843.359375,-262.37752578125003,17.59839214706421,,
54975,55000,,0.001,,,0.08886979374289512,,,17.428477088928222,1000.0,960.9528941512108
56975,57975,68,0.001,105,548,0.09133654045686125,852.5735294117648,-243.35602883823535,17.273654647827147,,
59975,60000,,0.001,,,0.08071309873089194,,,17.053092464447023,1000.0,948.0093548357487
60975,61975,72,0.001,106,583,0.07888653687946498,860.7638888888889,-226.6707995138889,16.971118560791016,,
64975,65000,,0.001,,,0.07462629096210002,,,16.66995761871338,1000.0,978.188881778717
,65975,76,,106,619,,868.0921052631579,-211.04662971052633,,,
68975,69975,80,0.001,108,643,0.0656904838103801,874.6875,-197.4661883875,16.391661602020264,,
69975,70000,,0.001,,,0.06555437839590013,,,16.316158878326416,1000.0,970.0150687217713
72975,73975,84,0.001,107,687,0.05928445161134004,880.6547619047619,-185.1334324285714,16.129036476135255,,
74975,75000,,0.001,,,0.05771510268561542,,,15.99030064201355,1000.0,975.6159971058369
76975,77975,88,0.001,107,726,0.05820766020566225,886.0795454545455,-173.36667168181816,15.861235820770263,,
79975,80000,,0.001,,,0.05726545714959502,,,15.67968419265747,1000.0,973.2012442886829
80975,81975,92,0.001,107,763,0.054896475987508894,891.0326086956521,-162.59179732608692,15.620342897415162,,
84975,85000,,0.001,,,0.05489627094566822,,,15.39154197692871,1000.0,975.703442555666
,85975,96,,106,808,,895.5729166666666,-152.71903011458332,,,
88975,89975,100,0.001,107,839,0.05310723127610981,899.75,-143.71745282999998,15.171241661071777,,
89975,90000,,0.001,,,0.05319676823168993,,,15.135127779006957,1000.0,967.5893648684025
92975,93975,104,0.001,105,887,0.054359743719920514,909.54,-86.60690353,15.020796085357667,,
94975,95000,,0.001,,,0.053234538001939655,,,14.934738527297974,1000.0,975.3972159564495
96975,97975,108,0.001,104,935,0.05239169920608401,948.82,-80.98330829000002,14.837895280838012,,
99975,100000,,0.001,,,0.05228373198956251,,,14.723425851821899,1000.0,964.9408928692341
100975,101975,112,0.001,103,981,0.04917446667514742,968.08,-37.49958707000002,14.698604776382446,,
104975,105000,,0.001,,,0.05111856142431498,,,14.55652102470398,1000.0,973.7202588379383
,105975,116,,102,1030,,972.3,15.900918469999997,,,
108975,109975,120,0.001,103,1062,0.05015992467291653,980.54,27.673570539999996,14.452019807815551,,
109975,110000,,0.001,,,0.05099723811633885,,,14.423366144180298,1000.0,954.624391400814
112975,113975,124,0.001,102,1108,0.05286238927766681,980.54,37.55382865000001,14.319962955474853,,
114975,115000,,0.001,,,0.05446515730395913,,,14.229381151199341,1000.0,982.2452855408192
116975,117975,128,0.001,101,1160,0.0554441302511841,980.54,44.47332092,14.173139614105224,,
119975,120000,,0.001,,,0.0583590619340539,,,14.04249036026001,1000.0,970.1270997107029
120975,121975,132,0.001,101,1206,0.06434815462678671,993.54,49.78097696999999,14.004402366638184,,
124975,125000,,0.001,,,0.06226720144040883,,,13.825652227401733,1000.0,977.6949899911881
,125975,136,,100,1258,,993.54,54.896182339999996,,,
128975,129975,140,0.001,100,1294,0.07467760331369937,1000.0,60.342597779999984,13.702751192092895,,
129975,130000,,0.001,,,0.06466425597295165,,,13.655303791046142,1000.0,971.9261702775955
132975,133975,144,0.001,99,1346,0.06564116641134024,1000.0,63.87722503,13.539656816482545,,
134975,135000,,0.001,,,0.07241064678505063,,,13.484776473999023,1000.0,981.2444403588772
136975,137975,148,0.001,99,1382,0.06699157261103392,1000.0,65.57779407,13.42016955947876,,
139975,140000,,0.001,,,0.06523823418468237,,,13.363017971038818,1000.0,968.6747241973877
140975,141975,152,0.001,100,1418,0.06672217532806099,1000.0,67.09288422,13.325224584579468,,
144975,145000,,0.001,,,0.05862318515777588,,,13.268190589904785,1000.0,979.4032972157001
,145975,156,,100,1453,,1000.0,68.76269419,,,
148975,149975,160,0.001,101,1477,0.05402369559556246,1000.0,70.06070304,13.242768125534058,,
149975,150000,,0.001,,,0.058223803779110316,,,13.237256965637208,1000.0,968.5849434137344
152975,153975,164,0.001,101,1512,0.05696071724407375,1000.0,70.78333817,13.202119136810303,,
154975,155000,,0.001,,,0.0520873735640198,,,13.194332145690918,1000.0,973.5101298749447
156975,157975,168,0.001,101,1549,0.05224273875541985,1000.0,71.5171215,13.18517007446289,,
159975,160000,,0.001,,,0.048975953169167044,,,13.170184007644654,1000.0,973.7673025012016
160975,161975,172,0.001,101,1588,0.05236339692026377,1000.0,72.21329631999998,13.182489765167237,,
164975,165000,,0.001,,,0.04797277451120317,,,13.155266422271728,1000.0,967.0484982788563
,165975,176,,101,1629,,1000.0,72.34582354,,,
168975,169975,180,0.001,102,1656,0.045012968154624106,1000.0,73.06252020999999,13.082799198150635,,
169975,170000,,0.001,,,0.04454039455577731,,,13.088149606704713,1000.0,974.048424756527
172975,173975,184,0.001,102,1702,0.04892962981201708,1000.0,73.39627829,13.054523504257203,,
174975,175000,,0.001,,,0.044963647281751035,,,13.021933200836182,1000.0,968.1602534413338
176975,177975,188,0.001,102,1741,0.04560036495886743,1000.0,73.16300143,12.997380563735963,,
179975,180000,,0.001,,,0.04437119917012751,,,12.974222747802735,1000.0,953.6369725823403
180975,181975,192,0.001,102,1777,0.04384808384440839,1000.0,72.77299993999999,12.986953372955321,,
184975,185000,,0.001,,,0.043376137925311926,,,12.873583623886109,1000.0,961.4671511411667
,185975,196,,102,1819,,1000.0,72.35892848000002,,,
188975,189975,200,0.001,102,1847,0.04239244940876961,1000.0,72.39857622,12.825276140213013,,
189975,190000,,0.001,,,0.043741129437461494,,,12.80470648765564,1000.0,974.1789398849011
192975,193975,204,0.001,102,1884,0.040106556808575985,1000.0,72.64820568,12.720722455978393,,
194975,195000,,0.001,,,0.042389179451391104,,,12.706211738586425,1000.0,977.0794579207898
196975,197975,208,0.001,103,1920,0.043143841855227946,1000.0,72.66193226,12.680240896224976,,
199975,200000,,0.001,,,0.03866914003714919,,,12.636249242782593,1000.0,979.5405759215355
200975,201975,212,0.001,103,1953,0.03996482851915061,1000.0,72.36434316,12.626007814407348,,
204975,205000,,0.001,,,0.03970574319548905,,,12.538322553634643,1000.0,977.5594583034515
,205975,216,,103,1986,,1000.0,72.26929426,,,
208975,209975,220,0.001,104,2009,0.04122024219669402,1000.0,72.81407572,12.504694095611573,,
209975,210000,,0.001,,,0.0385503142811358,,,12.48720107460022,1000.0,971.7122153282165
212975,213975,224,0.001,104,2041,0.042826336588710545,1000.0,72.67153898000001,12.476230806350708,,
214975,215000,,0.001,,,0.04416519376635551,,,12.48702956008911,1000.0,958.6669474363327
216975,217975,228,0.001,105,2073,0.04242317546717823,1000.0,72.74732094,12.50552707862854,,
219975,220000,,0.001,,,0.04293593474291265,,,12.56448822402954,1000.0,963.5404750943184
220975,221975,232,0.001,105,2110,0.044678855646401644,1000.0,72.61626649,12.56492141532898,,
224975,225000,,0.001,,,0.04010875249840319,,,12.50649313545227,1000.0,976.2305349230767
,225975,236,,105,2148,,1000.0,72.53964037,,,
228975,229975,240,0.001,105,2174,0.03985222097672522,1000.0,72.52764771999999,12.506465251922608,,
229975,230000,,0.001,,,0.04249851126968861,,,12.512336158752442,1000.0,960.7123809754848
232975,233975,244,0.001,105,2212,0.040189747529104355,1000.0,72.37358589,12.536829971313477,,
234975,235000,,0.001,,,0.04010309539735317,,,12.49616942024231,1000.0,954.0005150258542
236975,237975,248,0.001,105,2249,0.04001329543069005,1000.0,72.1638524,12.471140590667725,,
239975,240000,,0.001,,,0.041205150963738564,,,12.4444626121521,1000.0,976.7653203248977
240975,241975,252,0.001,105,2282,0.04262190217524767,1000.0,72.22376639,12.434528530120849,,
244975,245000,,0.001,,,0.041616336464881894,,,12.408931592941284,1000.0,970.3221233904362
,245975,256,,106,2312,,1000.0,71.86976361,,,
248975,249975,260,0.001,107,2333,0.048309232210740446,1000.0,71.57511963,12.380707218170166,,
249975,250000,,0.001,,,0.05111829455010593,,,12.387537525177002,1000.0,968.1348638296128
252975,253975,264,0.001,107,2365,0.04550681906566024,1000.0,71.66713152999999,12.380316679000854,,
254975,255000,,0.001,,,0.047912688294425604,,,12.378927570343018,1000.0,951.5723270118236
256975,257975,268,0.001,107,2406,0.04745779166929424,1000.0,70.75027090999998,12.39512806892395,,
259975,260000,,0.001,,,0.05114971283636987,,,12.407412490844727,1000.0,967.6589704453945
260975,261975,272,0.001,106,2451,0.053190333228558304,1000.0,70.51054045,12.432484014511108,,
264975,265000,,0.001,,,0.050016628490760925,,,12.45115083694458,1000.0,957.3322443723679
,265975,276,,106,2493,,1000.0,70.34255605999999,,,
268975,269975,280,0.001,106,2531,0.04882409499399364,1000.0,70.07871424,12.482646259307861,,
269975,270000,,0.001,,,0.04934122507832944,,,12.47989743423462,1000.0,963.7564081966877
272975,273975,284,0.001,106,2572,0.05614284213073552,1000.0,68.84444588000001,12.559204154968262,,
274975,275000,,0.001,,,0.05663842199742794,,,12.60445489692688,1000.0,959.4427887618542
276975,277975,288,0.001,106,2610,0.055141910886392,1000.0,68.39361744,12.623080121994018,,
279975,280000,,0.001,,,0.05498060403577983,,,12.697347469329834,1000.0,952.5690344631672
280975,281975,292,0.001,106,2646,0.05581871860660612,1000.0,67.47422043,12.699861785888672,,
284975,285000,,0.001,,,0.051231655612587926,,,12.660697261810302,1000.0,974.2263997912407
