time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,train/clip_range,train/value_loss,train/std,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/approx_kl,train/learning_rate,train/loss,train/entropy_loss,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
1,35814.730882,1000.0,5,378,2048,,,,,,,,,,,,,
2,36175.040107249995,1000.0,11,359,4096,0.2,346817.3333984375,0.9990189671516418,-0.04518918508547358,-0.000937342643737793,10,0.012188269,0.0003,167474.578125,-24.11614778637886,0.1162109375,,
,,,,,5000,0.2,358483.12158203125,1.0000661611557007,-0.03806617700320203,-0.005959153175354004,20,0.01104506,0.0003,166466.890625,-24.120449441671372,0.0845703125,39674.900756645206,1000.0
3,36599.82462749999,1000.0,72,85,6144,,,,,,,,,,,,,
4,38512.54096625,1000.0,80,102,8192,0.2,387908.5658203125,0.9998611211776733,-0.045567331567872314,-0.0006856918334960938,30,0.012943713,0.0003,186159.21875,-24.12396029829979,0.11025390625,,
,,,,,10000,0.2,537782.300390625,0.9990038275718689,-0.04538100011122879,-0.005055665969848633,40,0.012481066,0.0003,275143.875,-24.113880652189255,0.09208984375,93738.83655338288,1000.0
5,38859.136257800004,1000.0,141,72,10240,,,,,,,,,,,,,
6,38958.69997191667,1000.0,147,83,12288,0.2,440542.2704101562,0.9979124665260315,-0.04895487301982939,-0.0010933876037597656,50,0.012703472,0.0003,221956.203125,-24.10361617207527,0.116455078125,,
7,39453.875738928575,1000.0,154,93,14336,0.2,430701.25751953124,0.9968739748001099,-0.05099658289400395,-0.0007331371307373047,60,0.012569211,0.0003,206904.90625,-24.079134291410448,0.113671875,,
,,,,,15000,0.2,533645.3772460937,0.9950742125511169,-0.051453867604141126,0.00048786401748657227,70,0.012839045,0.0003,290221.375,-24.052762746810913,0.108837890625,87376.84243927003,1000.0
8,39939.6290991875,1000.0,210,77,16384,,,,,,,,,,,,,
9,40014.886672277775,1000.0,217,84,18432,0.2,465043.7451171875,0.9914526343345642,-0.04975959359144326,-0.0017578601837158203,80,0.013294048,0.0003,238167.453125,-24.001353597640993,0.117431640625,,
,,,,,20000,0.2,552190.0026367188,0.9903553128242493,-0.053986344998702404,-0.00014698505401611328,90,0.013152586,0.0003,312249.25,-23.963983291387557,0.126806640625,91159.36026248932,1000.0
10,40486.9597054,1000.0,272,75,20480,,,,,,,,,,,,,
11,41439.89569740908,1000.0,279,80,22528,0.2,469597.553515625,0.9897467494010925,-0.058129661294515245,3.62396240234375e-05,100,0.014257523,0.0003,233329.53125,-23.94932280778885,0.139111328125,,
12,41871.787605791666,1000.0,285,85,24576,0.2,747245.3193359375,0.987002432346344,-0.05987414059927687,-0.00041556358337402344,110,0.0142043615,0.0003,349892.15625,-23.920395106077194,0.135986328125,,
,,,,,25000,0.2,580405.6188476563,0.9842362403869629,-0.057195532906916924,-0.0005409717559814453,120,0.014272278,0.0003,302080.125,-23.874286794662474,0.144775390625,88929.44189987183,1000.0
13,42291.66024446154,1000.0,338,78,26624,,,,,,,,,,,,,
14,42793.01319042857,1000.0,344,83,28672,0.2,712154.4041015625,0.983115017414093,-0.05588406890165061,-0.00024127960205078125,130,0.015020716,0.0003,340879.1875,-23.83983223438263,0.14052734375,,
