time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/learning_rate,eval/mean_reward,eval/mean_ep_length,train/actor_loss,train/n_updates,train/critic_loss
,,,150000,,,0.001,963.3860671103,1000.0,-73.56531021118164,149650,0.4143265492990613
160,960.41,1265,150698,665.02518066,119,,,,,,
164,960.41,1290,154698,663.8449069999999,119,0.001,,,-73.76193064880371,153650,0.3733018007427454
,,,155000,,,0.001,950.7344864487648,1000.0,-73.80697062683106,154650,0.40531274055689576
168,967.02,1325,158698,667.56623081,119,0.001,,,-73.88745405578614,157650,0.3765916036590934
,,,160000,,,0.001,965.4374092817307,1000.0,-73.97817581176758,159650,0.4365734911635518
172,967.02,1362,162698,666.2264712800002,119,0.001,,,-74.01482304382324,161650,0.3596204706206918
,,,165000,,,0.001,953.4041585683823,1000.0,-74.0729542388916,164650,0.3465150578841567
176,967.02,1398,166698,665.8352921800001,119,0.001,,,-74.12096078491211,165650,0.34118682657927274
,,,170000,,,0.001,945.5550414383412,1000.0,-74.2271695098877,169650,0.46768193230032923
180,967.02,1434,170698,665.1070512499999,118,,,,,,
184,967.02,1458,174698,664.23902258,119,0.001,,,-74.19813673400878,173650,0.6158513787984848
,,,175000,,,0.001,930.0998144090175,1000.0,-74.26992359924317,174650,0.5002709503471852
188,971.64,1493,178698,666.6655598000001,119,0.001,,,-74.21329461669922,177650,0.40837129682302475
,,,180000,,,0.001,933.1399419128895,1000.0,-74.2742741241455,179650,0.4341046884059906
192,971.64,1531,182698,666.4815407199999,119,0.001,,,-74.26643141174317,181650,0.48027579349279403
,,,185000,,,0.001,926.413907390833,1000.0,-74.3535838470459,184650,0.27967371662706136
196,971.64,1567,186698,666.1689166799999,119,0.001,,,-74.38343687438964,185650,0.285068581610918
,,,190000,,,0.001,911.1360179781914,1000.0,-74.3697431488037,189650,0.5874294410198927
200,971.64,1603,190698,665.3749997200002,118,,,,,,
204,971.64,1628,194698,664.2400864999998,119,0.001,,,-74.30013426208497,193650,0.3333236274793744
,,,195000,,,0.001,916.4985963463783,1000.0,-74.29152120971679,194650,0.4851362374834716
208,979.38,1664,198698,669.17154375,119,0.001,,,-74.37092163085937,197650,0.42730317238718274
,,,200000,,,0.001,935.8719905793666,1000.0,-74.39590016174317,199650,0.5033936807066202
212,979.38,1701,202698,668.67753756,119,0.001,,,-74.37743640136719,201650,0.5710597332492471
,,,205000,,,0.001,897.2185419619084,1000.0,-74.2918659210205,204650,0.5591369727775455
216,979.38,1736,206698,654.16256125,119,0.001,,,-74.27176789855957,205650,0.3643735819235444
,,,210000,,,0.001,936.9371963620185,1000.0,-74.23967366027831,209650,0.46313338197022674
220,979.38,1772,210698,653.3415976099999,118,,,,,,
224,979.38,1797,214698,651.55263994,119,0.001,,,-74.17267828369141,213650,0.3708728309124708
,,,215000,,,0.001,904.5305833280087,1000.0,-74.16262280273438,214650,0.25528450317680834
228,979.38,1833,218698,651.4020626599998,119,0.001,,,-74.15972578430176,217650,0.3978195005878806
,,,220000,,,0.001,918.2259501695632,1000.0,-74.12187831115723,219650,0.3761808719187975
232,979.38,1867,222698,650.6587011800001,119,0.001,,,-74.09402474975586,221650,0.2935930896177888
,,,225000,,,0.001,943.1535842835904,1000.0,-74.02352325439453,224650,0.4383518308922648
236,979.38,1903,226698,650.5885874399999,119,0.001,,,-74.03428330993653,225650,0.48444526726007464
,,,230000,,,0.001,934.2496246099472,1000.0,-73.96194023132324,229650,0.25595274459570644
240,995.87,1938,230698,661.68701533,118,,,,,,
244,995.87,1962,234698,661.34830999,119,0.001,,,-73.91810711669922,233650,0.46876450461149216
,,,235000,,,0.001,896.0486801564693,1000.0,-73.91062632751465,234650,0.33981428588181734
248,993.29,1997,238440,659.41975082,119,0.001,,,-73.92205271759444,237392,0.5301582004443173
,,,240000,,,0.001,928.3020912706852,1000.0,-74.01135636901856,239392,0.41890585714578626
252,997.42,2035,242440,661.7722516800001,119,0.001,,,-74.03432086181641,241392,0.5127531290128827
,,,245000,,,0.001,944.0867166399955,1000.0,-73.96665530395508,244392,0.39814216461777685
256,997.42,2072,246440,653.1377675800001,118,0.001,,,-74.00843728637696,245392,0.27591047705709937
,,,250000,,,0.001,949.9991013586521,1000.0,-74.08463386535645,249392,0.48143420413136484
260,997.42,2109,250440,653.1085512599999,118,,,,,,
264,997.42,2134,254440,653.4910273,119,0.001,,,-74.17937197875976,253392,0.4054704477190971
,,,255000,,,0.001,943.7581916868687,1000.0,-74.20836241149902,254392,0.5186790319606662
268,997.42,2170,258440,652.8347309600001,119,0.001,,,-74.18035961914063,257392,0.3958694204390049
,,,260000,,,0.001,900.1752329349517,1000.0,-74.16704168701172,259392,0.4519509681239724
272,997.42,2208,262440,652.72677719,118,0.001,,,-74.15161007690429,261392,0.3869179845303297
,,,265000,,,0.001,930.4462729096413,1000.0,-74.17350227355956,264392,0.4666953646764159
276,997.42,2246,266440,651.75921331,118,0.001,,,-74.18353727722167,265392,0.33313212857022884
,,,270000,,,0.001,939.263165807724,1000.0,-74.10803479003906,269392,0.4223249073773622
280,997.42,2283,270440,651.35759514,118,,,,,,
284,997.42,2307,274440,633.56352196,118,0.001,,,-73.86468672180176,273392,0.3623036087453365
,,,275000,,,0.001,951.2491018056869,1000.0,-73.84115254211426,274392,0.37603210120648145
288,989.04,2337,277602,627.82744094,118,0.001,,,-73.84358535578221,276554,0.5212948492923637
,,,280000,,,0.001,943.8487097620964,1000.0,-73.75845170593261,279554,0.5926054812297225
292,989.04,2374,281602,627.7152030100001,118,0.001,,,-73.77482070922852,280554,0.30655247034877536
