time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/learning_rate,eval/mean_reward,eval/mean_ep_length,train/actor_loss,train/n_updates,train/critic_loss
,,,655000,,,0.001,896.0904910922051,1000.0,-69.78909834289551,654548,0.5931221633553505
676,972.31,5556,655596,615.38361348,117,,,,,,
680,968.31,5576,658984,612.22700345,118,0.001,,,-70.01279421934147,657936,0.5168934467719081
,,,660000,,,0.001,864.9736402451992,1000.0,-69.96424174499512,659936,0.5033982309773565
684,968.31,5610,662984,608.0563866,118,0.001,,,-69.99840509033203,661936,0.46945831724256276
,,,665000,,,0.001,900.5658553659916,1000.0,-69.94742375183105,664936,0.6403676270246506
688,968.31,5645,666984,606.31517498,118,0.001,,,-69.91074272155761,665936,0.5210413385555148
,,,670000,,,0.001,923.9149048686028,1000.0,-69.91109324645996,669936,0.6688725415468216
692,968.31,5682,670984,606.09188082,118,,,,,,
696,968.31,5706,674984,605.85088059,118,0.001,,,-69.89314401245117,673936,0.5877123514935374
,,,675000,,,0.001,956.189590138197,1000.0,-69.89567895507813,674936,0.6480778759121895
700,968.31,5743,678984,607.1127743000001,118,0.001,,,-70.13394497680665,677936,0.5819035982713103
,,,680000,,,0.001,928.1068037033081,1000.0,-70.15924998474121,679936,0.566955709695816
704,968.31,5780,682984,613.2843901200001,118,0.001,,,-70.1674644165039,681936,0.55165597050637
,,,685000,,,0.001,900.7784057319165,1000.0,-70.25757447814941,684936,0.5602233300879598
708,968.31,5818,686984,615.8795958200001,118,0.001,,,-70.24606555175781,685936,0.6737334993779659
,,,690000,,,0.001,862.8379854500294,1000.0,-70.2862774810791,689936,0.6698238534927368
712,968.31,5855,690984,616.47657675,118,,,,,,
716,973.06,5880,694984,621.9022813099999,118,0.001,,,-70.16627478027344,693936,0.48034007801860573
,,,695000,,,0.001,881.5549731314183,1000.0,-70.2386710357666,694936,0.6299300127997994
720,973.06,5916,698984,621.7385789599999,118,0.001,,,-70.31479194641113,697936,0.6212088474556804
,,,700000,,,0.001,865.2525346696377,1000.0,-70.25678846740723,699936,0.6247890600562096
724,966.18,5950,702296,617.04715936,118,0.001,,,-70.20610192871094,701936,0.6039824241623283
,,,705000,,,0.001,884.8441591262817,1000.0,-70.2543302154541,704248,0.5831418003365397
728,968.32,5984,706296,617.8854404799999,118,0.001,,,-70.18754740905761,705248,0.4788879093825817
,,,710000,,,0.001,913.1229158341885,1000.0,-70.20546710205078,709248,0.6739710461497307
732,978.1,6018,710296,623.9919094100001,118,,,,,,
736,978.1,6043,714296,623.74473445,118,0.001,,,-70.21291468811035,713248,0.653394436866045
,,,715000,,,0.001,842.4544388473034,1000.0,-70.19441514587402,714248,0.6229556481540203
740,978.1,6079,718296,624.5312796200001,118,0.001,,,-70.2605122680664,717248,0.5439972172752022
,,,720000,,,0.001,850.8196311175823,1000.0,-70.20393563842774,719248,0.6171545108482241
744,978.1,6115,722296,624.25113572,118,0.001,,,-70.09041174316407,721248,0.5575575118660927
,,,725000,,,0.001,871.536118710041,1000.0,-70.0308078918457,724248,0.6050473570600152
748,978.1,6148,726296,624.90430558,118,0.001,,,-70.05312733459472,725248,0.6451596555262804
,,,730000,,,0.001,949.1505863964558,1000.0,-69.92126615905762,729248,0.5801578350961208
752,978.1,6183,730296,624.29734397,118,,,,,,
756,978.1,6209,734296,624.05667063,118,0.001,,,-69.85415261840821,733248,0.5960735737755894
,,,735000,,,0.001,886.5717115879058,1000.0,-69.8974666442871,734248,0.6048645752742886
760,976.71,6247,738157,623.7871940399999,118,0.001,,,-69.91772487551667,737109,0.660311324402915
,,,740000,,,0.001,851.602245092392,1000.0,-69.95739338684082,739903,0.6448541483581066
764,974.65,6281,741951,622.3530967900001,118,0.001,,,-69.87952388000488,740903,0.6004573284760117
,,,745000,,,0.001,910.1258329153061,1000.0,-69.80412173461914,743983,0.7536893898770213
768,974.35,6310,745031,622.98479085,118,,,,,,
772,974.35,6335,749031,624.6868663099999,118,0.001,,,-69.91518229675293,747983,0.7408862980902196
,,,750000,,,0.001,861.5057803750038,1000.0,-69.79927586364747,748983,0.6365656479373574
776,974.35,6370,753031,623.16678271,118,0.001,,,-69.77048059082031,751983,0.6814226604104042
,,,755000,,,0.001,882.0170627653599,1000.0,-69.65470785522461,753983,0.6979397837072611
780,980.47,6407,757031,622.20360364,118,0.001,,,-69.61416864013673,755983,0.7316460531651974
,,,760000,,,0.001,879.0946519136429,1000.0,-69.23087043762207,758983,0.8604838503226638
784,980.47,6448,761031,625.2141641400001,118,0.001,,,-69.1854179840088,759983,0.8203310750871897
,,,765000,,,0.001,895.2493308842182,1000.0,-68.90871813964844,763983,0.986176843777299
788,980.47,6488,765031,625.63604307,117,,,,,,
792,978.64,6512,768848,623.9904476099999,118,0.001,,,-68.97318147277832,767800,0.8512276039794088
,,,770000,,,0.001,923.1241315364838,1000.0,-68.91743551635741,769800,0.9639873425960541
796,978.64,6551,772848,623.78288922,117,0.001,,,-68.95565097045899,771800,0.8287098975032567
,,,775000,,,0.001,893.9635857105255,1000.0,-68.96283288574219,774800,0.849627809792757
800,978.64,6586,776848,622.4824078400001,117,0.001,,,-68.91111227416992,775800,0.8582630277052522
,,,780000,,,0.001,919.242844992876,1000.0,-68.9743151550293,779800,0.6892530973777174
804,973.36,6622,780320,617.9237102999999,117,,,,,,
808,973.36,6643,784320,616.55350628,118,0.001,,,-68.83079626464844,783272,0.9617077910304069
,,,785000,,,0.001,816.8747707247734,1000.0,-68.77697122192383,784272,0.8706603578403592
812,973.36,6679,788320,612.4588811,118,0.001,,,-68.64518154907226,787272,1.0090337661281228
,,,790000,,,0.001,827.145629298687,1000.0,-68.4298092880249,789272,0.9762217069417238
816,973.36,6714,792320,578.34726186,117,0.001,,,-68.02211995697022,791272,1.0065430729910732
,,,795000,,,0.001,837.2130558252335,1000.0,-67.96043030548095,794272,1.1183256845474243
820,973.36,6754,796320,577.76765233,117,0.001,,,-67.82111864471436,795272,0.87364932564646
,,,800000,,,0.001,821.0524316489697,1000.0,-67.75228099060058,799272,0.9447577427104116
824,980.24,6790,800320,581.2963948,117,,,,,,
828,980.24,6815,804320,580.86712205,118,0.001,,,-67.69735216522217,803272,1.056012585170567
,,,805000,,,0.001,874.6843071997166,1000.0,-67.51915617370605,804272,0.8682290769219398
832,980.24,6851,808320,580.2980629,117,0.001,,,-67.64996460723877,807272,0.8633611301779747
,,,810000,,,0.001,875.7329253017903,1000.0,-67.53376403808593,809272,0.8913913055807352
836,980.24,6885,812320,579.66380048,117,0.001,,,-67.58353675842285,811272,1.0757301702052355
,,,815000,,,0.001,820.1278951525688,1000.0,-67.42707563018799,814272,1.02492631354928
840,980.24,6920,816320,573.57647784,117,0.001,,,-67.36604167175292,815272,1.1669318082779645
,,,820000,,,0.001,835.1111288309097,1000.0,-67.06065106201171,819272,1.0656777828335762
844,980.24,6955,820320,573.2336911400001,117,,,,,,
848,980.24,6978,824320,571.37405435,118,0.001,,,-66.98781427764892,823272,1.0794571023657917
,,,825000,,,0.001,816.0328665316105,1000.0,-66.93160436248779,824272,1.035216663263738
852,980.24,7013,828320,570.7993661500001,118,0.001,,,-66.81746418762206,827272,1.0836703846380114
,,,830000,,,0.001,893.4976333200932,1000.0,-66.92382097625732,829272,0.7974399953261018
856,980.24,7048,832320,571.3201562999999,118,0.001,,,-67.05699438476563,831272,0.984754390835762
,,,835000,,,0.001,931.5685553349555,1000.0,-67.02951218414307,834272,1.116841803908348
860,981.63,7083,836320,571.25061442,118,0.001,,,-67.11760001373291,835272,1.166797715201974
,,,840000,,,0.001,745.2811723001302,1000.0,-67.04871413421631,839272,1.1913742657601833
864,983.69,7121,840320,570.4369325399999,118,,,,,,
868,992.89,7151,844320,574.0847835299999,118,0.001,,,-66.9210643081665,843272,1.1347052599936724
,,,845000,,,0.001,824.9435192942619,1000.0,-66.76820763397217,844272,1.0776940958946943
872,992.89,7197,848320,572.2478184199999,117,0.001,,,-66.88272220611572,847272,0.9730008819997311
,,,850000,,,0.001,837.4381800174713,1000.0,-66.87309416198731,849272,0.9640524165630341
876,992.89,7239,852320,572.34396394,117,0.001,,,-66.92074016571046,851272,0.734368609815836
,,,855000,,,0.001,880.1830875515938,1000.0,-66.86833392333985,854272,0.7623234670609236
880,992.89,7277,856320,576.6303844500001,117,0.001,,,-66.84144403076172,855272,0.8281785413622856
,,,860000,,,0.001,907.8288412153721,1000.0,-66.63601309967041,859272,1.2176699834316969
884,992.89,7312,860320,576.6353692499999,117,,,,,,
888,992.89,7338,864320,575.5324984399999,117,0.001,,,-66.72385859680176,863272,1.1428014756962657
,,,865000,,,0.001,843.291956025362,1000.0,-66.67506627016847,864590,1.8537068963988022
892,987.9,7375,867638,570.76510419,117,0.001,,,-66.48396852874755,866590,1.0628558439686895
,,,870000,,,0.001,880.9422415196896,1000.0,-66.53789456074054,869007,1.2283769830418148
896,982.07,7410,871055,565.61670338,117,0.001,,,-66.11370097351075,870007,1.1848909178227187
,,,875000,,,0.001,840.3199808001518,1000.0,-66.0820527267456,874007,1.499066517353058
900,982.07,7448,875055,565.0349748000001,117,,,,,,
904,987.35,7473,879055,565.03414265,117,0.001,,,-65.8689222946167,878007,1.4021862181276084
,,,880000,,,0.001,844.35027911067,1000.0,-65.77550379180909,879007,1.7206522959917783
908,987.35,7513,883055,557.56690517,117,0.001,,,-65.78644696807861,882007,1.4214283241182566
,,,885000,,,0.001,851.5578086435795,1000.0,-65.82255922698974,884007,1.4004338897168636
912,987.35,7550,887055,558.98233224,117,0.001,,,-65.79529263305665,886007,1.207732417151332
,,,890000,,,0.001,795.473203599453,1000.0,-65.83615644073487,889007,1.3695408099889754
916,987.35,7589,891055,591.13812473,117,0.001,,,-65.88705906677247,890007,1.2904878827109934
,,,895000,,,0.001,838.2944737195969,1000.0,-65.75135431671143,894007,1.1299853349626063
920,987.35,7627,895055,590.4201821400001,117,,,,,,
924,987.35,7652,899055,589.0904043400001,117,0.001,,,-65.63926736450195,898007,1.127285129673779
,,,900000,,,0.001,837.9017229497433,1000.0,-65.65786186981201,899007,0.9882956755533815
928,987.35,7689,903055,588.0502021899999,117,0.001,,,-65.72776614379883,902007,1.0362335345074534
,,,905000,,,0.001,811.72935911417,1000.0,-65.6344814605713,904007,1.1320388456732036
932,987.35,7728,907055,586.13619221,117,0.001,,,-65.56538220214844,906007,1.2329628110527993
,,,910000,,,0.001,850.8275846481323,1000.0,-65.5084673538208,909007,1.3150287684202193
936,987.35,7766,911055,585.6149625300001,117,0.001,,,-65.47398242950439,910007,1.2477295725643636
,,,915000,,,0.001,758.7014493793249,1000.0,-65.48884431457519,914007,1.2276983351111412
940,987.35,7811,915055,588.47391669,117,,,,,,
944,979.1,7838,918230,583.1052011899999,117,0.001,,,-65.1045952835083,917182,1.3099937893748284
,,,920000,,,0.001,828.800956505537,1000.0,-65.06962770843506,919182,1.3840797129273414
948,979.1,7892,922230,582.8557945599999,116,0.001,,,-65.14676558685302,921182,1.3164558602124452
,,,925000,,,0.001,850.7507303178311,1000.0,-65.08384685516357,924182,1.0811453787833452
952,979.1,7936,926230,581.82723864,116,0.001,,,-65.19334103393555,925182,1.2489797415286303
,,,930000,,,0.001,826.6507537901401,1000.0,-64.84731143188476,929182,1.5032254562228917
956,979.1,7973,930230,579.08670728,116,,,,,,
960,979.1,7997,934230,578.9211171100001,116,0.001,,,-64.78744205474854,933182,1.525265581816435
,,,935000,,,0.001,817.6376811981202,1000.0,-64.81563121795654,934182,1.426024849280715
964,979.1,8036,938230,579.9703610299999,116,0.001,,,-64.6675355758667,937182,1.6582079473286868
,,,940000,,,0.001,792.3277742385865,1000.0,-64.6357219543457,939182,1.7107359465956689
968,979.1,8084,942230,579.00335136,116,0.001,,,-64.60082130432129,941182,1.595753843575716
,,,945000,,,0.001,801.7795721352101,1000.0,-64.41079250335693,944182,1.5569994779825211
972,979.1,8125,946230,578.3616588399999,116,0.001,,,-64.25748834991455,945182,1.4984734839349985
976,970.55,8148,949375,571.7240484199999,116,0.001,,,-64.39909685982599,948327,1.2647901805310413
,,,950000,,,0.001,834.8974158406257,1000.0,-64.0569546661377,949327,1.476028939038515
980,969.02,8194,953222,569.5073863000001,116,0.001,,,-64.21528411102295,952174,1.3698881130963565
,,,955000,,,0.001,843.5556910693646,1000.0,-64.03672222137452,954174,1.7753076592236758
984,968.39,8248,957159,568.93997521,116,0.001,,,-64.411233253479,956174,1.6317250492423774
,,,960000,,,0.001,892.1786888659001,1000.0,-64.39056177520752,959111,1.7029812200516463
988,968.39,8306,961159,570.09446756,115,0.001,,,-64.4475966796875,960111,1.8027956381887198
992,966.1,8333,964248,568.7650050899999,115,0.001,,,-64.26118036905925,963200,1.967736505390553
,,,965000,,,0.001,891.599660539627,1000.0,-64.39140002276446,964571,1.6357049559647183
996,965.64,8380,967619,568.10004294,115,0.001,,,-64.65881410217285,966571,1.708211544379592
,,,970000,,,0.001,753.445561504364,1000.0,-64.67557145690918,969571,1.4832212425023317
1000,962.49,8429,971304,552.25294809,115,0.001,,,-64.58211616516114,970571,1.4792163221389054
,,,975000,,,0.001,778.5101364314556,1000.0,-64.51264853668214,974256,1.455398919776082
1004,962.49,8470,975304,543.96635289,115,,,,,,
1008,962.49,8494,979304,548.93995713,115,0.001,,,-63.93731443786621,978256,1.362706019744277
,,,980000,,,0.001,771.5770302176476,1000.0,-63.82986422729492,979256,1.5342684965282678
1012,962.49,8531,983304,547.46492865,115,0.001,,,-63.75040426635742,982256,1.5132459068745374
,,,985000,,,0.001,867.3493885695934,1000.0,-63.65431217956543,984256,1.4828145206719636
1016,962.49,8568,987304,546.69157809,115,0.001,,,-63.560113487243655,986256,1.4375282242298126
,,,990000,,,0.001,891.8378412842751,1000.0,-63.65335717773438,989256,1.3989407116770745
1020,962.49,8606,991304,546.72685142,115,0.001,,,-63.54559704589844,990256,1.389024960026145
,,,995000,,,0.001,830.5187794864178,1000.0,-63.493146728515626,994256,1.5355479651391506
1024,962.49,8642,995304,546.37272894,115,,,,,,
1028,962.49,8666,999304,545.49354415,115,0.001,,,-63.70707091522217,998256,1.427216376066208
,,,1000000,,,0.001,784.5194916784764,1000.0,-63.62009513092041,999256,1.5681728391349317
1032,962.49,8704,1003304,544.18894873,115,0.001,,,-63.45242147827148,1002256,1.3695720458477736
,,,1005000,,,0.001,730.4363923668861,1000.0,-63.49237890625,1004256,1.238571248292923
1036,962.49,8741,1007304,542.54874631,115,0.001,,,-63.356379180908206,1006256,1.1265385943651198
,,,1010000,,,0.001,792.0594631016254,1000.0,-63.25367581176758,1009256,1.2590923164784908
1040,962.49,8776,1011304,542.90600102,115,0.001,,,-63.33998818206787,1010256,1.2740958647876979
,,,1015000,,,0.001,802.3867244482041,1000.0,-63.335577903747556,1014256,1.3874971641972662
1044,970.74,8811,1015304,543.1988874200001,115,,,,,,
1048,970.74,8836,1019304,543.0941276500001,115,0.001,,,-63.49305993652344,1018256,1.5095353407263756
,,,1020000,,,0.001,824.021947401762,1000.0,-63.731020095825194,1019256,1.4421446840763092
1052,970.74,8873,1023304,544.50539991,115,0.001,,,-63.80941535186768,1022256,1.5076098195463419
,,,1025000,,,0.001,871.4230077385903,1000.0,-63.88419090270996,1024256,1.775916378468275
1056,970.74,8907,1027304,543.62085215,115,0.001,,,-64.0156750717163,1026256,1.5864664458781481
,,,1030000,,,0.001,823.7434884369374,1000.0,-64.19562561035156,1029256,1.5784671699553727
1060,970.74,8948,1031304,543.94973769,115,0.001,,,-64.1990766067505,1030256,1.411968502163887
,,,1035000,,,0.001,837.0041394114494,1000.0,-63.911261825561525,1034256,1.3402469557970762
1064,970.74,8984,1035304,540.0101891100002,115,,,,,,
1068,970.74,9008,1039304,539.7042942100001,115,0.001,,,-63.45395825958252,1038256,1.4152655395269393
,,,1040000,,,0.001,888.6626325428485,1000.0,-63.41969376373291,1039256,1.4748709161132574
1072,970.74,9045,1043304,540.00776377,115,0.001,,,-63.57743814086914,1042256,1.393772140108049
,,,1045000,,,0.001,831.5348217785358,1000.0,-63.68530306243896,1044256,1.5516178488731385
1076,979.29,9082,1047304,545.9563508199999,115,0.001,,,-63.745727798461914,1046256,1.1915155851840973
,,,1050000,,,0.001,805.4733673512935,1000.0,-63.59754244995117,1049256,1.1062761146873237
1080,980.82,9115,1051304,546.1790426,115,0.001,,,-63.63378074645996,1050256,1.33694893245399
,,,1055000,,,0.001,847.8511574089528,1000.0,-63.642873458862304,1054256,1.2056853379011154
1084,981.45,9151,1055304,546.7201087899999,115,,,,,,
1088,981.45,9174,1059304,546.17262781,115,0.001,,,-63.483282135009766,1058256,1.3282529752999543
,,,1060000,,,0.001,759.8183026969433,1000.0,-63.51047802734375,1059256,1.344867497071624
1092,990.56,9213,1063304,551.05980901,115,0.001,,,-63.53041495513916,1062256,1.1817130319774152
,,,1065000,,,0.001,847.1616026341915,1000.0,-63.45172050476074,1064256,1.1310683645904065
1096,996.85,9251,1067304,554.0941151599999,115,0.001,,,-63.58094583892822,1066256,1.0994827742427586
,,,1070000,,,0.001,919.2903452396392,1000.0,-63.56757598876953,1069256,1.0885198803693057
1100,1000.0,9288,1071304,569.80133523,115,0.001,,,-63.69328372955322,1070256,1.15323529702425
,,,1075000,,,0.001,811.237856811285,1000.0,-63.62679861450195,1074256,1.1283084815442561
1104,1000.0,9326,1075304,579.57450643,115,,,,,,
1108,1000.0,9358,1079304,574.95305711,115,0.001,,,-63.75882260894775,1078256,1.463863745674491
,,,1080000,,,0.001,768.1521051943303,1000.0,-63.70936756134033,1079256,1.3369956133812666
1112,1000.0,9404,1083304,576.60306216,115,0.001,,,-63.766882148742674,1082256,1.1924503822624684
,,,1085000,,,0.001,826.6621577739716,1000.0,-63.81188549804688,1084256,1.058435020685196
1116,1000.0,9444,1087304,576.20957401,115,0.001,,,-63.71402833557129,1086256,0.9726839024797082
,,,1090000,,,0.001,827.3018971264362,1000.0,-63.83235765838623,1089256,1.1849977596849204
1120,1000.0,9483,1091304,574.6538888700001,115,0.001,,,-63.83017682647705,1090256,1.0537230381295084
1124,993.87,9507,1094691,571.05567139,115,0.001,,,-63.93730362701416,1093643,0.8729264619275927
,,,1095000,,,0.001,808.8020834505558,1000.0,-64.0128677444458,1094643,1.0132862298041583
1128,993.87,9551,1098691,570.6266992,115,0.001,,,-63.920831115722656,1097643,0.9966387747973203
,,,1100000,,,0.001,835.4137924134732,1000.0,-64.04748951721191,1099643,0.9919953269511461
1132,993.87,9599,1102691,573.44049601,114,0.001,,,-64.02961042785644,1101643,0.7804717021957039
,,,1105000,,,0.001,851.176280528307,1000.0,-64.34639476776123,1104643,0.7907124306559563
1136,993.87,9653,1106691,576.21341644,114,0.001,,,-64.3770086517334,1105643,0.9373255514129997
,,,1110000,,,0.001,872.2482149660588,1000.0,-64.58246558380127,1109643,0.934152477696538
1140,993.87,9705,1110691,578.0316092400001,114,,,,,,
1144,993.87,9740,1114691,584.22384573,114,0.001,,,-64.67207132720947,1113643,1.0502498746663331
,,,1115000,,,0.001,809.5781444489955,1000.0,-64.78188795471192,1114643,0.9913221080750227
1148,993.87,9791,1118691,585.34910951,114,0.001,,,-65.07284262847901,1117643,0.8475303616151214
,,,1120000,,,0.001,811.4238584339619,1000.0,-64.99478152465821,1119643,0.9554783113896846
1152,993.87,9838,1122691,586.03739451,114,0.001,,,-65.11284248352051,1121643,0.996376415014267
,,,1125000,,,0.001,850.4188182353973,1000.0,-65.19739890289307,1124877,0.9221715437173843
1156,986.21,9881,1125925,583.09888279,113,,,,,,
1160,986.21,9912,1129925,582.5010193499999,113,0.001,,,-65.15010744476318,1128877,1.1833166717290877
,,,1130000,,,0.001,783.9215625405311,1000.0,-65.17397231292725,1129877,0.9070274801999331
1164,986.21,9954,1133925,586.1147328,113,0.001,,,-65.12951947021485,1132877,0.7909139397442341
,,,1135000,,,0.001,852.5741139471531,1000.0,-65.12142971801758,1134877,0.7625340430438519
1168,986.21,10002,1137925,589.0908973200001,113,0.001,,,-65.0563650970459,1136877,0.8620582639202475
,,,1140000,,,0.001,782.5886956989765,1000.0,-65.13612423706054,1139877,0.9629455277323723
1172,986.21,10049,1141925,588.78919925,113,0.001,,,-64.98761990356445,1140877,0.8874397439360618
,,,1145000,,,0.001,916.200646096468,1000.0,-65.14948499298096,1144877,0.9702783290743828
1176,986.21,10098,1145925,590.21120453,113,,,,,,
1180,986.21,10128,1149925,592.1870896999999,113,0.001,,,-65.29258264923095,1148877,0.846254965826869
,,,1150000,,,0.001,820.6690371334553,1000.0,-65.33219915008544,1149877,0.9545482556670905
1184,986.21,10177,1153925,593.11659499,113,0.001,,,-65.49313815307617,1152877,0.7667714874520898
,,,1155000,,,0.001,891.8609311163425,1000.0,-65.57891584014892,1154877,0.912851358383894
1188,986.21,10223,1157925,593.4824163299999,113,0.001,,,-65.7190006942749,1156877,0.701149158321321
,,,1160000,,,0.001,852.12598528862,1000.0,-65.77141891479492,1159877,0.7469940759763122
1192,986.21,10261,1161925,595.0706699899999,113,0.001,,,-65.95344105529786,1160877,0.8890075481832027
,,,1165000,,,0.001,775.9504163265228,1000.0,-65.9924231185913,1164877,0.870063722267747
1196,986.21,10298,1165925,596.59608115,113,,,,,,
1200,986.21,10323,1169925,595.83251183,113,0.001,,,-65.98481439208985,1168877,0.7772797440886497
,,,1170000,,,0.001,916.8889807999134,1000.0,-65.98238031768798,1169877,0.8222627301588654
1204,986.21,10360,1173925,594.8854374499999,113,0.001,,,-65.99381028747558,1172877,1.0094039012491702
,,,1175000,,,0.001,923.8774912536144,1000.0,-66.16524004364014,1174877,0.7198596443459392
1208,986.21,10398,1177925,602.72112889,113,0.001,,,-66.19201969146728,1176877,0.7587724685892463
,,,1180000,,,0.001,880.0798659205436,1000.0,-66.28156410980225,1179672,0.8360944295153022
1212,984.16,10434,1181720,603.1347268600001,113,0.001,,,-66.38170368957519,1180672,0.8188000160455704
,,,1185000,,,0.001,827.618455952406,1000.0,-66.38146041107177,1184672,0.7466660256385803
1216,984.16,10471,1185720,605.25189564,113,,,,,,
1220,984.16,10496,1189720,607.38284793,113,0.001,,,-66.15117304229736,1188672,0.7403718269243836
,,,1190000,,,0.001,898.7281077504158,1000.0,-66.13966709136963,1189672,0.8243299590423703
1224,990.29,10534,1193720,612.1278959900001,113,0.001,,,-66.01166631317139,1192672,0.8236758029609919
,,,1195000,,,0.001,817.9405242860317,1000.0,-66.0944303741455,1194672,0.6600720506906509
1228,990.29,10571,1197720,613.32808744,113,0.001,,,-66.04134482574463,1196672,0.7741359574645758
,,,1200000,,,0.001,794.3620140433311,1000.0,-66.03843029022217,1199672,0.6463271135985851
1232,990.29,10607,1201720,609.6861381500001,113,0.001,,,-65.92847039794921,1200672,0.6765883177220822
,,,1205000,,,0.001,814.811360603571,1000.0,-65.99789503479003,1204672,0.7241017751321197
1236,990.29,10644,1205720,608.16598441,113,,,,,,
1240,990.29,10676,1209720,606.92629139,113,0.001,,,-66.03087190246582,1208672,0.5755240258947015
,,,1210000,,,0.001,901.4995360612869,1000.0,-66.13416608428955,1209672,0.7385106207877398
1244,988.51,10726,1213542,605.55292977,113,0.001,,,-66.20888950876946,1212494,0.6853348893587027
,,,1215000,,,0.001,866.9449743807315,1000.0,-66.37125035858155,1214494,0.7009781986176967
1248,988.51,10778,1217542,605.17514309,112,0.001,,,-66.46070791625976,1216494,0.8374855740517377
,,,1220000,,,0.001,849.2536414504051,1000.0,-66.2818342666626,1219494,0.8298599802181125
1252,988.51,10828,1221542,598.03866518,112,0.001,,,-66.13975932312012,1220494,0.8330986802875996
,,,1225000,,,0.001,837.3774401664734,1000.0,-66.11596591186523,1224494,0.5727235995158553
1256,996.17,10881,1225542,602.78681683,112,,,,,,
1260,989.18,10913,1228843,598.13995519,112,0.001,,,-66.22351834869384,1228494,0.8957776567339897
,,,1230000,,,0.001,841.1952581644058,1000.0,-66.15331653594971,1229795,0.984170360609889
1264,989.18,10957,1232843,598.10897789,112,0.001,,,-66.01822500610352,1231795,0.9545730868428945
,,,1235000,,,0.001,966.8854133903981,1000.0,-66.20052237701417,1234795,0.746951377093792
1268,989.18,11005,1236843,598.39267943,112,0.001,,,-66.1401559677124,1235795,0.9168235831409692
,,,1240000,,,0.001,904.2076919674873,1000.0,-66.45824503326416,1239795,1.0172525328025221
1272,989.18,11051,1240843,601.0414188899999,112,,,,,,
1276,989.18,11082,1244843,601.8117447,112,0.001,,,-66.58113398742675,1243795,0.9492220755219459
,,,1245000,,,0.001,905.24976811409,1000.0,-66.66084289550781,1244795,0.8835614900439978
1280,986.28,11127,1248553,599.76389976,112,0.001,,,-66.69268105316162,1247795,0.8616747452914715
,,,1250000,,,0.001,883.3953893244267,1000.0,-66.69060737609863,1249505,0.8187389057278633
1284,986.28,11171,1252553,599.17428538,112,0.001,,,-66.69750119781494,1251505,0.8538325409963727
,,,1255000,,,0.001,815.2001371443272,1000.0,-66.70912632751465,1254505,0.7513615542650223
1288,986.28,11216,1256553,599.7571475699999,112,0.001,,,-66.69317601013184,1255505,0.876500593572855
,,,1260000,,,0.001,793.4577279210091,1000.0,-66.69781256866455,1259505,1.0851574099361896
1292,986.28,11260,1260553,599.4018443299999,111,,,,,,
1296,986.28,11292,1264553,599.1730815099999,111,0.001,,,-66.59392666625976,1263505,0.8362556538209319
,,,1265000,,,0.001,793.7998234510421,1000.0,-66.46598191070557,1264505,0.8485954097360373
1300,986.28,11340,1268553,598.1053327300001,111,0.001,,,-66.48966705322266,1267505,0.7779535037055612
,,,1270000,,,0.001,862.7363373219966,1000.0,-66.36112536621094,1269505,0.8050540836900473
1304,986.28,11386,1272553,599.43855864,111,0.001,,,-66.36672005462647,1271505,0.8488663517832756
,,,1275000,,,0.001,881.8182002842426,1000.0,-66.44832057189942,1274505,0.7943697976917028
1308,986.28,11435,1276553,597.5472980899999,111,0.001,,,-66.41037043762206,1275505,0.8897244037389755
,,,1280000,,,0.001,860.4971548497676,1000.0,-66.52428775024414,1279395,0.8956829472184181
1312,987.23,11481,1280443,597.9805129499999,111,,,,,,
1316,987.23,11512,1284443,596.84314474,111,0.001,,,-66.41574982452393,1283395,0.9648720941245555
,,,1285000,,,0.001,814.3435289442539,1000.0,-66.40617213439941,1284395,1.0562460352927447
1320,987.23,11560,1288443,597.86070387,111,0.001,,,-66.28664562225342,1287395,0.9460596476420761
,,,1290000,,,0.001,883.0143447816372,1000.0,-66.40734616851806,1289395,0.9192604933381081
1324,987.23,11609,1292443,599.2001799499999,111,0.001,,,-66.48668188476563,1291395,0.9706840007379651
,,,1295000,,,0.001,512.7809462636709,1000.0,-66.28628411102295,1294395,1.105005571871996
1328,987.23,11654,1296443,598.1702936500001,111,0.001,,,-66.21220478820801,1295395,1.1214965237379073
,,,1300000,,,0.001,810.2138583421707,1000.0,-66.13204914093018,1299395,1.1816560408324004
1332,987.23,11702,1300443,600.76382867,111,,,,,,
1336,987.23,11732,1304443,600.23758369,111,0.001,,,-65.90486303710938,1303395,1.0972785630822182
,,,1305000,,,0.001,766.9508383750915,1000.0,-65.8619228439331,1304395,1.0151304671019317
1340,987.23,11780,1308443,599.68449275,111,0.001,,,-65.71085964202881,1307395,0.9025403670519591
,,,1310000,,,0.001,836.1711651980877,1000.0,-65.59077949523926,1309395,0.8384500776678324
1344,989.01,11828,1312443,599.84543514,110,0.001,,,-65.51540928649902,1311395,1.106874024681747
,,,1315000,,,0.001,865.6342543065548,1000.0,-65.4144027481079,1314395,0.9267518211454153
1348,989.01,11876,1316443,598.24061819,110,0.001,,,-65.35853405761719,1315395,0.878770118355751
,,,1320000,,,0.001,846.3350710272789,1000.0,-65.40721573638916,1319395,1.139761189647019
1352,989.01,11924,1320443,603.8247441999999,110,,,,,,
