train/learning_rate,rollout/ep_rew_mean,time/total_timesteps,train/actor_loss,time/episodes,time/time_elapsed,train/critic_loss,train/n_updates,rollout/ep_len_mean,time/fps,eval/mean_ep_length,eval/mean_reward
0.001,13.720583840909088,1258,-3.8014122009277345,88,8,0.43325217962265017,1221,14.295454545454545,140,,
0.001,13.559037739130432,1296,-3.886977958679199,92,9,0.5112180054187775,1260,14.08695652173913,140,,
0.001,13.442380604166667,1336,-4.376736354827881,96,9,0.4233230285346508,1298,13.916666666666666,140,,
0.001,13.560609029999998,1387,-4.307900428771973,100,9,0.4035615054043857,1340,13.87,141,,
0.001,15.040695399999997,1550,-4.761605545326516,104,10,0.5668010846884163,1460,14.33,145,,
0.001,18.08918152,1720,-5.649231243133545,108,12,0.6729629079500834,1666,15.75,140,,
0.001,19.58978723,1813,-6.146463504204383,112,13,0.6308472007513046,1765,16.4,139,,
0.001,22.463537509999995,1977,-6.437686189015706,116,13,0.972918693096407,1865,17.76,142,,
0.001,28.822235100000004,2316,-7.88093623449636,120,16,1.3623893558979034,2206,20.87,140,,
0.001,,2500,-9.04043135532113,,,1.349123625063348,2457,,,85.05,165.44394995570184
0.001,35.13144886,2652,-9.448084694998604,124,21,1.5220071802656334,2540,23.95,124,,
0.001,41.23670442,2982,-10.735056189603585,128,23,1.4375798178966654,2869,26.97,124,,
0.001,47.2560887,3309,-12.251691954476494,132,26,1.9833902170260747,3202,29.96,123,,
0.001,52.674195950000005,3612,-13.42629806995392,136,29,1.9883693102747202,3515,32.71,123,,
0.001,58.253985549999996,3921,-14.540782323697718,140,31,2.550023767683241,3812,35.52,125,,
0.001,63.65767378,4220,-15.64724884963617,144,33,2.1672261440899314,4119,38.01,125,,
0.001,69.08853387,4509,-16.755661897881087,148,36,2.786717485549838,4446,40.18,125,,
0.001,72.33190152,4772,-17.875852006854434,152,38,2.3087088971426994,4701,40.4,125,,
0.001,,5000,-18.64636812210083,,,3.190372393280268,4952,,,81.5,152.9553616762161
,76.12238701999999,5061,,156,42,,,42.42,119,,
0.001,80.92255834000001,5397,-19.692171939583712,160,44,3.2094872727113612,5284,44.91,120,,
0.001,85.80955549000001,5736,-20.58673806623979,164,47,2.990250039374691,5626,47.42,120,,
0.001,90.56825533,6076,-21.616047859191895,168,50,3.642334379869349,5963,49.83,120,,
0.001,96.94069774999998,6419,-22.69063457222872,172,53,3.3529401227485303,6306,52.97,120,,
0.001,102.03531638999999,6699,-24.09927949451265,176,55,3.1103816249791314,6647,55.49,119,,
0.001,105.08672404999999,6880,-24.853094024658205,180,57,4.3264826419306734,6799,56.98,120,,
0.001,111.40906842999999,7212,-25.425069631532182,184,59,4.683433152908503,7096,59.94,120,,
0.001,,7500,-25.711264263499867,,,5.903306971775012,7185,,,386.75,460.1899081975222
0.001,124.18730812000001,8174,-29.440786272980446,188,77,6.237716181333675,8057,69.16,105,,
0.001,130.13221214,8495,-31.383555257043174,192,80,6.460977273828843,8412,71.99,105,,
0.001,134.48417796,8745,-32.63571829795838,196,82,8.036681923270226,8671,74.09,105,,
0.001,138.44507385,8988,-34.17694074457342,200,84,7.077112971411811,8883,76.01,106,,
0.001,141.71973746,9303,-35.76989323384053,204,86,9.79479437192281,9187,77.53,107,,
0.001,145.58904685,9657,-38.41543397036466,208,89,13.992298879406668,9541,79.37,107,,
0.001,,10000,-39.59933649698893,,,15.639013662443055,9897,,,116.25,207.27104798853398
,151.00849301,10009,,212,95,,,81.96,104,,
0.001,154.72626574,10351,-40.95674272862876,216,98,18.047976720623854,10242,83.74,105,,
0.001,155.8922221,10752,-41.678783507574174,220,100,19.178479993199726,10574,84.36,106,,
0.001,155.98193578000001,11086,-43.85123234703427,224,103,17.59911801133837,10974,84.34,106,,
0.001,156.53673652,11431,-44.216391216624864,228,106,17.900883864272725,11315,84.49,107,,
0.001,157.46767696999999,11788,-45.47374369303385,232,109,16.693981726964314,11671,84.79,107,,
0.001,159.05202462999998,12146,-46.40132319132487,236,112,20.047864599542304,12031,85.34,108,,
0.001,159.90352051,12483,-47.01602451975753,240,115,16.970809982483644,12379,85.62,108,,
0.001,,12500,-47.821083362285904,,,16.33187637700663,12456,,,81.0,147.82572374343872
0.001,160.64634938,12808,-48.465878582000734,244,120,18.15581020116806,12696,85.88,106,,
0.001,162.29155867999998,13162,-48.37583757483441,248,122,18.29595871593641,13047,86.53,107,,
0.001,164.84733068000003,13531,-49.28568392214568,252,125,18.04016093284853,13411,87.59,107,,
0.001,166.69443849000004,13894,-49.13966539171007,256,128,18.796604580349392,13777,88.33,107,,
0.001,167.61266593,14258,-50.71438026428223,260,131,18.39813076413196,14140,88.61,108,,
0.001,168.44946196,14623,-51.4714804304407,264,134,16.39811376772429,14505,88.87,108,,
0.001,168.48233352,14959,-51.740185601370676,268,137,15.511191924413046,14846,88.83,108,,
0.001,,15000,-52.07912595881972,,,14.05163456118384,14932,,,81.9,157.45348553657533
0.001,168.04830470999997,15283,-52.061954400478264,272,142,14.357378501158495,15175,88.64,107,,
0.001,169.75716756999998,15636,-53.85681177775065,276,145,14.152813397096784,15520,89.37,107,,
0.001,173.48919332000006,15993,-53.3295022715693,280,148,19.064504398094428,15876,91.13,107,,
0.001,173.94594970999998,16353,-54.44503858815069,284,151,15.01068204837841,16236,91.41,107,,
0.001,167.87571649999998,16712,-55.046492936876085,288,154,15.825997161865235,16593,85.38,108,,
0.001,168.77288585000002,17068,-55.47363064505837,292,157,15.617125752266872,16951,85.73,108,,
0.001,170.71527383,17410,-56.264301465905234,296,160,16.35366125728773,17304,86.65,108,,
0.001,,17500,-56.877598476409915,,,17.485092985630036,17463,,,78.6,149.88431507349014
0.001,172.17359313999998,17725,-57.24541708139273,300,165,18.33557152748108,17619,87.37,107,,
0.001,172.42895585,18049,-57.52465394485829,304,168,19.999595081104953,17944,87.46,107,,
0.001,171.55900868,18368,-58.47002066635504,308,170,17.17451138031192,18263,87.11,107,,
0.001,170.74325047,18686,-58.83340520858765,312,172,17.074980407953262,18578,86.77,108,,
0.001,171.57576298,19113,-59.659773445129396,316,176,15.488289779424667,18976,87.62,108,,
0.001,,20000,-59.53329318502675,,,15.006716313569441,19342,,,1000.0,990.0895386368036
,179.09562095000004,20369,,320,206,,,96.17,98,,
0.001,,22500,-68.42015661621093,,,21.749372675895692,22423,,,957.7,981.627714420855
,204.21253860999997,23450,,324,257,,,123.64,91,,
0.001,208.9650965,24567,-79.75974408318015,328,273,17.481023239366937,24496,131.36,89,,
0.001,203.87942226999994,24726,-79.56332863701715,332,275,46.632347928153145,24662,129.38,89,,
0.001,198.66867383000002,24872,-79.40133993966239,336,276,120.67768868945893,24820,127.26,89,,
0.001,193.70526206000002,24997,-81.10875936654898,340,277,27.666653951009113,24933,125.14,90,,
0.001,,25000,-82.945262708162,,,36.78976615699562,24970,,,34.5,47.31999654173851
0.001,189.20767106,25125,-82.46460469563802,344,279,90.81115142822266,25067,123.17,89,,
0.001,183.44023319999997,25229,-82.26565987723214,348,280,47.48395674569266,25178,120.67,89,,
0.001,177.24468302000002,25327,-82.37604713439941,352,281,59.61515498161316,25276,117.96,90,,
0.001,171.04721531999996,25415,-82.8718428178267,356,281,30.183255195617676,25365,115.21,90,,
0.001,164.88399147999996,25509,-83.74047724405925,360,282,174.900115814209,25461,112.51,90,,
0.001,158.86116540999998,25614,-84.44844465989333,364,283,112.6009324147151,25560,109.91,90,,
0.001,153.74075599999998,25727,-84.81212674654446,368,284,48.73556071061354,25664,107.68,90,,
0.001,151.04906322000002,25935,-84.42262377057757,372,285,138.99284492220198,25780,106.52,90,,
0.001,145.28058335000003,26047,-86.7239749615009,376,287,90.8874552154541,25990,104.11,90,,
0.001,139.40672941999998,26152,-87.99774333408901,380,288,119.75092308861869,26098,101.59,90,,
0.001,133.42815622,26257,-90.11644040621243,384,289,67.40653242888274,26205,99.04,90,,
0.001,127.48488320999999,26362,-87.01813289097377,388,290,174.6988193648202,26309,96.5,90,,
0.001,121.44851159,26468,-88.62195880596454,392,291,112.71755857820864,26415,94.0,90,,
0.001,116.07575841000002,26584,-90.49204799107143,396,292,135.195570255148,26529,91.74,90,,
0.001,,27500,-89.5881357828776,,,70.89909001054436,26586,,,450.5,491.92962993383406
0.001,137.03516555000002,29041,-104.37272947692871,400,321,101.86604360580445,28504,113.16,90,,
0.001,,30000,-118.50532650497725,,,133.4077539039108,29777,,,643.85,773.8500534951687
0.001,152.45161879,30780,-123.44575245415986,404,354,140.19482218614266,30447,127.31,86,,
0.001,167.90271292,32249,-137.18262326515327,408,365,184.4405165121589,31751,138.81,88,,
0.001,,32500,-139.27292477882514,,,157.63743080252547,32222,,,482.95,651.2495801955462
0.001,183.88807675000004,33789,-147.7979761024431,412,391,176.28898053929424,33386,151.03,86,,
0.001,,35000,-155.9214263584303,,,162.40946681603143,34849,,,325.0,491.3594707429409
,197.13333458,35199,,416,412,,,160.86,85,,
0.001,200.53460224000003,36423,-166.02485838390533,420,423,145.29379907992518,36203,160.54,86,,
0.001,,37500,-169.5721594238281,,,145.00798676109315,37396,,,167.3,303.88959529697894
0.001,199.01394497,39012,-171.8660273742676,424,446,141.73158513259887,38583,155.62,87,,
0.001,,40000,-172.14100780952268,,,146.47875132409905,39779,,,436.8,586.8241028696299
0.001,214.79329245999998,41238,-173.23529928701896,428,472,134.59500092047233,40211,166.71,87,,
0.001,,42500,-172.92594821166992,,,130.04776434326172,42211,,,1000.0,1040.1824112653733
0.001,,45000,-176.6305115661621,,,116.49383910179138,44211,,,1000.0,999.0531847119331
,254.13417287999997,45238,,432,560,,,205.12,80,,
0.001,,47500,-176.91732501983643,,,81.9792863169024,47242,,,114.5,112.54578675311059
,277.08618428,47721,,436,587,,,228.49,81,,
0.001,295.57004197000003,49295,-179.99907011144302,440,597,94.81235968008549,48268,242.98,82,,
0.001,306.1696539,49791,-181.43032001999188,444,607,99.7787450214602,49619,246.66,81,,
0.001,,50000,-181.29324744729433,,,95.79166924692419,49901,,,134.95,287.07124172449113
0.001,318.04633661,50369,-180.81619638939426,448,615,106.73168904814001,50196,251.4,81,,
0.001,330.30331774999996,50984,-180.26591270848326,452,621,89.83790193196215,50823,256.57,82,,
0.001,342.3701968499999,51561,-179.98502823069126,456,626,100.84791367009001,51385,261.46,82,,
0.001,355.5272531300001,52268,-178.66957333213404,460,631,84.9189672785879,52062,267.59,82,,
0.001,,52500,-179.55618637084962,,,93.1317993736267,52441,,,199.85,386.3692397326231
0.001,377.01612274,53916,-179.42324267578124,464,650,95.17164355754852,53612,283.02,82,,
0.001,390.8215940900001,54676,-177.63291150470113,468,657,103.53014805150586,54476,289.49,83,,
0.001,,55000,-178.15967735877405,,,80.6869874611879,54966,,,165.45,327.7840634018183
0.001,401.78206146,55406,-175.53732528686524,472,667,73.44453915953636,55126,294.71,83,,
0.001,415.44993879000003,56180,-174.90108351934524,476,674,87.95558518909273,55962,301.33,83,,
0.001,428.44186053000004,56933,-173.36801013317736,480,679,86.58744733412188,56666,307.81,83,,
0.001,,57500,-171.76419951698998,,,64.78964432215287,57451,,,198.4,374.06538777053356
,442.00047228999995,57668,,484,690,,,314.11,83,,
0.001,454.8780436699999,58350,-170.20250533463118,488,696,71.75972977551547,58149,319.88,83,,
0.001,468.1823798699999,59090,-168.14111750176613,492,702,66.82406572862105,58870,326.22,84,,
0.001,,60000,-168.630969099565,,,52.61412588899786,59656,,,271.9,448.88089995086193
,483.80112676,60078,,496,716,,,334.94,83,,
0.001,472.2852467,60960,-165.64545213130484,500,725,59.63665242132111,60724,319.19,84,,
0.001,466.90233731999996,61847,-166.67679739898105,504,732,72.773472439568,61613,310.67,84,,
0.001,,62500,-165.40560817718506,,,71.1051184279578,62272,,,255.15,431.9038467377424
0.001,461.8251027400001,62750,-165.58350791587486,508,747,57.04289933797475,62494,305.01,84,,
0.001,,65000,-164.41521072387695,,,53.84745526313782,64942,,,260.25,452.97826970219614
,468.82115579,65229,,512,774,,,314.4,84,,
0.001,466.84266089000005,66356,-163.6902984389685,516,783,42.9046137565957,66018,311.57,84,,
0.001,,67500,-161.77895271487353,,,48.86557334806861,67249,,,390.55,586.3039413273334
,469.0662741799999,67660,,520,803,,,312.37,84,,
0.001,463.73030736,69371,-159.6732792225919,524,817,41.77738078682168,68918,303.59,84,,
0.001,,70000,-158.15991929372152,,,50.19118630091349,69824,,,390.75,579.6102182745933
0.001,460.13218580999995,70968,-156.57963478172218,528,841,42.616729218769336,70576,297.3,84,,
0.001,439.85524676,72346,-154.16850017029563,532,853,44.35802110624902,72049,271.08,84,,
0.001,,72500,-153.23738742404515,,,40.053810377474186,72319,,,372.4,565.7178890109062
0.001,437.48882943000007,73836,-153.10890359393622,536,875,50.87672803963825,73456,261.15,84,,
0.001,,75000,-151.36547329551294,,,33.94683770307406,74943,,,312.55,504.91321966648104
,440.06577288000005,75362,,540,896,,,260.67,84,,
0.001,449.41975741999994,76778,-149.03193488192917,544,909,41.43575020052081,76489,269.87,84,,
