time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,train/std,train/approx_kl,train/entropy_loss,train/learning_rate,train/value_loss,train/clip_range,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/loss,eval/mean_ep_length,eval/mean_reward
4,-109.49547087500001,510,2048,1,113.5625,,,,,,,,,,,,,
10,-175.8563926818182,390,4096,2,176.13636363636363,0.9908088445663452,0.010991254,-11.310425609350204,0.0003,161.46075991392135,0.2,0.11904296875,-0.015098929405212402,-0.025423563263029792,10,33.60063171386719,,
,,,5000,,,0.9753550291061401,0.013085995,-11.21946217417717,0.0003,115.10211246013641,0.2,0.101025390625,-0.07663655281066895,-0.02440942204266321,20,24.514467239379883,1000.0,992.4255295231939
32,-136.1630570465116,187,6144,3,137.30232558139534,,,,,,,,,,,,,
38,-165.10789012244896,211,8192,4,165.6122448979592,0.9598154425621033,0.015442448,-11.08531058728695,0.0003,132.6959771156311,0.2,0.14482421875,-0.0011820793151855469,-0.031613775360165165,30,45.42831039428711,,
,,,10000,,,0.9493681192398071,0.012220895,-10.984758818149567,0.0003,92.2318119764328,0.2,0.102099609375,-0.0007520914077758789,-0.026700245811662172,40,22.562641143798828,1000.0,961.1620292627719
60,-152.1786584923077,169,10240,5,156.09230769230768,,,,,,,,,,,,,
67,-119.07015767010309,181,12288,6,123.22680412371135,0.9396011829376221,0.012773483,-10.88668085038662,0.0003,110.38472332954407,0.2,0.171484375,0.0031054019927978516,-0.0376741043117363,50,53.99346160888672,,
74,-135.16558643,192,14336,7,137.79,0.9388424158096313,0.009728808,-10.847724455595017,0.0003,207.04266691207886,0.2,0.09287109375,0.09747821092605591,-0.026595634265686386,60,78.33334350585938,,
,,,15000,,,0.9337119460105896,0.011041522,-10.82522143125534,0.0003,118.54373853206634,0.2,0.115087890625,0.1803944706916809,-0.03013688204518985,70,25.49704360961914,1000.0,976.2511859315913
93,-137.18171687000003,174,16384,8,138.48,,,,,,,,,,,,,
100,-115.40387609999999,183,18432,9,120.79,0.9223567247390747,0.0137731135,-10.750655853748322,0.0003,106.66081042289734,0.2,0.14599609375,0.09735304117202759,-0.03283748456742615,80,41.975093841552734,,
,,,20000,,,0.9186932444572449,0.009332165,-10.688778096437455,0.0003,181.72067432403566,0.2,0.0908203125,0.21002638339996338,-0.027711771169560962,90,65.3109130859375,1000.0,949.1226985322079
122,-124.69809249000002,167,20480,10,130.78,,,,,,,,,,,,,
127,-115.90582696000001,176,22528,11,120.4,0.9084355235099792,0.012015368,-10.624180456995964,0.0003,77.19036701917648,0.2,0.129345703125,0.24834340810775757,-0.03337250001495704,100,27.173099517822266,,
134,-105.92616007000002,182,24576,12,110.18,0.9061883091926575,0.008631686,-10.572993674874306,0.0003,204.46130697727205,0.2,0.0716796875,0.2997223138809204,-0.023994081089040265,110,96.31954956054688,,
,,,25000,,,0.903009831905365,0.009027,-10.548186975717545,0.0003,260.0039195537567,0.2,0.076806640625,0.2581522464752197,-0.026319640083238484,120,109.12906646728516,1000.0,962.1267974553339
157,-97.03269124,168,26624,13,103.73,,,,,,,,,,,,,
163,-103.61244987,175,28672,14,111.56,0.8983229398727417,0.013021353,-10.51094625890255,0.0003,98.34185110330581,0.2,0.137353515625,0.3512822389602661,-0.033147024530626366,130,32.918617248535156,,
,,,30000,,,0.8935442566871643,0.010781748,-10.470767787098884,0.0003,115.0443516254425,0.2,0.126171875,0.49544864892959595,-0.03464585121837445,140,40.74372863769531,912.7,860.7383174065326
182,-93.40676407000001,167,30720,15,100.93,,,,,,,,,,,,,
189,-87.63345404,172,32768,16,97.23,0.8842332363128662,0.011803515,-10.406921017169953,0.0003,104.76603051424027,0.2,0.121240234375,0.46341192722320557,-0.03248754259693669,150,24.586023330688477,,
196,-96.69846471,176,34816,17,110.08,0.8810452222824097,0.011496986,-10.35112901031971,0.0003,136.51880679130554,0.2,0.1177734375,0.5895012021064758,-0.03125049118534662,160,68.95985412597656,,
,,,35000,,,0.8739936351776123,0.011671007,-10.304954841732979,0.0003,117.42838456630707,0.2,0.121875,0.5994247794151306,-0.033962502423673865,170,64.40220642089844,696.2,616.5123866010836
213,-81.58489214000001,172,36864,18,96.93,,,,,,,,,,,,,
220,-61.86156256000001,176,38912,19,76.86,0.8700260519981384,0.010394016,-10.255043783783913,0.0003,138.31140358448027,0.2,0.1095703125,0.6647377610206604,-0.034494745146366766,180,63.7251091003418,,
,,,40000,,,0.8644390106201172,0.011674216,-10.211014920473099,0.0003,113.96585289239883,0.2,0.12890625,0.7519484758377075,-0.035278327926062045,190,34.314414978027344,663.2,525.6338740546256
237,-68.8828666,172,40960,20,86.2,,,,,,,,,,,,,
