train/n_updates,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/fps,train/actor_loss,train/learning_rate,time/total_timesteps,train/critic_loss,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
2000,4,760.75,10,283,-3.1485411866405046,0.001,3043,0.09309685060475022,-1054.5037955,,
4000,,,,,-3.029841931875795,0.001,5000,0.08852109779138118,,-2082.0009635925294,1000.0
5052,8,761.875,36,167,-3.2186298920558047,0.001,6095,0.23929726310934013,-1225.74355925,,
9052,12,761.9166666666666,56,162,-3.5291474974155426,0.001,9143,0.7945273680388928,-1502.2707658333336,,
9216,,,,,-3.0978211200598516,0.001,10000,1.1438397059073815,,-281.4385726887267,141.3
10216,16,645.125,63,163,-2.358318080663681,0.001,10322,0.9533500919938087,-1197.9656585,,
10456,20,528.2,64,163,-2.1716166692120686,0.001,10564,1.1918447954314095,-971.6938551999999,,
10617,24,445.125,65,163,-1.8900436858336132,0.001,10683,1.3697011542320252,-817.6430567083333,,
12684,28,490.25,77,176,-2.1440635997056963,0.001,13727,1.1045288499593735,-664.847108392857,,
14684,,,,,-3.030341641187668,0.001,15000,0.9307585667669773,,421.1984671858663,832.9
16684,32,553.96875,106,166,-3.1139233943223954,0.001,17727,0.8298998733758927,-529.5199944062499,,
19684,,,,,-4.678058237075805,0.001,20000,0.7288815831243992,,602.1058783372107,1000.0
20684,36,603.5277777777778,137,157,-5.3241601076126095,0.001,21727,0.7065304050743579,-414.38753430555545,,
24684,,,,,-7.5935374355316165,0.001,25000,0.7521455447971821,,839.8038940160535,1000.0
,40,643.175,169,151,,,25727,,-302.84809574999997,,
26702,44,630.5681818181819,179,154,-9.468870162963867,0.001,27745,0.6848663555251228,-240.69932179545455,,
29702,,,,,-10.689200637817382,0.001,30000,0.7209794596731662,,747.5988899159245,1000.0
30702,48,661.3541666666666,209,151,-11.28809595489502,0.001,31745,0.7688173864781856,-154.97585479166662,,
34702,,,,,-12.953817541122437,0.001,35000,0.8442149231135845,,612.3478405261434,1000.0
,52,687.4038461538462,241,148,,,35745,,-99.03342896153842,,
37752,56,692.7678571428571,257,150,-14.435049116134644,0.001,38795,0.8170279525816441,-57.96615539285712,,
39752,,,,,-15.523394247055053,0.001,40000,0.7680696506500244,,787.5625411860644,1000.0
41752,60,713.25,287,148,-16.945825750350952,0.001,42795,0.7156229701638221,1.6187719833333536,,
44752,,,,,-18.852043117523195,0.001,45000,0.68402539524436,,866.8784444843419,1000.0
45752,64,731.171875,316,147,-19.481756565093995,0.001,46795,0.7124597454965115,53.30376459375003,,
49752,,,,,-21.15049467086792,0.001,50000,0.8724517505764962,,801.5095370418392,1000.0
,68,746.9852941176471,346,146,,,50795,,94.60669732352945,,
53752,72,761.0416666666666,367,148,-23.760321144104005,0.001,54795,0.6445703368782997,136.38717218055558,,
54752,,,,,-24.55463459777832,0.001,55000,0.6249599503576756,,872.2851079882355,1000.0
57752,76,773.6184210526316,399,147,-26.94466732788086,0.001,58795,0.5828046405017376,173.9124165789474,,
59752,,,,,-28.319787799835204,0.001,60000,0.5463435186445713,,874.1238822704181,1000.0
61752,80,784.9375,429,146,-29.7667110748291,0.001,62795,0.5339446572214365,208.52565278750004,,
64752,,,,,-31.575399303436278,0.001,65000,0.5158067240715026,,839.3516553170048,1000.0
65752,84,795.1785714285714,459,145,-32.390681972503664,0.001,66795,0.5283611914515496,240.132942202381,,
69752,,,,,-34.67212677764893,0.001,70000,0.5497628699541092,,837.6145080173388,1000.0
,88,804.4886363636364,490,144,,,70795,,266.87622672727275,,
73752,92,812.9891304347826,512,146,-36.68941136932373,0.001,74795,0.5029328820854425,294.35038415217394,,
74752,,,,,-37.20934886932373,0.001,75000,0.5165389271080494,,881.3693262976594,1000.0
77752,96,820.78125,542,145,-38.66648442840576,0.001,78795,0.4952552434951067,320.55749164583335,,
79752,,,,,-39.51036901855469,0.001,80000,0.5058649218380451,,944.9779719680548,1000.0
81752,100,827.95,573,144,-40.40966778564453,0.001,82795,0.4916624897867441,346.1561153800001,,
84752,,,,,-41.78836907958984,0.001,85000,0.5104002642631531,,944.4313867452554,1000.0
85752,104,837.52,605,143,-42.22976811218262,0.001,86795,0.5174400525987148,426.32213399,,
89752,,,,,-43.90755325317383,0.001,90000,0.5331793025285005,,860.2917288838537,1000.0
,108,847.0,636,142,,,90795,,517.45232817,,
93752,112,856.52,657,144,-45.00464823913574,0.001,94795,0.5789052150696516,637.9226866600001,,
94752,,,,,-45.259574729919436,0.001,95000,0.5717689858973026,,976.0617302981816,1000.0
97752,116,884.73,688,143,-46.29251318359375,0.001,98795,0.597735141351819,689.8129600900002,,
99752,,,,,-46.99529095458984,0.001,100000,0.6281016484498978,,869.9063112708536,1000.0
101752,120,922.31,718,143,-47.47735263824463,0.001,102795,0.6599884022772312,735.6951245200001,,
104752,,,,,-48.366001945495604,0.001,105000,0.659630977153778,,957.7363905918203,1000.0
105752,124,961.12,748,142,-48.70237023162842,0.001,106795,0.6695582720339298,778.0823920200002,,
109752,,,,,-50.48976232910156,0.001,110000,0.6823117004036904,,1114.0570683259516,1000.0
,128,970.68,778,142,,,110795,,815.72480355,,
113752,132,970.68,799,143,-51.928283027648924,0.001,114795,0.7665901261866093,842.9096462099999,,
114752,,,,,-52.21193245697022,0.001,115000,0.7480544236898422,,1297.393041769415,1000.0
117752,136,970.68,830,143,-53.2656971282959,0.001,118795,0.8154376890063286,873.8072978999999,,
119752,,,,,-54.00807292175293,0.001,120000,0.8164893003702164,,1346.9410583858378,1000.0
121752,140,970.68,861,142,-54.735330032348635,0.001,122795,0.883235771626234,899.19309226,,
