time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/std,train/clip_fraction,train/loss,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/n_updates,train/approx_kl,train/entropy_loss,train/explained_variance,train/clip_range,eval/mean_ep_length,eval/mean_reward
2048,1000.0,690,1,2,35644.3742195,,,,,,,,,,,,,
4096,1000.0,544,2,7,38259.082047,0.9993748664855957,0.10185546875,162997.859375,-0.043343797925626856,0.0003,346781.93193359376,10,0.011643277,-24.122036761045457,-0.0006005764007568359,0.2,,
5000,,,,,,0.9978984594345093,0.070458984375,222062.359375,-0.03921375066274777,0.0003,468221.12333984376,20,0.010853282,-24.099759596586228,-0.007141828536987305,0.2,1000.0,32651.45888900757
6144,1000.0,128,3,47,37920.2890245,,,,,,,,,,,,,
8192,1000.0,158,4,51,38704.019552,0.9973032474517822,0.105517578125,183007.734375,-0.04470417491102126,0.0003,379309.71904296876,30,0.012302186,-24.080458211898804,-0.0052947998046875,0.2,,
10000,,,,,,0.9953209161758423,0.0955078125,244855.609375,-0.04383597136911703,0.0003,460875.8965820313,40,0.01152681,-24.060504448413848,-0.0005810260772705078,0.2,1000.0,41503.43350696564
10240,1000.0,115,5,88,38936.721847,,,,,,,,,,,,,
12288,1000.0,132,6,92,39392.15042925,0.9938823580741882,0.1095703125,233195.703125,-0.04900907191913575,0.0003,436340.6680664063,50,0.01237951,-24.03053950071335,0.001173853874206543,0.2,,
14336,1000.0,147,7,97,39400.11162592857,0.9927868843078613,0.11767578125,225837.265625,-0.05154593392944662,0.0003,479912.8094726562,60,0.013046196,-24.004823303222658,-0.001558065414428711,0.2,,
15000,,,,,,0.9923268556594849,0.120751953125,208701.4375,-0.05072056586504914,0.0003,423652.7048828125,70,0.013450464,-23.99448179602623,0.0023325085639953613,0.2,1000.0,114483.40473499298
16384,1000.0,124,8,131,39890.9219550625,,,,,,,,,,,,,
18432,1000.0,135,9,135,40219.18080061111,0.9932360053062439,0.103515625,251513.4375,-0.05020739512401633,0.0003,515737.5923828125,80,0.012550507,-24.004424303770065,-0.0014781951904296875,0.2,,
20000,,,,,,0.9934931397438049,0.12509765625,236630.234375,-0.05603676872851793,0.0003,498070.067578125,90,0.013490789,-24.00960059762001,-0.00027561187744140625,0.2,1000.0,109279.05995178223
20480,1000.0,120,10,169,40466.046282899995,,,,,,,,,,,,,
22528,1000.0,129,11,174,40741.16294781818,0.9913354516029358,0.14208984375,220890.671875,-0.05766582684009336,0.0003,465389.6795898437,100,0.014042023,-23.985553991794585,6.0498714447021484e-05,0.2,,
24576,1000.0,137,12,179,40806.855210125,0.9898326992988586,0.130322265625,254455.265625,-0.056405361037468536,0.0003,518316.0274414063,110,0.014005227,-23.95438265800476,8.827447891235352e-05,0.2,,
25000,,,,,,0.988489031791687,0.15439453125,232797.4375,-0.061645293349283745,0.0003,483347.87275390624,120,0.015099283,-23.926282596588134,-0.00016438961029052734,0.2,1000.0,92470.36163482667
26624,1000.0,123,13,215,41088.45023323077,,,,,,,,,,,,,
28672,1000.0,130,14,219,41412.11520092857,0.9882627129554749,0.156103515625,254330.734375,-0.058555362271727064,0.0003,513032.72822265624,130,0.015223645,-23.919651585817338,0.0021026134490966797,0.2,,
30000,,,,,,0.9874678254127502,0.1505859375,242068.15625,-0.05872600043367129,0.0003,551812.6895507813,140,0.015086594,-23.911511957645416,-8.809566497802734e-05,0.2,1000.0,73537.0778289795
30720,1000.0,120,15,255,41755.880124933334,,,,,,,,,,,,,
32768,1000.0,126,16,259,42004.183267125,0.9854421019554138,0.17333984375,281960.65625,-0.062487842467089647,0.0003,579501.4396484375,150,0.01541612,-23.88274137377739,-0.0020051002502441406,0.2,,
34816,1000.0,132,17,263,42369.953239352944,0.9835678339004517,0.14658203125,353198.125,-0.05859812622074969,0.0003,675030.459765625,160,0.014703579,-23.85107793211937,0.0009312033653259277,0.2,,
