rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/fps,train/learning_rate,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef,train/ent_coef_loss,eval/mean_reward,eval/mean_ep_length
5.25,0,-5.539287,4,21,950,,,,,,,,
5.75,0,-6.455208875,8,46,894,,,,,,,,
5.25,0,-5.675871416666667,12,63,934,,,,,,,,
5.6875,0,-6.5501461875,16,91,932,,,,,,,,
5.4,0,-6.466951849999999,20,108,574,0.0003,-8.276240348815918,14.127790451049805,7,0.9981932640075684,-0.03375525772571564,,
5.166666666666667,0,-6.247892375,24,124,340,0.0003,-11.18718147277832,15.491473197937012,23,0.9933280348777771,-0.1322639137506485,,
5.035714285714286,0,-6.112724821428571,28,141,254,0.0003,-11.896736145019531,14.729575157165527,40,0.9881476759910583,-0.23739373683929443,,
5.0,0,-6.018397468750001,32,160,203,0.0003,-11.783010482788086,17.998653411865234,59,0.982397198677063,-0.3552098572254181,,
5.194444444444445,1,-6.391880194444444,36,187,169,0.0003,-12.478242874145508,17.215242385864258,86,0.9743131399154663,-0.5204973220825195,,
5.3,1,-6.5855613,40,212,151,0.0003,-12.799983024597168,12.321188926696777,111,0.9669206738471985,-0.6711592674255371,,
5.204545454545454,1,-6.373951318181819,44,229,143,0.0003,-12.855422973632812,12.72136116027832,128,0.9619393944740295,-0.7770026922225952,,
5.208333333333333,1,-6.267310062499999,48,250,135,0.0003,-13.340127944946289,9.946266174316406,149,0.9558358192443848,-0.9047302007675171,,
5.326923076923077,2,-6.455305461538462,52,277,128,0.0003,-13.38904857635498,4.41524076461792,176,0.9480785131454468,-1.0607556104660034,,
5.339285714285714,2,-6.299321839285715,56,299,122,0.0003,-14.276396751403809,3.0620956420898438,198,0.9418295621871948,-1.1918797492980957,,
5.35,2,-6.31544105,60,321,117,0.0003,-15.261982917785645,2.8333544731140137,220,0.9356388449668884,-1.3126558065414429,,
5.34375,2,-6.26566371875,64,342,114,0.0003,-14.643722534179688,2.4487791061401367,241,0.929772675037384,-1.434678316116333,,
5.352941176470588,3,-6.224607676470588,68,364,112,0.0003,-14.910252571105957,3.173339605331421,263,0.9236653447151184,-1.5613434314727783,,
5.319444444444445,3,-6.1344323888888885,72,383,110,0.0003,-15.456412315368652,2.854200839996338,282,0.9184240698814392,-1.6859654188156128,,
5.2894736842105265,3,-6.0931593552631576,76,402,108,0.0003,-15.047754287719727,2.198934316635132,301,0.9132024049758911,-1.7998251914978027,,
5.275,3,-6.0299779000000004,80,422,107,0.0003,-15.894819259643555,3.2295081615448,321,0.9077395796775818,-1.9189362525939941,,
5.345238095238095,4,-6.059386214285714,84,449,104,0.0003,-16.22589111328125,2.9322469234466553,348,0.9004088640213013,-2.09165358543396,,
5.386363636363637,4,-6.08244478409091,88,474,103,0.0003,-16.22296905517578,2.3802456855773926,373,0.8936662673950195,-2.2208175659179688,,
