time/time_elapsed,time/episodes,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,eval/mean_reward,eval/mean_ep_length
0,4,14,3463,3.5,3.5,,,,,,
0,8,30,3697,3.75,3.75,,,,,,
0,12,72,4711,6.0,6.0,,,,,,
0,16,92,4661,5.75,5.75,,,,,,
0,20,108,681,5.4,5.4,0.001,10,-0.8764384984970093,0.13045658667882284,,
0,24,120,397,5.0,5.0,0.001,22,-1.0312055349349976,0.02167185799529155,,
0,28,132,315,4.714285714285714,4.714285714285714,0.001,34,-0.9836699664592743,0.00912539940327406,,
0,32,144,271,4.5,4.5,0.001,46,-1.069303274154663,0.0053252944101889925,,
0,36,156,240,4.333333333333333,4.333333333333333,0.001,58,-1.1055801510810852,0.003785879506419102,,
0,40,168,215,4.2,4.2,0.001,70,-1.1284175515174866,0.003823437417546908,,
0,44,180,200,4.090909090909091,4.090909090909091,0.001,82,-1.1673566102981567,0.005008047446608543,,
1,48,192,190,4.0,4.0,0.001,94,-1.203652024269104,0.00448402560626467,,
1,52,204,182,3.923076923076923,3.923076923076923,0.001,106,-1.2137677669525146,0.005188779750217994,,
1,56,216,175,3.857142857142857,3.857142857142857,0.001,118,-1.2265680432319641,0.007128219430645307,,
1,60,228,170,3.8,3.8,0.001,130,-1.2777867913246155,0.006805170327425003,,
1,64,240,164,3.75,3.75,0.001,142,-1.3009463548660278,0.007860168814659119,,
1,68,252,160,3.7058823529411766,3.7058823529411766,0.001,154,-1.285013496875763,0.0068022822961211205,,
1,72,264,157,3.6666666666666665,3.6666666666666665,0.001,166,-1.3324735760688782,0.007251607875029246,,
1,76,276,155,3.6315789473684212,3.6315789473684212,0.001,178,-1.299781322479248,0.00894637731835246,,
1,80,288,153,3.6,3.6,0.001,190,-1.3251121640205383,0.008705078779409329,,
1,84,300,150,3.5714285714285716,3.5714285714285716,0.001,202,-1.3490273356437683,0.011194164243837198,,
2,88,312,148,3.5454545454545454,3.5454545454545454,0.001,214,-1.3278542757034302,0.011671573854982853,,
2,92,324,145,3.5217391304347827,3.5217391304347827,0.001,226,-1.3562983870506287,0.0064865173771977425,,
2,96,336,141,3.5,3.5,0.001,238,-1.4047427773475647,0.011569883363942305,,
2,100,348,138,3.48,3.48,0.001,250,-1.3783599734306335,0.0055903238244354725,,
2,104,360,135,3.46,3.46,0.001,262,-1.407412827014923,0.006069243807966511,,
2,108,372,133,3.42,3.42,0.001,274,-1.4023917317390442,0.00856074100981156,,
2,112,384,130,3.12,3.12,0.001,286,-1.4280470609664917,0.0043522474976877374,,
3,116,396,129,3.04,3.04,0.001,298,-1.4512556791305542,0.00915632334848245,,
3,120,408,128,3.0,3.0,0.001,310,-1.4838843941688538,0.010617116466164589,,
3,124,420,127,3.0,3.0,0.001,322,-1.4648544788360596,0.014165551712115606,,
3,128,432,126,3.0,3.0,0.001,334,-1.483391523361206,0.011576656252145767,,
3,132,444,125,3.0,3.0,0.001,346,-1.5362394452095032,0.01892943928639094,,
3,136,456,124,3.0,3.0,0.001,358,-1.5331915020942688,0.007464881249082585,,
3,140,468,124,3.0,3.0,0.001,370,-1.5067768692970276,0.01511893980205059,,
3,144,480,124,3.0,3.0,0.001,382,-1.5257485508918762,0.01225137027601401,,
3,148,492,124,3.0,3.0,0.001,394,-1.5722926259040833,0.02081037654230992,,
4,152,504,124,3.0,3.0,0.001,406,-1.5600199103355408,0.01045830330501,,
4,156,516,123,3.0,3.0,0.001,418,-1.570394217967987,0.015438319183886051,,
4,160,528,123,3.0,3.0,0.001,430,-1.5633365511894226,0.009096228828032812,,
4,164,540,124,3.0,3.0,0.001,442,-1.6115766167640686,0.01466659146050612,,
4,168,552,124,3.0,3.0,0.001,454,-1.5587168335914612,0.01096524492216607,,
4,172,564,124,3.0,3.0,0.001,466,-1.6158618927001953,0.013282096479088068,,
4,176,576,124,3.0,3.0,0.001,478,-1.6021575927734375,0.00723307766020298,,
