train/learning_rate,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss,train/n_updates,time/total_timesteps,train/actor_loss,time/fps,eval/mean_ep_length,eval/mean_reward
0.001,96,852.53125,461.97418238541667,630,0.3309043189287186,80843,81843,-32.72694471359253,129,,
0.001,,,,,0.3890994534641504,84843,85000,-33.93004122924805,,1000.0,863.7549177752808
,100,858.43,464.7235464099999,661,,,85843,,129,,
0.001,104,868.21,518.3213780899999,682,0.42483974948525427,88843,89843,-34.84572457885742,131,,
0.001,,,,,0.429390935793519,89843,90000,-35.0046081237793,,1000.0,705.9115714691579
0.001,108,896.53,582.5098111499999,713,0.4120947594195604,92843,93843,-35.669253028869626,131,,
0.001,,,,,0.4158450735509396,94843,95000,-36.12786614227295,,1000.0,794.156493346952
0.001,112,916.07,618.63467653,744,0.3792541480958462,96843,97843,-36.69790716552735,131,,
0.001,,,,,0.36884173189103603,99843,100000,-37.43302635192871,,1000.0,726.1546549038961
0.001,116,955.02,651.81083558,776,0.38406311009824273,100843,101843,-37.718958984375,131,,
0.001,,,,,0.4237110956311226,104843,105000,-38.82617695617676,,1000.0,617.2762117997743
,120,992.62,688.6300667400001,807,,,105843,,131,,
0.001,124,992.62,704.2715006600001,829,0.41233151003718377,108843,109843,-40.04192552947998,132,,
0.001,,,,,0.43316791354119777,109843,110000,-40.302689109802245,,1000.0,668.1249759609927
0.001,128,992.62,714.85115038,860,0.4129370027929544,112843,113843,-41.01267308807373,132,,
0.001,,,,,0.33857253709435464,114843,115000,-41.660043739318844,,1000.0,751.5931182151529
0.001,132,992.62,724.15236628,891,0.34593522253632547,116843,117843,-42.18972299194336,132,,
0.001,,,,,0.34391912627220156,119843,120000,-43.19777464294434,,1000.0,808.5986688975245
0.001,136,992.62,723.2390923100002,922,0.327432510972023,120843,121843,-43.39012536621094,132,,
0.001,,,,,0.31642304226011037,124843,125000,-44.33315497589111,,1000.0,706.1743203133286
,140,992.62,724.6329061200003,954,,,125843,,131,,
0.001,144,992.62,723.54890833,976,0.31476348170638085,128843,129843,-45.26790975189209,132,,
0.001,,,,,0.3131765182390809,129843,130000,-45.46611902618408,,1000.0,798.1112601347268
0.001,148,992.62,738.8036584700001,1007,0.2816336839944124,132843,133843,-46.2596439666748,132,,
0.001,,,,,0.2792672662511468,134843,135000,-46.91798918151856,,1000.0,793.5779488690198
0.001,152,992.62,735.6713817700002,1038,0.26223564998060467,136843,137843,-47.498261260986325,132,,
0.001,,,,,0.2819757644608617,139843,140000,-48.42148851776123,,1000.0,867.4947905477136
0.001,156,992.62,737.5262300999999,1070,0.26606009221822025,140843,141843,-48.71729325866699,132,,
0.001,,,,,0.30588822621107103,144843,145000,-49.57841389465332,,1000.0,880.040857325308
,160,992.62,738.2237507000001,1102,,,145843,,132,,
0.001,164,992.62,743.69683303,1123,0.27573123351484535,148843,149843,-50.554185035705565,133,,
0.001,,,,,0.2699657172933221,149843,150000,-50.72381586456299,,1000.0,904.1916781492531
0.001,168,1000.0,759.41411544,1155,0.2727453485801816,152843,153843,-51.25284199523926,133,,
0.001,,,,,0.2982599492669106,154843,155000,-51.57257111358643,,1000.0,877.3209659461863
0.001,172,1000.0,770.2347831999999,1186,0.29964459116756914,156843,157843,-51.88222870635986,133,,
0.001,,,,,0.30431676346063613,159843,160000,-52.177935470581055,,1000.0,913.3069837383925
0.001,176,1000.0,774.5337346100001,1217,0.27693426436930896,160843,161843,-52.41019426727295,132,,
0.001,,,,,0.2881030344590545,164843,165000,-53.08396794128418,,1000.0,914.085900747776
,180,1000.0,777.72753205,1247,,,165843,,132,,
0.001,184,1000.0,783.4021291900001,1269,0.24900015591830016,168843,169843,-53.62541627502441,133,,
0.001,,,,,0.24176644077897072,169843,170000,-53.80745427703857,,1000.0,902.8200779642909
0.001,188,1000.0,790.5069685799999,1300,0.22284410935640336,172843,173843,-54.18562409210205,133,,
0.001,,,,,0.22308563581109048,174843,175000,-54.50648894500733,,1000.0,922.3392464399337
0.001,192,1000.0,794.4416859099999,1330,0.21446649031341075,176843,177843,-54.88384941101074,133,,
0.001,,,,,0.2281951137036085,179843,180000,-55.48150037384033,,1000.0,927.7106450520456
