time/episodes,time/fps,train/actor_loss,rollout/ep_len_mean,train/critic_loss,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,eval/mean_ep_length,eval/mean_reward
4,78,-3.1310382868051527,763.75,0.12441581868380308,3055,0.001,-1288.715709,38,2000,,
,,11.309244798660279,,0.22814563877880573,5000,0.001,,,4000,1000.0,-3006.023122048378
8,56,22.405713779449464,881.875,0.46726087141036987,7055,0.001,-2146.53850625,123,6000,,
,,14.441535287857056,,0.2058077748157084,10000,0.001,,,9000,910.7,-2582.537385815382
12,49,13.85790228843689,844.9166666666666,0.265332594498992,10139,0.001,-2122.904291083333,206,10000,,
16,53,14.143075852167039,704.8125,0.9378750462357591,11277,0.001,-1724.2595916250002,211,10222,,
20,53,14.048844575881958,714.25,0.5558627657592297,14285,0.001,-1504.8308884500002,268,13230,,
,,13.147597893424656,,0.5920845704234164,15000,0.001,,,14276,619.3,53.667970916036005
24,52,12.093826604843139,722.125,0.5195662704110146,17331,0.001,-1262.2666114583333,332,16276,,
,,10.365829956054688,,0.5512434251904488,20000,0.001,,,19313,467.0,197.7318595948047
28,51,,727.4285714285714,,20368,,-1020.6639687857144,394,,,
32,49,8.258459784507751,704.59375,0.7208798147141934,22547,0.001,-861.340585375,452,22397,,
,,7.774802659988404,,0.7113336987793446,25000,0.001,,,24622,717.3,233.5729141904041
36,51,,713.25,,25677,,-727.1749903333333,502,,,
40,49,7.070194444656372,717.25,0.6630083569586277,28690,0.001,-649.878587225,577,28622,,
44,49,6.960472053951687,678.0454545454545,0.6510601765231082,29834,0.001,-580.7082630454546,598,29709,,
,,6.117580223083496,,1.0756908476352691,30000,0.001,,,29865,715.4,298.7429763726726
48,49,5.999629233837128,645.0416666666666,0.7939141633212566,30962,0.001,-523.2662000208334,627,30865,,
52,50,5.339721384048462,653.8461538461538,0.7185937899947167,34000,0.001,-476.1366625576923,668,32945,,
,,5.0141162972450255,,0.6578053665459156,35000,0.001,,,33945,1000.0,332.86038864729926
56,50,4.400602007865905,678.5714285714286,0.7008520502448082,38000,0.001,-431.6127517678572,755,36945,,
,,4.580256893157959,,0.6585637327730656,40000,0.001,,,38945,767.2,380.79881531013814
60,50,3.4467906215190887,700.0,0.6541191911101342,42000,0.001,-399.28818253333344,839,40945,,
,,1.5415251540839672,,0.6626795126795769,45000,0.001,,,43945,1000.0,339.02726007355375
64,49,1.4155661116149276,718.75,0.7105124613046646,46000,0.001,-359.23261037500004,924,44945,,
,,0.20040903522772716,,0.6412887124717236,50000,0.001,,,48945,1000.0,625.1438070751726
68,49,,735.2941176470588,,50000,,-305.1593949117647,1008,,,
72,49,-1.4828322249297052,750.0,0.5745376617014408,54000,0.001,-249.96920565277782,1086,52945,,
,,-1.9240127774477005,,0.5545109121501446,55000,0.001,,,53945,1000.0,621.8349592248444
76,49,-3.5191550314426423,763.1578947368421,0.5115525932163,58000,0.001,-207.39905486842108,1171,56945,,
,,-4.628596763134003,,0.49913682574033735,60000,0.001,,,58945,1000.0,716.3678022801644
80,49,-5.590410567760467,775.0,0.5305596869289875,62000,0.001,-167.30048007500002,1257,60945,,
,,-7.264958605766297,,0.515432019084692,65000,0.001,,,63945,1000.0,580.9812035798328
84,49,-7.911061217308045,785.7142857142857,0.5142097114622592,66000,0.001,-129.3467912619048,1344,64945,,
,,-10.357562497138977,,0.5211055303663016,70000,0.001,,,68945,1000.0,681.7155655086972
88,48,,795.4545454545455,,70000,,-93.40202503409095,1432,,,
92,48,-12.558606182098389,804.3478260869565,0.5543215100467205,74000,0.001,-74.00095166304352,1511,72945,,
,,-13.164031644821167,,0.5695182105600833,75000,0.001,,,73945,1000.0,495.34903916265466
96,48,-14.459406440734863,812.5,0.5656898126602173,78000,0.001,-75.78157978125003,1602,76945,,
,,-15.521961917877197,,0.5943191118240356,80000,0.001,,,78945,1000.0,673.6500827188429
100,48,-16.540973417282103,820.0,0.6001213403940201,82000,0.001,-48.45021271000003,1694,80945,,
,,-17.653940340042116,,0.5702451547980308,85000,0.001,,,83945,1000.0,617.2625855721126
104,48,-18.03466891479492,829.45,0.58568211966753,86000,0.001,30.046500919999982,1786,84945,,
,,-19.916691593170167,,0.6921943755745887,90000,0.001,,,88945,1000.0,659.2635774278781
108,47,,829.45,,90000,,174.23092745000002,1881,,,
112,47,-21.813287754058837,838.61,0.6788879171311856,94000,0.001,274.67664927,1966,92945,,
,,-22.265950355529785,,0.6823212914466857,95000,0.001,,,93945,1000.0,175.8639376590989
116,47,-23.42587713241577,867.23,0.7705989255011082,98000,0.001,316.98036625000003,2060,96945,,
,,-24.119098667144776,,0.7515125879347324,100000,0.001,,,98945,1000.0,629.2191790128127
120,47,-24.82072803878784,877.15,0.71637283796072,102000,0.001,368.84495899,2155,100945,,
,,-26.263659816741942,,0.7844118079543114,105000,0.001,,,103945,1000.0,-637.5674809085804
124,47,-26.480420623779295,886.69,0.8397473910152912,106000,0.001,379.79831966000006,2250,104945,,
,,-27.522145420074462,,0.9077854380607605,110000,0.001,,,108945,1000.0,452.5028142114941
128,46,,896.32,,110000,,380.25885123,2344,,,
132,46,-28.64000344467163,914.53,1.05479058817029,114000,0.001,386.93737185000003,2430,112945,,
,,-28.870882553100586,,1.1031448696851731,115000,0.001,,,113945,1000.0,601.442251307331
136,46,-29.60629112625122,923.23,1.2325356295704841,118000,0.001,399.3781674500001,2526,116945,,
,,-30.213995151519775,,1.3375131627321244,120000,0.001,,,118945,1000.0,544.325679920832
140,46,-30.828608043670656,933.1,1.3621476224660873,122000,0.001,420.9706534200001,2621,120945,,
,,-31.174198207855223,,1.915819574058056,125000,0.001,,,124535,859.2,191.8184804978213
144,46,,957.56,,125590,,421.5103247100001,2708,,,
148,45,-31.89974042892456,976.41,1.8370207512974739,128603,0.001,427.21916599000014,2796,128535,,
,,-31.990183929443358,,1.9548492324352265,130000,0.001,,,129548,1000.0,764.0890862923931
152,46,-32.39124644088745,986.03,1.7313670685589313,132603,0.001,436.97786522999996,2872,131548,,
,,-33.82808068466186,,1.8119937053322792,135000,0.001,,,134548,1000.0,231.9955101634725
156,45,-33.92879274749756,986.03,1.819336545944214,136603,0.001,457.00779664999993,2969,135548,,
,,-35.02457647705078,,1.702027953237295,140000,0.001,,,139548,1000.0,457.3264943061746
160,45,,986.03,,140603,,474.39819775999996,3067,,,
164,45,-34.89425983810425,986.03,1.7310483621954917,144603,0.001,481.0340078300001,3154,143548,,
,,-34.85854050064087,,1.6552006483674049,145000,0.001,,,144548,726.4,184.69666191029245
168,45,-34.76720018386841,986.03,1.4966599424779414,148603,0.001,457.14508674000007,3249,147548,,
,,-34.78042796707153,,1.379916749894619,150000,0.001,,,149548,1000.0,857.5607158272993
172,45,-34.84091641616821,986.03,1.393080895215273,152603,0.001,448.4823095600001,3347,151548,,
,,-35.072730690002444,,1.1521565606594086,155000,0.001,,,154548,1000.0,878.3956398290087
176,45,-35.21240620803833,986.03,1.1810549241900443,156603,0.001,460.48020450999996,3446,155548,,
,,-35.773674163818356,,0.9820781280398369,160000,0.001,,,159548,1000.0,629.9735523541749
180,45,,986.03,,160603,,461.96201286,3544,,,
184,45,-35.8769460067749,986.03,0.9152085770666599,164603,0.001,446.9695704200001,3633,163548,,
,,-36.07047700500488,,0.8872369979321957,165000,0.001,,,164548,1000.0,434.62614563000386
188,45,-36.62746806335449,986.03,0.8841896063685417,168603,0.001,426.8936513400001,3732,167548,,
,,-36.88335089111328,,0.8818966323733329,170000,0.001,,,169548,1000.0,616.7765606582398
192,45,-37.604841621398926,986.03,0.8655875772833824,172603,0.001,447.76749750000005,3831,171548,,
,,-38.51191164398193,,0.9511658481061459,175000,0.001,,,174548,1000.0,932.4129644892935
196,44,-38.88990687561035,986.03,0.9586861238181591,176603,0.001,479.50852043,3930,175548,,
