time/episodes,rollout/ep_len_mean,time/fps,train/learning_rate,time/time_elapsed,time/total_timesteps,train/actor_loss,train/n_updates,rollout/ep_rew_mean,train/critic_loss,eval/mean_reward,eval/mean_ep_length
4,1000.0,133,0.001,29,4000,0.9905347273964434,3000,-1703.3145015,0.062522103743162,,
,,,0.001,,5000,-0.09717562148091383,4000,,0.11910564614832402,-2492.311090826988,1000.0
8,1000.0,94,0.001,84,8000,-3.2155288591384887,7000,-2174.368764,0.3308388815447688,,
,,,0.001,,10000,-2.7899136999994516,9000,,0.5423161660283804,-1014.6623114710674,456.7
12,848.1666666666666,85,0.001,118,10178,-4.206344864103529,10091,-1834.7591451666665,0.9522859814402821,,
16,641.1875,85,0.001,119,10259,-3.1464919612393714,10232,-1387.1268544374998,1.0784159421920776,,
20,515.3,85,0.001,120,10306,-4.137075304985046,10297,-1115.0354533999998,0.9455430686473847,,
24,473.0416666666667,87,0.001,129,11353,-2.7757434129714964,11343,-989.7644180833332,0.740511498667977,,
28,494.57142857142856,93,0.001,148,13848,-2.105244250358082,13484,-881.0991857499997,0.8447850220501423,,
,,,0.001,,15000,-1.1764263422135264,14990,,1.1106784422695637,288.62824635598736,871.2
32,530.9375,91,0.001,185,16990,-1.150087344534695,15990,-761.25383378125,1.3343743824362755,,
36,534.8333333333334,93,0.001,205,19254,-1.9081706029727408,18254,-658.3058943333333,1.6727016433425572,,
,,,0.001,,20000,-2.8981657233312728,19254,,1.5564877216219901,387.3437342436591,1000.0
40,539.2,87,0.001,247,21568,-5.38656230915397,21507,-567.713735125,1.21140900878567,,
44,558.9772727272727,92,0.001,267,24595,-7.773830707256611,23595,-493.3034582727272,1.1465421473538433,,
,,,0.001,,25000,-9.801665483951568,24595,,1.409700973212719,603.9046567025944,1000.0
48,595.7291666666666,88,0.001,322,28595,-11.588848865032196,27595,-410.8889293958334,1.0170091744065284,,
,,,0.001,,30000,-13.708303482055664,29595,,0.8651367666721343,771.7277402975363,1000.0
52,610.4230769230769,85,0.001,370,31742,-14.895471753300848,30742,-338.02850415384614,0.7905758558487406,,
,,,0.001,,35000,-18.823991037368774,34742,,0.6832259783148765,560.9798678175081,802.5
56,638.25,85,,418,35742,,,-261.8495518035714,,,
60,662.3666666666667,87,0.001,451,39742,-22.641588947296142,38742,-195.61916706666665,0.6561857858002186,,
,,,0.001,,40000,-23.532739086151125,39742,,0.643404472142458,800.3508195911534,1000.0
64,683.46875,87,0.001,501,43742,-26.15779148864746,42742,-134.53517934375,0.6078874292969704,,
,,,0.001,,45000,-27.894929775238037,44742,,0.6247323318123817,693.4992110095685,1000.0
68,702.0882352941177,86,0.001,550,47742,-29.555787097930907,46742,-80.20396942647058,0.5977224510908127,,
,,,0.001,,50000,-31.784052612304688,49742,,0.5810051826238632,805.9714086425054,1000.0
72,718.6388888888889,86,0.001,598,51742,-32.36729901504516,50742,-29.20708259722221,0.589073890119791,,
,,,0.001,,55000,-35.194743629455566,54742,,0.5758008688539267,828.5697113673668,1000.0
76,733.4473684210526,86,,647,55742,,,16.777182631578956,,,
80,746.775,87,0.001,679,59742,-37.64283371734619,58742,59.689892625000006,0.6055339856296778,,
,,,0.001,,60000,-38.404432922363284,59742,,0.593598670065403,856.408354960318,1000.0
84,758.8333333333334,87,0.001,729,63742,-39.78657749938965,62742,96.92655620238097,0.5889834924042225,,
,,,0.001,,65000,-40.91723535919189,64742,,0.5491607060134411,874.7536865630652,1000.0
88,769.7954545454545,87,0.001,777,67742,-41.97201428222656,66742,131.85932378409092,0.579377281397581,,
,,,0.001,,70000,-43.69146608734131,69789,,0.5924404355138541,861.2755500822328,1000.0
92,769.445652173913,86,,818,70789,,,154.69355898913045,,,
96,779.0520833333334,87,0.001,851,74789,-45.39430142974854,73789,184.92235969791668,0.5663640366196633,,
,,,0.001,,75000,-45.809846267700195,74789,,0.5651464752107859,876.9950979590416,1000.0
100,787.89,87,0.001,901,78789,-47.19992882537842,77789,212.62055277000002,0.5549569875597954,,
,,,0.001,,80000,-48.08770252227783,79789,,0.5589469848573207,693.0375203897711,901.9
104,787.89,87,0.001,949,82789,-49.016046867370605,81789,316.30386064,0.519592005982995,,
,,,0.001,,85000,-50.26552905273437,84789,,0.5486297187805176,883.7793869033455,1000.0
108,787.89,86,0.001,998,86789,-50.6952640991211,85789,458.14550639999993,0.5442850027680397,,
,,,0.001,,90000,-52.2168486328125,89789,,0.5227782060652971,826.1867146340344,1000.0
112,806.11,86,,1047,90789,,,540.4076986499999,,,
116,845.3,87,0.001,1079,94789,-53.58800475311279,93789,578.79853224,0.5689971735328436,,
,,,0.001,,95000,-53.96583016967774,94789,,0.5112347222417593,919.3939631527289,1000.0
120,884.83,87,0.001,1128,98789,-54.83813552856445,97789,616.72979173,0.5537679159939289,,
,,,0.001,,100000,-55.53026299285889,99789,,0.5248623314499855,931.1690048418241,1000.0
124,914.36,87,0.001,1176,102789,-55.92378131103516,101789,668.5389802799999,0.4739900689125061,,
,,,0.001,,105000,-56.70722931671143,104789,,0.5036207742244005,941.931648186408,1000.0
128,929.41,87,0.001,1224,106789,-56.983427841186526,105789,714.37481573,0.4939569615870714,,
,,,0.001,,110000,-58.01856806182861,109789,,0.48584612129628657,940.5918413911306,1000.0
132,937.99,86,,1273,110789,,,748.3620326899999,,,
136,955.35,87,0.001,1305,114789,-59.04640157318115,113789,778.94646177,0.49660008999705313,,
,,,0.001,,115000,-59.27330856323242,114789,,0.526601829059422,906.7620973769808,1000.0
140,972.21,87,0.001,1354,118789,-60.01956290435791,117789,805.8618390999999,0.5519697887301445,,
,,,0.001,,120000,-60.625304222106934,119789,,0.5887212482020259,919.6605035730638,1000.0
144,981.94,87,0.001,1401,122789,-61.04144570922852,121789,832.4066020700002,0.5572856991738081,,
,,,0.001,,125000,-61.694679244995115,124789,,0.5480181911289692,933.7890108089894,1000.0
