train/n_updates,rollout/ep_len_mean,train/actor_loss,time/time_elapsed,time/episodes,time/fps,time/total_timesteps,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
200,100.0,1.732756552696228,1,4,276,400,0.001,0.04168697202578187,-125.3037065,,
300,,2.020536649227142,,,,500,0.001,0.022623938457109034,,-85.2998665,100.0
600,100.0,2.3283569860458373,6,8,132,800,0.001,0.006976252407766879,-97.317473375,,
800,,2.543829002380371,,,,1000,0.001,0.007709900087211281,,-65.98491245,100.0
1000,100.0,2.822485408782959,10,12,112,1200,0.001,0.009934599474072457,-84.12205625,,
1300,,3.170071725845337,,,,1500,0.001,0.011761155831627547,,-65.7918156,100.0
1400,100.0,3.3323650407791137,15,16,101,1600,0.001,0.011747004669159651,-78.2121235625,,
1800,,3.9455115175247193,,,,2000,0.001,0.017697476213797927,,-62.461320799999996,100.0
,100.0,,20,20,96,2000,,,-75.73185609999999,,
2200,100.0,4.541817073822021,23,24,102,2400,0.001,0.02085749155841768,-73.80805625,,
2300,,4.755791988372803,,,,2500,0.001,0.017277084505185485,,-51.851219449999995,100.0
2600,100.0,5.209268159866333,28,28,99,2800,0.001,0.018396830316632987,-70.89244375000001,,
2800,,5.506015882492066,,,,3000,0.001,0.019061850626021625,,-54.25953619999999,100.0
3000,100.0,5.7794249153137205,32,32,97,3200,0.001,0.01990030698478222,-68.46290840625,,
3300,,6.147251625061035,,,,3500,0.001,0.019639074187725782,,-51.47689235,100.0
3400,100.0,6.307372999191284,37,36,95,3600,0.001,0.0206180464848876,-66.18073099999998,,
3800,,6.767494144439698,,,,4000,0.001,0.019298345716670155,,-53.347194550000005,100.0
,100.0,,42,40,94,4000,,,-63.867355950000004,,
4200,100.0,7.265653400421143,44,44,98,4400,0.001,0.022881830325350166,-62.83440052272727,,
4300,,7.4427650356292725,,,,4500,0.001,0.02320490418933332,,-55.8744483,100.0
4600,100.0,7.834907913208008,49,48,96,4800,0.001,0.02279688342474401,-61.94458079166666,,
4800,,8.079416999816894,,,,5000,0.001,0.030952800419181584,,-55.18960515,100.0
5000,100.0,8.382699813842773,54,52,96,5200,0.001,0.03022740633226931,-61.12690746153846,,
5300,,8.75007209777832,,,,5500,0.001,0.029699685033410788,,-54.70773895,100.0
5400,100.0,8.900142383575439,59,56,94,5600,0.001,0.024553722841665147,-60.19911187500001,,
5800,,9.401002883911133,,,,6000,0.001,0.025191115103662013,,-56.69165340000001,100.0
,100.0,,63,60,93,6000,,,-59.59032323333334,,
6200,100.0,9.927483749389648,66,64,96,6400,0.001,0.027068076524883508,-59.386813515625,,
6300,,10.11497688293457,,,,6500,0.001,0.027378785479813813,,-56.744365300000005,100.0
6600,100.0,10.502741088867188,70,68,95,6800,0.001,0.02645922364667058,-59.062469897058826,,
6800,,10.795341167449951,,,,7000,0.001,0.03076671028509736,,-53.3109921,100.0
7000,100.0,11.055788898468018,75,72,95,7200,0.001,0.030580863263458012,-58.75204136111112,,
7300,,11.43941354751587,,,,7500,0.001,0.029748957511037587,,-51.31101675,100.0
7400,100.0,11.577757301330566,80,76,94,7600,0.001,0.028932391814887524,-58.16143800000002,,
7800,,12.15097583770752,,,,8000,0.001,0.029286526814103125,,-54.118028349999996,100.0
,100.0,,85,80,93,8000,,,-58.0908118125,,
8200,100.0,12.624629592895507,87,84,95,8400,0.001,0.035243508741259574,-57.45968932142858,,
8300,,12.745542755126953,,,,8500,0.001,0.03490657877177,,-55.507260450000004,100.0
8600,100.0,13.173822422027587,92,88,94,8800,0.001,0.03679936744272709,-57.19304302272727,,
8800,,13.376921463012696,,,,9000,0.001,0.03568365391343832,,-53.618184299999996,100.0
9000,100.0,13.633505458831786,97,92,94,9200,0.001,0.035843683313578366,-56.908713282608694,,
9300,,14.027495002746582,,,,9500,0.001,0.0365882321074605,,-52.51311015,100.0
9400,100.0,14.165374851226806,101,96,94,9600,0.001,0.03707994103431702,-56.43826925,,
9800,,14.650269432067871,,,,10000,0.001,0.03378028901293874,,-50.59085415,100.0
,100.0,,106,100,93,10000,,,-56.349350009999995,,
10200,100.0,15.168571014404296,108,104,95,10400,0.001,0.04839733386412263,-53.46276250000001,,
10300,,15.321419372558594,,,,10500,0.001,0.03905223879031837,,-47.2739546,100.0
10600,100.0,15.68046968460083,113,108,94,10800,0.001,0.0408853891864419,-52.50470063999999,,
10800,,15.938270721435547,,,,11000,0.001,0.04125610504299402,,-49.63340004999999,100.0
11000,100.0,16.178881092071535,118,112,94,11200,0.001,0.0375657151825726,-52.26138534,,
11300,,16.56403610229492,,,,11500,0.001,0.04186711985617876,,-49.083413099999994,100.0
11400,100.0,16.661064529418944,123,116,94,11600,0.001,0.04273738522082567,-51.8605169,,
11800,,17.256974983215333,,,,12000,0.001,0.04878143325448036,,-49.79683465,100.0
,100.0,,128,120,93,12000,,,-51.29045301,,
12200,100.0,17.730228729248047,131,124,94,12400,0.001,0.05409562578424811,-50.67050107,,
12300,,17.802753257751466,,,,12500,0.001,0.04777184702455997,,-51.2429757,100.0
12600,100.0,18.23677375793457,135,128,94,12800,0.001,0.04613916464149952,-50.433021280000006,,
12800,,18.46903865814209,,,,13000,0.001,0.054197316132485865,,-50.2056021,100.0
13000,100.0,18.666106605529784,140,132,93,13200,0.001,0.050027645714581015,-50.51543605,,
13300,,19.003171043395994,,,,13500,0.001,0.05039424384012818,,-51.327972849999995,100.0
13400,100.0,19.126632537841797,145,136,93,13600,0.001,0.05996138304471969,-50.63335102999999,,
13800,,19.638901176452638,,,,14000,0.001,0.05801418904215097,,-51.5242979,100.0
,100.0,,150,140,93,14000,,,-51.142874700000014,,
14200,100.0,20.069277458190918,152,144,94,14400,0.001,0.07317082710564136,-50.818849549999996,,
14300,,20.24629009246826,,,,14500,0.001,0.055592958368361,,-50.8907487,100.0
14600,100.0,20.56982696533203,158,148,93,14800,0.001,0.06795589707791805,-50.603045550000004,,
14800,,20.829642448425293,,,,15000,0.001,0.06021190710365772,,-47.5222147,100.0
15000,100.0,21.01872138977051,162,152,93,15200,0.001,0.056442658305168154,-50.48744328000001,,
15300,,21.42674835205078,,,,15500,0.001,0.06506723579019308,,-53.42862075000001,100.0
15400,100.0,21.551896018981935,167,156,93,15600,0.001,0.06233911540359258,-50.50965768000002,,
15800,,22.018642921447753,,,,16000,0.001,0.06076307911425829,,-53.03846205,100.0
