time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
6,913,248,3.54,31.398682299999997,130,-15.588606834411621,0.001,2.8468178113301597,812,,
7,925,252,3.53,31.315666899999997,130,-15.846294403076172,0.001,2.895484368006388,825,,
7,938,256,3.52,31.23129546,130,-16.46818733215332,0.001,2.8148698210716248,838,,
7,951,260,3.51,31.149653020000006,130,-16.368846893310547,0.001,4.048053582509358,851,,
7,964,264,3.49,30.984739679999997,130,-15.708800315856934,0.001,3.0254979729652405,864,,
7,978,268,3.5,31.068155259999997,130,-15.684462547302246,0.001,3.083556811014811,877,,
7,993,272,3.53,31.315780379999993,130,-15.977090835571289,0.001,4.1547287702560425,892,,
,1000,,,,,-15.716508865356445,0.001,3.4835751056671143,899,3.5,31.106487560272218
7,1007,276,3.54,31.398200569999993,128,-15.50535535812378,0.001,2.653822580973307,906,,
7,1019,280,3.52,31.230149580000003,128,-16.05612564086914,0.001,3.124899466832479,919,,
8,1033,284,3.52,31.22779525,128,-15.48356008529663,0.001,2.8920576572418213,932,,
8,1047,288,3.5,31.063113589999997,128,-16.15041494369507,0.001,2.9585975805918374,946,,
8,1060,292,3.48,30.896601889999996,128,-16.198915004730225,0.001,2.7736968994140625,960,,
8,1074,296,3.48,30.897809909999996,128,-16.05508041381836,0.001,3.120854457219442,973,,
8,1089,300,3.48,30.898897399999996,128,-16.31536102294922,0.001,2.6826781630516052,988,,
8,1105,304,3.49,30.980004779999998,128,-16.9389066696167,0.001,3.797148883342743,1004,,
8,1118,308,3.46,30.732253220000004,128,-17.15645170211792,0.001,3.324453910191854,1018,,
8,1132,312,3.46,30.731765019999994,127,-16.392451763153076,0.001,3.7568198442459106,1032,,
9,1146,316,3.45,30.64937771,126,-16.373703002929688,0.001,3.3094910383224487,1045,,
9,1159,320,3.43,30.48341256,125,-16.655031204223633,0.001,2.8379392623901367,1059,,
9,1173,324,3.42,30.400649410000007,125,-16.708579063415527,0.001,3.8347336053848267,1073,,
9,1186,328,3.41,30.317636140000005,125,-17.334044456481934,0.001,3.136778195699056,1086,,
9,1199,332,3.41,30.314952630000004,125,-17.575260162353516,0.001,2.8974528710047402,1098,,
9,1212,336,3.39,30.148964500000005,124,-17.20930290222168,0.001,2.886258125305176,1112,,
9,1225,340,3.39,30.148894200000004,124,-17.808818817138672,0.001,3.2016774813334146,1125,,
9,1239,344,3.4,30.232395810000003,124,-17.472296714782715,0.001,2.946800470352173,1139,,
10,1252,348,3.39,30.14896980000001,124,-16.607112884521484,0.001,2.9663689136505127,1151,,
10,1265,352,3.4,30.235429330000002,123,-17.69425678253174,0.001,2.2395942211151123,1165,,
10,1278,356,3.4,30.236939940000003,122,-17.224971771240234,0.001,3.32792862256368,1177,,
10,1292,360,3.41,30.318688270000003,121,-17.09113883972168,0.001,3.1020023226737976,1191,,
10,1307,364,3.43,30.483827289999994,120,-17.787236213684082,0.001,3.0538355708122253,1206,,
10,1320,368,3.42,30.400587610000002,120,-16.875486373901367,0.001,3.606139818827311,1220,,
11,1336,372,3.43,30.486633930000004,120,-17.548933029174805,0.001,3.413394331932068,1235,,
11,1351,376,3.44,30.571317040000004,119,-18.181055068969727,0.001,2.8710358142852783,1250,,
11,1365,380,3.46,30.739820329999997,119,-17.606006622314453,0.001,2.861645539601644,1264,,
11,1377,384,3.44,30.57322862,119,-18.854904174804688,0.001,2.2739659945170083,1277,,
11,1391,388,3.44,30.57011997,119,-16.884075164794922,0.001,2.775949329137802,1291,,
11,1404,392,3.44,30.56833799,119,-17.489238739013672,0.001,2.479539155960083,1304,,
11,1418,396,3.44,30.56901233,119,-18.265287399291992,0.001,2.733128388722738,1317,,
