rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,train/actor_loss,train/n_updates,train/critic_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
9.0,4,40,5129,0,10.0,,,,,,
8.375,8,75,5189,0,9.375,,,,,,
7.583333333333333,12,103,5221,0,8.583333333333334,,,,,,
7.875,16,142,505,0,8.875,-1.1333879828453064,41,0.1708645701408386,0.001,,
7.1,20,162,391,0,8.1,-1.0282774567604065,61,0.25919068455696104,0.001,,
6.75,24,186,322,0,7.75,-1.3059476017951965,85,0.2673740144819021,0.001,,
6.357142857142857,28,206,294,0,7.357142857142857,-1.2717874646186829,105,0.27346200346946714,0.001,,
6.0625,32,226,279,0,7.0625,-1.2880973815917969,125,0.2565568506717682,0.001,,
5.833333333333333,36,246,267,0,6.833333333333333,-1.2184067964553833,145,0.24539243280887604,0.001,,
5.65,40,266,258,1,6.65,-1.2901620864868164,165,0.24814438223838806,0.001,,
5.5,44,286,251,1,6.5,-1.3376471400260925,185,0.21619181632995604,0.001,,
5.375,48,306,245,1,6.375,-1.5092740654945374,205,0.18663303852081298,0.001,,
5.269230769230769,52,326,240,1,6.269230769230769,-1.4001091122627258,225,0.17390370666980742,0.001,,
5.178571428571429,56,346,232,1,6.178571428571429,-1.5714342594146729,245,0.1602459043264389,0.001,,
5.1,60,366,226,1,6.1,-1.6034117937088013,265,0.150507390499115,0.001,,
5.03125,64,386,221,1,6.03125,-1.514965832233429,285,0.13065744191408157,0.001,,
4.970588235294118,68,406,216,1,5.970588235294118,-1.6226624250411987,305,0.10437459200620651,0.001,,
4.944444444444445,72,428,212,2,5.944444444444445,-2.0143519242604575,327,0.1452635175415448,0.001,,
4.894736842105263,76,448,209,2,5.894736842105263,-1.962023138999939,347,0.15307931303977967,0.001,,
4.85,80,468,206,2,5.85,-2.032564878463745,367,0.12168020382523537,0.001,,
4.940476190476191,84,499,204,2,5.940476190476191,-2.149855693181356,393,0.17600403938974654,0.001,,
5.488636363636363,88,571,202,2,6.488636363636363,-2.1885529518127442,455,0.2040795423090458,0.001,,
