rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/fps,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,eval/mean_ep_length,eval/mean_reward
4.25,0,4,3624,4.25,17,,,,,,
6.375,0,8,4340,6.375,51,,,,,,
7.5,0,12,4637,7.5,90,,,,,,
8.0625,0,16,1927,8.0625,129,0.001,4,-0.6779032200574875,0.7403007037937641,,
8.65,0,20,330,8.65,173,0.001,70,-1.1357284784317017,0.007880168128758669,,
8.041666666666666,0,24,294,8.041666666666666,193,0.001,90,-1.2169498602549236,0.013593696616590023,,
7.607142857142857,0,28,263,7.607142857142857,213,0.001,110,-1.2621674537658691,0.015256877988576889,,
7.28125,0,32,241,7.28125,233,0.001,130,-1.316145658493042,0.020243497937917708,,
7.027777777777778,1,36,227,7.027777777777778,253,0.001,150,-1.345831274986267,0.020459380373358725,,
6.825,1,40,216,6.825,273,0.001,170,-1.4241131941477458,0.026260773465037347,,
6.659090909090909,1,44,210,6.659090909090909,293,0.001,190,-1.44810950756073,0.023766225948929787,,
6.520833333333333,1,48,205,6.520833333333333,313,0.001,210,-1.5075822671254475,0.02190530449151993,,
6.403846153846154,1,52,200,6.403846153846154,333,0.001,230,-1.5404258569081624,0.022951833531260492,,
6.303571428571429,1,56,196,6.303571428571429,353,0.001,250,-1.5734453201293945,0.024050990119576454,,
6.216666666666667,1,60,192,6.216666666666667,373,0.001,270,-1.6022820075352986,0.017761797085404395,,
6.140625,2,64,190,6.140625,393,0.001,290,-1.6120900710423787,0.024354509264230727,,
6.073529411764706,2,68,188,6.073529411764706,413,0.001,310,-1.6357849438985188,0.01852447763085365,,
6.013888888888889,2,72,186,6.013888888888889,433,0.001,330,-1.6818703810373943,0.016612422093749045,,
5.9605263157894735,2,76,185,5.9605263157894735,453,0.001,350,-1.7021450599034627,0.02106633149087429,,
5.9125,2,80,183,5.9125,473,0.001,370,-1.7319055795669556,0.015279430337250233,,
5.869047619047619,2,84,182,5.869047619047619,493,0.001,390,-1.75065811475118,0.017454558983445168,,
5.829545454545454,2,88,181,5.829545454545454,513,0.001,410,-1.7688567638397217,0.015057367831468582,,
5.793478260869565,2,92,178,5.793478260869565,533,0.001,430,-1.8034317096074421,0.023904990404844284,,
5.760416666666667,3,96,176,5.760416666666667,553,0.001,450,-1.8246086835861206,0.01564640738070011,,
5.73,3,100,176,5.73,573,0.001,470,-1.8816863695780437,0.016962284781038763,,
5.8,3,104,176,5.8,597,0.001,490,-1.9309382438659668,0.015611445903778077,,
5.66,3,108,173,5.66,617,0.001,514,-2.034501791000366,0.029474297910928725,,
5.47,3,112,173,5.47,637,0.001,534,-2.1232351462046304,0.025593529641628265,,
5.28,3,116,173,5.28,657,0.001,554,-2.1259398460388184,0.0327125508338213,,
5.21,4,120,171,5.21,694,0.001,585,-2.279487053553263,0.03299630068552991,,
5.51,4,124,169,5.51,744,0.001,635,-2.403180797894796,0.06087895296514034,,
7.13,5,128,168,7.13,926,0.001,772,-2.6907033920288086,0.06745979850265113,,
,,,,,1000,0.001,873,-2.8937890204516323,0.0691644727355904,36.1,36.1
8.71,6,132,160,8.71,1104,0.001,958,-3.0823843578497567,0.07368656678590924,,
10.76,8,136,158,10.76,1329,0.001,1176,-3.514566583018149,0.08169137194874834,,
12.88,9,140,159,12.88,1561,0.001,1399,-4.004320502281189,0.09552695046652827,,
15.18,11,144,160,15.18,1811,0.001,1637,-4.486748011906942,0.1016568452740709,,
,,,,,2000,0.001,1885,-5.008159370422363,0.15165708236396314,31.0,31.0
16.97,12,148,155,16.97,2010,,,,,,
18.36,13,152,156,18.36,2169,0.001,2031,-5.367594795227051,0.21947152868789785,,
20.11,15,156,157,20.11,2364,0.001,2214,-5.751242433275495,0.21226129125465046,,
21.96,16,160,157,21.96,2569,0.001,2421,-6.210072593688965,0.21027368381619455,,
24.0,17,164,159,24.0,2793,0.001,2628,-6.693840243599632,0.24500668854560964,,
,,,,,3000,0.001,2854,-7.072865656444004,0.27521037649024616,65.3,65.3
26.18,19,168,158,26.18,3031,,,,,,
29.11,21,172,157,29.11,3344,0.001,3169,-7.777004156793867,0.2793283331812474,,
32.15,23,176,158,32.15,3668,0.001,3490,-8.433165897022594,0.24933279959055094,,
34.94,25,180,157,34.94,3967,0.001,3802,-9.02449442545573,0.2331156975637048,,
,,,,,4000,0.001,3869,-9.237526720220393,0.26267790182757733,58.0,58.0
36.94,26,184,156,36.94,4187,0.001,4035,-9.504928625546968,0.2159726803119366,,
38.75,27,188,156,38.75,4388,0.001,4240,-9.900344371795654,0.35475993622094393,,
40.49,29,192,157,40.49,4582,0.001,4435,-10.25518004099528,0.260295369440601,,
42.13,30,196,157,42.13,4766,0.001,4620,-10.659005945379084,0.20900368084048115,,
43.83,31,200,157,43.83,4956,0.001,4815,-10.920925941467285,0.21590468786656858,,
,,,,,5000,0.001,4858,-11.029351104389537,0.2616275775917741,45.2,45.2
45.42,32,204,157,45.42,5139,0.001,4993,-11.389762271534313,0.2727275912395932,,
47.02,33,208,157,47.02,5319,0.001,5175,-11.731357256571451,0.19318096348572344,,
48.56,34,212,157,48.56,5493,0.001,5348,-12.102486419677735,0.2612780503928661,,
50.33,36,216,157,50.33,5690,0.001,5544,-12.370347093652796,0.25171625108089085,,
52.0,37,220,157,52.0,5894,0.001,5744,-12.721787376403809,0.37544246286153793,,
,,,,,6000,0.001,5900,-12.93699077323631,0.3462424957246151,46.6,46.6
53.54,38,224,157,53.54,6098,0.001,5947,-13.157920837402344,0.21443668340748928,,
53.77,40,228,157,53.77,6303,0.001,6152,-13.395311151232038,0.27202790873971855,,
54.02,41,232,157,54.02,6506,0.001,6359,-13.719351556566027,0.35698548428438326,,
53.85,42,236,157,53.85,6714,0.001,6563,-14.099262771606446,0.27218175401874617,,
53.55,43,240,157,53.55,6916,0.001,6770,-14.484961106226994,0.3668569822150927,,
,,,,,7000,0.001,6870,-14.915954149686373,0.26503124381773746,53.1,53.1
53.13,45,244,156,53.13,7124,0.001,6974,-14.859569512880766,0.3996077758424422,,
53.19,46,248,156,53.19,7329,0.001,7180,-15.16500183252188,0.2797413593014845,,
53.7,48,252,156,53.7,7539,0.001,7388,-15.529466417100695,0.2801152377758386,,
