rollout/ep_len_mean,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/clip_range,train/value_loss,train/entropy_loss,train/loss,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/std,train/explained_variance,train/n_updates,train/approx_kl,eval/mean_ep_length,eval/mean_reward
,,,35000,,,0.2,914.7936016082764,-13.945022004842759,331.4971008300781,0.187939453125,0.0003,-0.04089219231100287,0.9746608734130859,0.5648896396160126,170,0.020164011,65.45,324.0585898399353
64.83,94,18,36864,248.34451581000002,390,,,,,,,,,,,,,
64.71,99,19,38912,247.90049163,392,0.2,838.0976360321044,-13.918999296426772,368.2193908691406,0.196142578125,0.0003,-0.04125609759939834,0.9731435775756836,0.656705915927887,180,0.020883791,,
,,,40000,,,0.2,883.8237438201904,-13.89666865170002,425.5687255859375,0.219970703125,0.0003,-0.042604218103224414,0.9701337814331055,0.5862109661102295,190,0.023691196,65.6,324.8465541601181
64.99,104,20,40960,249.79677604,390,,,,,,,,,,,,,
65.03,109,21,43008,250.4619838,392,0.2,804.7300224304199,-13.864243632555008,322.6518859863281,0.211962890625,0.0003,-0.04272167646849993,0.9665777087211609,0.6786618530750275,200,0.020790927,,
,,,45000,,,0.2,752.0064054489136,-13.836017146706581,366.9276123046875,0.191259765625,0.0003,-0.03914402186346706,0.9650640487670898,0.7070752680301666,210,0.0221758,65.8,325.6631773948669
65.29,115,22,45056,251.4009804,390,,,,,,,,,,,,,
65.27,119,23,47104,251.98910959,392,0.2,732.6992438316345,-13.804511377215386,362.1375732421875,0.21884765625,0.0003,-0.042473952224827374,0.9609026312828064,0.6982695758342743,220,0.026019225,,
65.11,124,24,49152,251.78097682,395,0.2,691.3695116043091,-13.782794508337975,307.9011535644531,0.236328125,0.0003,-0.04100619386008475,0.9605087637901306,0.7446073293685913,230,0.025877152,,
,,,50000,,,0.2,614.782738494873,-13.778345358371734,253.1161346435547,0.263134765625,0.0003,-0.04388415867288131,0.9596733450889587,0.7653648853302002,240,0.031937942,65.9,325.6221078395844
64.7,129,25,51200,251.03503355,394,,,,,,,,,,,,,
64.64,134,26,53248,250.40625395000004,397,0.2,590.4415221214294,-13.772137874364853,254.66896057128906,0.25361328125,0.0003,-0.04693777935754042,0.9597155451774597,0.7771426886320114,250,0.027621172,,
,,,55000,,,0.2,531.9519676208496,-13.753745195269584,238.61685180664062,0.254833984375,0.0003,-0.04581228822644334,0.9569000601768494,0.7920555025339127,260,0.027585778,66.45,328.098742890358
64.66,139,27,55296,250.03702419,395,,,,,,,,,,,,,
64.67,144,28,57344,250.09119237999997,398,0.2,508.46659955978396,-13.733807906508446,219.5255584716797,0.27294921875,0.0003,-0.0480513443792006,0.9560596346855164,0.7958428263664246,270,0.03036675,,
64.72,148,29,59392,249.90684107000004,399,0.2,450.7820731163025,-13.728134554624557,206.8958282470703,0.2888671875,0.0003,-0.03839954044669867,0.9553154110908508,0.8301902413368225,280,0.03193423,,
,,,60000,,,0.2,391.54052753448485,-13.714953795075417,158.7236328125,0.280126953125,0.0003,-0.04451180569594726,0.953468918800354,0.8566848486661911,290,0.03220865,66.0,325.8291215181351
64.75,154,30,61440,250.38731073,397,,,,,,,,,,,,,
64.68,158,31,63488,250.41825977999997,399,0.2,379.98924136161804,-13.685215422511101,132.8745880126953,0.270556640625,0.0003,-0.04229162892734166,0.9497241973876953,0.8575093746185303,300,0.033586405,,
,,,65000,,,0.2,326.12472705841066,-13.647656613588333,181.35704040527344,0.254931640625,0.0003,-0.04157603291387204,0.9456743597984314,0.8694688677787781,310,0.028836388,66.0,325.4211571931839
64.87,164,32,65536,251.94682007,398,,,,,,,,,,,,,
64.67,169,33,67584,250.97798194000003,399,0.2,317.3688574790955,-13.602787744998931,137.47543334960938,0.256103515625,0.0003,-0.04781110293988604,0.9416455626487732,0.8789268061518669,320,0.03074736,,
64.66,173,34,69632,251.57906507000004,400,0.2,283.54063215255735,-13.5592525690794,142.9518280029297,0.25234375,0.0003,-0.043172890198184176,0.9380208849906921,0.8917632699012756,330,0.028754886,,
,,,70000,,,0.2,252.69072575569152,-13.533003708720207,88.41460418701172,0.264404296875,0.0003,-0.044917493703542276,0.9364042282104492,0.9030972421169281,340,0.028562505,66.45,327.26945354938505
64.62,180,35,71680,251.4361223,397,,,,,,,,,,,,,
64.92,185,36,73728,253.00234949000003,397,0.2,223.2783621788025,-13.502457147836685,117.17859649658203,0.26259765625,0.0003,-0.04234536749427207,0.9326173067092896,0.9137879833579063,350,0.029470904,,
,,,75000,,,0.2,211.45735411643983,-13.442365735769272,93.53499603271484,0.26650390625,0.0003,-0.045161569892661645,0.9259371161460876,0.9197192341089249,360,0.031526353,66.85,328.5330123901367
65.26,191,37,75776,255.60656727000003,394,,,,,,,,,,,,,
65.47,196,38,77824,257.02919306,395,0.2,208.18253057003022,-13.399508133530617,89.82825469970703,0.297119140625,0.0003,-0.04724333958001807,0.9236783385276794,0.9186406210064888,370,0.035348814,,
65.78,201,39,79872,259.13947472,397,0.2,174.1839158296585,-13.356274327635765,74.97686004638672,0.265234375,0.0003,-0.03964136080467142,0.9188383221626282,0.9292932599782944,380,0.029642617,,
,,,80000,,,0.2,161.3262775659561,-13.305580255389213,49.145328521728516,0.298828125,0.0003,-0.04396299016370904,0.9145532846450806,0.9456999823451042,390,0.03582236,67.5,330.7587199687958
65.98,207,40,81920,260.35724316000005,395,,,,,,,,,,,,,
66.26,211,41,83968,262.05444457,396,0.2,132.5358068227768,-13.270108643174172,48.016597747802734,0.308740234375,0.0003,-0.04803350789879914,0.9122211337089539,0.9490394107997417,400,0.03308186,,
,,,85000,,,0.2,123.08969135284424,-13.221707212924958,57.58589553833008,0.300537109375,0.0003,-0.04340820045181317,0.9063494801521301,0.9531345590949059,410,0.03516218,68.05,333.5604893684387
66.36,218,42,86016,263.42847589,394,,,,,,,,,,,,,
66.65,223,43,88064,265.8649723,394,0.2,117.04959987401962,-13.165209218859673,36.02994918823242,0.288134765625,0.0003,-0.04639360420405865,0.9029038548469543,0.958269789814949,420,0.033348694,,
,,,90000,,,0.2,111.42915118932724,-13.12898279428482,38.77962112426758,0.315087890625,0.0003,-0.04565217873314396,0.8987340927124023,0.9590806439518929,430,0.03813114,68.9,337.26107358932495
67.43,229,44,90112,270.21642380000003,391,,,,,,,,,,,,,
67.89,234,45,92160,272.68233293000003,393,0.2,111.34909664392471,-13.079102545976639,41.4238166809082,0.299365234375,0.0003,-0.044366496682050637,0.8939151167869568,0.9580808207392693,440,0.039587848,,
68.58,238,46,94208,275.77371085000004,394,0.2,91.66888165473938,-13.033924850821496,42.57575607299805,0.33037109375,0.0003,-0.04556438474392053,0.8905081748962402,0.9665361270308495,450,0.039968863,,
,,,95000,,,0.2,78.51672025918961,-12.998394140601158,22.139657974243164,0.282177734375,0.0003,-0.0430070841423003,0.8875943422317505,0.9696507602930069,460,0.034788944,70.15,342.5772003650665
68.97,244,47,96256,278.1665611,393,,,,,,,,,,,,,
69.54,249,48,98304,280.80197740999995,394,0.2,77.81367390155792,-12.97144738137722,19.221303939819336,0.336865234375,0.0003,-0.045329039747593926,0.8860743641853333,0.971594201400876,470,0.037664223,,
,,,100000,,,0.2,71.78195909261703,-12.935561338067055,20.749156951904297,0.3251953125,0.0003,-0.046671680017607284,0.8822135925292969,0.973698802292347,480,0.040121783,70.3,342.55168237686155
70.01,255,49,100352,283.38135940999996,393,,,,,,,,,,,,,
70.09,259,50,102400,283.65045327,394,0.2,58.94462565779686,-12.89084833562374,26.746490478515625,0.309716796875,0.0003,-0.043226942460751164,0.8779889941215515,0.975283557549119,490,0.043671943,,
70.28,264,51,104448,284.87464678,394,0.2,48.85304753184319,-12.84928248822689,22.91107940673828,0.3162109375,0.0003,-0.04532924475788604,0.8745443224906921,0.9803750608116388,500,0.03806307,,
,,,105000,,,0.2,47.64567310214043,-12.79924008846283,23.46552276611328,0.337158203125,0.0003,-0.04626379185065162,0.8700140118598938,0.9821981266140938,510,0.043278806,72.3,352.23075437545776
70.83,270,52,106496,287.44073721,393,,,,,,,,,,,,,
71.83,275,53,108544,292.13755476,394,0.2,43.05816614627838,-12.74344124495983,18.45322036743164,0.341259765625,0.0003,-0.043982336929184386,0.86473149061203,0.9830873534083366,520,0.043442205,,
,,,110000,,,0.2,44.19344300031662,-12.67868946492672,16.063373565673828,0.324609375,0.0003,-0.04682803981995676,0.8589574098587036,0.9828768782317638,530,0.036755227,74.15,360.4504959344864
72.78,281,54,110592,296.61243192999996,392,,,,,,,,,,,,,
73.22,286,55,112640,298.34939915,393,0.2,37.93502066731453,-12.623393768072129,22.130495071411133,0.358984375,0.0003,-0.041405187294003554,0.8549532294273376,0.9857912054285407,540,0.043312646,,
74.03,291,56,114688,301.95899581000003,393,0.2,32.77807571291923,-12.582839462161065,11.50285816192627,0.307470703125,0.0003,-0.0435156208492117,0.8521255850791931,0.9860615404322743,550,0.03596746,,
,,,115000,,,0.2,32.816636830568314,-12.549911400675773,11.840182304382324,0.350341796875,0.0003,-0.045720140045159494,0.8490017056465149,0.9871043842285872,560,0.04305407,77.05,373.66746468544005
74.69,298,57,116736,304.51826386,391,,,,,,,,,,,,,
75.37,302,58,118784,307.50375894999996,392,0.2,32.65889412760735,-12.517105334997177,18.851253509521484,0.328076171875,0.0003,-0.04239310949051287,0.8463022112846375,0.9858268853276968,570,0.04064904,,
,,,120000,,,0.2,28.591713744401932,-12.455435448884964,10.830449104309082,0.37373046875,0.0003,-0.036601815107860605,0.8397526741027832,0.9885035771876574,580,0.05164234,78.1,377.73876510858537
76.12,309,59,120832,311.16606365,390,,,,,,,,,,,,,
76.73,314,60,122880,314.31166007,391,0.2,25.70447802245617,-12.39725993871689,9.37677001953125,0.3365234375,0.0003,-0.03848686242272379,0.8350982069969177,0.9906946383416653,590,0.043335423,,
77.35,318,61,124928,317.66848770999997,391,0.2,26.27240244448185,-12.342935597896576,11.42251205444336,0.365283203125,0.0003,-0.048545357360853816,0.8315189480781555,0.9907017117366195,600,0.046854958,,
,,,125000,,,0.2,23.907392793893813,-12.290955209732056,16.552236557006836,0.33291015625,0.0003,-0.04646164301666431,0.8264924883842468,0.9906021934002638,610,0.041915007,81.55,392.33474551439286
78.31,325,62,126976,322.17811175,390,,,,,,,,,,,,,
79.5,330,63,129024,327.14111423,390,0.2,24.95796320140362,-12.253476613759995,15.03695011138916,0.3359375,0.0003,-0.04078064122295473,0.824690043926239,0.9895914979279041,620,0.046134755,,
,,,130000,,,0.2,24.46622916460037,-12.201456248760223,9.346504211425781,0.36953125,0.0003,-0.04108279210340697,0.8182907104492188,0.9917074115946889,630,0.048790075,82.7,397.33743302822114
80.41,337,64,131072,331.40786417,388,,,,,,,,,,,,,
81.54,342,65,133120,336.17114205999997,389,0.2,29.021839702129363,-12.137779757380486,10.334085464477539,0.30458984375,0.0003,-0.04154640245251358,0.8137866854667664,0.9877608474344015,640,0.03867443,,
,,,135000,,,0.2,26.325355765223502,-12.063699713349342,7.723952293395996,0.330615234375,0.0003,-0.039696786989225075,0.8069626092910767,0.990983709692955,650,0.041925438,84.45,404.2925847887993
82.53,349,66,135168,340.5587180999999,387,,,,,,,,,,,,,
83.08,353,67,137216,343.61871686000006,387,0.2,24.10354982316494,-11.994945511221886,13.843210220336914,0.330810546875,0.0003,-0.04040402324462775,0.8019089102745056,0.9907936491072178,660,0.04420609,,
83.78,358,68,139264,346.80633959,388,0.2,22.2364676207304,-11.945115777850152,6.96964168548584,0.34072265625,0.0003,-0.042589222750393674,0.798842191696167,0.9921344807371497,670,0.044660646,,
,,,140000,,,0.2,24.745484134554864,-11.903920122981072,9.814146041870117,0.337646484375,0.0003,-0.04429581148724537,0.7956723570823669,0.9919934449717402,680,0.04459988,88.45,421.71707112789153
84.66,365,69,141312,350.75422365,386,,,,,,,,,,,,,
85.64,370,70,143360,355.0046645800001,387,0.2,25.10615950524807,-11.852286091446876,8.610513687133789,0.334716796875,0.0003,-0.040695512187085114,0.7910615801811218,0.9920053640380502,690,0.046998296,,
,,,145000,,,0.2,24.16074993312359,-11.800945660471916,8.727678298950195,0.3453125,0.0003,-0.04013593112467788,0.7866343259811401,0.9919566633179784,700,0.054223243,90.5,430.49840404987333
86.96,377,71,145408,360.15424822,385,,,,,,,,,,,,,
88.2,381,72,147456,365.5696113899999,386,0.2,24.963332471251487,-11.750921177864075,8.3217134475708,0.32900390625,0.0003,-0.03622841983742546,0.7837108969688416,0.9926415267400444,710,0.04606362,,
89.05,386,73,149504,368.8209293,386,0.2,26.644540202617645,-11.693349480628967,6.596113204956055,0.36123046875,0.0003,-0.03565676551661454,0.7785513997077942,0.9918850511312485,720,0.04742703,,
