time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/value_loss,train/clip_range,train/learning_rate,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/loss,train/std,train/clip_fraction,train/n_updates,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
5,1,2048,363.3333333333333,-386.612184,358,,,,,,,,,,,,,
13,2,4096,162.88,-168.18415611999998,293,243.61031169891356,0.2,0.0003,0.011944867,-0.018959879875183105,-0.02602603718987666,44.16535568237305,0.9848275184631348,0.12265625,10,-11.277198666334153,,
,,5000,,,,109.8057118177414,0.2,0.0003,0.014153944,-0.005966067314147949,-0.030540474277222528,28.568904876708984,0.9784111380577087,0.139306640625,20,-11.202035361528397,1000.0,983.1212523616093
42,3,6144,154.53846153846155,-160.78274912820513,145,,,,,,,,,,,,,
50,4,8192,141.0344827586207,-148.18734096551722,162,123.71576023101807,0.2,0.0003,0.01084638,0.009632587432861328,-0.023156534577719868,40.60838317871094,0.9656472206115723,0.08564453125,30,-11.129883745312691,,
,,10000,,,,167.36207489967347,0.2,0.0003,0.012160622,0.025618135929107666,-0.03066203385096742,57.439449310302734,0.9595712423324585,0.124365234375,40,-11.049972769618034,1000.0,994.2961209772271
78,5,10240,125.20987654320987,-128.21902854320984,130,,,,,,,,,,,,,
86,6,12288,126.45161290322581,-130.37491684946232,142,139.04758913516997,0.2,0.0003,0.010231006,0.0922844409942627,-0.03181854112772271,74.43741607666016,0.9567418098449707,0.1171875,50,-11.010212829709053,,
94,7,14336,120.11,-122.48016971000001,151,153.94474561214446,0.2,0.0003,0.011890353,0.15044838190078735,-0.030337313789641485,62.511573791503906,0.954503059387207,0.124853515625,60,-10.990500837564468,,
,,15000,,,,93.72511537075043,0.2,0.0003,0.013570061,0.16702836751937866,-0.033694157467107286,22.158979415893555,0.9429870843887329,0.137060546875,70,-10.928916701674462,1000.0,984.3737128703331
123,8,16384,128.35,-130.51059705,132,,,,,,,,,,,,,
131,9,18432,137.2,-138.49186907,139,106.57877466678619,0.2,0.0003,0.011441845,0.2824764847755432,-0.03216244857758284,31.50594139099121,0.9349013566970825,0.11611328125,80,-10.844927388429642,,
,,20000,,,,56.587179651856424,0.2,0.0003,0.018790372,0.27471625804901123,-0.03612057864374947,9.691277503967285,0.9171339273452759,0.178466796875,90,-10.728357964754105,1000.0,976.8597125997767
160,10,20480,129.71,-128.12192839000002,127,,,,,,,,,,,,,
168,11,22528,136.54,-133.59575838,134,171.16273972988128,0.2,0.0003,0.009479394,0.2628670930862427,-0.028882719739340246,88.35855865478516,0.9130055904388428,0.0943359375,100,-10.642256236076355,,
176,12,24576,155.49,-150.329334,139,65.87972489595413,0.2,0.0003,0.012653507,0.5322869420051575,-0.03143622982024681,20.99598503112793,0.905563473701477,0.11962890625,110,-10.587958055734635,,
,,25000,,,,107.62284511327744,0.2,0.0003,0.010269074,0.6568088531494141,-0.029877901246072723,29.531513214111328,0.8998173475265503,0.088623046875,120,-10.53336072564125,935.8,862.675897753588
203,13,26624,119.33,-114.22753737999997,130,,,,,,,,,,,,,
211,14,28672,93.55,-87.09248803,135,151.06019821166993,0.2,0.0003,0.012223523,0.5212378203868866,-0.031786301161628214,67.5841293334961,0.8956180810928345,0.117333984375,130,-10.48417054116726,,
,,30000,,,,158.30195462703705,0.2,0.0003,0.010198974,0.5714847147464752,-0.032407752485596575,83.25397491455078,0.8872436285018921,0.10751953125,140,-10.425227800011635,782.8,750.6114171574416
235,15,30720,105.34,-98.57596865000004,130,,,,,,,,,,,,,
243,16,32768,79.94,-76.17704029,134,81.47418297827244,0.2,0.0003,0.012597861,0.6169421374797821,-0.03367074066918576,30.20319175720215,0.876220166683197,0.13525390625,150,-10.337109404802323,,
251,17,34816,77.41,-70.39323769,138,229.77111086845397,0.2,0.0003,0.0081810225,0.18983876705169678,-0.02453265031799674,106.25996398925781,0.8740725517272949,0.066796875,160,-10.278590223193168,,
,,35000,,,,109.63467233181,0.2,0.0003,0.011795271,0.7417381107807159,-0.03386695912049618,54.36205291748047,0.8671902418136597,0.1203125,170,-10.23995572924614,675.8,632.7886552776879
272,18,36864,78.78,-71.0756805,135,,,,,,,,,,,,,
280,19,38912,68.08,-58.062691250000015,138,114.33090542554855,0.2,0.0003,0.011641076,0.7369853556156158,-0.03422616394382203,47.682960510253906,0.8638126850128174,0.122900390625,180,-10.19141808450222,,
,,40000,,,,111.71979018449784,0.2,0.0003,0.012112056,0.764836460351944,-0.03702881249482744,41.73200607299805,0.8561162948608398,0.148828125,190,-10.139661654829979,680.5,675.4862077632017
302,20,40960,68.9,-56.927437630000014,135,,,,,,,,,,,,,
311,21,43008,79.7,-67.0981378,138,204.75232844352723,0.2,0.0003,0.012539746,0.5176220834255219,-0.034417411911999804,157.70370483398438,0.8563230037689209,0.138916015625,200,-10.110047447681428,,
,,45000,,,,116.95093451738357,0.2,0.0003,0.011626897,0.7334946393966675,-0.03651825859851669,54.44729995727539,0.8527172803878784,0.138720703125,210,-10.093770164251328,382.2,397.6261869901558
327,22,45056,88.94,-74.32160397,137,,,,,,,,,,,,,
335,23,47104,98.52,-82.36479925999998,140,95.85513632297516,0.2,0.0003,0.016301297,0.7456945776939392,-0.04152296317042783,46.93876266479492,0.8450186252593994,0.176513671875,220,-10.036233067512512,,
343,24,49152,107.28,-90.03593454,143,74.49210946559906,0.2,0.0003,0.01309826,0.8168187886476517,-0.03597930385149084,36.99352264404297,0.8379217982292175,0.159765625,230,-9.970511999726295,,
,,50000,,,,43.36668083965778,0.2,0.0003,0.018149206,0.8629619777202606,-0.041680554722552186,14.061851501464844,0.8277734518051147,0.217578125,240,-9.88631244301796,547.3,488.0951658336329
362,25,51200,117.32,-96.06119687999998,141,,,,,,,,,,,,,
369,26,53248,123.7,-99.2720294,144,87.43044430017471,0.2,0.0003,0.012470948,0.8368531614542007,-0.03438234633795219,55.564842224121094,0.8187873363494873,0.13525390625,250,-9.795697495341301,,
,,55000,,,,97.40473461151123,0.2,0.0003,0.014063066,0.8499598056077957,-0.040433803922496736,52.52138900756836,0.813868522644043,0.160986328125,260,-9.725678807497024,425.9,371.4877444031783
388,27,55296,108.73,-83.95016788000001,142,,,,,,,,,,,,,
396,28,57344,101.18,-75.90593699999998,144,127.91101739406585,0.2,0.0003,0.0101814475,0.8132240325212479,-0.033794915670296174,68.33847045898438,0.8085699081420898,0.1115234375,270,-9.67414886057377,,
404,29,59392,110.7,-83.09938668,146,91.50464230775833,0.2,0.0003,0.012073565,0.8499219715595245,-0.039731504570227116,31.14815330505371,0.8022583723068237,0.1498046875,280,-9.615518680214882,,
,,60000,,,,31.172708037495614,0.2,0.0003,0.023300067,0.8688769936561584,-0.04687319309741724,20.51905059814453,0.7913323044776917,0.241796875,290,-9.52553431391716,371.8,319.5604532663303
421,30,61440,81.99,-62.04133247,145,,,,,,,,,,,,,
430,31,63488,101.3,-76.75988735000001,147,147.18813495635987,0.2,0.0003,0.011022061,0.685413271188736,-0.035166415449930356,87.74433135986328,0.7880914211273193,0.119580078125,300,-9.461383458971977,,
,,65000,,,,45.34892314374447,0.2,0.0003,0.020583097,0.8588863611221313,-0.044421839356073176,8.139656066894531,0.7780824899673462,0.2390625,310,-9.379203069210053,271.8,198.98367927650688
444,32,65536,102.23,-77.29504484,147,,,,,,,,,,,,,
453,33,67584,112.09,-81.51353621,149,73.58680981993675,0.2,0.0003,0.015802536,0.5521496534347534,-0.03999707085895352,20.44141960144043,0.77390456199646,0.234228515625,320,-9.316166806221009,,
461,34,69632,100.62,-70.45157581,150,119.04484145641327,0.2,0.0003,0.012622094,0.7911587506532669,-0.038452032054192384,48.29452896118164,0.7671154737472534,0.139013671875,330,-9.260281506180764,,
,,70000,,,,112.05705697536469,0.2,0.0003,0.013642545,0.7879808247089386,-0.04262976372847334,38.397377014160156,0.7607893943786621,0.16337890625,340,-9.186838659644128,167.8,148.97507097932976
473,35,71680,106.54,-73.07872909,151,,,,,,,,,,,,,
482,36,73728,71.7,-45.498521950000004,152,73.96059470176696,0.2,0.0003,0.016923884,0.880523718893528,-0.04630902624630835,43.5029182434082,0.7544906139373779,0.19140625,350,-9.126120114326477,,
,,75000,,,,104.74247184991836,0.2,0.0003,0.016340064,0.8075427263975143,-0.04687641572381836,39.71662521362305,0.7494473457336426,0.1763671875,360,-9.068340346217155,143.1,112.09286966503132
493,37,75776,71.06,-47.76496478,153,,,,,,,,,,,,,
501,38,77824,71.56,-44.12925002,155,86.47002313733101,0.2,0.0003,0.01753646,0.8453531563282013,-0.047002976905787364,48.71717071533203,0.7444865107536316,0.23017578125,370,-9.011097386479378,,
510,39,79872,80.31,-50.03728399999999,156,114.52032010555267,0.2,0.0003,0.016823832,0.7986764907836914,-0.04600680533330888,44.672061920166016,0.7373877167701721,0.18955078125,380,-8.949154329299926,,
,,80000,,,,39.36100352108478,0.2,0.0003,0.021073112,0.8606808930635452,-0.04610134947579354,30.258085250854492,0.7304962873458862,0.24443359375,390,-8.86618914604187,62.3,57.95327252214774
519,40,81920,100.1,-61.55163447000001,157,,,,,,,,,,,,,
527,41,83968,109.88,-66.13412613000001,159,62.63449837565422,0.2,0.0003,0.016863115,0.879149854183197,-0.043483665023813955,19.833032608032227,0.7198961973190308,0.218701171875,400,-8.765133515000343,,
,,85000,,,,64.77419210672379,0.2,0.0003,0.018869517,0.8101877719163895,-0.042000917289988136,33.831661224365234,0.7156305313110352,0.22529296875,410,-8.694258761405944,149.6,137.37282230952988
539,42,86016,107.73,-64.89152116000001,159,,,,,,,,,,,,,
547,43,88064,117.31,-70.32478188,160,81.21882401704788,0.2,0.0003,0.016428348,0.7867519110441208,-0.04373134725610726,17.59130859375,0.7093652486801147,0.190283203125,420,-8.629062160849571,,
,,90000,,,,44.55051077604294,0.2,0.0003,0.022109702,0.5046684145927429,-0.04198358015855774,13.023404121398926,0.7006025910377502,0.28974609375,430,-8.545767351984978,249.4,214.1899323470512
560,44,90112,118.04,-72.24334690999999,160,,,,,,,,,,,,,
568,45,92160,113.9,-69.84890201,162,183.6832371711731,0.2,0.0003,0.0124748275,0.5675429999828339,-0.040723468892974776,91.26920318603516,0.6964854001998901,0.149267578125,440,-8.477480089664459,,
575,46,94208,85.23,-48.320261280000004,163,137.81896612644195,0.2,0.0003,0.014945224,0.6129226386547089,-0.045239574727020226,61.75788116455078,0.6956617832183838,0.18095703125,450,-8.451548194885254,,
,,95000,,,,127.43586227893829,0.2,0.0003,0.016101321,0.29902470111846924,-0.0499140341533348,63.151153564453125,0.6932497024536133,0.17666015625,460,-8.430136135220527,332.1,240.76634411981794
590,47,96256,71.48,-38.395584299999996,163,,,,,,,,,,,,,
597,48,98304,81.51,-44.82018129,164,84.07304348945618,0.2,0.0003,0.019361475,0.702587902545929,-0.054758236484485676,49.466087341308594,0.6932509541511536,0.20615234375,470,-8.418034562468529,,
,,100000,,,,47.34688023328781,0.2,0.0003,0.024168955,0.7791240960359573,-0.04817085023387335,13.539352416992188,0.6884331703186035,0.275048828125,480,-8.382341179251672,562.6,411.96726995691427
615,49,100352,90.46,-43.16712445000001,163,,,,,,,,,,,,,
623,50,102400,83.39,-38.30274439,164,50.470576256513596,0.2,0.0003,0.02268921,0.8797516599297523,-0.052849263927782886,20.828615188598633,0.6825934648513794,0.2330078125,490,-8.320303118228912,,
631,51,104448,86.49,-40.35397199,165,79.53650574684143,0.2,0.0003,0.023279266,0.13834238052368164,-0.05465011359192431,41.17945861816406,0.6790301203727722,0.24970703125,500,-8.263152807950974,,
,,105000,,,,20.90656649470329,0.2,0.0003,0.03796813,0.8488982021808624,-0.057078395318239925,7.252438068389893,0.6733605861663818,0.364990234375,510,-8.21245973110199,211.8,162.13287391217892
643,52,106496,91.88,-41.87427343,165,,,,,,,,,,,,,
651,53,108544,81.8,-42.119847160000006,166,102.31004456281661,0.2,0.0003,0.01591473,0.6018798649311066,-0.04721082127070986,52.279258728027344,0.6677530407905579,0.185302734375,520,-8.147612872719765,,
,,110000,,,,79.5760197520256,0.2,0.0003,0.016395543,0.7198531031608582,-0.04874505324405618,37.37980651855469,0.662631630897522,0.18779296875,530,-8.07989934384823,81.9,84.3708315168009
660,54,110592,90.2,-44.71756868000001,167,,,,,,,,,,,,,
668,55,112640,59.37,-24.58896120999999,168,59.74360457062721,0.2,0.0003,0.021202005,0.8238192051649094,-0.05689314719929826,26.157835006713867,0.6557210683822632,0.25478515625,540,-8.004156430065631,,
676,56,114688,68.54,-27.23853712999999,169,91.12325464487076,0.2,0.0003,0.017650396,0.6919378638267517,-0.0518163582572015,54.71717071533203,0.6513475179672241,0.22041015625,550,-7.939204995334149,,
,,115000,,,,39.94993521869183,0.2,0.0003,0.027587134,0.8440398424863815,-0.05968644836102612,21.799564361572266,0.6452933549880981,0.29228515625,560,-7.868664845824242,106.7,101.80582922999747
685,57,116736,64.24,-24.154709089999997,170,,,,,,,,,,,,,
693,58,118784,70.61,-28.847399100000004,171,66.99125850200653,0.2,0.0003,0.022943934,0.8127040565013885,-0.05617424891097471,20.89064598083496,0.6390275955200195,0.25419921875,570,-7.798583871126175,,
,,120000,,,,80.60110646486282,0.2,0.0003,0.020498764,0.7095500230789185,-0.05573944733478129,28.12887191772461,0.6346935033798218,0.2267578125,580,-7.733135935664177,81.4,76.48276217661332
702,59,120832,90.33,-36.39025692,171,,,,,,,,,,,,,
710,60,122880,77.63,-30.505457140000004,172,26.930323311686514,0.2,0.0003,0.036737636,0.8852243348956108,-0.057741506007732826,14.297152519226074,0.6285309791564941,0.35244140625,590,-7.6631503164768215,,
718,61,124928,80.1,-33.18221188,173,75.69088318347931,0.2,0.0003,0.022333248,0.704506516456604,-0.05933897860231809,42.46971893310547,0.6261143684387207,0.251171875,600,-7.613456763327122,,
,,125000,,,,52.98297988772392,0.2,0.0003,0.02304894,0.8226443380117416,-0.056729424378136176,24.813268661499023,0.6181701421737671,0.2671875,610,-7.53639440536499,307.0,185.94652684514296
731,62,126976,86.55,-35.91363788,173,,,,,,,,,,,,,
739,63,129024,78.4,-29.493818459999996,174,79.59541432261467,0.2,0.0003,0.022223126,0.771830603480339,-0.05742088992265053,32.88684844970703,0.6142571568489075,0.24599609375,620,-7.470302538573742,,
