time/episodes,time/fps,train/actor_loss,rollout/ep_len_mean,train/critic_loss,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,eval/mean_ep_length,eval/mean_reward
4,68,-1.9931776526868343,752.75,0.18272139318287373,3011,0.001,-1000.666101,43,3000,,
8,69,-2.2029519939422606,395.625,0.764370537534052,3165,0.001,-544.087146,45,3100,,
12,69,-0.9969508349895477,275.75,0.5335754658046522,3309,0.001,-390.74351758333324,47,3271,,
16,87,-0.5691988891498609,274.875,0.6335558486836297,4398,0.001,-448.89170643750003,50,3398,,
20,68,0.9789553395073328,233.45,0.8312060503023011,4669,0.001,-375.78399045000003,67,4611,,
,,1.2020355237965021,,0.9711191849461918,5000,0.001,,,4669,237.0,-78.17738496871316
24,75,2.261919779289514,320.1666666666667,0.7813312642872333,7684,0.001,-267.9140341666667,101,6684,,
,,2.0188536824329057,,0.8035402097404003,10000,0.001,,,9684,901.7,355.1200565645471
28,69,1.6571430108938365,417.2857142857143,0.7518854024112225,11684,0.001,-265.7122104642857,168,10684,,
32,69,1.4279476744059014,463.46875,1.429535023209189,14831,0.001,-219.7648213125,213,13831,,
,,1.8774050563580822,,1.1561550144553185,15000,0.001,,,14831,728.3,404.5114501904842
36,64,1.257009262023028,469.6666666666667,1.3166496986746787,16908,0.001,-169.78482797222222,262,16873,,
40,67,0.43753071626027423,449.7,1.5153732168965224,17988,0.001,-142.917122225,264,16988,,
,,-0.859393438524814,,1.3081327014565467,20000,0.001,,,19988,808.6,224.112193037587
44,66,-0.7452258429313079,499.72727272727275,1.4584133393764496,21988,0.001,-92.8045966590909,329,20988,,
,,-2.006101613178849,,1.6636484957933426,25000,0.001,,,24988,1000.0,337.606964780236
48,65,,541.4166666666666,,25988,,-47.794933125,395,,,
52,66,-4.926488572835923,576.6923076923077,2.1038603709340093,29988,0.001,-11.623749057692306,453,28988,,
,,-5.094505935549736,,2.0128876599669456,30000,0.001,,,29988,901.8,454.88182273607816
56,65,-6.398823410272598,589.3571428571429,1.7513927891850471,33004,0.001,13.84593537500001,504,32004,,
,,-6.656766290664673,,1.6607968607544898,35000,0.001,,,34004,869.7,292.6812068508542
60,65,-6.906681890964508,616.7333333333333,1.7753742654323579,37004,0.001,8.801432183333342,568,36004,,
,,-7.7278776151853945,,1.5865576818823603,40000,0.001,,,39567,1000.0,585.9962871340861
64,64,,633.859375,,40567,,44.750464265625,628,,,
68,64,-8.2990711684227,655.3970588235294,1.4532589290738105,44567,0.001,80.60658654411766,686,43567,,
,,-8.382204660415649,,1.4451741377711296,45000,0.001,,,44567,819.2,593.1681774662575
72,64,-8.841032730102539,674.5416666666666,1.3558180319070816,48567,0.001,116.76440631944443,752,47567,,
,,-9.55006744670868,,1.343191543161869,50000,0.001,,,49567,1000.0,686.47862428269
76,64,-10.245015553474426,691.671052631579,1.3396219051480294,52567,0.001,145.0111391710526,818,51567,,
,,-11.431843549728393,,1.2435421442985535,55000,0.001,,,54567,900.9,629.6497206352651
80,64,-12.064223810195923,707.0875,1.2562773814201356,56567,0.001,168.085736525,883,55567,,
,,-13.380934593200683,,1.288856279373169,60000,0.001,,,59567,1000.0,349.6428185638506
84,63,,721.0357142857143,,60567,,195.54225139285717,948,,,
88,64,-15.29344810295105,733.7159090909091,1.2842273672819138,64567,0.001,215.78693219318177,1007,63567,,
,,-15.7976032371521,,1.2912260930836201,65000,0.001,,,64567,900.9,579.3567319602356
92,63,-17.75560482597351,745.2934782608696,1.2798196526169776,68567,0.001,237.19455970652166,1072,67567,,
,,-19.73733871684355,,1.374732413826439,70000,0.001,,,69906,1000.0,255.19102243698435
96,63,-20.007360355377198,749.0208333333334,1.4324451373815537,71906,0.001,255.9055985729167,1131,70906,,
,,-22.50128337097168,,1.4329676352739333,75000,0.001,,,74906,1000.0,896.8648827319033
100,63,,759.06,,75906,,259.02924295,1199,,,
104,63,-24.06544765853882,768.95,1.5159535766839982,79906,0.001,327.93369272999996,1260,78906,,
,,-24.542329448699952,,1.6007334645986557,80000,0.001,,,79906,900.8,722.5504060683772
108,63,-25.99428701400757,807.41,1.772009093761444,83906,0.001,356.95129074,1330,82906,,
,,-26.76356047821045,,1.8072972141504289,85000,0.001,,,84906,987.6,534.9568530587451
112,62,-27.194062744140624,845.97,2.073151337981224,87906,0.001,395.85795466,1402,86906,,
,,-28.131483535766602,,1.834088634312153,90000,0.001,,,89906,1000.0,1044.1689165516757
116,62,-28.561517082214355,875.08,1.844819643974304,91906,0.001,456.74112179,1473,90906,,
,,-30.102122333526612,,1.841972154378891,95000,0.001,,,94906,900.8,692.0336666680872
120,62,,912.37,,95906,,497.64054379000004,1545,,,
124,62,-31.950315353393556,922.22,1.8204291885495185,99906,0.001,523.16596998,1607,98906,,
,,-32.66510356903076,,1.8206206753253937,100000,0.001,,,99906,1000.0,923.4869991931133
128,61,-34.60100405883789,922.22,1.6622118819355964,103906,0.001,573.24433087,1678,102906,,
,,-35.63422687911987,,1.6826770504713058,105000,0.001,,,104906,1000.0,645.9007648606173
132,61,-36.81358266830444,930.75,1.603142344236374,107906,0.001,611.91607485,1750,106906,,
,,-39.08354165649414,,1.6240085232257844,110000,0.001,,,109906,1000.0,656.3162454414938
136,61,-39.82181716918945,949.98,1.7324164472222328,111906,0.001,644.04072376,1821,110906,,
,,-42.710666954040526,,1.8713241026997567,115000,0.001,,,114906,1000.0,1075.444811882265
140,61,,979.18,,115906,,685.6965556,1891,,,
144,61,-45.49878903520786,979.02,2.042316393214997,119890,0.001,718.4843180199999,1955,118890,,
,,-46.2555761642456,,2.1523706913590432,120000,0.001,,,119890,1000.0,1376.9917493076996
148,61,-48.52011045837402,979.02,2.4243895300626757,123890,0.001,748.8678524100001,2025,122890,,
,,-50.68896737670899,,2.5269998702406884,125000,0.001,,,124890,1000.0,1082.8840493540745
152,60,-51.966464065551754,979.02,2.7581234717965124,127890,0.001,781.2807001,2097,126890,,
,,-54.027326210021975,,3.200287009716034,130000,0.001,,,129890,1000.0,1201.4047726361082
156,60,-54.72743352254232,984.51,3.377943544683203,131455,0.001,814.4432813,2162,130455,,
,,-56.66936685180664,,3.684199966907501,135000,0.001,,,134151,1000.0,1353.6979044202715
160,60,,981.47,,135151,,861.4293456599999,2229,,,
164,60,-56.98684934234619,985.84,3.173716974914074,139151,0.001,896.98500456,2293,138151,,
,,-56.92449794769287,,3.037846700668335,140000,0.001,,,139151,1000.0,1254.1293439182452
168,60,-58.21668598175049,985.84,3.1368755492568017,143151,0.001,927.7988123600002,2367,142151,,
,,-58.91605715942383,,3.27343420624733,145000,0.001,,,144151,949.2,1307.962715734914
