time/fps,time/time_elapsed,time/total_timesteps,train/critic_loss,time/episodes,train/n_updates,train/learning_rate,train/actor_loss,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
664,0,200,0.5238959896564483,4,50,0.001,1.2639182090759278,50.0,-48.94891425,,
303,1,400,0.3284056001901627,8,250,0.001,4.002332134246826,50.0,-70.74899075,,
,,500,0.2427303621172905,,350,0.001,4.91755937576294,,,-90.81554495,50.0
187,3,600,0.1843041931092739,12,450,0.001,4.230600872039795,50.0,-71.78754716666667,,
189,4,800,0.20211087062954902,16,650,0.001,4.391418733596802,50.0,-61.7053674375,,
,,1000,0.07076149448752403,,850,0.001,3.985418815612793,,,-11.6411952,50.0
164,6,1000,,20,,,,50.0,-51.822987149999996,,
167,7,1200,0.14049437329173087,24,1050,0.001,3.820611753463745,50.0,-45.25920691666666,,
170,8,1400,0.04105047408491373,28,1250,0.001,3.7360466861724855,50.0,-39.967670285714284,,
,,1500,0.04096142683178186,,1350,0.001,3.6163755893707275,,,-11.1925527,50.0
160,9,1600,0.04720740493386984,32,1450,0.001,3.5761878299713135,50.0,-36.19076309375,,
162,11,1800,0.04182964432984591,36,1650,0.001,3.672171459197998,50.0,-33.56096255555556,,
,,2000,0.04463706683367491,,1850,0.001,3.7397711658477784,,,-9.929195850000001,50.0
155,12,2000,,40,,,,50.0,-31.307388100000004,,
157,13,2200,0.11502338878810406,44,2050,0.001,3.757559986114502,50.0,-29.558440113636365,,
159,15,2400,0.05171572718769312,48,2250,0.001,3.8985708713531495,50.0,-28.023090229166666,,
,,2500,0.046098139286041256,,2350,0.001,3.937892723083496,,,-10.4407162,50.0
154,16,2600,0.05528237298130989,52,2450,0.001,4.015368461608887,50.0,-26.653708826923076,,
157,17,2800,0.05564954243600369,56,2650,0.001,4.071986112594605,50.0,-25.24269617857143,,
,,3000,0.09282801933586597,,2850,0.001,4.131749010086059,,,-11.77866765,50.0
154,19,3000,,60,,,,50.0,-24.363960849999998,,
156,20,3200,0.04661030374467373,64,3050,0.001,4.293189640045166,50.0,-23.398290875,,
158,21,3400,0.07608403779566288,68,3250,0.001,4.387030696868896,50.0,-22.663539588235295,,
,,3500,0.09324595347046852,,3350,0.001,4.418604393005371,,,-11.820756450000001,50.0
155,23,3600,0.16277360528707505,72,3450,0.001,4.542351360321045,50.0,-22.084276888888887,,
157,24,3800,0.05425354920327664,76,3650,0.001,4.726623477935791,50.0,-21.367647736842102,,
,,4000,0.13440545842051507,,3850,0.001,4.868014144897461,,,-10.998464049999999,50.0
155,25,4000,,80,,,,50.0,-20.8861065,,
157,26,4200,0.05203794747591019,84,4050,0.001,4.915467433929443,50.0,-20.342490476190477,,
158,27,4400,0.04613025657832623,88,4250,0.001,5.060499992370605,50.0,-19.774339113636362,,
,,4500,0.042321383208036426,,4350,0.001,5.122568798065186,,,-10.4978528,50.0
156,29,4600,0.04260935306549072,92,4450,0.001,5.135335292816162,50.0,-19.274438065217392,,
157,30,4800,0.04797925412654877,96,4650,0.001,5.27627986907959,50.0,-18.924140510416667,,
,,5000,0.15023909896612167,,4850,0.001,5.374182662963867,,,-10.94528455,50.0
155,32,5000,,100,,,,50.0,-18.601907649999998,,
156,33,5200,0.04601201944053173,104,5050,0.001,5.538705101013184,50.0,-17.205957899999998,,
157,34,5400,0.06393953122198581,108,5250,0.001,5.614784297943115,50.0,-13.860578040000002,,
,,5500,0.06219187021255493,,5350,0.001,5.7464322662353515,,,-10.024094299999998,50.0
155,36,5600,0.049486226290464404,112,5450,0.001,5.794674205780029,50.0,-11.42994269,,
156,37,5800,0.058702846542000774,116,5650,0.001,6.05385606765747,50.0,-10.58243506,,
,,6000,0.06349946059286594,,5850,0.001,6.102784824371338,,,-11.6399878,50.0
154,38,6000,,120,,,,50.0,-10.56540002,,
155,39,6200,0.0719670021533966,124,6050,0.001,6.286616535186767,50.0,-10.420165379999998,,
156,40,6400,0.07672153294086456,128,6250,0.001,6.34264612197876,50.0,-10.482906990000002,,
,,6500,0.07870776511728764,,6350,0.001,6.386993751525879,,,-11.1589996,50.0
154,42,6600,0.04999285124242306,132,6450,0.001,6.412848129272461,50.0,-10.481132469999999,,
155,43,6800,0.09996645174920558,136,6650,0.001,6.466185493469238,50.0,-10.554607039999999,,
,,7000,0.06474934235215186,,6850,0.001,6.702053890228272,,,-10.612245949999998,50.0
154,45,7000,,140,,,,50.0,-10.46465071,,
154,46,7200,0.09514067307114601,144,7050,0.001,6.821556987762452,50.0,-10.477190489999998,,
155,47,7400,0.05092850461602211,148,7250,0.001,6.935105667114258,50.0,-10.489576149999998,,
,,7500,0.054248773902654646,,7350,0.001,6.908191585540772,,,-11.167957150000001,50.0
154,49,7600,0.043499367013573646,152,7450,0.001,7.097017230987549,50.0,-10.70526393,,
154,50,7800,0.04941742349416017,156,7650,0.001,7.206348762512207,50.0,-10.93895236,,
,,8000,0.05602486278861761,,7850,0.001,7.2877839660644534,,,-10.745767350000001,50.0
153,52,8000,,160,,,,50.0,-10.911404269999998,,
153,53,8200,0.062225175127387046,164,8050,0.001,7.322276210784912,50.0,-10.977052199999997,,
154,54,8400,0.19094918690621854,168,8250,0.001,7.514459762573242,50.0,-11.057926469999998,,
,,8500,0.06360981777310372,,8350,0.001,7.541514778137207,,,-10.546346950000004,50.0
153,56,8600,0.04645006194710732,172,8450,0.001,7.5514867401123045,50.0,-10.97562175,,
153,57,8800,0.07436387352645397,176,8650,0.001,7.672897453308106,50.0,-11.09047388,,
,,9000,0.05246428795158863,,8850,0.001,7.749372959136963,,,-10.2917939,50.0
153,58,9000,,180,,,,50.0,-11.028148100000001,,
153,59,9200,0.05226047519594431,184,9050,0.001,7.797527179718018,50.0,-11.086893770000001,,
154,60,9400,0.06133597958832979,188,9250,0.001,7.869792003631591,50.0,-11.11126859,,
,,9500,0.05499767556786537,,9350,0.001,7.9051492881774905,,,-10.050280850000002,50.0
153,62,9600,0.04660030130296946,192,9450,0.001,7.9631939888000485,50.0,-11.19760864,,
154,63,9800,0.06001367762684822,196,9650,0.001,8.033313522338867,50.0,-11.180889140000001,,
,,10000,0.07659906603395938,,9850,0.001,8.162303924560547,,,-9.833461250000001,50.0
153,65,10000,,200,,,,50.0,-11.11255461,,
153,66,10200,0.08208741962909699,204,10050,0.001,8.214627304077148,50.0,-10.951627980000003,,
153,67,10400,0.054888938516378404,208,10250,0.001,8.334833946228027,50.0,-10.988934190000002,,
,,10500,0.06333879187703133,,10350,0.001,8.437581253051757,,,-10.6596234,50.0
152,69,10600,0.09021909065544605,212,10450,0.001,8.406515884399415,50.0,-10.970394650000001,,
153,70,10800,0.050390801653265954,216,10650,0.001,8.446439323425293,50.0,-11.017807850000002,,
,,11000,0.05340283717960119,,10850,0.001,8.556487846374512,,,-10.3991266,50.0
152,72,11000,,220,,,,50.0,-10.98957338,,
153,73,11200,0.06896235175430775,224,11050,0.001,8.693157844543457,50.0,-11.0517839,,
153,74,11400,0.05510331101715565,228,11250,0.001,8.69875186920166,50.0,-11.04568502,,
,,11500,0.051559252589941026,,11350,0.001,8.815997581481934,,,-10.07962445,50.0
152,75,11600,0.041869334280490875,232,11450,0.001,8.77212287902832,50.0,-11.104338029999997,,
153,76,11800,0.049017862565815445,236,11650,0.001,8.86370273590088,50.0,-10.942154720000001,,
,,12000,0.09572921156883239,,11850,0.001,8.972462768554687,,,-9.973361950000001,50.0
152,78,12000,,240,,,,50.0,-11.006404019999998,,
153,79,12200,0.05676420748233795,244,12050,0.001,9.01179557800293,50.0,-10.79425661,,
