time/total_timesteps,time/time_elapsed,time/episodes,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/ent_coef_loss,train/n_updates,train/critic_loss,train/actor_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length
20,0,4,695,5.0,4.18440525,,,,,,,,
39,0,8,690,4.875,3.920908375,,,,,,,,
59,0,12,716,4.916666666666667,4.227183166666666,,,,,,,,
78,0,16,732,4.875,4.0965494375,,,,,,,,
99,0,20,735,4.95,4.059636200000001,,,,,,,,
120,0,24,280,5.0,4.0548667499999995,0.0003,-0.10749708116054535,19,23.36489486694336,-13.314796447753906,0.9945517778396606,,
136,0,28,199,4.857142857142857,3.937436607142857,0.0003,-0.2057649791240692,35,24.990089416503906,-12.826667785644531,0.9896807074546814,,
160,1,32,149,5.0,4.20234571875,0.0003,-0.3542875647544861,59,29.250398635864258,-13.606685638427734,0.9824191927909851,,
177,1,36,133,4.916666666666667,4.145684583333334,0.0003,-0.45736512541770935,76,28.7446231842041,-13.888513565063477,0.9773274660110474,,
201,1,40,118,5.025,4.25622935,0.0003,-0.605837345123291,100,25.236183166503906,-14.806522369384766,0.970208466053009,,
223,2,44,108,5.068181818181818,4.251834068181818,0.0003,-0.7374799251556396,122,20.847705841064453,-14.957990646362305,0.9637476205825806,,
252,2,48,100,5.25,4.268400083333333,0.0003,-0.917443037033081,151,16.75136947631836,-15.317298889160156,0.9553224444389343,,
274,2,52,94,5.269230769230769,4.285500942307691,0.0003,-1.039813756942749,173,10.31640625,-16.80359649658203,0.9490001201629639,,
296,3,56,91,5.285714285714286,4.345963892857143,0.0003,-1.1650125980377197,195,6.865293025970459,-16.606796264648438,0.9427566528320312,,
315,3,60,89,5.25,4.3183006,0.0003,-1.272943377494812,214,4.4293694496154785,-18.067745208740234,0.9374186992645264,,
344,4,64,85,5.375,4.383423203125,0.0003,-1.4427063465118408,243,3.487833023071289,-19.06814956665039,0.9293550848960876,,
363,4,68,84,5.338235294117647,4.331154323529411,0.0003,-1.5520421266555786,262,3.185621976852417,-18.652542114257812,0.9241146445274353,,
387,4,72,82,5.375,4.390674583333333,0.0003,-1.6802221536636353,286,5.016988754272461,-18.96761703491211,0.9175456762313843,,
409,5,76,80,5.381578947368421,4.403218986842106,0.0003,-1.8125684261322021,308,3.2869129180908203,-20.547569274902344,0.911571204662323,,
427,5,80,79,5.3375,4.35427565,0.0003,-1.9275894165039062,326,3.4696507453918457,-20.125179290771484,0.9067068099975586,,
455,5,84,78,5.416666666666667,4.420535714285714,0.0003,-2.0826189517974854,354,3.532747268676758,-20.63823699951172,0.8991724848747253,,
474,6,88,77,5.386363636363637,4.38605065909091,0.0003,-2.1984119415283203,373,3.0469717979431152,-20.46967315673828,0.8940805792808533,,
492,6,92,76,5.3478260869565215,4.354474608695653,0.0003,-2.320446491241455,391,3.8420324325561523,-21.213703155517578,0.8892754912376404,,
511,6,96,76,5.322916666666667,4.3161501875,0.0003,-2.433237075805664,410,3.2101926803588867,-20.1444091796875,0.8842201232910156,,
529,6,100,75,5.29,4.2888768,0.0003,-2.5381321907043457,428,4.253457546234131,-21.24730110168457,0.8794477581977844,,
551,7,104,74,5.31,4.320148769999999,0.0003,-2.6838254928588867,450,2.9538497924804688,-21.83450698852539,0.8736479878425598,,
571,7,108,74,5.32,4.3266662,0.0003,-2.777766704559326,470,3.65498685836792,-21.938331604003906,0.8684126734733582,,
589,7,112,73,5.3,4.26283982,0.0003,-2.8845276832580566,488,3.319552421569824,-21.489967346191406,0.8637357950210571,,
607,8,116,73,5.29,4.263892599999999,0.0003,-3.01023006439209,506,3.163219451904297,-21.641794204711914,0.8590757250785828,,
630,8,120,73,5.31,4.323224349999999,0.0003,-3.1525328159332275,529,3.2655177116394043,-22.089210510253906,0.853161096572876,,
650,8,124,72,5.3,4.32846714,0.0003,-3.243313789367676,549,3.517655849456787,-21.550724029541016,0.8480477929115295,,
678,9,128,72,5.42,4.427496380000001,0.0003,-3.431440591812134,577,3.48142671585083,-21.738258361816406,0.8409218192100525,,
694,9,132,72,5.34,4.308297909999999,0.0003,-3.521475076675415,593,3.3746590614318848,-22.333778381347656,0.8368796110153198,,
721,10,136,71,5.44,4.42168941,0.0003,-3.6913249492645264,620,4.463621616363525,-22.617687225341797,0.8301059603691101,,
738,10,140,71,5.37,4.343011349999999,0.0003,-3.785451650619507,637,5.01701545715332,-22.264007568359375,0.8258697390556335,,
758,10,144,71,5.35,4.35148727,0.0003,-3.905724048614502,657,4.981691837310791,-22.113876342773438,0.8209121227264404,,
779,10,148,71,5.27,4.3580939899999995,0.0003,-4.020319938659668,678,4.180069923400879,-21.484657287597656,0.815739095211029,,
795,11,152,70,5.21,4.30470272,0.0003,-4.133148193359375,694,4.546144485473633,-22.686004638671875,0.8118183016777039,,
816,11,156,70,5.2,4.26507398,0.0003,-4.2700958251953125,715,4.105938911437988,-21.803905487060547,0.8067060112953186,,
841,11,160,70,5.26,4.31924799,0.0003,-4.383625030517578,740,6.273834228515625,-21.323240280151367,0.8006641268730164,,
864,12,164,70,5.2,4.32974444,0.0003,-4.530362606048584,763,5.515507698059082,-23.01959991455078,0.7951563000679016,,
886,12,168,70,5.23,4.34413126,0.0003,-4.671158313751221,785,4.789331436157227,-21.77682876586914,0.7899225950241089,,
904,12,172,70,5.17,4.264123109999999,0.0003,-4.744213104248047,803,4.548863410949707,-21.40306282043457,0.7856685519218445,,
926,13,176,70,5.17,4.260354690000001,0.0003,-4.896806716918945,825,4.082178115844727,-20.99995994567871,0.7805036306381226,,
953,13,180,69,5.26,4.3684878199999995,0.0003,-5.0732927322387695,852,4.7931013107299805,-21.30371856689453,0.7742166519165039,,
973,13,184,69,5.18,4.303733739999999,0.0003,-5.166018486022949,872,4.985339641571045,-21.161081314086914,0.7695931196212769,,
989,14,188,69,5.15,4.271219939999999,0.0003,-5.274580955505371,888,6.236968040466309,-20.89446258544922,0.765914261341095,,
1011,14,192,69,5.19,4.3299173,0.0003,-5.345240592956543,910,4.9468488693237305,-21.141780853271484,0.7608852982521057,,
1029,14,196,69,5.18,4.34315871,0.0003,-5.489803314208984,928,5.736665725708008,-22.0096435546875,0.756794810295105,,
1045,15,200,69,5.16,4.3164579000000005,0.0003,-5.613810062408447,944,6.119442939758301,-22.241737365722656,0.7531718015670776,,
1064,15,204,69,5.13,4.24416394,0.0003,-5.68239164352417,963,5.668200492858887,-20.977401733398438,0.7488888502120972,,
1085,15,208,69,5.14,4.254898229999999,0.0003,-5.837827205657959,984,4.716426849365234,-21.49407196044922,0.7441890239715576,,
1107,15,212,69,5.18,4.30627488,0.0003,-5.97285795211792,1006,4.593520164489746,-19.650794982910156,0.7392988204956055,,
1134,16,216,69,5.27,4.39723236,0.0003,-6.1097917556762695,1033,6.642726898193359,-20.637054443359375,0.7333389520645142,,
1151,16,220,69,5.21,4.3322603,0.0003,-6.196089744567871,1050,7.531819820404053,-20.335758209228516,0.7296116352081299,,
1177,17,224,69,5.27,4.36242439,0.0003,-6.349803924560547,1076,6.433809280395508,-20.04120635986328,0.7239575982093811,,
1199,17,228,69,5.21,4.30926799,0.0003,-6.483644485473633,1098,8.127440452575684,-20.616851806640625,0.7192097306251526,,
1216,17,232,68,5.22,4.31020293,0.0003,-6.539247512817383,1115,6.361105918884277,-20.62844467163086,0.715567946434021,,
1235,17,236,68,5.14,4.19679331,0.0003,-6.73420524597168,1134,7.317882537841797,-19.654483795166016,0.7115198969841003,,
1254,18,240,68,5.16,4.223548360000001,0.0003,-6.734096527099609,1153,9.310598373413086,-21.004680633544922,0.7074918150901794,,
1277,18,244,68,5.19,4.21129009,0.0003,-6.91701078414917,1176,9.200028419494629,-21.340225219726562,0.7026537656784058,,
