train/n_updates,time/total_timesteps,time/episodes,train/learning_rate,time/fps,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/actor_loss,eval/mean_ep_length,eval/mean_reward
410793,411836,416,0.001,135,3048,0.06343136095628142,1000.0,54.81153695000001,13.755079601287841,,
414793,415000,,0.001,,,0.06460108771547675,,,13.822654891967774,1000.0,956.5266053438187
,415836,420,,134,3081,,1000.0,54.20678162000001,,,
418793,419836,424,0.001,135,3103,0.0735268763564527,1000.0,54.83180601,13.835534852981567,,
419793,420000,,0.001,,,0.06951041919365525,,,13.82626083946228,1000.0,957.4738784968853
422793,423836,428,0.001,135,3136,0.07971750162541866,1000.0,54.48478547,13.830143074035645,,
424793,425000,,0.001,,,0.07155563944578171,,,13.807556732177733,1000.0,955.9736826062202
426793,427836,432,0.001,135,3168,0.07261077148467303,1000.0,53.91703550000001,13.760194618225098,,
429793,430000,,0.001,,,0.0564350505862385,,,13.737936735153198,1000.0,962.606978648901
430793,431836,436,0.001,134,3201,0.057442257717251775,1000.0,53.63175192999999,13.725901615142822,,
434793,435000,,0.001,,,0.0602404423803091,,,13.710221157073974,1000.0,970.6320001900197
,435836,440,,134,3233,,1000.0,53.091218680000004,,,
438793,439836,444,0.001,135,3254,0.06355227852240204,1000.0,52.703088490000006,13.665587209701538,,
439793,440000,,0.001,,,0.06345833217725158,,,13.656532789230347,1000.0,943.0998503625393
442793,443836,448,0.001,135,3285,0.07348146653175354,1000.0,52.09619511000001,13.610002487182618,,
444793,445000,,0.001,,,0.07195812008529902,,,13.521373865127563,1000.0,921.0283695086837
446793,447836,452,0.001,135,3316,0.12039919336512685,1000.0,50.24158597000002,13.799081579208375,,
449793,450000,,0.001,,,0.12714906870573758,,,13.857752939224243,1000.0,938.8709794700146
450793,451836,456,0.001,134,3347,0.13686413196474315,1000.0,48.623637480000006,13.889518814086914,,
454793,455000,,0.001,,,0.12064587568119169,,,14.261635761260987,1000.0,932.0021948635579
,455836,460,,134,3378,,1000.0,47.71972673000001,,,
458793,459836,464,0.001,135,3399,0.12262301625683904,1000.0,47.35339573,14.734201066970826,,
459793,460000,,0.001,,,0.13632200665026903,,,14.878817260742187,1000.0,928.9359609365463
462793,463836,468,0.001,135,3430,0.15664613258093596,1000.0,43.396390389999986,15.249510925292968,,
464793,465000,,0.001,,,0.16372882071882486,,,15.356317518234253,1000.0,866.2876760780812
466793,467836,472,0.001,135,3463,0.12926180424541234,1000.0,45.879000940000005,15.328506038665772,,
469793,470000,,0.001,,,0.11589102328568697,,,15.20259200668335,1000.0,940.2118355577811
470793,471836,476,0.001,135,3494,0.11266893291473389,1000.0,46.44643739,15.20807554244995,,
474793,475000,,0.001,,,0.13097721618413924,,,15.275267898559571,1000.0,954.7168237745761
,475836,480,,134,3527,,1000.0,46.55497489000001,,,
478793,479836,484,0.001,135,3549,0.14018523822724818,1000.0,45.58478719000001,15.496682723999024,,
479793,480000,,0.001,,,0.14739098123461009,,,15.604546880722046,1000.0,906.1999453008175
482793,483836,488,0.001,135,3581,0.16051907181739808,1000.0,43.86721797000001,15.831079776763916,,
484793,485000,,0.001,,,0.12093455239757896,,,15.936425231933594,1000.0,961.1158059716224
486793,487836,492,0.001,135,3613,0.10516858814656735,1000.0,42.85783574,15.902216135025025,,
489793,490000,,0.001,,,0.13132574980705977,,,15.926472843170165,1000.0,846.5372714281082
490793,491836,496,0.001,134,3645,0.12835854675993325,1000.0,40.492683529999994,15.978686197280883,,
494793,495000,,0.001,,,0.11816391672939063,,,16.066837474822997,1000.0,900.8591253578663
,495836,500,,134,3677,,1000.0,38.57629365,,,
498793,499836,504,0.001,135,3699,0.10841277361661196,1000.0,37.04203132999999,15.877925790786744,,
499793,500000,,0.001,,,0.0987748866006732,,,15.765743364334107,1000.0,924.5354944288731
502793,503836,508,0.001,135,3731,0.08860156986117362,1000.0,35.96990829,15.543556354522705,,
504793,505000,,0.001,,,0.09362792750820517,,,15.457086374282836,1000.0,947.6976966232062
506793,507836,512,0.001,135,3761,0.09171638778224588,1000.0,34.97005074,15.410226945877076,,
509793,510000,,0.001,,,0.12183041626214981,,,15.43892700958252,1000.0,924.115741533041
510793,511836,516,0.001,134,3791,0.1291383389905095,1000.0,33.25717279,15.462223760604859,,
514793,515000,,0.001,,,0.12431556903570891,,,15.48732246208191,1000.0,908.1497922211886
,515836,520,,134,3824,,1000.0,32.55737555,,,
518793,519836,524,0.001,135,3845,0.14987284564971923,1000.0,31.470588319999997,15.197311666488648,,
519793,520000,,0.001,,,0.17049615623801948,,,15.284778619766236,1000.0,900.3449025452137
522793,523836,528,0.001,135,3877,0.21533663305640222,1000.0,30.258694940000005,15.37840732383728,,
524793,525000,,0.001,,,0.2404636867940426,,,15.569770622253419,1000.0,920.806537773693
526793,527836,532,0.001,135,3907,0.40525288581103086,1000.0,27.409345950000002,15.833615942001343,,
529793,530000,,0.001,,,0.5649127615094185,,,16.86577440071106,1000.0,880.3745577841997
530793,531836,536,0.001,135,3938,0.5850567329227925,1000.0,24.0589193,17.245204872131346,,
534793,535000,,0.001,,,0.9760410591959954,,,19.418961311340333,1000.0,705.3852637194097
,535836,540,,135,3968,,1000.0,22.485249470000003,,,
538793,539836,544,0.001,135,3989,1.2747245734333992,1000.0,2.061996469999999,21.020949935913087,,
539793,540000,,0.001,,,0.9603354501128196,,,21.341739429473876,1000.0,203.0984046995931
542793,543836,548,0.001,135,4020,0.6313676990866661,1000.0,-21.64758285,22.306958278656005,,
544793,545000,,0.001,,,0.5678782255202531,,,22.551539226531983,1000.0,744.8992383524776
546793,547836,552,0.001,135,4049,0.5096707280427217,1000.0,-27.056137680000003,22.92141388320923,,
549793,550000,,0.001,,,0.3753929553180933,,,23.588565670013427,1000.0,851.8660570710897
550793,551836,556,0.001,135,4079,0.3556544708758593,1000.0,-30.171925679999994,23.836112533569334,,
554793,555000,,0.001,,,0.4498601155281067,,,24.371203285217284,1000.0,859.7719808518887
,555836,560,,135,4110,,1000.0,-33.07982379999999,,,
558793,559836,564,0.001,135,4131,0.37069250535964965,1000.0,-40.76923547,23.535073616027834,,
559793,560000,,0.001,,,0.3264939925521612,,,23.321443054199218,1000.0,686.4843089252711
562793,563836,568,0.001,135,4164,0.22246108962595462,1000.0,-40.90945522999999,23.069755886077882,,
564793,565000,,0.001,,,0.22846767681837082,,,23.050233634948732,1000.0,914.5773127138615
566793,567836,572,0.001,135,4195,0.29107996644079687,1000.0,-39.32874803,23.208857475280762,,
569793,570000,,0.001,,,0.2709627426713705,,,23.202676204681396,1000.0,891.376232945919
570793,571836,576,0.001,135,4227,0.2620665065199137,1000.0,-46.269068610000005,23.129820919036867,,
574793,575000,,0.001,,,0.18251637472212315,,,22.693767360687257,1000.0,921.4685982108116
,575836,580,,135,4258,,1000.0,-48.77918062,,,
578793,579836,584,0.001,135,4279,0.18762368927150966,1000.0,-49.59242380999999,22.36876608276367,,
579793,580000,,0.001,,,0.1780363162830472,,,22.294624294281007,1000.0,851.2118570297956
582793,583836,588,0.001,135,4310,0.19161101583391427,1000.0,-50.70199885999998,22.347462566375732,,
584793,585000,,0.001,,,0.21343882109969856,,,22.435002807617188,1000.0,901.901674091816
586793,587836,592,0.001,135,4341,0.21657522144168614,1000.0,-53.46544266999999,22.48669524383545,,
589793,590000,,0.001,,,0.2111223473548889,,,21.98457283782959,1000.0,824.7691762447357
590793,591836,596,0.001,135,4372,0.22034083078056574,1000.0,-57.10112477,21.873640293121337,,
594793,595000,,0.001,,,0.19915073888748885,,,21.599416217803956,1000.0,893.4633405834436
,595836,600,,135,4403,,1000.0,-59.239933380000004,,,
598793,599836,604,0.001,135,4425,0.20894310046732426,1000.0,-61.8442599,21.450758823394775,,
599793,600000,,0.001,,,0.2127337922975421,,,21.43196446990967,1000.0,831.0668839424849
602793,603836,608,0.001,135,4455,0.1970485890507698,1000.0,-64.18327536,21.394089935302734,,
604793,605000,,0.001,,,0.20573365370184182,,,21.31613212966919,1000.0,822.7907498466841
606793,607836,612,0.001,135,4485,0.23121297626197337,1000.0,-67.42337907,21.479103061676025,,
609793,610000,,0.001,,,0.25823531702160835,,,21.634597984313963,1000.0,873.407394811511
610793,611836,616,0.001,135,4516,0.23126749223470688,1000.0,-73.41102554,21.595545337677002,,
614793,615000,,0.001,,,0.257678971901536,,,21.77251403427124,1000.0,888.5491565823555
,615836,620,,135,4545,,1000.0,-74.85529567999998,,,
618793,619836,624,0.001,135,4566,0.194249655790627,1000.0,-76.98533202,21.789463539123535,,
619793,620000,,0.001,,,0.1732958220243454,,,21.71507568359375,1000.0,927.0003513038158
622793,623836,628,0.001,135,4596,0.1766129066646099,1000.0,-78.24799302999999,21.402301692962645,,
624793,625000,,0.001,,,0.14040098337084056,,,21.145048992156983,1000.0,905.8209686666727
626793,627836,632,0.001,135,4627,0.13963020369410514,1000.0,-78.59947493,20.81202773284912,,
629793,630000,,0.001,,,0.13623196525871753,,,20.701955963134765,1000.0,858.0340841442346
630793,631836,636,0.001,135,4659,0.12483534121885896,1000.0,-78.47891598,20.632340957641603,,
634793,635000,,0.001,,,0.11103126024827362,,,20.369227752685546,1000.0,718.9772559702396
,635836,640,,135,4691,,1000.0,-82.54305386,,,
638793,639836,644,0.001,135,4713,0.12176101509854198,1000.0,-64.2980051,20.06954336166382,,
639793,640000,,0.001,,,0.13789976396784187,,,20.04162731552124,1000.0,892.45568151474
642793,643836,648,0.001,135,4743,0.13448331171646713,1000.0,-43.105230299999995,19.729924224853516,,
644793,645000,,0.001,,,0.11861379637569189,,,19.486513790130616,1000.0,901.3149224399822
646793,647836,652,0.001,135,4775,0.12466177465394139,1000.0,-37.52108842,19.363604850769043,,
649793,650000,,0.001,,,0.11331358717381954,,,19.096554267883302,1000.0,917.7537753164768
650793,651836,656,0.001,135,4805,0.11998013649508357,1000.0,-34.350040789999994,19.041706691741943,,
654793,655000,,0.001,,,0.11930033449456096,,,18.674261726379395,1000.0,922.2932787060738
,655836,660,,135,4835,,1000.0,-33.26565537,,,
658793,659836,664,0.001,135,4856,0.12558781864121557,1000.0,-25.98331723999999,18.068395359039307,,
659793,660000,,0.001,,,0.11749178570508957,,,17.99988091278076,1000.0,948.2860061734915
662793,663836,668,0.001,135,4887,0.13312737379223108,1000.0,-23.094274060000004,17.926861820220946,,
664793,665000,,0.001,,,0.1476632646918297,,,17.884156620025635,1000.0,932.5440886735917
666793,667836,672,0.001,135,4916,0.17584348165988922,1000.0,-24.172941820000002,18.073224464416505,,
669793,670000,,0.001,,,0.2176174690499902,,,18.40450671386719,1000.0,855.763793207705
670793,671836,676,0.001,135,4946,0.20414360965788364,1000.0,-19.51931612,18.35348687362671,,
674793,675000,,0.001,,,0.10959373938292265,,,17.78490424346924,1000.0,922.2912857890129
,675836,680,,135,4978,,1000.0,-18.682335249999998,,,
678793,679836,684,0.001,135,4999,0.0873292341530323,1000.0,-18.12356031,17.360547622680663,,
679793,680000,,0.001,,,0.08677369832992554,,,17.25049314880371,1000.0,924.3367156922817
682793,683836,688,0.001,135,5030,0.07622873806580902,1000.0,-15.50477867,16.895550861358643,,
