train/ent_coef,rollout/ep_rew_mean,time/episodes,train/learning_rate,rollout/ep_len_mean,time/time_elapsed,time/fps,train/ent_coef_loss,train/n_updates,train/actor_loss,train/critic_loss,time/total_timesteps,eval/mean_ep_length,eval/mean_reward
0.9936167597770691,35.13409525,4,0.0003,30.75,1,120,-0.12616115808486938,22,-16.858301162719727,6.692954063415527,123,,
0.9665319919586182,28.510169125,8,0.0003,26.625,2,82,-0.6835818886756897,112,-19.601980209350586,6.94764518737793,213,,
0.9459193348884583,25.089181166666673,12,0.0003,23.666666666666668,3,73,-1.1109007596969604,183,-20.79958724975586,12.460269927978516,284,,
0.9227876663208008,23.575144,16,0.0003,22.875,5,64,-1.6066651344299316,265,-23.1903076171875,8.571510314941406,366,,
0.8895922899246216,24.4573749,20,0.0003,24.4,7,62,-2.3249456882476807,387,-25.77515411376953,8.35418701171875,488,,
0.8690529465675354,23.797321416666666,24,0.0003,23.583333333333332,9,61,-2.797060966491699,465,-27.435564041137695,5.828433513641357,566,,
0.8427879810333252,23.590111214285713,28,0.0003,23.892857142857142,10,60,-3.3608040809631348,568,-29.443378448486328,6.332155227661133,669,,
0.8230789303779602,23.1201364375,32,0.0003,23.40625,12,60,-3.7557473182678223,648,-31.54402732849121,5.7591352462768555,749,,
0.7873603701591492,25.295747972222227,36,0.0003,25.0,15,59,-4.565321922302246,799,-34.89804458618164,9.53339958190918,900,,
0.7712239623069763,24.58244925,40,0.0003,24.275,16,59,-4.955263137817383,870,-35.444488525390625,5.881505012512207,971,,
0.7543652653694153,24.043042204545454,44,0.0003,23.795454545454547,17,58,-5.318514823913574,946,-37.14805603027344,7.787363052368164,1047,,
0.7325878739356995,24.20689625,48,0.0003,23.916666666666668,19,58,-5.815676689147949,1047,-39.01625061035156,7.941854953765869,1148,,
0.7127586603164673,24.227025019230766,52,0.0003,23.903846153846153,21,58,-6.327670574188232,1142,-40.04076385498047,7.634794235229492,1243,,
0.6947049498558044,24.22470228571429,56,0.0003,23.785714285714285,22,58,-6.744256973266602,1231,-42.311119079589844,8.428247451782227,1332,,
0.6695988178253174,24.728530583333335,60,0.0003,24.333333333333332,25,57,-7.309925079345703,1359,-45.32383346557617,7.596391677856445,1460,,
0.6510939598083496,24.684040359375,64,0.0003,24.34375,27,57,-7.812567234039307,1457,-45.80526351928711,7.165446758270264,1558,,
0.6340453624725342,24.633462852941175,68,0.0003,24.279411764705884,28,57,-8.184782028198242,1550,-44.89076232910156,9.887993812561035,1651,,
0.6175937652587891,24.33688615277778,72,0.0003,24.208333333333332,30,57,-8.76601791381836,1642,-47.86914825439453,11.728171348571777,1743,,
0.603762149810791,23.97607430263158,76,0.0003,23.973684210526315,31,57,-8.980003356933594,1721,-49.425907135009766,9.87067985534668,1822,,
0.5868443846702576,23.9630797125,80,0.0003,24.0125,33,57,-9.548638343811035,1820,-49.56333923339844,9.954299926757812,1921,,
0.574164867401123,23.773318654761905,84,0.0003,23.773809523809526,34,57,-9.808804512023926,1896,-50.75462341308594,8.745565414428711,1997,,
0.5599536299705505,23.675231715909092,88,0.0003,23.681818181818183,36,57,-10.384310722351074,1983,-49.298370361328125,11.15739631652832,2084,,
0.5375672578811646,24.282556108695655,92,0.0003,24.184782608695652,38,57,-10.998115539550781,2124,-49.64081573486328,12.904585838317871,2225,,
0.5261368751525879,23.989581822916666,96,0.0003,23.947916666666668,40,57,-11.400606155395508,2198,-52.224002838134766,11.566877365112305,2299,,
0.515392541885376,23.70878146,100,0.0003,23.7,41,56,-11.76494312286377,2269,-51.100196838378906,9.992204666137695,2370,,
0.49877670407295227,23.480980690000006,104,0.0003,23.6,43,56,-12.1172513961792,2382,-52.426300048828125,11.956950187683105,2483,,
0.48342084884643555,23.68054932,108,0.0003,23.78,45,56,-12.572023391723633,2490,-49.70600891113281,16.757280349731445,2591,,
0.4648934304714203,24.299583210000005,112,0.0003,24.42,48,56,-13.217965126037598,2625,-52.049495697021484,13.314335823059082,2726,,
0.45641177892684937,24.253139960000002,116,0.0003,24.24,49,56,-13.829656600952148,2689,-51.554962158203125,12.725926399230957,2790,,
0.4431881308555603,24.24813406,120,0.0003,24.04,51,56,-14.154449462890625,2791,-51.92096710205078,14.933465957641602,2892,,
0.4335639476776123,24.09384076,124,0.0003,24.02,52,56,-14.242254257202148,2867,-56.215370178222656,13.667291641235352,2968,,
0.422939270734787,24.057504729999994,128,0.0003,23.85,54,56,-14.767534255981445,2953,-51.498111724853516,11.024168968200684,3054,,
0.4137667715549469,23.99763943,132,0.0003,23.81,56,55,-15.163359642028809,3029,-53.22734832763672,17.587234497070312,3130,,
0.403397798538208,23.144026129999997,136,0.0003,23.18,57,55,-15.033004760742188,3117,-50.45958709716797,9.488780975341797,3218,,
0.39401111006736755,23.212204550000006,140,0.0003,23.29,59,55,-15.5424165725708,3199,-50.396888732910156,14.61342716217041,3300,,
0.3844311237335205,23.42217077,144,0.0003,23.39,60,55,-16.55392837524414,3285,-53.50904083251953,10.139189720153809,3386,,
0.37478750944137573,23.22943827,148,0.0003,23.27,62,55,-16.35403060913086,3374,-53.524192810058594,11.896803855895996,3475,,
0.35683560371398926,24.036116940000003,152,0.0003,24.04,66,55,-16.608802795410156,3546,-52.13105773925781,11.574560165405273,3647,,
0.34519967436790466,24.123561149999997,156,0.0003,24.31,68,55,-17.255516052246094,3662,-50.237091064453125,15.757369995117188,3763,,
0.33341455459594727,24.096896060000002,160,0.0003,24.24,70,55,-18.390268325805664,3783,-53.06237030029297,17.987995147705078,3884,,
