time/time_elapsed,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/fps,time/total_timesteps,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,eval/mean_reward,eval/mean_ep_length
0,56.81076525,4,6.25,3893,25,,,,,,
0,60.34933825,8,6.625,3806,53,,,,,,
0,58.418804249999994,12,6.416666666666667,3647,77,,,,,,
0,59.1578445,16,6.5,3520,104,,,,,,
0,61.50470724999999,20,6.75,508,135,0.001,33,-8.00790802637736,14.136396090189615,,
0,57.53698454166667,24,6.333333333333333,384,152,0.001,52,-9.84364652633667,2.405430495738983,,
0,54.05638228571429,28,5.964285714285714,336,167,0.001,67,-10.014303207397461,0.8867555260658264,,
0,51.176144343749996,32,5.65625,305,181,0.001,81,-10.060102939605713,0.5914262235164642,,
0,49.17694933333333,36,5.444444444444445,281,196,0.001,96,-10.376268863677979,0.49383963644504547,,
0,47.57443045,40,5.275,264,211,0.001,111,-10.600693702697754,0.5879788994789124,,
0,46.07164020454546,44,5.113636363636363,244,225,0.001,126,-10.78224229812622,0.6685237884521484,,
1,44.64509827083333,48,4.958333333333333,236,238,0.001,138,-10.939929008483887,0.803134024143219,,
1,43.75708332692307,52,4.865384615384615,225,253,0.001,153,-11.0566987991333,0.7422423213720322,,
1,42.70555328571429,56,4.75,217,266,0.001,167,-11.217535018920898,1.1317532459894817,,
1,41.933213200000004,60,4.666666666666667,213,280,0.001,180,-11.16694450378418,1.1950945258140564,,
1,41.12116784375,64,4.578125,209,293,0.001,193,-11.665327072143555,1.1843798160552979,,
1,40.53138785294117,68,4.514705882352941,205,307,0.001,207,-11.310617923736572,1.4195820689201355,,
1,40.00466376388889,72,4.458333333333333,200,321,0.001,222,-11.686732292175293,1.4748645722866058,,
1,39.53235805263158,76,4.407894736842105,197,335,0.001,235,-11.797287940979004,1.6805431445439656,,
1,39.1124493125,80,4.3625,194,349,0.001,250,-11.88133716583252,1.58055379986763,,
1,38.92858372619047,84,4.345238095238095,191,365,0.001,265,-12.061283111572266,1.4122963547706604,,
2,38.66332779545455,88,4.318181818181818,188,380,0.001,281,-12.50577974319458,1.6296012699604034,,
2,38.2443747826087,92,4.271739130434782,187,393,0.001,294,-12.580482959747314,1.8330386877059937,,
2,37.85640279166667,96,4.229166666666667,186,406,0.001,306,-12.467780590057373,2.387425184249878,,
2,37.58400726,100,4.2,184,420,0.001,320,-13.031921863555908,3.3130744298299155,,
2,36.554612799999994,104,4.09,182,434,0.001,335,-12.676796436309814,2.90044367313385,,
2,35.32695046,108,3.96,179,449,0.001,350,-12.763229370117188,2.3634826242923737,,
2,34.38576739,112,3.86,178,463,0.001,363,-12.504884719848633,2.8274641036987305,,
2,33.089517470000004,116,3.72,176,476,0.001,377,-12.855537414550781,2.9909013509750366,,
2,31.66476223,120,3.57,174,492,0.001,392,-13.510825634002686,2.4023654758930206,,
2,31.316123290000004,124,3.53,171,505,0.001,406,-13.253407001495361,2.7918551564216614,,
3,31.23162531,128,3.52,170,519,0.001,420,-13.111650943756104,3.3277668952941895,,
3,31.234745880000002,132,3.52,169,533,0.001,434,-13.78076457977295,2.6052048206329346,,
3,31.315145839999996,136,3.53,168,549,0.001,449,-13.828824043273926,2.5046938061714172,,
3,31.231836119999997,140,3.52,167,563,0.001,464,-14.040883541107178,2.669616460800171,,
3,31.31546305,144,3.53,166,578,0.001,478,-13.953580856323242,3.2262489795684814,,
3,31.318430490000004,148,3.53,165,591,0.001,492,-14.038938045501709,3.247070630391439,,
3,31.154776500000004,152,3.51,164,604,0.001,505,-13.971562385559082,4.206270933151245,,
3,31.236302350000003,156,3.52,164,618,0.001,519,-15.020747661590576,4.017536282539368,,
3,31.31757458,160,3.53,163,633,0.001,533,-13.828537940979004,3.065878947575887,,
3,31.317811719999998,164,3.53,162,646,0.001,547,-15.201669216156006,3.3622392416000366,,
4,31.318257989999996,168,3.53,161,660,0.001,561,-14.714709758758545,3.6286709308624268,,
4,31.318820140000003,172,3.53,161,674,0.001,574,-14.991233825683594,3.677386224269867,,
4,31.319085560000005,176,3.53,160,688,0.001,588,-15.2447190284729,2.650003512700399,,
4,31.233495870000002,180,3.52,160,701,0.001,602,-14.68020486831665,3.5166741212209067,,
4,31.14753302,184,3.51,159,716,0.001,616,-14.644714832305908,3.2768651247024536,,
4,30.9818019,188,3.49,159,729,0.001,630,-15.119432926177979,3.7820127805074057,,
4,31.065509979999998,192,3.5,158,743,0.001,644,-15.645683765411377,4.539340853691101,,
4,31.234266979999994,196,3.52,158,758,0.001,658,-15.192193508148193,3.680358052253723,,
4,31.151597980000002,200,3.51,157,771,0.001,672,-15.686018943786621,3.995128075281779,,
4,31.067085969999997,204,3.5,157,784,0.001,685,-16.066487312316895,3.9508122205734253,,
5,30.982380029999998,208,3.49,156,798,0.001,698,-15.760814189910889,3.9624006152153015,,
5,31.06615982,212,3.5,156,813,0.001,713,-15.920531272888184,3.3302931785583496,,
5,31.235959519999998,216,3.52,156,828,0.001,728,-15.753326416015625,3.8744139671325684,,
5,30.98336219,220,3.49,155,841,0.001,742,-15.68212366104126,3.7616592049598694,,
5,31.067647710000006,224,3.5,155,855,0.001,756,-15.83461332321167,4.226338704427083,,
5,31.152734680000002,228,3.51,155,870,0.001,770,-16.477238655090332,3.339433491230011,,
5,31.153122190000005,232,3.51,154,884,0.001,784,-17.033889770507812,3.6422382990519204,,
5,31.071271779999993,236,3.5,154,899,0.001,800,-16.1552734375,4.751633524894714,,
5,31.073350469999994,240,3.5,153,913,0.001,814,-17.049325942993164,3.3823394775390625,,
