time/total_timesteps,time/fps,train/actor_loss,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,time/episodes,train/learning_rate,rollout/ep_rew_mean,train/n_updates,eval/mean_reward,eval/mean_ep_length
100000,,-57.6603765335083,,0.46910888551175595,,,0.001,,99648,893.8254386924207,1000.0
101648,134,-57.87131476593017,754,0.46919046407192944,951.84,116,0.001,637.81687111,100648,,
105000,,-58.444941284179684,,0.3876485254392028,,,0.001,,104648,923.3780859410763,1000.0
105648,133,,789,,959.7,120,,656.86947002,,,
109648,134,-59.127435096740726,812,0.3759324253872037,959.7,124,0.001,662.91429452,108648,,
110000,,-59.28820813751221,,0.35667203541845083,,,0.001,,109648,927.9634644120931,1000.0
113648,133,-59.71588241577148,848,0.39349382201582195,959.7,128,0.001,665.000015,112648,,
115000,,-60.05272415161133,,0.39107939817756415,,,0.001,,114648,953.8067728376948,1000.0
117648,133,-60.442947631835935,882,0.32899566597491503,959.7,132,0.001,666.4813859000001,116648,,
120000,,-60.86855721282959,,0.3483305681496859,,,0.001,,119648,938.2980789080262,1000.0
121648,132,-61.086020309448244,918,0.3364239782318473,959.7,136,0.001,669.9858196399999,120648,,
125000,,-61.61972957611084,,0.363710963152349,,,0.001,,124648,954.2774105846881,1000.0
125648,131,,954,,959.7,140,,672.0232673400001,,,
129648,132,-62.10957927703858,977,0.3188219082579017,969.52,144,0.001,732.17192094,128648,,
130000,,-62.38687233734131,,0.33020790188759563,,,0.001,,129648,942.7245713546872,1000.0
133648,132,-62.67537596130371,1012,0.31485151329636574,969.52,148,0.001,751.0578781700001,132648,,
135000,,-62.89529482269287,,0.3024492755532265,,,0.001,,134648,955.1500135777984,1000.0
137648,131,-63.230953506469724,1047,0.327675780184567,969.52,152,0.001,758.0148228700001,136648,,
140000,,-63.60602236175537,,0.3034738822951913,,,0.001,,139648,933.0715088784694,1000.0
141648,130,-63.640447372436526,1082,0.3117581849358976,983.36,156,0.001,802.591974,140648,,
145000,,-64.24770691680908,,0.2951397252604365,,,0.001,,144648,957.2189739048481,1000.0
145648,130,,1117,,1000.0,160,,840.2128031699998,,,
149648,131,-64.76194577026367,1140,0.30044654866307974,1000.0,164,0.001,859.94916483,148648,,
150000,,-64.87814195251465,,0.29002087617293,,,0.001,,149648,944.7441065497696,1000.0
153648,130,-65.14475016021728,1175,0.31973827097937463,1000.0,168,0.001,862.9653564700001,152648,,
155000,,-65.36424744415284,,0.2598588217906654,,,0.001,,154648,935.2493002781179,1000.0
157648,130,-65.57561017608643,1211,0.2699964794032276,1000.0,172,0.001,865.3148846300002,156648,,
160000,,-66.11434817504883,,0.2660023869536817,,,0.001,,159648,931.6023748687469,1000.0
161648,129,-66.16757656097413,1247,0.2883716897070408,1000.0,176,0.001,867.4250082200001,160648,,
165000,,-66.48426451110839,,0.2842753380537033,,,0.001,,164648,954.5192695178091,1000.0
165648,129,,1281,,1000.0,180,,871.2160873500001,,,
169648,129,-66.84608513641358,1305,0.2958733184337616,1000.0,184,0.001,872.7090895700001,168648,,
170000,,-66.89718880462647,,0.25507197228446604,,,0.001,,169648,945.9926024474204,1000.0
173648,129,-67.16309801483155,1339,0.25232599304243924,1000.0,188,0.001,873.9733516099998,172648,,
175000,,-67.39668336486817,,0.2726206808499992,,,0.001,,174648,964.1383336663246,1000.0
177648,129,-67.5245551147461,1375,0.28056597512587905,1000.0,192,0.001,876.4865149999999,176648,,
180000,,-67.75997006988526,,0.26735895496979356,,,0.001,,179648,968.8120020240546,1000.0
181648,128,-67.86588980102539,1411,0.25692770871520043,1000.0,196,0.001,894.7748599799999,180648,,
185000,,-68.13005717468262,,0.27038317230343817,,,0.001,,184648,964.5850380539894,1000.0
185648,128,,1446,,1000.0,200,,896.4015895699999,,,
189648,128,-68.43252041625976,1470,0.2638176340200007,1000.0,204,0.001,896.4926365099999,188648,,
190000,,-68.49096472167969,,0.24953377413377165,,,0.001,,189648,947.8165131479502,1000.0
193648,128,-68.72430842590332,1505,0.23420119613409043,1000.0,208,0.001,897.00375002,192648,,
195000,,-68.79345217895508,,0.22857221844419837,,,0.001,,194648,959.6631013721228,1000.0
197648,128,-68.94978466796876,1540,0.22540608265250922,1000.0,212,0.001,897.4904404899999,196648,,
200000,,-68.96501725769043,,0.22529624298587442,,,0.001,,199648,958.319742373377,1000.0
201648,128,-69.0063370513916,1575,0.23693510112538935,1000.0,216,0.001,898.56401623,200648,,
205000,,-69.15476625061035,,0.21158186435326934,,,0.001,,204648,958.9456636667252,1000.0
205648,127,,1609,,1000.0,220,,899.0992781299999,,,
209648,128,-69.34100566101074,1633,0.22173815673962236,1000.0,224,0.001,899.8120373399998,208648,,
210000,,-69.3521656036377,,0.19221152417734266,,,0.001,,209648,969.697680939734,1000.0
213648,128,-69.47155029296874,1667,0.1943372152224183,1000.0,228,0.001,900.5700028200001,212648,,
215000,,-69.49804425048828,,0.19533706273138524,,,0.001,,214648,935.6201552826445,1000.0
217648,127,-69.63717720031738,1703,0.20201762764155864,1000.0,232,0.001,901.17308059,216648,,
220000,,-69.6824288482666,,0.19589856911823153,,,0.001,,219648,963.3173027157784,1000.0
221648,127,-69.73567864990234,1738,0.18845660973340272,1000.0,236,0.001,902.03819187,220648,,
225000,,-69.81336824035644,,0.20506172647327184,,,0.001,,224648,958.3921333193779,1000.0
225648,127,,1774,,1000.0,240,,902.6400767199999,,,
229648,127,-69.97265734863281,1797,0.1941349748969078,1000.0,244,0.001,903.3998409899999,228648,,
230000,,-70.04818669128419,,0.20206922383978962,,,0.001,,229648,954.8781486809254,1000.0
233648,127,-70.15308012390136,1832,0.1965130428299308,1000.0,248,0.001,903.68881203,232648,,
235000,,-70.13443849182129,,0.1991244446747005,,,0.001,,234648,949.7442859522998,1000.0
237648,127,-70.21011427307128,1864,0.19254291175678373,1000.0,252,0.001,904.4734284799998,236648,,
240000,,-70.37056925964356,,0.1787912144958973,,,0.001,,239648,941.0609448134899,1000.0
241648,127,-70.40617233276367,1898,0.19150946267694235,1000.0,256,0.001,904.6249594699998,240648,,
245000,,-70.50523431396485,,0.17164933957345785,,,0.001,,244648,959.6983601748943,1000.0
245648,127,,1933,,1000.0,260,,904.6142653399999,,,
249648,127,-70.77719253540039,1957,0.18711973832547665,1000.0,264,0.001,905.20883678,248648,,
250000,,-70.75836293029785,,0.1729953265339136,,,0.001,,249648,942.0594364345073,1000.0
253648,127,-70.82376333618164,1992,0.1947357111722231,1000.0,268,0.001,905.4770723099999,252648,,
255000,,-70.91620666503906,,0.15691141382604837,,,0.001,,254648,944.3891190201044,1000.0
257648,127,-70.97071691894531,2028,0.16941399271413685,1000.0,272,0.001,906.09362709,256648,,
260000,,-71.09528883361817,,0.15921827942319214,,,0.001,,259648,945.6681464612484,1000.0
261648,126,-71.0502198486328,2064,0.15494501721858978,1000.0,276,0.001,906.6668213400001,260648,,
265000,,-71.12354025268554,,0.1644439229555428,,,0.001,,264648,966.3001288682223,1000.0
265648,126,,2099,,1000.0,280,,906.88311288,,,
269648,127,-71.21154136657715,2122,0.15592254503816366,1000.0,284,0.001,907.9050364099999,268648,,
270000,,-71.26584384155274,,0.14947274709306657,,,0.001,,269648,968.7357040017844,1000.0
273648,126,-71.35373992919922,2157,0.16272753797098993,1000.0,288,0.001,908.7385858600001,272648,,
275000,,-71.32360989379883,,0.1477965524531901,,,0.001,,274648,940.8948034465313,1000.0
277648,126,-71.43191596984863,2190,0.14710814075917006,1000.0,292,0.001,908.8262373000001,276648,,
