time/fps,time/time_elapsed,time/total_timesteps,train/critic_loss,time/episodes,train/n_updates,train/learning_rate,train/actor_loss,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
680,0,200,0.3934867250919342,4,50,0.001,0.7818310260772705,50.0,-36.567659750000004,,
301,1,400,0.050625922046601775,8,250,0.001,0.8702337837219238,50.0,-25.977208500000003,,
,,500,0.039022140335291625,,350,0.001,0.9092983770370483,,,-20.038184599999997,50.0
199,3,600,0.02565451681613922,12,450,0.001,0.9575674247741699,50.0,-22.263521750000006,,
195,4,800,0.0105924338940531,16,650,0.001,1.051296923160553,50.0,-19.6359113125,,
,,1000,0.014390058536082505,,850,0.001,1.121911234855652,,,-12.749175900000001,50.0
168,5,1000,,20,,,,50.0,-18.36616885,,
170,7,1200,0.020883587170392275,24,1050,0.001,1.2322683286666871,50.0,-17.60836625,,
172,8,1400,0.02452355805784464,28,1250,0.001,1.3795374870300292,50.0,-16.432536321428568,,
,,1500,0.02892113886773586,,1350,0.001,1.4392354536056517,,,-12.666983299999998,50.0
161,9,1600,0.04475399412214756,32,1450,0.001,1.4805796813964844,50.0,-15.9385229375,,
163,10,1800,0.057336518615484236,36,1650,0.001,1.649839825630188,50.0,-14.931994805555554,,
,,2000,0.030735549926757814,,1850,0.001,1.8001758098602294,,,-13.030734099999998,50.0
156,12,2000,,40,,,,50.0,-14.692990624999998,,
158,13,2200,0.036544369161129,44,2050,0.001,2.005391778945923,50.0,-14.467395090909088,,
160,14,2400,0.03560926325619221,48,2250,0.001,2.1308071994781494,50.0,-14.141082312499998,,
,,2500,0.03511215828359127,,2350,0.001,2.2357884788513185,,,-13.321623250000002,50.0
155,16,2600,0.03257223639637232,52,2450,0.001,2.3268331146240233,50.0,-14.117180865384615,,
156,17,2800,0.03554174300283194,56,2650,0.001,2.470709829330444,50.0,-13.89783844642857,,
,,3000,0.03533540841192007,,2850,0.001,2.6151147747039794,,,-13.10588215,50.0
153,19,3000,,60,,,,50.0,-13.65642305,,
155,20,3200,0.04220066893845797,64,3050,0.001,2.7527983951568604,50.0,-13.573617624999999,,
157,21,3400,0.04550306160002947,68,3250,0.001,2.9081466007232666,50.0,-13.499019676470587,,
