train/learning_rate,train/n_updates,train/critic_loss,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/actor_loss,rollout/ep_rew_mean,time/fps,eval/mean_reward,eval/mean_ep_length
0.001,2044,0.12468150737695397,4,761.0,11,3044,-1.7028487664163112,-321.2880875,271,,
0.001,4328,0.09132957138866186,,,,5000,-4.6733185362815854,,,836.509189337492,1000.0
0.001,5328,0.10050048685073852,8,791.0,36,6328,-5.925826306343079,38.69227774999999,174,,
0.001,9328,0.0969835597537458,,,,10000,-11.2941300239563,,,893.2423418804071,1000.0
,,,12,860.6666666666666,64,10328,,222.40353775000003,159,,
0.001,13328,0.10294759326428175,16,895.5,84,14328,-16.48353715324402,325.3571474375,169,,
0.001,14328,0.11143399574607611,,,,15000,-17.70387028503418,,,932.0070527791977,1000.0
0.001,17328,0.10501072336360812,20,916.4,113,18328,-21.470248142242433,393.1588597,161,,
0.001,19328,0.11604890856146813,,,,20000,-24.116572784423827,,,943.9081707805395,1000.0
0.001,21328,0.09854150802269578,24,930.3333333333334,142,22328,-26.402072456359864,432.54144275,156,,
0.001,24328,0.11882292488589882,,,,25000,-29.728147594451904,,,960.4159131348133,1000.0
0.001,25328,0.08645936969667672,28,940.2857142857143,170,26328,-30.82150112915039,469.0393051785714,154,,
0.001,29328,0.09432338221743702,,,,30000,-34.918287307739256,,,959.5246711730957,1000.0
,,,32,947.75,198,30328,,497.18592409375003,152,,
0.001,33328,0.0994309716746211,36,953.5555555555555,218,34328,-38.70888986968994,519.8777039444445,156,,
0.001,34430,0.13172785583518298,,,,35000,-40.14980787389419,,,955.413383692503,1000.0
0.001,36430,0.11959090830013155,40,935.75,242,37430,-41.475412139892576,522.490413775,154,,
0.001,39430,0.11268072410672902,,,,40000,-43.927965400695804,,,936.5412409722805,1000.0
0.001,40430,0.17303421757370233,44,941.5909090909091,271,41430,-44.72490441131592,539.1365486363637,152,,
0.001,44430,0.13332964031770825,,,,45000,-47.71643887329102,,,931.9771292626858,1000.0
,,,48,946.4583333333334,299,45430,,552.5608260416667,151,,
0.001,48430,0.10592057776078581,52,950.5769230769231,320,49430,-50.483042892456055,563.8338528269231,154,,
0.001,49430,0.1568074244968593,,,,50000,-51.08817247772217,,,971.8918183743954,1000.0
0.001,52430,0.12098664631322026,56,954.1071428571429,349,53430,-52.92870272827148,573.5303609464285,152,,
0.001,54430,0.09921350201964378,,,,55000,-54.12776194000244,,,937.4609288454055,1000.0
0.001,56430,0.10952975478023291,60,957.1666666666666,378,57430,-55.24465934753418,581.88980485,151,,
0.001,59207,0.391802395876497,,,,60000,-56.61657692718506,,,912.5377642273903,1000.0
0.001,60207,0.16742879810929298,64,950.8125,405,60852,-57.061136642456056,581.8735588125,149,,
0.001,63852,0.20003398753330112,68,953.7058823529412,424,64852,-58.568615211486815,586.3365775147058,152,,
0.001,64852,0.2408246268965304,,,,65000,-58.9661124420166,,,914.2858969330788,1000.0
0.001,67078,0.29166898658845275,72,945.5277777777778,449,68078,-60.02886210078687,584.6537736944445,151,,
0.001,69078,0.2501885387152433,,,,70000,-60.65437815093994,,,946.7629204571247,1000.0
0.001,71078,0.3526487908139825,76,948.3947368421053,478,72078,-61.36956672668457,588.9080080263159,150,,
0.001,74078,0.14572135580331086,,,,75000,-62.331547149658206,,,920.1712869226933,1000.0
0.001,75078,0.3299021510630846,80,950.975,507,76078,-62.64084494781494,592.1937907875001,149,,
0.001,79078,0.11626973639801144,,,,80000,-63.74389247894287,,,935.7447404682637,1000.0
,,,84,953.3095238095239,535,80078,,595.5288596904762,149,,
0.001,82203,0.3712905425429344,88,942.8636363636364,550,82972,-64.60095276371125,590.6646375568181,150,,
0.001,84972,0.2261322667710483,,,,85000,-65.09474067687988,,,923.5939135670662,1000.0
0.001,85972,0.48559988566488027,92,945.3478260869565,578,86972,-65.30890991210937,593.7797519673912,150,,
0.001,89749,0.34251240370795133,,,,90000,-66.09544277954102,,,930.4110206067562,1000.0
,,,96,945.3020833333334,605,90749,,594.9517743020833,149,,
0.001,92097,0.5462282411903143,100,930.97,617,93097,-66.53418748474121,586.62019212,150,,
0.001,94097,0.852941265322268,,,,95000,-66.82987574768066,,,942.5539894878864,1000.0
0.001,96097,0.5188956462740898,104,940.53,646,97097,-67.233675491333,625.65983592,150,,
0.001,99097,0.42070963188260796,,,,100000,-67.73146186828613,,,944.5100749671459,1000.0
0.001,100097,0.643084192827344,108,947.69,675,101097,-67.88605421447754,636.2165140100001,149,,
0.001,104097,0.898709471821785,,,,105000,-68.50410525512696,,,934.5771342098712,1000.0
,,,112,947.69,704,105097,,639.26009575,149,,
0.001,108097,0.4448886183053255,116,947.69,724,109097,-68.96423950195313,640.89157674,150,,
0.001,109097,0.30375135656446217,,,,110000,-69.10320944213868,,,966.9122251987458,1000.0
0.001,112097,0.6092220097258687,120,947.69,753,113097,-69.44852268981934,640.7305617300001,150,,
0.001,114097,0.39948681111633777,,,,115000,-69.62242094421387,,,964.1518926620483,1000.0
0.001,116097,0.34293081565201283,124,947.69,782,117097,-69.79784078979492,642.20265378,149,,
0.001,119097,0.3150266587883234,,,,120000,-70.05885446166992,,,956.715483880043,1000.0
0.001,120097,0.2993821248039603,128,947.69,811,121097,-70.1040467376709,640.94253202,149,,
0.001,124097,0.3669205991029739,,,,125000,-70.41868116760254,,,947.0118732869626,1000.0
,,,132,947.69,839,125097,,640.0220512899999,149,,
0.001,128097,0.24135953482240438,136,947.69,859,129097,-70.64691786193848,637.77352514,150,,
0.001,129097,0.3192444355934858,,,,130000,-70.69939166259766,,,958.335186034441,1000.0
0.001,132097,0.2957554652839899,140,956.67,888,133097,-70.75495007324218,641.6376111000001,149,,
0.001,134097,0.30096915834769605,,,,135000,-70.8489571685791,,,933.1756538033485,1000.0
0.001,136097,0.20706574955582618,144,956.67,917,137097,-70.9560884552002,639.7033374099999,149,,
0.001,139097,0.2683758427575231,,,,140000,-70.94233335876464,,,926.284999525547,1000.0
