time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,train/clip_range,train/entropy_loss,train/std,train/approx_kl,train/n_updates,train/explained_variance,train/clip_fraction,train/value_loss,train/loss,train/policy_gradient_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
100000,,,,,,0.2,-23.202814930677413,0.9482688903808594,0.02027607,480,0.6536612510681152,0.154248046875,697.5495313644409,234.54747009277344,-0.048936161253368485,0.0003,258.80484953597187,51.7
100352,49,295.12693022,62.09,275,364,,,,,,,,,,,,,
102400,50,305.60361068,63.8,280,364,0.2,-23.199009358882904,0.9477828741073608,0.019539401,490,0.7351114153862,0.159033203125,733.8991927146911,234.75331115722656,-0.049498671185574494,0.0003,,
104448,51,302.15210665,63.74,285,365,0.2,-23.19510734677315,0.9479565620422363,0.019195855,500,0.7163596153259277,0.151513671875,725.3951793670655,301.2277526855469,-0.04869492424186319,0.0003,,
105000,,,,,,0.2,-23.192967545986175,0.9474273920059204,0.015217934,510,0.6540365517139435,0.122265625,842.077427482605,402.29217529296875,-0.04496339800825808,0.0003,252.4777067899704,51.85
106496,52,299.10255178000006,62.73,292,364,,,,,,,,,,,,,
108544,53,297.71852375,62.32,297,364,0.2,-23.179718267917632,0.9464100003242493,0.019892264,520,0.7205731272697449,0.151171875,735.4533934593201,216.40431213378906,-0.048316477972548455,0.0003,,
110000,,,,,,0.2,-23.16567099094391,0.9461377263069153,0.019473994,530,0.7412528395652771,0.1607421875,648.9395750045776,218.44244384765625,-0.05002045467845164,0.0003,255.4915701828897,53.0
110592,54,306.04461733,63.41,303,364,,,,,,,,,,,,,
112640,55,308.29798599000003,63.93,308,364,0.2,-23.156083142757417,0.9450263977050781,0.01691873,540,0.7391649782657623,0.1369140625,674.1742730140686,279.39874267578125,-0.04648141661309637,0.0003,,
114688,56,315.90673734000006,65.84,314,365,0.2,-23.137752342224122,0.9445199370384216,0.016544636,550,0.7456599473953247,0.122314453125,678.773486995697,269.47894287109375,-0.042928968081832865,0.0003,,
115000,,,,,,0.2,-23.14033599495888,0.9449723362922668,0.017486248,560,0.7470441460609436,0.133154296875,594.3466132164001,145.9106903076172,-0.04645145748509094,0.0003,258.22520488500595,53.35
116736,57,308.48902298999997,64.38,320,363,,,,,,,,,,,,,
118784,58,315.42383102,66.02,326,363,0.2,-23.122603929042818,0.94264155626297,0.016539605,570,0.765450969338417,0.134033203125,610.1390337944031,253.16246032714844,-0.0448564608261222,0.0003,,
120000,,,,,,0.2,-23.095798659324647,0.9421588778495789,0.017462902,580,0.7610966265201569,0.146142578125,595.7451133728027,238.15914916992188,-0.04657526694354601,0.0003,250.9990270882845,51.15
120832,59,314.81705700000003,65.67,333,362,,,,,,,,,,,,,
122880,60,313.42654021000004,65.77,338,363,0.2,-23.087068212032317,0.9417058229446411,0.016776979,590,0.7946368455886841,0.1326171875,522.2884521007538,294.69268798828125,-0.04384514449193375,0.0003,,
124928,61,307.39602174,64.34,343,363,0.2,-23.077658420801164,0.9407799243927002,0.016981332,600,0.7808007448911667,0.14658203125,528.509406709671,151.87168884277344,-0.048167670395923776,0.0003,,
125000,,,,,,0.2,-23.05692422389984,0.9394668340682983,0.016714156,610,0.7727539539337158,0.128955078125,558.45155210495,219.78077697753906,-0.045593973895302044,0.0003,251.90847219228743,51.35
126976,62,311.09817925000004,64.77,349,363,,,,,,,,,,,,,
129024,63,310.64482432999995,63.85,354,363,0.2,-23.031476283073424,0.9383538365364075,0.018931849,620,0.789515033364296,0.1634765625,508.08352265357973,190.406494140625,-0.050763331790221855,0.0003,,
130000,,,,,,0.2,-23.020579504966737,0.9380804896354675,0.020637792,630,0.8029436767101288,0.156982421875,521.5849830627442,177.36643981933594,-0.04913495360815432,0.0003,252.0530216384679,52.6
131072,64,308.68018556999994,63.64,361,362,,,,,,,,,,,,,
133120,65,302.94044711,62.44,366,362,0.2,-23.01406862139702,0.9378266930580139,0.019986235,640,0.8334960490465164,0.16708984375,386.6968512058258,122.03897094726562,-0.04768199549725978,0.0003,,
