train/learning_rate,time/episodes,time/total_timesteps,time/time_elapsed,train/actor_loss,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/n_updates,train/critic_loss,eval/mean_reward,eval/mean_ep_length
0.001,4,4000,17,-5.415714969396591,1000.0,-1589.836772,223,3000,0.3361461497545242,,
0.001,,5000,,-6.6510169267654415,,,,4000,0.4123716099858284,-2478.866323286295,1000.0
0.001,8,5104,37,-7.354807198047638,638.0,-1151.541970125,134,5067,0.7505734413862228,,
0.001,12,6382,44,-6.799126003099524,531.8333333333334,-952.3611075833333,142,6316,0.7012268708811866,,
0.001,16,6480,45,-7.029891729354858,405.0,-721.16626975,142,6449,0.9736265310874352,,
0.001,20,7672,47,-6.9596222877502445,383.6,-618.7657697,160,6672,1.106953740119934,,
0.001,24,8875,59,-7.32193390528361,369.7916666666667,-549.3498238333333,149,8798,1.5700646017460114,,
0.001,,10000,,-6.0676929821968075,,,,9942,1.686284064412117,-321.9621341895101,435.3
0.001,28,11036,71,-6.287848137794657,394.14285714285717,-514.4322183928572,153,10036,1.5648443400859833,,
0.001,32,14050,93,-5.645986442089081,439.0625,-426.56188215624996,150,14036,1.7094901881814002,,
0.001,,15000,,-5.983846391950335,,,,14050,1.3219906772886003,277.629898854754,1000.0
0.001,36,18050,122,-5.498787595748901,501.3888888888889,-348.4806019999999,147,17050,1.3010285105109214,,
0.001,,20000,,-5.402176196098328,,,,19050,0.9855322484970093,366.7141402586465,1000.0
0.001,40,22050,155,-6.158015178203582,551.25,-267.8526627499999,142,21050,0.8942393954694271,,
0.001,,25000,,-6.691455067634583,,,,24050,0.7361988756358624,570.718145838505,1000.0
0.001,44,26050,187,-7.276300148010254,592.0454545454545,-181.56057293181814,138,25050,0.7522999156415463,,
0.001,,30000,,-9.285292253494262,,,,29050,0.696658204972744,662.1921420327271,900.9
,48,30050,219,,626.0416666666666,-107.04959189583332,136,,,,
0.001,52,34050,242,-12.160076803207398,654.8076923076923,-39.56697271153845,140,33050,0.6592173372507095,,
0.001,,35000,,-12.762810108184814,,,,34050,0.634470985263586,809.8418579763035,1000.0
0.001,56,38050,275,-14.635532848358155,679.4642857142857,-5.781105982142833,138,37050,0.6702870571613312,,
0.001,,40000,,-14.927008205413818,,,,39050,0.7025386661291122,703.4236576366063,1000.0
