rollout/ep_rew_mean,train/n_updates,train/critic_loss,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
-1977.4611400000001,3000,0.08950645306520164,4,258,15,1000.0,4000,-0.8116857426161878,0.001,,
,4000,0.22259214816242456,,,,,5000,-1.0320071826581843,0.001,-2512.9935381531714,905.0
-1412.4377693749998,5138,0.8480486266669773,8,163,32,663.125,5305,-4.792431388582502,0.001,,
-1511.7553925833333,7376,0.8507116252267864,12,188,44,698.0,8376,-2.051153466079591,0.001,,
,9376,1.004785101234913,,,,,10000,-0.5196105689802207,0.001,-200.6471458025564,803.3
-1244.6265243125,11376,0.8616998060643672,16,164,69,715.75,11452,0.9974116320363245,0.001,,
-1023.2364754,13644,2.586813835203648,20,180,81,732.2,14644,-1.0182305691316724,0.001,,
,14644,1.9302626521587372,,,,,15000,-1.23180364975892,0.001,66.21497921642148,750.6
-830.0588522916668,16784,1.9725712350606919,24,172,103,741.0,17784,-4.232655824124813,0.001,,
,19784,1.597656124651432,,,,,20000,-6.75534507894516,0.001,171.8174082508878,710.7
-672.229210357143,20784,1.493312132000923,28,169,128,778.0,21784,-7.091989315986633,0.001,,
-551.6828663125,23828,1.3542415445501155,32,172,143,775.875,24828,-9.280392148277976,0.001,,
,24828,1.271421497821808,,,,,25000,-9.677416159629821,0.001,390.32037158812307,1000.0
-447.01089630555555,27828,1.1878246352076531,36,162,171,775.1666666666666,27906,-12.132742672920227,0.001,,
,29906,1.0623381234407425,,,,,30000,-13.805655347824096,0.001,440.8748333228068,661.2
-338.87996987500003,30906,1.0166851951181888,40,165,193,797.65,31906,-14.049181665420532,0.001,,
,34027,0.8912247088551521,,,,,35000,-16.300250186920167,0.001,703.4995710800285,1000.0
-257.2874707727273,,,44,161,216,796.0681818181819,35027,,,,
-175.17872535416663,38027,0.8214298801124096,48,164,237,813.0625,39027,-19.06352544593811,0.001,,
,39027,0.8075559259355068,,,,,40000,-19.500487285614014,0.001,717.3469744375441,1000.0
-108.31937663461532,42027,0.7768126549720764,52,162,265,827.4423076923077,43027,-21.119498931884767,0.001,,
,44027,0.7457738878428936,,,,,45000,-22.066632957458495,0.001,641.0801691338886,1000.0
-51.298661464285715,46027,0.7180899024903774,56,160,292,839.7678571428571,47027,-23.198130836486815,0.001,,
,49027,0.7255529300868511,,,,,50000,-24.750809692382813,0.001,823.6849249580176,1000.0
5.314631916666666,50027,0.6852396645843982,60,159,320,850.45,51027,-25.23459436035156,0.001,,
,54027,0.665687800616026,,,,,55000,-27.7141796875,0.001,679.9570911450777,812.9
55.74415021874999,,,64,158,347,859.796875,55027,,,,
90.32706199999998,57108,0.7289066138267517,68,160,362,854.5294117647059,58108,-29.395092102050782,0.001,,
,59416,0.8051733565628528,,,,,60000,-30.640152709960937,0.001,830.8532919904683,1000.0
111.49337305555554,,,72,158,382,839.1111111111111,60416,,,,
122.6155744342105,62458,0.694395186645644,76,159,397,834.9736842105264,63458,-32.76845959254673,0.001,,
,64458,0.8605122693479061,,,,,65000,-32.425972969055174,0.001,723.9093918238999,804.9
161.1436355125,66458,0.8595395759046077,80,159,423,843.225,67458,-33.33816756057739,0.001,,
,69458,0.7701007046401501,,,,,70000,-34.80153142929077,0.001,880.8383312990888,1000.0
194.93154535714285,70458,0.8305068155825138,84,157,452,850.6904761904761,71458,-35.15645462417603,0.001,,
,74458,0.8113625702559948,,,,,75000,-36.77369274139404,0.001,718.0415470023115,903.3
226.36267329545453,,,88,157,479,857.4772727272727,75458,,,,
253.28864814130438,78458,0.7677696178257465,92,159,499,863.6739130434783,79458,-38.616013076782224,0.001,,
,79458,0.7562479421198368,,,,,80000,-38.961372428894045,0.001,890.567453970341,1000.0
270.2107248645833,82458,0.8126905145347119,96,156,527,859.15625,82479,-40.00497931671143,0.001,,
,84479,0.84277464017272,,,,,85000,-40.6491522064209,0.001,841.9600209315307,1000.0
295.30273485,85479,0.7610584178119898,100,156,551,864.79,86479,-41.107070793151856,0.001,,
,89479,0.7647233875393867,,,,,90000,-42.367344924926755,0.001,895.2783581816169,1000.0
410.68207394999996,,,104,156,579,864.79,90479,,,,
472.63560204000004,92531,0.7939631136564108,108,157,595,882.26,93531,-43.27621005131648,0.001,,
,94577,0.8421175920367241,,,,,95000,-43.67044167327881,0.001,939.5970892259386,1000.0
569.5750499,95577,0.8024084452092648,112,156,618,882.01,96577,-44.08385263824463,0.001,,
,99577,0.8794466409087182,,,,,100000,-45.16805866241455,0.001,906.1438853500644,1000.0
624.05099949,,,116,155,646,891.25,100577,,,,
666.5782066300001,103577,0.8101410209238529,120,156,666,899.33,104577,-46.31673613739014,0.001,,
,104577,0.7965522469580173,,,,,105000,-46.63591098022461,0.001,931.5646917656297,1000.0
696.16737049,107577,0.7756023752689362,124,156,695,907.93,108577,-47.32878101348877,0.001,,
,109577,0.8706668780446053,,,,,110000,-47.78777763366699,0.001,867.578955581924,1000.0
720.4890569700001,111577,0.8033617810308933,128,155,723,907.93,112577,-48.26899691772461,0.001,,
,114577,0.7175650350451469,,,,,115000,-48.91064218139648,0.001,927.7811845952878,1000.0
744.6049796599999,115577,0.7916173574924469,132,155,751,917.49,116577,-49.140057983398435,0.001,,
,119577,0.7624214217960834,,,,,120000,-50.03030559539795,0.001,929.9322384254076,1000.0
748.6956346599999,,,136,154,779,926.71,120577,,,,
760.1474432600002,123577,0.8783302474915982,140,155,799,926.71,124577,-50.12273871612549,0.001,,
,124577,0.8511879639625549,,,,,125000,-50.293637825012205,0.001,939.104390823422,1000.0
775.1716063700001,127577,0.7970880630612374,144,155,827,935.5,128577,-50.80923468780517,0.001,,
,129577,0.8017649701237679,,,,,130000,-51.32288130187988,0.001,973.8981824352406,1000.0
783.3740659200001,131577,0.807387649089098,148,154,855,935.5,132577,-51.44292197418213,0.001,,
,134577,0.7345994350612164,,,,,135000,-51.95976099395752,0.001,941.8081803229637,1000.0
793.38487937,135577,0.7383308084011078,152,154,884,935.5,136577,-52.16322671508789,0.001,,
,139577,0.7280123028755188,,,,,140000,-52.940306579589844,0.001,952.3744968567141,1000.0
803.6147737100003,,,156,153,913,935.5,140577,,,,
808.76066968,143577,0.6923257415592671,160,154,933,935.5,144577,-53.59609504699707,0.001,,
,144577,0.7343424505293369,,,,,145000,-53.63914491271973,0.001,970.6679547342937,1000.0
814.84110019,147577,0.6977566130757332,164,154,961,935.5,148577,-54.19225135803222,0.001,,
,149577,0.7084358450174332,,,,,150000,-54.53946876525879,0.001,955.5586030012462,1000.0
828.35951126,151577,0.6964078466296196,168,154,989,944.69,152577,-54.96262725067139,0.001,,
,154577,0.7221795294582843,,,,,155000,-55.5066450881958,0.001,1001.2391451003962,1000.0
849.5670668199999,155577,0.7076979461610318,172,153,1018,961.61,156577,-55.73507926940918,0.001,,
,159577,0.7169745647013187,,,,,160000,-56.316599487304686,0.001,1147.6495357746257,1000.0
879.40994418,,,176,153,1046,971.19,160577,,,,
888.9256713799998,163577,0.7744956558942795,180,154,1065,971.19,164577,-56.99464135742188,0.001,,
,164577,0.774710426479578,,,,,165000,-57.2328839263916,0.001,1194.5530919519836,1000.0
903.6511114400001,167577,0.8360542007386684,184,154,1093,971.19,168577,-57.76642549133301,0.001,,
,169577,0.8666379097402096,,,,,170000,-58.26549500274658,0.001,1202.153550803574,1000.0
921.0584511699999,171577,0.8670752289891243,188,153,1122,971.19,172577,-58.69838944244385,0.001,,
,174577,0.9533125847876072,,,,,175000,-59.34933092498779,0.001,1210.0688134324241,1000.0
925.7215877900001,175577,0.9757848328351975,192,152,1151,962.41,175699,-59.7696986618042,0.001,,
934.3900686899999,178699,1.176572207570076,196,153,1167,972.2,179699,-60.31769240570068,0.001,,
,179699,1.2605232690572739,,,,,180000,-60.478831832885746,0.001,1393.3184743880586,1000.0
945.6929214799999,182699,1.166770645558834,200,153,1196,972.2,183699,-61.25387494659424,0.001,,
,184699,1.2957981500029563,,,,,185000,-61.701109840393066,0.001,1350.8133517672482,984.1
955.30080619,186699,1.4021217232346534,204,153,1223,972.2,187699,-62.12394864654541,0.001,,
,189699,1.4818218775987626,,,,,190000,-62.87241007232666,0.001,1394.5419677585246,1000.0
973.91150454,190699,1.4473577585816384,208,153,1251,981.68,191699,-63.254300575256345,0.001,,
,194699,1.5699067406058311,,,,,195000,-64.61215960693359,0.001,1425.7112680654623,987.3
