time/fps,train/critic_loss,time/time_elapsed,train/n_updates,time/episodes,train/actor_loss,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
125,0.4472105257362127,460,56784,76,-25.571399490356445,57827,213.39487894736845,0.001,760.8815789473684,,
,0.488262564510107,,59784,,-26.72362180709839,60000,,0.001,,728.9817463488667,1000.0
124,0.5014236004948616,494,60784,80,-27.237870426177977,61827,244.45604931250006,0.001,772.8375,,
,0.3961761867552996,,64784,,-29.453797706604004,65000,,0.001,,874.3340510332957,1000.0
124,,529,,84,,65827,275.3569208928572,,783.6547619047619,,
126,0.38195235297083857,553,68784,88,-31.449059452056886,69827,302.04585548863633,0.001,793.4886363636364,,
,0.376011009901762,,69784,,-31.873175575256347,70000,,0.001,,876.8452810251154,1000.0
125,0.39077569395303724,587,72784,92,-33.3410205078125,73827,327.19941014130427,0.001,802.4673913043479,,
,0.3850218429118395,,74784,,-34.29946089935303,75000,,0.001,,829.3377993171104,1000.0
125,0.36703309731185435,622,76784,96,-35.12937133026123,77827,349.2119115208333,0.001,810.6979166666666,,
,0.3400460952967405,,79784,,-36.5440150680542,80000,,0.001,,917.2183564804494,1000.0
124,0.34970353165268897,658,80784,100,-37.02353018951416,81827,371.92168031,0.001,818.27,,
,0.3526922697946429,,84784,,-38.642405479431154,85000,,0.001,,886.8859644377604,1000.0
123,,693,,104,,85827,442.17180284,,827.84,,
124,0.3609690806418657,718,88784,108,-40.10739743804932,89827,538.87578839,0.001,827.84,,
,0.3812777132838964,,89784,,-40.36551505279541,90000,,0.001,,887.6495515465737,1000.0
124,0.393503989815712,756,92784,112,-41.31278769683838,93827,577.11375117,0.001,866.37,,
,0.4016990123838186,,94784,,-41.9839418334961,95000,,0.001,,911.0692948378622,1000.0
123,0.35003751422464846,793,96784,116,-42.801033737182614,97827,614.79413974,0.001,904.46,,
,0.36363917879760266,,99784,,-43.803429611206056,100000,,0.001,,867.6067104078829,1000.0
122,0.3655401827096939,828,100784,120,-44.19387815856933,101827,653.75849943,0.001,943.15,,
,0.36426870405673983,,104784,,-45.376070686340334,105000,,0.001,,917.1514676932245,1000.0
122,,863,,124,,105827,693.8465041300001,,981.08,,
123,0.3442538618817925,888,108784,128,-46.54569464111328,109827,717.8524287600001,0.001,1000.0,,
,0.340834158629179,,109784,,-46.88330941772461,110000,,0.001,,941.5145106451586,1000.0
123,0.3544312232583761,923,112784,132,-47.71862369537354,113827,735.0512541100002,0.001,1000.0,,
,0.3560586133003235,,114784,,-48.24458081817627,115000,,0.001,,841.6524191052653,1000.0
122,0.3359499670416117,960,116784,136,-48.77199641418457,117827,755.0310703600002,0.001,1000.0,,
,0.3179355245381594,,119784,,-49.40809285736084,120000,,0.001,,856.5073953813874,1000.0
122,0.32502268871665,997,120784,140,-49.69111836242676,121827,775.0323474699998,0.001,1000.0,,
,0.3211439993008971,,124784,,-50.61503063201904,125000,,0.001,,889.6280274432153,1000.0
121,,1033,,144,,125827,791.9445607199999,,1000.0,,
122,0.3307844523638487,1060,128784,148,-51.3505738067627,129827,811.7151365700001,0.001,1000.0,,
,0.3246459927484393,,129784,,-51.495846473693845,130000,,0.001,,925.520287072123,1000.0
121,0.30574923297017814,1098,132784,152,-52.10810873413086,133827,833.60757432,0.001,1000.0,,
,0.31976715836673975,,134784,,-52.58230883026123,135000,,0.001,,925.6507145202253,1000.0
121,0.31328415359556677,1134,136784,156,-53.03796921539307,137827,850.7764835199999,0.001,1000.0,,
,0.32140535924583674,,139784,,-53.52460591125488,140000,,0.001,,891.0214297727682,1000.0
121,0.3199502907395363,1170,140784,160,-53.734352851867676,141827,860.4106335199999,0.001,1000.0,,
,0.42177735520154236,,144784,,-54.18614603424072,145000,,0.001,,841.4518600469455,1000.0
120,,1206,,164,,145827,869.0246022700002,,1000.0,,
121,0.4525402376279235,1230,148784,168,-54.50942366027832,149827,884.5172285900001,0.001,1000.0,,
,0.4944627030491829,,149784,,-54.55202611541748,150000,,0.001,,894.7772997304797,1000.0
121,0.5380798076689244,1265,152784,172,-54.84231378936767,153827,895.57221897,0.001,1000.0,,
,0.4863388533592224,,154784,,-55.08054301452637,155000,,0.001,,819.2111233674921,1000.0
121,0.5258283693939447,1301,156784,176,-54.84790210723877,157827,895.4136378699998,0.001,1000.0,,
,0.7613683730959893,,159784,,-54.34419602966309,160000,,0.001,,709.188210683316,1000.0
121,0.7678962764441967,1336,160784,180,-54.32013461303711,161827,886.11884865,0.001,1000.0,,
,0.7508610137403011,,164784,,-53.53129002380371,165000,,0.001,,584.3278483341448,1000.0
120,,1372,,184,,165827,876.55377171,,1000.0,,
121,0.7778637973070145,1395,168784,188,-53.22771862792969,169827,866.58353192,0.001,1000.0,,
,0.8591111879050731,,169784,,-53.357290885925295,170000,,0.001,,534.02773296386,1000.0
121,0.6717076180577278,1429,172784,192,-53.26865665435791,173827,859.8443709800001,0.001,1000.0,,
,0.5660578991621733,,174784,,-52.943530540466305,175000,,0.001,,903.5734772853554,1000.0
121,0.45645175731182097,1464,176784,196,-52.98873663330078,177827,858.3174273600002,0.001,1000.0,,
,0.41071906486153603,,179784,,-53.438427200317385,180000,,0.001,,935.0159603584558,1000.0
121,0.4137521113306284,1496,180784,200,-53.63219272613525,181827,857.8012953100001,0.001,1000.0,,
,0.3792280156314373,,184784,,-54.32190957641602,185000,,0.001,,944.9903401099145,1000.0
121,,1532,,204,,185827,858.7245406799999,,1000.0,,
122,0.3792664983049035,1554,188784,208,-54.75977543640137,189827,860.4539350500002,0.001,1000.0,,
,0.36051455345004796,,189784,,-54.81776477813721,190000,,0.001,,894.6914711698889,1000.0
122,0.38435690227150915,1587,192784,212,-54.985253036499024,193827,861.89377361,0.001,1000.0,,
,0.3448446112498641,,194784,,-55.158996368408204,195000,,0.001,,892.1695999741554,1000.0
122,0.35984885665774347,1620,196784,216,-55.23330206298828,197827,860.5549737900002,0.001,1000.0,,
,0.3841332340091467,,199784,,-55.401507431030275,200000,,0.001,,906.4063364088536,1000.0
122,0.36816123183071614,1653,200784,220,-55.424191299438476,201827,861.2734672199999,0.001,1000.0,,
,0.3796389698535204,,204784,,-55.338137016296386,205000,,0.001,,947.138646056503,1000.0
121,,1694,,224,,205827,860.3827854499999,,1000.0,,
121,0.37870693871378897,1720,208784,228,-55.32040879821778,209827,860.41235694,0.001,1000.0,,
