time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/approx_kl,train/n_updates,train/std,train/clip_range,train/entropy_loss,train/loss,train/clip_fraction,train/explained_variance,train/value_loss,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
2048,1,561,96.29629423404255,21.46808510638298,3,,,,,,,,,,,,,
4096,2,465,104.64261823000002,23.28,8,0.0003,0.019751985,10,0.9993577599525452,0.2,-24.114318150281907,409.7879943847656,0.22392578125,0.009207963943481445,1185.194489479065,-0.0625247107585892,,
5000,,,,,,0.0003,0.02480995,20,1.000335931777954,0.2,-24.119741594791414,458.2615051269531,0.252587890625,0.014289617538452148,1028.4761308670045,-0.06866651070304215,58.1,304.09049852490426
6144,3,394,102.66518502000001,22.88,15,,,,,,,,,,,,,
8192,4,394,105.35909964000001,23.58,20,0.0003,0.026999624,30,1.0011100769042969,0.2,-24.1434699177742,432.56439208984375,0.309765625,0.021947085857391357,892.9680044174195,-0.07956817715603393,,
10000,,,,,,0.0003,0.033948436,40,0.9994533658027649,0.2,-24.124956625699998,329.73748779296875,0.348095703125,0.013509273529052734,872.3216314315796,-0.08574572180223186,48.3,256.16835417374966
10240,5,385,111.13140305,24.91,26,,,,,,,,,,,,,
12288,6,394,115.41209798,25.86,31,0.0003,0.038179416,50,0.9973216652870178,0.2,-24.090382224321367,307.6954040527344,0.3814453125,0.024292349815368652,836.4925695419312,-0.0885324313887395,,
14336,7,397,116.19414178000002,25.91,36,0.0003,0.032788895,60,0.9953245520591736,0.2,-24.058803725242615,353.2666931152344,0.33056640625,0.01385587453842163,927.6520162582398,-0.08426719387061894,,
15000,,,,,,0.0003,0.02948825,70,0.9943374395370483,0.2,-24.038148456811903,332.540283203125,0.295263671875,0.02836906909942627,927.6932237625122,-0.07696084739654907,47.55,237.28001150321217
16384,8,380,123.68258598999999,27.48,43,,,,,,,,,,,,,
18432,9,380,117.92909091,26.45,48,0.0003,0.025894074,80,0.9936012029647827,0.2,-24.02116604447365,460.3784484863281,0.247998046875,0.038466036319732666,1026.7425762176513,-0.07460803076392039,,
20000,,,,,,0.0003,0.021259125,90,0.9930037260055542,0.2,-24.00849992632866,425.4111328125,0.210400390625,0.07046353816986084,875.4874464035034,-0.07022235635377001,52.95,258.99820319525895
20480,10,371,121.85642132,27.14,55,,,,,,,,,,,,,
22528,11,373,133.11702298999998,29.56,60,0.0003,0.017820338,100,0.9921388030052185,0.2,-23.99487321972847,414.05877685546875,0.16298828125,0.18454116582870483,854.8206869125366,-0.06322282286710106,,
24576,12,379,131.9197686,29.18,64,0.0003,0.019642051,110,0.9914361238479614,0.2,-23.97990137934685,494.3049621582031,0.1849609375,0.21829760074615479,973.5453876495361,-0.06478665900067426,,
25000,,,,,,0.0003,0.018513782,120,0.9910827279090881,0.2,-23.97130509018898,410.0948486328125,0.176806640625,0.301760196685791,879.2365820884704,-0.06425001228490146,79.75,411.2819876015186
26624,13,373,143.00260656,31.52,71,,,,,,,,,,,,,
28672,14,374,141.84064246,31.49,76,0.0003,0.019724818,130,0.9892829656600952,0.2,-23.952419382333755,515.8959350585938,0.18564453125,0.29925113916397095,1003.4380449295044,-0.06326034366211389,,
30000,,,,,,0.0003,0.020828247,140,0.989169180393219,0.2,-23.936600136756898,435.58306884765625,0.202685546875,0.3185553550720215,975.9817564010621,-0.06546029976452701,70.8,369.4125902041793
30720,15,366,138.0414032,30.54,83,,,,,,,,,,,,,
32768,16,367,150.77596626,33.03,89,0.0003,0.018892843,150,0.9878726601600647,0.2,-23.923882180452345,350.0301513671875,0.1751953125,0.3039533495903015,934.6002994537354,-0.06356370244175195,,
34816,17,368,158.23393979,34.58,94,0.0003,0.019021634,160,0.9862338900566101,0.2,-23.89875396490097,646.6346435546875,0.180126953125,0.35547542572021484,1026.0108081817627,-0.06344998964632395,,
35000,,,,,,0.0003,0.020305028,170,0.984354555606842,0.2,-23.868210303783417,412.8446044921875,0.190869140625,0.3237212896347046,1032.1463258743286,-0.06534070469351719,67.5,333.6793859500438
36864,18,365,153.49522576,33.91,100,,,,,,,,,,,,,
38912,19,368,169.07247938000003,37.23,105,0.0003,0.017323155,180,0.9828206300735474,0.2,-23.836662673950194,394.7642822265625,0.160595703125,0.3610093593597412,957.240312576294,-0.05681793700205162,,
40000,,,,,,0.0003,0.020789022,190,0.9817891716957092,0.2,-23.817297941446306,437.1873779296875,0.171826171875,0.3583637475967407,1181.7680358886719,-0.05923875229200348,67.2,339.58684694804253
40960,20,364,188.19662982999995,41.47,112,,,,,,,,,,,,,
43008,21,364,178.97372539999998,39.31,117,0.0003,0.0232681,200,0.9802241921424866,0.2,-23.79337149262428,669.591064453125,0.217431640625,0.35988879203796387,1146.6290393829345,-0.06868084242159966,,
